x,z
-1819.4037,-1926.2246
-1817.8353,-1927.4658
-1816.2687,-1928.7091
-1814.7059,-1929.9573
-1813.1432,-1931.2056
-1811.5803,-1932.4536
-1810.0176,-1933.7018
-1808.4547,-1934.9500
-1806.8920,-1936.1981
-1805.3292,-1937.4463
-1803.7664,-1938.6945
-1802.2036,-1939.9426
-1800.6409,-1941.1908
-1799.0780,-1942.4388
-1797.5151,-1943.6870
-1795.9524,-1944.9351
-1794.3895,-1946.1832
-1792.8268,-1947.4315
-1791.2640,-1948.6797
-1789.7013,-1949.9279
-1788.1384,-1951.1760
-1786.5757,-1952.4241
-1785.0129,-1953.6722
-1783.4501,-1954.9204
-1781.8873,-1956.1686
-1780.3246,-1957.4167
-1778.7617,-1958.6649
-1777.1990,-1959.9131
-1775.6361,-1961.1611
-1774.0732,-1962.4093
-1772.5105,-1963.6575
-1770.9478,-1964.9056
-1769.3849,-1966.1538
-1767.8221,-1967.4020
-1766.2593,-1968.6500
-1764.6965,-1969.8983
-1763.1338,-1971.1465
-1761.5710,-1972.3947
-1760.0082,-1973.6427
-1758.4454,-1974.8909
-1756.8826,-1976.1390
-1755.3198,-1977.3872
-1753.7571,-1978.6354
-1752.1943,-1979.8835
-1750.6315,-1981.1317
-1749.0687,-1982.3799
-1747.5059,-1983.6281
-1745.9431,-1984.8762
-1744.3804,-1986.1244
-1742.8175,-1987.3724
-1741.2548,-1988.6206
-1739.6919,-1989.8688
-1738.1292,-1991.1169
-1736.5663,-1992.3650
-1735.0035,-1993.6133
-1733.4408,-1994.8615
-1731.8782,-1996.1099
-1730.3163,-1997.3591
-1728.7552,-1998.6095
-1727.1943,-1999.8599
-1725.6333,-2001.1104
-1724.0723,-2002.3607
-1722.5114,-2003.6112
-1720.9503,-2004.8616
-1719.3893,-2006.1118
-1717.8282,-2007.3622
-1716.2672,-2008.6125
-1714.7062,-2009.8629
-1713.1453,-2011.1134
-1711.5842,-2012.3639
-1710.0233,-2013.6143
-1708.4623,-2014.8646
-1706.9012,-2016.1150
-1705.3403,-2017.3655
-1703.7793,-2018.6158
-1702.2183,-2019.8662
-1700.6573,-2021.1166
-1699.0963,-2022.3671
-1697.5353,-2023.6174
-1695.9742,-2024.8678
-1694.4132,-2026.1182
-1692.8522,-2027.3684
-1691.2913,-2028.6189
-1689.7302,-2029.8694
-1688.1692,-2031.1196
-1686.6083,-2032.3702
-1685.0474,-2033.6206
-1683.4863,-2034.8710
-1681.9253,-2036.1213
-1680.3643,-2037.3717
-1678.8033,-2038.6222
-1677.2423,-2039.8726
-1675.6814,-2041.1230
-1674.1202,-2042.3733
-1672.5593,-2043.6237
-1670.9983,-2044.8741
-1669.4374,-2046.1246
-1667.8763,-2047.3750
-1666.3162,-2048.6262
-1664.7576,-2049.8799
-1663.2054,-2051.1411
-1661.6543,-2052.4038
-1660.1029,-2053.6660
-1658.5500,-2054.9265
-1656.9935,-2056.1826
-1655.4338,-2057.4346
-1653.8708,-2058.6824
-1652.3044,-2059.9260
-1650.7332,-2061.1636
-1649.1581,-2062.3962
-1647.5792,-2063.6240
-1645.9966,-2064.8467
-1644.4086,-2066.0627
-1642.8165,-2067.2732
-1641.2207,-2068.4788
-1639.6210,-2069.6794
-1638.0160,-2070.8728
-1636.4064,-2072.0598
-1634.7927,-2073.2415
-1633.1750,-2074.4177
-1631.5521,-2075.5867
-1629.9247,-2076.7493
-1628.2931,-2077.9060
-1626.6575,-2079.0571
-1625.0165,-2080.2004
-1623.3704,-2081.3364
-1621.7202,-2082.4666
-1620.0658,-2083.5906
-1618.4060,-2084.7063
-1616.7412,-2085.8149
-1615.0723,-2086.9170
-1613.3989,-2088.0125
-1611.7201,-2089.0996
-1610.0354,-2090.1775
-1608.3467,-2091.2490
-1606.6536,-2092.3137
-1604.9551,-2093.3699
-1603.2506,-2094.4163
-1601.5415,-2095.4551
-1599.8278,-2096.4863
-1598.1095,-2097.5098
-1596.3843,-2098.5217
-1594.6541,-2099.5249
-1592.9192,-2100.5200
-1591.1798,-2101.5073
-1589.4330,-2102.4814
-1587.6815,-2103.4473
-1585.9249,-2104.4036
-1584.1630,-2105.3501
-1582.3948,-2106.2847
-1580.6207,-2107.2083
-1578.8416,-2108.1216
-1577.0570,-2109.0249
-1575.2668,-2109.9167
-1573.4692,-2110.7937
-1571.6671,-2111.6611
-1569.8593,-2112.5166
-1568.0450,-2113.3584
-1566.2244,-2114.1863
-1564.3977,-2115.0007
-1562.5656,-2115.8027
-1560.7279,-2116.5923
-1558.8829,-2117.3645
-1557.0311,-2118.1201
-1555.1696,-2118.8513
-1553.2974,-2119.5544
-1551.4141,-2120.2275
-1549.5175,-2120.8625
-1547.6014,-2121.4360
-1545.6747,-2121.9719
-1543.7357,-2122.4614
-1541.7856,-2122.9045
-1539.8264,-2123.3057
-1537.8583,-2123.6611
-1535.8805,-2123.9583
-1533.8972,-2124.2156
-1531.9091,-2124.4294
-1529.9164,-2124.5979
-1527.9208,-2124.7271
-1525.9225,-2124.8083
-1523.9230,-2124.8406
-1521.9233,-2124.8328
-1519.9243,-2124.7859
-1517.9266,-2124.6975
-1515.9308,-2124.5732
-1513.9385,-2124.4019
-1511.9501,-2124.1899
-1509.9657,-2123.9443
-1507.9862,-2123.6628
-1506.0121,-2123.3450
-1504.0437,-2122.9939
-1502.0834,-2122.6001
-1500.1298,-2122.1746
-1498.1831,-2121.7188
-1496.2444,-2121.2305
-1494.3126,-2120.7148
-1492.3916,-2120.1609
-1490.4794,-2119.5774
-1488.5758,-2118.9666
-1486.6805,-2118.3306
-1484.7957,-2117.6643
-1482.9216,-2116.9680
-1481.0575,-2116.2463
-1479.2036,-2115.4985
-1477.3593,-2114.7278
-1475.5243,-2113.9346
-1473.7039,-2113.1089
-1471.8928,-2112.2627
-1470.0920,-2111.3953
-1468.3026,-2110.5046
-1466.5236,-2109.5935
-1464.7581,-2108.6563
-1463.0038,-2107.6985
-1461.2598,-2106.7222
-1459.5262,-2105.7275
-1457.8065,-2104.7090
-1456.0991,-2103.6704
-1454.4027,-2102.6135
-1452.7178,-2101.5388
-1451.0433,-2100.4480
-1449.3839,-2099.3342
-1447.7367,-2098.2029
-1446.1002,-2097.0559
-1444.4750,-2095.8931
-1442.8628,-2094.7124
-1441.2646,-2093.5127
-1439.6786,-2092.2974
-1438.1050,-2091.0657
-1436.5417,-2089.8210
-1434.9941,-2088.5571
-1433.4595,-2087.2776
-1431.9365,-2085.9841
-1430.4258,-2084.6765
-1428.9285,-2083.3538
-1427.4467,-2082.0134
-1425.9773,-2080.6597
-1424.5205,-2079.2925
-1423.0752,-2077.9131
-1421.6473,-2076.5159
-1420.2334,-2075.1045
-1418.8319,-2073.6809
-1417.4434,-2072.2446
-1416.0702,-2070.7937
-1414.7134,-2069.3276
-1413.3702,-2067.8491
-1412.0411,-2066.3577
-1410.7249,-2064.8552
-1409.4279,-2063.3362
-1408.1462,-2061.8042
-1406.8787,-2060.2607
-1405.6256,-2058.7053
-1404.3901,-2057.1360
-1403.1729,-2055.5530
-1401.9634,-2053.9644
-1400.7581,-2052.3733
-1399.5520,-2050.7827
-1398.3451,-2049.1926
-1397.1373,-2047.6033
-1395.9290,-2046.0144
-1394.7201,-2044.4259
-1393.5105,-2042.8380
-1392.3003,-2041.2505
-1391.0896,-2039.6636
-1389.8785,-2038.0768
-1388.6676,-2036.4901
-1387.4570,-2034.9033
-1386.2467,-2033.3163
-1385.0381,-2031.7281
-1383.8313,-2030.1387
-1382.6265,-2028.5480
-1381.4238,-2026.9557
-1380.2251,-2025.3607
-1379.0292,-2023.7638
-1377.8358,-2022.1650
-1376.6453,-2020.5643
-1375.4583,-2018.9613
-1374.2734,-2017.3564
-1373.0907,-2015.7504
-1371.9097,-2014.1429
-1370.7311,-2012.5339
-1369.5537,-2010.9240
-1368.3776,-2009.3131
-1367.2025,-2007.7014
-1366.0289,-2006.0889
-1364.8561,-2004.4757
-1363.6840,-2002.8621
-1362.5123,-2001.2479
-1361.3417,-1999.6333
-1360.1716,-1998.0182
-1359.0020,-1996.4027
-1357.8325,-1994.7871
-1356.6639,-1993.1709
-1355.4955,-1991.5546
-1354.3273,-1989.9381
-1353.1594,-1988.3213
-1351.9919,-1986.7043
-1350.8246,-1985.0872
-1349.6573,-1983.4700
-1348.4905,-1981.8525
-1347.3239,-1980.2349
-1346.1573,-1978.6172
-1344.9908,-1976.9993
-1343.8247,-1975.3813
-1342.6586,-1973.7633
-1341.4926,-1972.1451
-1340.3267,-1970.5270
-1339.1608,-1968.9087
-1337.9951,-1967.2904
-1336.8295,-1965.6720
-1335.6639,-1964.0535
-1334.4985,-1962.4348
