x,z
-1819.3920,-1926.2019
-1817.8341,-1927.4556
-1816.2732,-1928.7056
-1814.7107,-1929.9535
-1813.1482,-1931.2014
-1811.5857,-1932.4493
-1810.0232,-1933.6973
-1808.4607,-1934.9451
-1806.8982,-1936.1930
-1805.3357,-1937.4409
-1803.7732,-1938.6888
-1802.2108,-1939.9369
-1800.6483,-1941.1848
-1799.0858,-1942.4327
-1797.5233,-1943.6807
-1795.9608,-1944.9285
-1794.3983,-1946.1764
-1792.8358,-1947.4243
-1791.2733,-1948.6722
-1789.7108,-1949.9202
-1788.1483,-1951.1681
-1786.5858,-1952.4160
-1785.0233,-1953.6639
-1783.4608,-1954.9119
-1781.8983,-1956.1598
-1780.3358,-1957.4077
-1778.7734,-1958.6558
-1777.2109,-1959.9036
-1775.6483,-1961.1515
-1774.0858,-1962.3994
-1772.5234,-1963.6473
-1770.9609,-1964.8953
-1769.3984,-1966.1432
-1767.8359,-1967.3911
-1766.2734,-1968.6390
-1764.7109,-1969.8868
-1763.1484,-1971.1348
-1761.5859,-1972.3827
-1760.0234,-1973.6306
-1758.4609,-1974.8785
-1756.8984,-1976.1265
-1755.3358,-1977.3744
-1753.7733,-1978.6222
-1752.2109,-1979.8702
-1750.6484,-1981.1182
-1749.0859,-1982.3661
-1747.5234,-1983.6140
-1745.9609,-1984.8619
-1744.3984,-1986.1097
-1742.8359,-1987.3577
-1741.2734,-1988.6056
-1739.7109,-1989.8536
-1738.1484,-1991.1016
-1736.5859,-1992.3494
-1735.0234,-1993.5973
-1733.4611,-1994.8453
-1731.8986,-1996.0933
-1730.3370,-1997.3424
-1728.7764,-1998.5925
-1727.2157,-1999.8428
-1725.6549,-2001.0929
-1724.0942,-2002.3431
-1722.5336,-2003.5933
-1720.9728,-2004.8434
-1719.4121,-2006.0935
-1717.8514,-2007.3436
-1716.2906,-2008.5939
-1714.7300,-2009.8440
-1713.1693,-2011.0942
-1711.6086,-2012.3444
-1710.0479,-2013.5945
-1708.4871,-2014.8445
-1706.9264,-2016.0947
-1705.3658,-2017.3450
-1703.8051,-2018.5951
-1702.2443,-2019.8452
-1700.6837,-2021.0955
-1699.1230,-2022.3457
-1697.5623,-2023.5958
-1696.0017,-2024.8461
-1694.4409,-2026.0962
-1692.8801,-2027.3463
-1691.3195,-2028.5964
-1689.7588,-2029.8466
-1688.1981,-2031.0968
-1686.6373,-2032.3469
-1685.0765,-2033.5969
-1683.5159,-2034.8472
-1681.9553,-2036.0974
-1680.3945,-2037.3475
-1678.8339,-2038.5977
-1677.2731,-2039.8478
-1675.7124,-2041.0980
-1674.1517,-2042.3481
-1672.5909,-2043.5983
-1671.0303,-2044.8484
-1669.4696,-2046.0986
-1667.9089,-2047.3488
-1666.3481,-2048.5989
-1664.7921,-2049.8550
-1663.2380,-2051.1133
-1661.6881,-2052.3767
-1660.1367,-2053.6384
-1658.5845,-2054.8989
-1657.0276,-2056.1541
-1655.4689,-2057.4065
-1653.9061,-2058.6543
-1652.3391,-2059.8965
-1650.7698,-2061.1357
-1649.1941,-2062.3669
-1647.6158,-2063.5950
-1646.0333,-2064.8174
-1644.4456,-2066.0330
-1642.8552,-2067.2451
-1641.2587,-2068.4492
-1639.6587,-2069.6487
-1638.0548,-2070.8430
-1636.4453,-2072.0295
-1634.8331,-2073.2126
-1633.2150,-2074.3875
-1631.5925,-2075.5564
-1629.9668,-2076.7207
-1628.3342,-2077.8755
-1626.6991,-2079.0264
-1625.0585,-2080.1697
-1623.4130,-2081.3059
-1621.7645,-2082.4380
-1620.1090,-2083.5593
-1618.4503,-2084.6763
-1616.7867,-2085.7859
-1615.1172,-2086.8865
-1613.4447,-2087.9827
