x,z
-133.2451,418.1638
-133.7738,420.0925
-134.3024,422.0212
-134.8311,423.9499
-135.3597,425.8786
-135.8884,427.8073
-136.4171,429.7360
-136.9457,431.6647
-137.4744,433.5934
-138.0031,435.5221
-138.5318,437.4508
-139.0605,439.3795
-139.5892,441.3082
-140.1179,443.2369
-140.6466,445.1656
-141.1753,447.0942
-141.7040,449.0229
-142.2327,450.9516
-142.7614,452.8803
-143.2902,454.8090
-143.8189,456.7377
-144.3476,458.6664
-144.8764,460.5950
-145.4051,462.5237
-145.9339,464.4524
-146.4626,466.3810
-146.9914,468.3097
-147.5201,470.2384
-148.0489,472.1671
-148.5776,474.0958
-149.1064,476.0244
-149.6352,477.9531
-150.1640,479.8818
-150.6928,481.8104
-151.2216,483.7391
-151.7503,485.6678
-152.2791,487.5964
-152.8080,489.5251
-153.3368,491.4537
-153.8656,493.3824
-154.3944,495.3111
-154.9232,497.2397
-155.4520,499.1684
-155.9809,501.0970
-156.5097,503.0257
-157.0385,504.9543
-157.5674,506.8830
-158.0962,508.8116
-158.6251,510.7403
-159.1539,512.6689
-159.6828,514.5976
-160.2116,516.5262
-160.7405,518.4549
-161.2694,520.3835
-161.7982,522.3122
-162.3271,524.2408
-162.8560,526.1694
-163.3848,528.0981
-163.9137,530.0267
-164.4426,531.9554
-164.9715,533.8840
-165.5004,535.8127
-166.0293,537.7413
-166.5582,539.6699
-167.0871,541.5986
-167.6160,543.5272
-168.1449,545.4559
-168.6738,547.3845
-169.2027,549.3131
-169.7316,551.2418
-170.2605,553.1704
-170.7894,555.0990
-171.3183,557.0276
-171.8472,558.9563
-172.3761,560.8849
-172.9050,562.8135
-173.4340,564.7422
-173.9629,566.6708
-174.4918,568.5994
-175.0208,570.5281
-175.5497,572.4567
-176.0786,574.3853
-176.6075,576.3140
-177.1364,578.2426
-177.6654,580.1712
-178.1943,582.0999
-178.7232,584.0284
-179.2522,585.9571
-179.7811,587.8857
-180.3100,589.8143
-180.8389,591.7430
-181.3679,593.6716
-181.8968,595.6002
-182.4257,597.5289
-182.9546,599.4575
-183.4835,601.3861
-184.0116,603.3150
-184.5397,605.2438
-185.0666,607.1730
-185.5925,609.1025
-186.1181,611.0320
-186.6412,612.9622
-187.1643,614.8925
-187.6859,616.8231
-188.2064,618.7540
-188.7266,620.6850
-189.2446,622.6166
-189.7626,624.5482
-190.2792,626.4802
-190.7949,628.4124
-191.3103,630.3447
-191.8237,632.2775
-192.3371,634.2103
-192.8492,636.1434
-193.3605,638.0768
-193.8715,640.0103
-194.3807,641.9442
-194.8899,643.8781
-195.3979,645.8124
-195.9051,647.7468
-196.4120,649.6813
-196.9172,651.6163
-197.4224,653.5513
-197.9263,655.4866
-198.4297,657.4221
-198.9327,659.3576
-199.4343,661.2936
-199.9358,663.2295
-200.4363,665.1657
-200.9361,667.1021
-201.4356,669.0385
-201.9336,670.9754
-202.4316,672.9122
-202.9284,674.8494
-203.4246,676.7867
-203.9205,678.7241
-204.4151,680.6618
-204.9095,682.5995
-205.4029,684.5376
-205.8956,686.4758
-206.3880,688.4141
-206.8789,690.3527
-207.3697,692.2914
-207.8593,694.2303
-208.3482,696.1696
-208.8374,698.1086
-209.3283,700.0473
-209.8191,701.9860
-210.3095,703.9247
-210.7996,705.8636
-211.2617,707.8087
-211.6424,709.7720
-212.0231,711.7352
-212.3542,713.7075
-212.6833,715.6801
-212.9963,717.6552
-213.2946,719.6326
-213.5915,721.6104
-213.8681,723.5909
-214.1447,725.5715
-214.4117,727.5535
-214.6723,729.5363
-214.9313,731.5193
-215.1794,733.5037
-215.4276,735.4880
-215.6689,737.4733
-215.9067,739.4589
-216.1429,741.4448
-216.3705,743.4316
-216.5981,745.4185
-216.8212,747.4058
