x,z
-133.2450,418.1632
-133.7737,420.0920
-134.3023,422.0208
-134.8310,423.9496
-135.3597,425.8784
-135.8884,427.8072
-136.4171,429.7360
-136.9457,431.6647
-137.4744,433.5935
-138.0031,435.5223
-138.5318,437.4511
-139.0606,439.3799
-139.5893,441.3087
-140.1180,443.2375
-140.6467,445.1662
-141.1755,447.0950
-141.7042,449.0238
-142.2330,450.9526
-142.7617,452.8813
-143.2905,454.8101
-143.8192,456.7389
-144.3480,458.6677
-144.8767,460.5964
-145.4055,462.5252
-145.9343,464.4540
-146.4631,466.3828
-146.9919,468.3115
-147.5206,470.2403
-148.0494,472.1691
-148.5782,474.0978
-149.1070,476.0266
-149.6358,477.9554
-150.1646,479.8841
-150.6934,481.8129
-151.2223,483.7416
-151.7511,485.6704
-152.2799,487.5991
-152.8087,489.5279
-153.3376,491.4566
-153.8664,493.3854
-154.3952,495.3141
-154.9241,497.2429
-155.4529,499.1716
-155.9818,501.1004
-156.5106,503.0291
-157.0395,504.9579
-157.5684,506.8866
-158.0972,508.8154
-158.6261,510.7441
-159.1550,512.6729
-159.6839,514.6016
-160.2128,516.5303
-160.7417,518.4590
-161.2705,520.3878
-161.7994,522.3165
-162.3283,524.2453
-162.8572,526.1740
-163.3861,528.1027
-163.9150,530.0315
-164.4439,531.9602
-164.9728,533.8890
-165.5017,535.8177
-166.0306,537.7464
-166.5596,539.6752
-167.0885,541.6039
-167.6174,543.5326
-168.1464,545.4613
-168.6753,547.3901
-169.2042,549.3188
-169.7332,551.2475
-170.2621,553.1762
-170.7910,555.1050
-171.3200,557.0337
-171.8489,558.9624
-172.3779,560.8911
-172.9068,562.8198
-173.4357,564.7486
-173.9647,566.6773
-174.4936,568.6060
-175.0226,570.5347
-175.5515,572.4634
-176.0805,574.3922
-176.6094,576.3209
-177.1384,578.2496
-177.6673,580.1783
-178.1963,582.1071
-178.7252,584.0358
-179.2542,585.9645
-179.7831,587.8932
-180.3121,589.8220
-180.8410,591.7507
-181.3700,593.6794
-181.8989,595.6081
-182.4279,597.5368
-182.9568,599.4656
-183.4856,601.3943
-184.0139,603.3232
-184.5421,605.2521
-185.0688,607.1815
-185.5948,609.1110
-186.1203,611.0406
-186.6435,612.9709
-187.1668,614.9012
-187.6882,616.8320
-188.2088,618.7630
-188.7289,620.6941
-189.2470,622.6258
-189.7652,624.5574
-190.2816,626.4895
-190.7974,628.4218
-191.3127,630.3542
-191.8262,632.2871
-192.3397,634.2200
-192.8517,636.1533
-193.3631,638.0867
-193.8741,640.0203
-194.3833,641.9543
-194.8926,643.8883
-195.4005,645.8227
-195.9078,647.7573
-196.4147,649.6919
-196.9199,651.6270
-197.4251,653.5620
-197.9291,655.4974
-198.4325,657.4330
-198.9355,659.3686
-199.4371,661.3046
-199.9387,663.2407
-200.4391,665.1769
-200.9390,667.1134
-201.4386,669.0500
-201.9366,670.9869
-202.4345,672.9238
-202.9314,674.8611
-203.4276,676.7985
-203.9236,678.7360
-204.4181,680.6738
-204.9126,682.6116
-205.4060,684.5497
-205.8987,686.4880
-206.3912,688.4264
-206.8820,690.3652
-207.3729,692.3040
-207.8625,694.2430
-208.3514,696.1823
-208.8402,698.1216
-209.3285,700.0610
-209.8167,702.0004
-210.3022,703.9406
-210.7863,705.8810
-211.2704,707.8215
-211.6437,709.7860
-212.0099,711.7521
-212.3597,713.7211
-212.6804,715.6952
-213.0010,717.6693
-213.2979,719.6470
-213.5889,721.6257
-213.8746,723.6050
-214.1449,725.5867
-214.4153,727.5682
-214.6746,729.5513
-214.9296,731.5349
-215.1824,733.5188
-215.4257,735.5038
-215.6690,737.4890
-215.9060,739.4748
-216.1399,741.4610
-216.3726,743.4474
-216.5987,745.4345
-216.8247,747.4216
-217.0459,749.4092
-217.2643,751.3973
-217.4817,753.3853
-217.6934,755.3740
-217.9051,757.3627
-218.1138,759.3517
-218.3207,761.3409
-218.5271,763.3302
-218.7296,765.3199
-218.9321,767.3096
-219.1317,769.2995
-219.3293,771.2897
-219.5265,773.2798
-219.7195,775.2704
-219.9125,777.2610
-220.1036,779.2518
-220.2933,781.2427
-220.4827,783.2337
-220.6693,785.2249
-220.8558,787.2161
-221.0401,789.2076
-221.2227,791.1992
-221.4050,793.1907
-221.5842,795.1827
-221.7634,797.1746
-221.9410,799.1666
-222.1174,801.1588
-222.2936,803.1509
-222.4671,805.1433
-222.6406,807.1357
-222.8124,809.1282
-222.9827,811.1209
-223.1529,813.1136
-223.3198,815.1066
-223.4867,817.0995
-223.6519,819.0926
-223.8156,821.0858
-223.9793,823.0791
-224.1398,825.0726
-224.3002,827.0660
-224.4587,829.0597
-224.6154,831.0535
-224.7720,833.0473
-224.9243,835.0414
-225.0767,837.0355
-225.2263,839.0299
-225.3731,841.0244
-225.5200,843.0190
-225.6580,845.0142
-225.7960,847.0093
-225.9241,849.0051
-226.0410,851.0016
-226.1579,852.9982
-226.1163,854.9970
-226.0585,856.9961
-225.9983,858.9951
-225.8594,860.9902
-225.7205,862.9853
-225.5573,864.9784
-225.3613,866.9687
-225.1653,868.9590
-224.9169,870.9433
-224.6565,872.9262
-224.3786,874.9065
-224.0496,876.8792
-223.7207,878.8519
-223.3433,880.8156
-222.9376,882.7739
-222.5319,884.7323
-222.0410,886.6710
-221.5496,888.6096
-221.0256,890.5391
-220.4396,892.4513
-219.8536,894.3635
-219.1989,896.2526
-218.5117,898.1307
-217.8246,900.0089
-217.0249,901.8420
-216.2245,903.6748
-215.3905,905.4916
-214.4747,907.2695
-213.5590,909.0475
-212.5845,910.7922
-211.5311,912.4922
-210.4778,914.1923
-209.3401,915.8354
-208.1570,917.4479
-206.9739,919.0604
-205.6923,920.5930
-204.3585,922.0832
-203.0247,923.5734
-201.6101,924.9836
-200.1335,926.3325
-198.6569,927.6813
-197.1264,928.9665
-195.5527,930.2007
-193.9790,931.4348
-192.3471,932.5900
-190.7013,933.7263
-189.0521,934.8574
-187.3445,935.8984
-185.6368,936.9394
-183.9198,937.9641
-182.1564,938.9074
-180.3929,939.8508
-178.6111,940.7578
-176.8037,941.6139
-174.9963,942.4700
-173.1645,943.2716
-171.3202,944.0452
-169.4759,944.8187
-167.6035,945.5210
-165.7283,946.2163
-163.8490,946.8998
-161.9488,947.5234
-160.0485,948.1470
-158.1398,948.7431
-156.2194,949.3016
-154.2991,949.8600
-152.3670,950.3758
-150.4294,950.8714
-148.4910,951.3633
-146.5404,951.8050
-144.5899,952.2467
-142.6357,952.6714
-140.6745,953.0633
-138.7134,953.4552
-136.7463,953.8152
-134.7757,954.1568
-132.8050,954.4974
-130.8279,954.7990
-128.8509,955.1006
-126.8719,955.3889
-124.8889,955.6486
-122.9059,955.9084
-120.9198,956.1427
-118.9325,956.3671
-116.9446,956.5853
-114.9522,956.7593
-112.9599,956.9333
-110.9659,957.0834
-108.9683,957.1802
-106.9708,957.2770
-104.9717,957.3179
-102.9719,957.3267
-100.9720,957.3354
-98.9735,957.2737
-96.9754,957.1929
-94.9772,957.1120
-92.9838,956.9542
-90.9907,956.7920
-89.0005,956.6025
-87.0175,956.3453
-85.0345,956.0880
-83.0579,955.7892
-81.0887,955.4424
-79.1195,955.0957
-77.1618,954.6920
-75.2105,954.2559
-73.2593,953.8197
-71.3267,953.3086
-69.3981,952.7820
-67.4743,952.2391
-65.5732,951.6205
-63.6721,951.0019
-61.7828,950.3497
-59.9138,949.6404
-58.0447,948.9311
-56.1973,948.1689
-54.3655,947.3683
-52.5337,946.5677
-50.7342,945.6981
-48.9435,944.8094
-47.1596,943.9078
-45.4184,942.9257
-43.6772,941.9436
-41.9544,940.9308
-40.2676,939.8577
-38.5808,938.7847
-36.9270,937.6628
-35.3014,936.4991
-33.6757,935.3354
-32.1003,934.1053
-30.5430,932.8514
-28.9857,931.5976
-27.4969,930.2632
-26.0135,928.9225
-24.5365,927.5750
-23.0993,926.1847
-21.6621,924.7944
-20.2355,923.3934
-18.8176,921.9835
-17.3997,920.5735
-15.9934,919.1520
-14.5884,917.7292
-13.1879,916.3019
-11.7968,914.8655
-10.4057,913.4291
-9.0257,911.9821
-7.6491,910.5317
-6.2758,909.0782
-4.9149,907.6132
-3.5540,906.1481
-2.2037,904.6734
-0.8589,903.1935
0.4842,901.7122
1.8122,900.2172
3.1402,898.7222
4.4582,897.2185
5.7683,895.7078
7.0783,894.1970
8.3695,892.6702
9.6608,891.1434
10.9427,889.6088
12.2139,888.0652
13.4850,886.5216
14.7365,884.9621
15.9862,883.4011
17.2273,881.8333
18.4537,880.2539
19.6802,878.6746
20.8860,877.0795
22.0875,875.4811
23.2817,873.8773
24.4568,872.2594
25.6320,870.6415
26.7866,869.0090
27.9334,867.3710
29.0748,865.7292
30.1910,864.0701
31.3073,862.4111
32.4028,860.7384
33.4860,859.0576
34.5667,857.3751
35.6139,855.6718
36.6612,853.9683
37.6886,852.2529
38.6967,850.5261
39.7049,848.7993
40.6727,847.0495
41.6382,845.2985
42.5861,843.5380
43.5050,841.7620
44.4239,839.9861
45.3015,838.1895
46.1692,836.3880
47.0241,834.5806
47.8354,832.7530
48.6467,830.9254
49.4160,829.0801
50.1616,827.2247
50.9072,825.3694
51.5841,823.4880
52.2568,821.6050
52.9035,819.7133
53.4970,817.8039
54.0905,815.8945
54.6160,813.9658
55.1124,812.0289
55.6088,810.0920
55.9940,808.1304
56.3624,806.1650
56.7237,804.1984
57.0210,802.2210
57.3184,800.2435
57.5917,798.2627
57.8429,796.2789
58.0942,794.2950
58.3159,792.3076
58.5349,790.3198
58.7440,788.3311
58.9372,786.3406
59.1304,784.3502
59.3046,782.3580
59.4756,780.3656
59.6403,778.3726
59.7923,776.3786
59.9443,774.3846
60.0835,772.3896
60.2198,770.3945
60.3520,768.3990
60.4743,766.4030
60.5966,764.4069
60.7091,762.4103
60.8191,760.4135
60.9262,758.4165
61.0257,756.4191
61.1253,754.4218
61.2178,752.4241
61.3081,750.4263
61.3962,748.4285
61.4782,746.4303
61.5603,744.4321
61.6357,742.4337
61.7090,740.4352
61.7806,738.4366
61.8472,736.4379
61.9138,734.4392
61.9763,732.4404
62.0374,730.4414
62.0974,728.4425
62.1535,726.4434
62.2097,724.4444
62.2626,722.4453
62.3143,720.4460
62.3651,718.4468
62.4129,716.4476
62.4607,714.4483
62.5059,712.4490
62.5502,710.4496
62.5939,708.4503
62.6358,706.4509
62.6776,704.4514
62.7181,702.4520
62.7582,700.4526
62.7979,698.4531
62.8367,696.4536
62.8755,694.4542
62.9140,692.4547
62.9523,690.4552
62.9907,688.4557
63.0292,686.4563
63.0676,684.4568
