x,z
-133.2450,418.1632
-132.7163,416.2344
-132.1877,414.3056
-131.6590,412.3768
-131.1304,410.4480
-130.6017,408.5192
-130.0731,406.5904
-129.5445,404.6615
-129.0159,402.7327
-128.4872,400.8039
-127.9586,398.8751
-127.4300,396.9463
-126.9014,395.0175
-126.3728,393.0887
-125.8442,391.1599
-125.3156,389.2310
-124.7870,387.3022
-124.2584,385.3734
-123.7299,383.4445
-123.2013,381.5157
-122.6727,379.5869
-122.1442,377.6581
-121.6156,375.7292
-121.0871,373.8004
-120.5585,371.8716
-120.0300,369.9427
-119.5015,368.0139
-118.9729,366.0851
-118.4444,364.1562
-117.9159,362.2274
-117.3874,360.2986
-116.8589,358.3697
-116.3304,356.4409
-115.8019,354.5120
-115.2734,352.5832
-114.7449,350.6543
-114.2164,348.7255
-113.6880,346.7966
-113.1595,344.8678
-112.6311,342.9389
-112.1026,341.0100
-111.5742,339.0812
-111.0457,337.1523
-110.5173,335.2235
-109.9889,333.2946
-109.4604,331.3658
-108.9320,329.4369
-108.4036,327.5080
-107.8752,325.5791
-107.3468,323.6503
-106.8184,321.7214
-106.2900,319.7925
-105.7616,317.8636
-105.2332,315.9348
-104.7048,314.0059
-104.1765,312.0770
-103.6481,310.1481
-103.1198,308.2192
-102.5914,306.2903
-102.0631,304.3615
-101.5347,302.4326
-101.0064,300.5037
-100.4781,298.5748
-99.9497,296.6459
-99.4214,294.7170
-98.8931,292.7881
-98.3648,290.8592
-97.8365,288.9303
-97.3082,287.0014
-96.7799,285.0725
-96.2516,283.1436
-95.7234,281.2147
-95.1951,279.2858
-94.6669,277.3569
-94.1386,275.4280
-93.6104,273.4991
-93.0821,271.5701
-92.5539,269.6412
-92.0256,267.7123
-91.4974,265.7834
-90.9692,263.8545
-90.4410,261.9255
-89.9128,259.9966
-89.3846,258.0677
-88.8564,256.1388
-88.3282,254.2098
-87.8000,252.2809
-87.2718,250.3520
-86.7437,248.4230
-86.2155,246.4941
-85.6874,244.5652
-85.1592,242.6362
-84.6311,240.7073
-84.1029,238.7783
-83.5748,236.8494
-83.0466,234.9205
-82.5185,232.9915
-81.9904,231.0625
-81.4623,229.1336
-80.9342,227.2046
-80.4061,225.2757
-79.8780,223.3467
-79.3499,221.4178
-78.8218,219.4888
-78.2938,217.5598
-77.7657,215.6309
-77.2377,213.7019
-76.7096,211.7729
-76.1816,209.8440
-75.6536,207.9150
-75.1255,205.9860
-74.5975,204.0571
-74.0695,202.1281
-73.5414,200.1991
-73.0134,198.2701
-72.4855,196.3411
-71.9575,194.4122
-71.4295,192.4832
-70.9015,190.5542
-70.3736,188.6252
-69.8456,186.6962
-69.3178,184.7672
-68.7901,182.8381
-68.2630,180.9089
-67.7371,178.9793
-67.2113,177.0497
-66.6881,175.1194
-66.1655,173.1890
-65.6443,171.2582
-65.1258,169.3266
-64.6072,167.3951
-64.0928,165.4624
-63.5790,163.5296
-63.0673,161.5962
-62.5591,159.6620
-62.0508,157.7277
-61.5482,155.7919
-61.0461,153.8560
-60.5469,151.9194
-60.0514,149.9818
-59.5558,148.0443
-59.0671,146.1050
-58.5787,144.1656
-58.0939,142.2253
-57.6132,140.2840
-57.1325,138.3427
-56.6602,136.3993
-56.1878,134.4560
-55.7202,132.5115
-55.2568,130.5659
-54.7940,128.6203
-54.3404,126.6725
-53.8868,124.7247
-53.4394,122.7754
-52.9964,120.8251
-52.5547,118.8746
-52.1232,116.9218
-51.6917,114.9689
-51.2684,113.0143
-50.8495,111.0587
-50.4330,109.1027
-50.0272,107.1443
-49.6215,105.1860
-49.2278,103.2252
-48.8381,101.2636
-48.4538,99.3009
-48.0816,97.3359
-47.7094,95.3709
-47.3533,93.4029
-47.0000,91.4345
-46.6553,89.4645
-46.3230,87.4924
-45.9907,85.5202
-45.6815,83.5443
-45.3729,81.5683
-45.0790,79.5902
-44.7974,77.6101
-44.5194,75.6297
-44.2678,73.6456
-44.0162,71.6615
-43.7970,69.6737
-43.5865,67.6849
-43.3933,65.6944
-43.2269,63.7014
-43.0611,61.7084
-42.9473,59.7117
-42.8336,57.7150
-42.7604,55.7166
-42.7093,53.7173
-42.7019,51.7180
-42.7478,49.7186
-42.8050,47.7197
-42.9548,45.7254
-43.1046,43.7311
-43.3410,41.7454
-43.5893,39.7610
-43.8757,37.7819
-44.1879,35.8065
-44.5225,33.8350
-44.9083,31.8726
-45.3024,29.9121
-45.7633,27.9660
-46.2243,26.0199
-46.7612,24.0936
-47.3107,22.1707
-47.9142,20.2644
-48.5474,18.3674
-49.2311,16.4887
-49.9680,14.6295
-50.7212,12.7772
-51.5511,10.9576
-52.3823,9.1386
-53.3009,7.3621
-54.2194,5.5855
-55.2041,3.8452
-56.2039,2.1131
-57.2322,0.3981
-58.2905,-1.2989
-59.3748,-2.9786
-60.5289,-4.6119
-61.6857,-6.2433
-62.9336,-7.8060
-64.1816,-9.3688
-65.4807,-10.8889
-66.7968,-12.3948
-68.1362,-13.8795
-69.5054,-15.3373
-70.8787,-16.7911
-72.2919,-18.2063
-73.7050,-19.6214
-75.1526,-21.0011
-76.6141,-22.3663
-78.0994,-23.7050
-79.6146,-25.0103
-81.1415,-26.3014
-82.7098,-27.5425
-84.2781,-28.7835
-85.8995,-29.9543
-87.5210,-31.1250
-89.1862,-32.2318
-90.8643,-33.3199
-92.5743,-34.3555
-94.3113,-35.3466
-96.0655,-36.3055
-97.8590,-37.1905
-99.6546,-38.0710
-101.4854,-38.8759
-103.3162,-39.6808
-105.1692,-40.4325
-107.0291,-41.1677
-108.8997,-41.8747
-110.7821,-42.5501
-112.6673,-43.2176
-114.5674,-43.8414
-116.4676,-44.4653
-118.3799,-45.0504
-120.2953,-45.6258
-122.2160,-46.1825
-124.1436,-46.7156
-126.0719,-47.2459
-128.0093,-47.7422
-129.9467,-48.2384
-131.8897,-48.7120
-133.8352,-49.1755
-135.7826,-49.6305
-137.7347,-50.0654
-139.6868,-50.5002
-141.6470,-50.8968
-143.6083,-51.2880
-145.5723,-51.6654
-147.5383,-52.0322
-149.5043,-52.3989
-151.4707,-52.7634
-153.4372,-53.1278
-155.4036,-53.4926
-157.3699,-53.8576
-159.3363,-54.2227
-161.3022,-54.5900
-163.2681,-54.9572
-165.2338,-55.3256
-167.1994,-55.6948
-169.1650,-56.0637
-171.1312,-56.4294
-173.0974,-56.7952
-175.0639,-57.1597
-177.0305,-57.5234
-178.9970,-57.8871
-180.9636,-58.2511
-182.9301,-58.6150
-184.8968,-58.9785
-186.8634,-59.3417
-188.8300,-59.7057
-190.7935,-60.0853
-192.7571,-60.4649
-194.7160,-60.8671
-196.6705,-61.2909
-198.6249,-61.7147
-200.5671,-62.1917
-202.5088,-62.6702
-204.4435,-63.1752
-206.3672,-63.7217
-208.2909,-64.2682
-210.1952,-64.8773
-212.0925,-65.5090
-213.9866,-66.1494
-215.8415,-66.8961
-217.6964,-67.6429
-219.5403,-68.4142
-221.3405,-69.2841
-223.1406,-70.1541
-224.9143,-71.0745
-226.6574,-72.0532
-228.4005,-73.0318
-230.0951,-74.0901
-231.7697,-75.1814
-233.4443,-76.2727
-235.0432,-77.4713
-236.6364,-78.6780
-238.2091,-79.9098
-239.7143,-81.2244
-241.2194,-82.5391
-242.6807,-83.9002
-244.0822,-85.3247
-245.4837,-86.7492
-246.8211,-88.2324
-248.1160,-89.7544
-249.4110,-91.2765
-250.6034,-92.8794
-251.7823,-94.4930
-252.9554,-96.1106
-254.0208,-97.8014
-255.0862,-99.4922
-256.1118,-101.2062
-257.0579,-102.9666
-258.0039,-104.7271
-258.8825,-106.5213
-259.7188,-108.3366
-260.5551,-110.1519
-261.2944,-112.0087
-262.0230,-113.8700
-262.7324,-115.7382
-263.3586,-117.6365
-263.9848,-119.5348
-264.5736,-121.4444
-265.1090,-123.3703
-265.6445,-125.2962
-266.1091,-127.2399
-266.5504,-129.1895
-266.9829,-131.1409
-267.3246,-133.1104
-267.6663,-135.0800
-267.9623,-137.0562
-268.1972,-139.0413
-268.4321,-141.0264
-268.5696,-143.0200
-268.6765,-145.0161
-268.7833,-147.0123
-268.7788,-149.0111
-268.7651,-151.0101
-268.7169,-153.0077
-268.5685,-155.0013
-268.4201,-156.9949
-268.2169,-158.9827
-267.9378,-160.9622
-267.6588,-162.9418
-267.2739,-164.9027
-266.8546,-166.8574
-266.4352,-168.8122
-265.8921,-170.7359
-265.3398,-172.6574
-264.7716,-174.5737
-264.0885,-176.4528
-263.4055,-178.3318
-262.6615,-180.1863
-261.8497,-182.0134
-261.0379,-183.8406
-260.1431,-185.6275
-259.2109,-187.3964
-258.2787,-189.1652
-257.2413,-190.8742
-256.1956,-192.5784
-255.1306,-194.2699
-253.9788,-195.9044
-252.8271,-197.5389
-251.6307,-199.1398
-250.3810,-200.7007
-249.1312,-202.2615
-247.8090,-203.7605
-246.4624,-205.2386
-245.1158,-206.7167
-243.6901,-208.1185
-242.2617,-209.5176
-240.8240,-210.9071
-239.3666,-212.2761
-237.9091,-213.6450
-236.4406,-215.0022
-234.9686,-216.3555
-233.4943,-217.7063
-232.0128,-219.0493
-230.5312,-220.3922
-229.0441,-221.7290
-227.5547,-223.0632
-226.0640,-224.3961
-224.5681,-225.7230
-223.0721,-227.0499
-221.5722,-228.3724
-220.0704,-229.6928
-218.5679,-231.0123
-217.0612,-232.3271
-215.5545,-233.6419
-214.0453,-234.9538
-212.5346,-236.2640
-211.0235,-237.5737
-209.5094,-238.8800
-207.9953,-240.1862
-206.4793,-241.4903
-204.9622,-242.7932
-203.4448,-244.0956
-201.9251,-245.3954
-200.4054,-246.6951
-198.8843,-247.9933
-197.3623,-249.2904
-195.8402,-250.5873
-194.3163,-251.8823
-192.7924,-253.1772
-191.2675,-254.4709
-189.7420,-255.7638
-188.2163,-257.0566
-186.6895,-258.3481
-185.1627,-259.6396
-183.6354,-260.9305
-182.1078,-262.2210
-180.5801,-263.5115
-179.0521,-264.8016
-177.5242,-266.0917
-175.9963,-267.3820
-174.4686,-268.6724
-172.9410,-269.9630
-171.4145,-271.2548
-169.8880,-272.5467
-168.3634,-273.8408
-166.8400,-275.1363
-165.3176,-276.4330
-163.8009,-277.7364
-162.2842,-279.0399
-160.7808,-280.3584
-159.2830,-281.6835
-157.7860,-283.0092
-156.2901,-284.3358
-154.7942,-285.6624
-153.2942,-286.9842
-151.7926,-288.3042
-150.2912,-289.6244
-148.7904,-290.9453
-147.2896,-292.2662
-145.7895,-293.5879
-144.2897,-294.9099
-142.7907,-296.2328
-141.2947,-297.5589
-139.7987,-298.8850
-138.3051,-300.2135
-136.8123,-301.5427
-135.3197,-302.8723
-133.8279,-304.2027
-132.3361,-305.5331
-130.8455,-306.8648
-129.3553,-308.1969
-127.8655,-309.5296
-126.3772,-310.8639
-124.8888,-312.1981
-123.4024,-313.5345
-121.9167,-314.8716
-120.4370,-316.2154
-118.9742,-317.5779
-117.5113,-318.9404
-116.0548,-320.3096
-114.5989,-321.6794
-113.1445,-323.0507
-111.6922,-324.4240
-110.2398,-325.7973
-108.7902,-327.1733
-107.3407,-328.5495
-105.8924,-329.9268
-104.4456,-331.3056
-102.9988,-332.6844
-101.5542,-334.0652
-100.1096,-335.4462
-98.6659,-336.8280
-97.2233,-338.2107
-95.7806,-339.5934
-94.3391,-340.9773
-92.8976,-342.3611
-91.4566,-343.7453
-90.0160,-345.1299
-88.5754,-346.5145
-87.1351,-347.8994
-85.6949,-349.2842
-84.2547,-350.6690
-82.8145,-352.0537
-81.3742,-353.4385
-79.9337,-354.8228
-78.4931,-356.2071
-77.0523,-357.5911
-75.6111,-358.9746
-74.1699,-360.3582
-72.7280,-361.7409
-71.2860,-363.1236
-69.8435,-364.5057
-68.4003,-365.8872
-66.9572,-367.2687
-65.5129,-368.6488
-64.0684,-370.0290
-62.6233,-371.4083
-61.1772,-372.7867
-59.7312,-374.1652
-58.2831,-375.5416
-56.8349,-376.9178
-55.3853,-378.2927
-53.9338,-379.6656
-52.4823,-381.0386
-51.0248,-382.4051
-49.5666,-383.7710
-48.1033,-385.1312
-46.6334,-386.4842
-45.1635,-387.8372
-43.6748,-389.1695
-42.1846,-390.5002
-40.6839,-391.8188
-39.1660,-393.1178
-37.6481,-394.4167
-36.1044,-395.6848
-34.5537,-396.9447
-32.9967,-398.1964
-31.4084,-399.4086
-29.8201,-400.6208
-28.2103,-401.8040
-26.5802,-402.9598
-24.9502,-404.1156
-23.2842,-405.2184
-21.6031,-406.2990
-19.9220,-407.3795
-18.1908,-408.3780
-16.4567,-409.3717
-14.7151,-410.3513
-12.9240,-411.2389
-11.1329,-412.1264
-9.3255,-412.9778
-7.4727,-413.7291
-5.6200,-414.4803
-3.7613,-415.2145
-1.8434,-415.7800
0.0746,-416.3455
1.9925,-416.9109
3.9534,-417.2897
5.9265,-417.6158
7.8995,-417.9420
9.8816,-418.1628
11.8815,-418.1741
13.8814,-418.1854
15.8813,-418.1967
17.8644,-418.0030
19.8360,-417.6677
21.8076,-417.3324
23.7766,-416.9866
25.6843,-416.3865
27.5919,-415.7865
29.4996,-415.1864
31.3281,-414.3788
33.1510,-413.5567
34.9740,-412.7346
36.7024,-411.7297
38.4277,-410.7188
40.1422,-409.6911
41.7636,-408.5208
43.3850,-407.3505
44.9749,-406.1400
46.4959,-404.8420
48.0169,-403.5440
49.4683,-402.1705
50.8834,-400.7578
52.2986,-399.3452
53.6252,-397.8494
54.9468,-396.3489
56.2390,-394.8240
57.4716,-393.2496
58.7042,-391.6752
59.8822,-390.0603
61.0341,-388.4259
62.1843,-386.7905
63.2718,-385.1125
64.3592,-383.4346
65.4331,-381.7481
66.4872,-380.0492
67.5414,-378.3502
68.5782,-376.6406
69.6118,-374.9290
70.6409,-373.2147
71.6592,-371.4940
72.6776,-369.7733
73.6867,-368.0473
74.6928,-366.3194
75.6967,-364.5903
76.6927,-362.8566
77.6888,-361.1229
78.6782,-359.3855
79.6647,-357.6464
80.6501,-355.9067
81.6304,-354.1640
82.6107,-352.4214
83.6058,-350.6869
84.6062,-348.9552
85.6060,-347.2233
86.6046,-345.4906
87.6032,-343.7580
88.5997,-342.0240
89.5955,-340.2898
90.5906,-338.5551
91.5836,-336.8192
92.5766,-335.0833
93.5673,-333.3461
94.5574,-331.6086
95.5464,-329.8705
96.5329,-328.1309
97.5194,-326.3913
98.5031,-324.6501
99.4860,-322.9085
100.4674,-321.1661
101.4453,-319.4216
102.4231,-317.6772
103.3920,-315.9300
104.3582,-314.1820
105.3227,-312.4333
106.2814,-310.6822
107.2400,-308.9312
107.9312,-307.0652
108.5262,-305.1580
109.1213,-303.2508
109.6873,-301.3353
110.1494,-299.3902
110.6115,-297.4452
111.0736,-295.5002
111.5356,-293.5551
111.9976,-291.6100
112.4596,-289.6650
112.9217,-287.7199
113.3838,-285.7748
113.8459,-283.8297
114.3081,-281.8847
114.7703,-279.9396
115.2326,-277.9945
115.6949,-276.0495
116.1573,-274.1044
116.6197,-272.1594
117.0823,-270.2144
117.5448,-268.2693
118.0075,-266.3243
118.4701,-264.3793
118.9329,-262.4342
119.3957,-260.4893
119.8586,-258.5443
120.3215,-256.5993
120.7845,-254.6543
121.2465,-252.7091
121.7051,-250.7630
122.1637,-248.8169
122.6173,-246.8695
123.0688,-244.9217
123.5191,-242.9735
123.9637,-241.0240
124.4083,-239.0745
124.8478,-237.1238
125.2848,-235.1725
125.7211,-233.2210
126.1534,-231.2686
126.5857,-229.3162
127.0144,-227.3630
127.4412,-225.4093
127.8674,-223.4555
128.2892,-221.5008
128.7110,-219.5460
129.1309,-217.5908
129.5498,-215.6354
129.9682,-213.6799
130.3830,-211.7235
130.7977,-209.7672
131.2102,-207.8104
131.6214,-205.8533
132.0324,-203.8961
132.4411,-201.9385
132.8499,-199.9809
133.2567,-198.0229
133.6623,-196.0646
134.0676,-194.1062
134.4708,-192.1474
134.8740,-190.1887
135.2755,-188.2295
135.6759,-186.2702
136.0762,-184.3107
136.4750,-182.3510
136.8737,-180.3913
137.2707,-178.4312
137.6664,-176.4709
138.0621,-174.5106
138.4570,-172.5500
138.8519,-170.5895
139.2450,-168.6287
139.6367,-166.6675
140.0284,-164.7064
140.4193,-162.7451
140.8103,-160.7838
141.1999,-158.8222
141.5885,-156.8604
141.9770,-154.8986
142.3645,-152.9366
142.7519,-150.9746
143.1384,-149.0124
143.5241,-147.0501
143.9097,-145.0877
144.2939,-143.1251
144.6782,-141.1624
145.0616,-139.1996
145.4442,-137.2367
145.8268,-135.2737
146.2085,-133.3106
146.5903,-131.3474
146.9709,-129.3841
147.3507,-127.4206
147.7305,-125.4571
148.1098,-123.4935
148.4891,-121.5299
148.8672,-119.5661
149.2445,-117.6021
149.6217,-115.6381
149.9987,-113.6740
150.3756,-111.7100
150.7515,-109.7457
151.1264,-107.7813
151.5013,-105.8169
151.8759,-103.8524
152.2504,-101.8878
152.6240,-99.9232
152.9970,-97.9584
153.3699,-95.9936
153.7422,-94.0286
154.1144,-92.0637
154.4860,-90.0986
154.8571,-88.1335
155.2281,-86.1683
155.5982,-84.2029
155.9682,-82.2376
156.3379,-80.2722
156.7071,-78.3067
157.0763,-76.3412
157.4443,-74.3755
157.8123,-72.4097
158.1799,-70.4440
158.5473,-68.4781
158.9146,-66.5123
159.2807,-64.5462
159.6469,-62.5802
160.0127,-60.6140
160.3782,-58.6479
160.7436,-56.6817
161.1080,-54.7153
161.4724,-52.7490
161.8364,-50.7825
162.2000,-48.8160
162.5636,-46.8495
162.9263,-44.8829
163.2889,-42.9162
163.6512,-40.9494
164.0130,-38.9826
164.3748,-37.0158
164.7356,-35.0488
165.0964,-33.0819
165.4569,-31.1148
165.8171,-29.1477
166.1772,-27.1807
166.5362,-25.2134
166.8952,-23.2461
167.2540,-21.2788
167.6125,-19.3114
167.9709,-17.3441
168.3282,-15.3765
168.6854,-13.4090
169.0423,-11.4414
169.3990,-9.4737
169.7557,-7.5061
170.1112,-5.5383
170.4667,-3.5705
170.8219,-1.6026
171.1766,0.3653
171.5313,2.3333
171.8851,4.3013
172.2389,6.2694
172.5921,8.2375
172.9449,10.2057
173.2976,12.1739
173.6496,14.1421
174.0016,16.1104
174.3529,18.0788
174.7035,20.0472
175.0541,22.0156
175.4041,23.9841
175.7542,25.9526
176.1033,27.9212
176.4518,29.8899
176.8002,31.8585
177.1493,33.8270
177.4984,35.7954
177.8480,37.7638
178.1981,39.7320
178.5483,41.7002
178.9024,43.6676
179.2565,45.6350
179.6116,47.6023
179.9674,49.5693
180.3235,51.5364
180.6832,53.5027
181.0428,55.4690
181.4037,57.4350
181.7656,59.4009
182.1277,61.3667
182.4915,63.3322
182.8552,65.2976
183.2210,67.2627
183.5882,69.2274
183.9556,71.1921
184.3242,73.1565
184.6929,75.1209
185.0626,77.0851
185.4333,79.0491
185.8041,81.0131
186.1769,82.9766
186.5497,84.9400
186.9232,86.9034
187.2971,88.8666
187.6713,90.8298
188.0469,92.7927
188.4226,94.7555
188.7990,96.7182
189.1760,98.6807
189.5530,100.6433
189.9307,102.6056
190.3084,104.5679
190.6868,106.5301
191.0656,108.4922
191.4445,110.4542
191.8238,112.4161
192.2031,114.3780
192.5826,116.3398
192.9623,118.3016
193.3419,120.2634
193.7219,122.2250
194.1019,124.1867
194.4817,126.1483
194.8614,128.1099
195.2411,130.0715
195.6205,132.0332
196.0000,133.9948
196.3791,135.9565
196.7581,137.9182
197.1369,139.8798
197.5146,141.8417
197.8922,143.8035
198.2692,145.7654
198.6458,147.7274
199.0222,149.6895
199.3975,151.6517
199.7728,153.6138
200.1466,155.5763
200.5197,157.5388
200.8924,159.5014
201.2629,161.4644
201.6334,163.4274
202.0023,165.3906
202.3703,167.3540
202.7380,169.3174
203.1031,171.2813
203.4683,173.2451
203.8309,175.2095
204.1918,177.1740
204.5522,179.1387
204.9085,181.1041
205.2647,183.0695
205.6182,185.0353
205.9698,187.0015
206.3209,188.9677
206.6671,190.9348
207.0133,192.9019
207.3560,194.8695
207.6961,196.8376
208.0357,198.8058
208.3682,200.7751
208.7006,202.7445
209.0282,204.7146
209.3520,206.6853
209.6755,208.6561
209.9896,210.6284
210.3037,212.6007
210.6123,214.5738
210.9156,216.5477
211.2189,218.5216
211.5102,220.4973
211.8011,222.4731
212.0858,224.4497
212.3624,226.4275
212.6391,228.4052
212.9008,230.3850
213.1609,232.3650
213.4140,234.3459
213.6549,236.3283
213.8958,238.3107
214.1222,240.2949
214.3454,242.2794
214.5651,244.2643
214.7760,246.2502
214.9869,248.2361
215.1887,250.2231
215.3875,252.2103
215.5831,254.1979
215.7669,256.1867
