x,z
-397.3691,-196.2786
-397.0724,-194.3005
-396.7756,-192.3225
-396.4790,-190.3444
-396.1825,-188.3663
-395.8860,-186.3882
-395.5894,-184.4101
-395.2927,-182.4321
-394.9960,-180.4540
-394.6990,-178.4760
-394.4019,-176.4980
-394.1044,-174.5200
-393.8069,-172.5421
-393.5089,-170.5642
-393.2110,-168.5863
-392.9128,-166.6085
-392.6145,-164.6307
-392.3160,-162.6529
-392.0176,-160.6751
-391.7191,-158.6973
-391.4206,-156.7195
-391.1221,-154.7417
-390.8235,-152.7639
-390.5249,-150.7861
-390.2263,-148.8083
-389.9276,-146.8306
-389.6289,-144.8528
-389.3302,-142.8751
-389.0315,-140.8973
-388.7330,-138.9195
-388.4345,-136.9417
-388.1364,-134.9639
-387.8382,-132.9860
-387.5403,-131.0081
-387.2425,-129.0302
-386.9449,-127.0523
-386.6474,-125.0744
-386.3500,-123.0964
-386.0526,-121.1185
-385.7551,-119.1405
-385.4577,-117.1625
-385.1603,-115.1846
-384.8629,-113.2066
-384.5652,-111.2287
-384.2676,-109.2508
-383.9693,-107.2730
-383.6710,-105.2951
-383.3724,-103.3174
-383.0739,-101.3396
-382.7760,-99.3617
-382.4781,-97.3838
-382.1814,-95.4057
-381.8848,-93.4277
-381.5889,-91.4495
-381.2929,-89.4713
-380.9972,-87.4931
-380.7015,-85.5149
-380.4054,-83.5367
-380.1092,-81.5586
-379.8119,-79.5806
-379.5145,-77.6026
-379.2171,-75.6247
-378.9198,-73.6467
-378.6259,-71.6682
-378.3321,-69.6897
-378.0442,-67.7104
-377.7563,-65.7310
-377.4742,-63.7508
-377.1922,-61.7706
-376.9160,-59.7896
-376.6400,-57.8085
-376.3720,-55.8263
-376.1043,-53.8441
-375.8495,-51.8603
-375.5947,-49.8764
-375.3442,-47.8919
-375.0938,-45.9075
-374.8488,-43.9223
-374.6039,-41.9372
-374.3640,-39.9514
-374.1243,-37.9656
-373.8874,-35.9795
-373.6505,-33.9934
-373.4158,-32.0070
-373.1811,-30.0207
-372.9488,-28.0340
-372.7166,-26.0473
-372.4862,-24.0605
-372.2558,-22.0736
-372.0279,-20.0864
-371.8001,-18.0992
-371.5761,-16.1116
-371.3523,-14.1240
-371.1313,-12.1361
-370.9103,-10.1481
-370.6914,-8.1599
-370.4725,-6.1718
-370.2535,-4.1836
-370.0345,-2.1954
-369.8151,-0.2073
-369.5958,1.7808
-369.3767,3.7690
-369.1576,5.7571
-368.9389,7.7454
-368.7202,9.7336
-368.5015,11.7218
-368.2827,13.7099
-368.0634,15.6981
-367.8441,17.6862
-367.6241,19.6743
-367.4040,21.6623
-367.1817,23.6501
-366.9595,25.6379
-366.7403,27.6261
-366.5211,29.6142
-366.3031,31.6025
-366.0851,33.5908
-365.8680,35.5791
-365.6503,37.5675
-365.4210,39.5545
-365.1898,41.5412
-364.9134,43.5222
-364.6354,45.5030
-364.3191,47.4780
-364.0021,49.4529
-363.6705,51.4254
-363.3378,53.3978
-362.9820,55.3661
-362.6237,57.3339
-362.2081,59.2904
-361.7810,61.2437
-361.0980,63.1236
-360.3929,64.9922
-359.2601,66.6407
-358.1111,68.2755
-356.6832,69.6762
-355.2484,71.0692
-353.6973,72.3319
-352.1421,73.5895
-350.5206,74.7606
-348.8968,75.9283
-347.2327,77.0380
-345.5659,78.1436
-343.8566,79.1823
-342.1468,80.2201
-340.4291,81.2450
-338.7122,82.2712
-337.0070,83.3167
-335.3008,84.3603
-333.5771,85.3751
-331.8527,86.3884
-330.1158,87.3803
-328.3792,88.3726
-326.6458,89.3706
-324.9129,90.3694
-323.1863,91.3791
-321.4598,92.3889
-319.7332,93.3985
-318.0066,94.4082
