x,z
-397.3686,-196.2751
-397.0718,-194.2968
-396.7750,-192.3186
-396.4785,-190.3404
-396.1819,-188.3621
-395.8853,-186.3838
-395.5887,-184.4056
-395.2920,-182.4273
-394.9953,-180.4491
-394.6982,-178.4709
-394.4012,-176.4927
-394.1036,-174.5146
-393.8061,-172.5365
-393.5081,-170.5584
-393.2101,-168.5804
-392.9118,-166.6024
-392.6136,-164.6244
-392.3151,-162.6464
-392.0166,-160.6684
-391.7181,-158.6905
-391.4196,-156.7125
-391.1210,-154.7345
-390.8225,-152.7566
-390.5238,-150.7786
-390.2252,-148.8007
-389.9265,-146.8227
-389.6277,-144.8448
-389.3290,-142.8669
-389.0303,-140.8889
-388.7318,-138.9110
-388.4333,-136.9330
-388.1350,-134.9550
-387.8369,-132.9770
-387.5390,-130.9989
-387.2411,-129.0208
-386.9435,-127.0427
-386.6459,-125.0646
-386.3485,-123.0865
-386.0511,-121.1084
-385.7536,-119.1302
-385.4562,-117.1521
-385.1587,-115.1740
-384.8612,-113.1958
-384.5636,-111.2177
-384.2659,-109.2396
-383.9676,-107.2616
-383.6693,-105.2836
-383.3707,-103.3057
-383.0721,-101.3277
-382.7742,-99.3497
-382.4763,-97.3716
-382.1796,-95.3934
-381.8829,-93.4151
-381.5870,-91.4368
-381.2910,-89.4584
-380.9953,-87.4800
-380.6996,-85.5016
-380.4035,-83.5233
-380.1073,-81.5450
-379.8099,-79.5668
-379.5125,-77.5887
-379.2149,-75.6106
-378.9174,-73.6325
-378.6233,-71.6538
-378.3293,-69.6752
-378.0413,-67.6957
-377.7534,-65.7161
-377.4712,-63.7358
-377.1890,-61.7554
-376.9127,-59.7742
-376.6366,-57.7930
-376.3688,-55.8106
-376.1014,-53.8282
-375.8471,-51.8441
-375.5929,-49.8599
-375.3425,-47.8753
-375.0922,-45.8906
-374.8473,-43.9053
-374.6026,-41.9200
-374.3626,-39.9341
-374.1227,-37.9481
-373.8857,-35.9619
-373.6488,-33.9756
-373.4141,-31.9890
-373.1795,-30.0025
-372.9471,-28.0156
-372.7148,-26.0288
-372.4844,-24.0417
-372.2540,-22.0547
-372.0262,-20.0673
-371.7984,-18.0800
-371.5743,-16.0922
-371.3503,-14.1044
-371.1292,-12.1163
-370.9082,-10.1282
-370.6892,-8.1398
-370.4702,-6.1515
-370.2513,-4.1631
-370.0323,-2.1748
-369.8129,-0.1865
-369.5935,1.8018
-369.3744,3.7901
-369.1552,5.7785
-368.9366,7.7668
-368.7179,9.7552
-368.4991,11.7436
-368.2803,13.7320
-368.0609,15.7203
-367.8416,17.7086
-367.6215,19.6968
-367.4013,21.6850
-367.1791,23.6730
-366.9571,25.6610
-366.7378,27.6493
-366.5186,29.6376
-366.3005,31.6261
-366.0824,33.6145
-365.8655,35.6031
-365.6480,37.5916
-365.4194,39.5789
-365.1884,41.5658
-364.9118,43.5470
-364.6332,45.5278
-364.3160,47.5029
-363.9981,49.4778
-363.6667,51.4505
-363.3339,53.4230
-362.9777,55.3914
-362.6180,57.3591
-362.1978,59.3149
-361.7644,61.2669
-361.1046,63.1553
-360.4155,65.0286
-359.2615,66.6626
-358.0905,68.2821
-356.6700,69.6904
-355.2406,71.0889
-353.6840,72.3453
-352.1232,73.5961
-350.5023,74.7683
-348.8784,75.9363
-347.2136,77.0452
-345.5458,78.1494
-343.8375,79.1902
-342.1287,80.2300
-340.4119,81.2568
-338.6958,82.2846
-336.9890,83.3277
-335.2809,84.3688
-333.5573,85.3840
-331.8329,86.3977
-330.0964,87.3906
-328.3602,88.3840
-326.6269,89.3825
-324.8941,90.3818
-323.1671,91.3911
-321.4401,92.4005
-319.7133,93.4103
-317.9865,94.4200
-316.2593,95.4289
-314.5319,96.4375
-312.8028,97.4433
-311.0736,98.4488
-309.3431,99.4522
-307.6126,100.4556
-305.8829,101.4602
-304.1532,102.4649
-302.4238,103.4702
-300.6945,104.4755
-298.9656,105.4817
-297.2366,106.4876
-295.5047,107.4885
-293.7732,108.4901
-292.0464,109.4999
-290.3199,110.5099
-288.5951,111.5231
-286.8704,112.5363
-285.1456,113.5494
-283.4209,114.5626
-281.6961,115.5758
-279.9714,116.5890
-278.2469,117.6025
-276.5223,118.6160
-274.7978,119.6296
-273.0732,120.6430
-271.3475,121.6545
-269.6215,122.6655
-267.8918,123.6701
-266.1614,124.6735
-264.4237,125.6642
-262.6849,126.6528
-260.9342,127.6203
-259.1820,128.5850
-257.4149,129.5220
-255.6461,130.4558
-253.8609,131.3580
-252.0744,132.2572
