x,z
-397.3684,-196.2733
-397.0716,-194.2949
-396.7747,-192.3166
-396.4781,-190.3382
-396.1815,-188.3598
-395.8849,-186.3814
-395.5884,-184.4030
-395.2916,-182.4247
-394.9948,-180.4463
-394.6978,-178.4680
-394.4007,-176.4897
-394.1031,-174.5114
-393.8056,-172.5332
-393.5076,-170.5550
-393.2096,-168.5768
-392.9113,-166.5987
-392.6129,-164.6206
-392.3145,-162.6425
-392.0161,-160.6644
-391.7175,-158.6863
-391.4189,-156.7082
-391.1204,-154.7301
-390.8218,-152.7520
-390.5231,-150.7739
-390.2244,-148.7959
-389.9257,-146.8178
-389.6270,-144.8397
-389.3282,-142.8616
-389.0295,-140.8836
-388.7309,-138.9055
-388.4324,-136.9274
-388.1342,-134.9492
-387.8360,-132.9711
-387.5381,-130.9929
-387.2402,-129.0147
-386.9426,-127.0365
-386.6450,-125.0582
-386.3475,-123.0800
-386.0500,-121.1017
-385.7526,-119.1235
-385.4551,-117.1452
-385.1577,-115.1670
-384.8602,-113.1887
-384.5625,-111.2105
-384.2648,-109.2323
-383.9665,-107.2541
-383.6682,-105.2760
-383.3696,-103.2979
-383.0709,-101.3198
-382.7730,-99.3417
-382.4751,-97.3635
-382.1783,-95.3851
-381.8816,-93.4067
-381.5857,-91.4282
-381.2897,-89.4498
-380.9940,-87.4712
-380.6983,-85.4927
-380.4022,-83.5143
-380.1061,-81.5358
-379.8086,-79.5575
-379.5111,-77.5793
-379.2133,-75.6011
-378.9154,-73.6229
-378.6215,-71.6441
-378.3275,-69.6653
-378.0398,-67.6856
-377.7521,-65.7059
-377.4702,-63.7254
-377.1883,-61.7449
-376.9124,-59.7635
-376.6365,-57.7821
-376.3691,-55.7995
-376.1018,-53.8170
-375.8467,-51.8328
-375.5918,-49.8486
-375.3415,-47.8639
-375.0912,-45.8791
-374.8463,-43.8936
-374.6015,-41.9082
-374.3615,-39.9221
-374.1214,-37.9361
-373.8844,-35.9497
-373.6474,-33.9633
-373.4127,-31.9766
-373.1779,-29.9899
-372.9456,-28.0030
-372.7132,-26.0160
-372.4828,-24.0288
-372.2525,-22.0416
-372.0247,-20.0541
-371.7969,-18.0667
-371.5728,-16.0788
-371.3488,-14.0908
-371.1277,-12.1026
-370.9067,-10.1143
-370.6877,-8.1259
-370.4687,-6.1374
-370.2497,-4.1489
-370.0306,-2.1605
-369.8113,-0.1720
-369.5919,1.8164
-369.3727,3.8049
-369.1536,5.7933
-368.9349,7.7818
-368.7162,9.7703
-368.4974,11.7588
-368.2786,13.7473
-368.0593,15.7358
-367.8400,17.7242
-367.6199,19.7126
-367.3998,21.7009
-367.1772,23.6890
-366.9546,25.6771
-366.7356,27.6655
-366.5167,29.6540
-366.2985,31.6426
-366.0802,33.6311
-365.8639,35.6199
-365.6477,37.6087
-365.4204,39.5962
-365.1931,41.5838
-364.9144,43.5647
-364.6352,45.5456
-364.3157,47.5205
-363.9957,49.4952
-363.6645,51.4681
-363.3333,53.4410
-362.9756,55.4092
-362.6176,57.3774
-362.1902,59.3317
-361.7619,61.2859
-361.0724,63.1635
-360.3796,65.0402
-359.2271,66.6748
-358.0714,68.3077
-356.6438,69.7090
-355.2159,71.1101
-353.6593,72.3666
-352.1026,73.6230
-350.4794,74.7923
-348.8562,75.9616
-347.1891,77.0673
-345.5219,78.1729
-343.8118,79.2109
-342.1017,80.2488
-340.3838,81.2739
-338.6659,82.2990
-336.9601,83.3441
-335.2543,84.3892
-333.5295,85.4025
-331.8046,86.4157
-330.0676,87.4080
-328.3306,88.4003
-326.5976,89.3996
-324.8646,90.3988
-323.1376,91.4083
-321.4106,92.4179
-319.6837,93.4277
-317.9568,94.4375
-316.2294,95.4463
-314.5019,96.4551
-312.7725,97.4607
-311.0432,98.4662
-309.3127,99.4698
-307.5821,100.4733
-305.8522,101.4780
-304.1224,102.4827
-302.3930,103.4882
-300.6636,104.4937
-298.9344,105.4995
-297.2052,106.5053
-295.4735,107.5069
-293.7418,108.5084
-292.0151,109.5185
-290.2885,110.5287
-288.5635,111.5418
-286.8386,112.5550
-285.1137,113.5682
-283.3889,114.5814
-281.6640,115.5947
-279.9392,116.6079
-278.2145,117.6215
-276.4898,118.6350
-274.7652,119.6486
-273.0406,120.6622
-271.3146,121.6735
-269.5887,122.6849
-267.8585,123.6890
-266.1283,124.6930
-264.3898,125.6825
-262.6513,126.6720
-260.8996,127.6379
-259.1479,128.6037
-257.3796,129.5389
-255.6113,130.4740
-253.8251,131.3744
-252.0389,132.2746
-250.2375,133.1442
-248.4361,134.0137
-246.6243,134.8613
-244.8124,135.7088
-242.9897,136.5329
-241.1670,137.3568
-239.3339,138.1575
-237.5008,138.9581
-235.6577,139.7352
-233.8145,140.5121
-231.9617,141.2649
-230.1087,142.0176
-228.2462,142.7468
-226.3836,143.4759
-224.5110,144.1790
-222.6383,144.8819
-220.7552,145.5563
-218.8720,146.2306
-216.9798,146.8788
-215.0875,147.5269
-213.1856,148.1462
