x,z
-204.6335,148.3136
-206.3273,149.3775
-208.0211,150.4412
-209.7149,151.5050
-211.4088,152.5686
-213.1027,153.6322
-214.7967,154.6958
-216.4907,155.7593
-218.1847,156.8227
-219.8787,157.8861
-221.5728,158.9495
-223.2669,160.0128
-224.9609,161.0762
-226.6550,162.1396
-228.3491,163.2029
-230.0432,164.2662
-231.7374,165.3294
-233.4315,166.3927
-235.1257,167.4559
-236.8199,168.5190
-238.5141,169.5822
-240.2083,170.6453
-241.9025,171.7085
-243.5967,172.7716
-245.2909,173.8347
-246.9851,174.8978
-248.6793,175.9610
-250.3735,177.0242
-252.0677,178.0873
-253.7619,179.1505
-255.4561,180.2138
-257.1502,181.2770
-258.8443,182.3402
-260.5385,183.4035
-262.2325,184.4669
-263.9266,185.5302
-265.6206,186.5937
-267.3145,187.6573
-269.0082,188.7212
-270.7018,189.7854
-272.3948,190.8504
-274.0876,191.9158
-275.7798,192.9822
-277.4718,194.0488
-279.1637,195.1157
-280.8555,196.1826
-282.5473,197.2496
-284.2391,198.3165
-285.9309,199.3835
-287.6228,200.4504
-289.3146,201.5173
-291.0065,202.5842
-292.6983,203.6510
-294.3902,204.7179
-296.0821,205.7847
-297.7740,206.8515
-299.4660,207.9182
-301.1579,208.9850
-302.8499,210.0516
-304.5419,211.1183
-306.2339,212.1849
-307.9260,213.2515
-309.6180,214.3181
-311.3100,215.3847
-313.0021,216.4512
-314.6943,217.5176
-316.3864,218.5840
-318.0786,219.6504
-319.7708,220.7167
-321.4631,221.7829
-323.1554,222.8490
-324.8478,223.9151
-326.5403,224.9810
-328.2327,226.0469
-329.9253,227.1127
-331.6179,228.1784
-333.3105,229.2440
-335.0032,230.3096
-336.6960,231.3749
-338.3889,232.4401
-340.0822,233.5048
-341.7755,234.5694
-343.4691,235.6334
-345.1629,236.6973
-346.8571,237.7604
-348.5514,238.8234
-350.2460,239.8858
-351.9409,240.9480
-353.6362,242.0092
-355.3317,243.0703
-357.0281,244.1299
-358.7247,245.1892
-360.4226,246.2464
-362.1208,247.3032
-363.8207,248.3571
-365.5222,249.4085
-367.2310,250.4480
-368.9485,251.4724
-370.7080,252.4234
-372.4728,253.3644
-374.2626,254.2572
-376.0566,255.1414
-377.8708,255.9836
-379.6896,256.8153
-381.5314,257.5954
-383.3789,258.3611
-385.2545,259.0559
-387.1345,259.7380
-389.0361,260.3575
-390.9411,260.9664
-392.8622,261.5226
-394.7860,262.0688
-396.7234,262.5652
-398.6629,263.0526
-400.6133,263.4954
-402.5653,263.9301
-404.5259,264.3252
-406.4878,264.7130
-408.4567,265.0647
-410.4266,265.4098
-412.4021,265.7220
-414.3785,266.0281
-416.3594,266.3042
-418.3410,266.5747
-420.3262,266.8177
-422.3121,267.0554
-424.3010,267.2667
-426.2905,267.4716
-428.2831,267.6445
-430.2763,267.8094
-432.2725,267.9349
-434.2690,268.0528
-436.2675,268.1335
-438.2661,268.2077
-440.2658,268.2500
-442.2655,268.2869
-444.2656,268.2971
-446.2657,268.3029
-448.2658,268.2862
-450.2658,268.2655
-452.2656,268.2256
-454.2652,268.1822
-456.2645,268.1220
-458.2636,268.0588
-460.2622,267.9807
-462.2607,267.9000
-464.2586,267.8062
-466.2564,267.7101
-468.2536,267.6025
-470.2507,267.4931
-472.2473,267.3736
-474.2438,267.2524
-476.2397,267.1224
-478.2355,266.9910
-480.2308,266.8521
-482.2261,266.7119
-484.2208,266.5655
-486.2155,266.4181
-488.2099,266.2657
-490.2041,266.1125
-492.1981,265.9557
-494.1921,265.7986
-496.1859,265.6398
-498.1797,265.4811
-500.1736,265.3229
-502.1675,265.1649
-504.1615,265.0080
-506.1555,264.8511
-508.1495,264.6945
-510.1435,264.5379
-512.1375,264.3813
-514.1315,264.2245
-516.1254,264.0677
-518.1194,263.9107
