x,z
-204.6348,148.3145
-206.3284,149.3782
-208.0221,150.4418
-209.7158,151.5055
-211.4095,152.5690
-213.1033,153.6325
-214.7971,154.6959
-216.4909,155.7593
-218.1848,156.8227
-219.8786,157.8860
-221.5725,158.9493
-223.2664,160.0125
-224.9603,161.0758
-226.6542,162.1391
-228.3482,163.2023
-230.0421,164.2655
-231.7361,165.3287
-233.4300,166.3918
-235.1241,167.4549
-236.8181,168.5180
-238.5121,169.5810
-240.2062,170.6441
-241.9002,171.7071
-243.5943,172.7701
-245.2883,173.8331
-246.9824,174.8962
-248.6764,175.9592
-250.3704,177.0223
-252.0645,178.0854
-253.7585,179.1485
-255.4525,180.2116
-257.1465,181.2747
-258.8404,182.3378
-260.5344,183.4010
-262.2283,184.4643
-263.9222,185.5275
-265.6161,186.5909
-267.3099,187.6543
-269.0036,188.7179
-270.6972,189.7816
-272.3906,190.8456
-274.0839,191.9099
-275.7767,192.9749
-277.4694,194.0401
-279.1615,195.1062
-280.8535,196.1725
-282.5449,197.2398
-284.2362,198.3072
-285.9270,199.3753
-287.6178,200.4436
-289.3082,201.5124
-290.9985,202.5813
-292.6887,203.6505
-294.3788,204.7198
-296.0688,205.7892
-297.7589,206.8586
-299.4489,207.9280
-301.1389,208.9974
-302.8291,210.0666
-304.5193,211.1357
-306.2098,212.2044
-307.9003,213.2730
-309.5912,214.3412
-311.2821,215.4092
-312.9734,216.4765
-314.6648,217.5437
-316.3568,218.6101
-318.0489,219.6763
-319.7415,220.7414
-321.4344,221.8064
-323.1280,222.8702
-324.8217,223.9337
-326.5162,224.9960
-328.2109,226.0580
-329.9065,227.1186
-331.6022,228.1790
-333.2988,229.2379
-334.9957,230.2965
-336.6935,231.3534
-338.3916,232.4100
-340.0908,233.4648
-341.7903,234.5191
-343.4910,235.5714
-345.1920,236.6233
-346.8941,237.6733
-348.5964,238.7230
-350.2993,239.7719
-352.0021,240.8208
-353.7048,241.8699
-355.4074,242.9192
-357.1094,243.9694
-358.8114,245.0197
-360.5129,246.0707
-362.2144,247.1216
-363.9159,248.1727
-365.6173,249.2240
-367.3182,250.2758
-369.0191,251.3278
-370.7197,252.3803
-372.4204,253.4326
-374.1217,254.4838
-375.8234,255.5346
-377.5266,256.5827
-379.2304,257.6299
-380.9368,258.6729
-382.6438,259.7148
-384.3539,260.7517
-386.0645,261.7878
-387.7773,262.8201
-389.4907,263.8515
-391.2067,264.8785
-392.9234,265.9044
-394.6433,266.9248
-396.3641,267.9438
-398.0887,268.9563
-399.8142,269.9671
-401.5443,270.9702
-403.2754,271.9714
-405.0114,272.9643
-406.7483,273.9554
-408.4899,274.9383
-410.2324,275.9195
-411.9793,276.8929
-413.7271,277.8648
-415.4789,278.8293
-417.2314,279.7924
-418.9879,280.7484
-420.7451,281.7029
-422.5063,282.6502
-424.2685,283.5956
-426.0351,284.5326
-427.8029,285.4675
-429.5756,286.3929
-431.3495,287.3160
-433.1290,288.2283
-434.9098,289.1382
-436.6964,290.0364
-438.4843,290.9320
-440.2782,291.8157
-442.0733,292.6969
-443.8739,293.5668
-445.6757,294.4342
-447.4829,295.2903
-449.2913,296.1437
-451.1054,296.9852
-452.9208,297.8237
-454.7425,298.6486
-456.5656,299.4701
-458.3956,300.2763
-460.2269,301.0793
-462.0646,301.8677
-463.9038,302.6528
-465.7493,303.4226
-467.5964,304.1888
-469.4503,304.9381
-471.3059,305.6836
-473.1685,306.4111
-475.0327,307.1346
-476.9038,307.8399
-478.7764,308.5414
-480.6555,309.2254
-482.5359,309.9056
-484.4224,310.5688
-486.3103,311.2281
-488.2041,311.8699
-490.0993,312.5077
-492.0006,313.1272
-493.9033,313.7424
-495.8122,314.3380
-497.7224,314.9292
-499.6389,315.4999
-501.5567,316.0657
-503.4810,316.6096
-505.4066,317.1484
-507.3385,317.6643
-509.2717,318.1750
-511.2111,318.6620
-513.1517,319.1436
-515.0982,319.6014
-517.0458,320.0539
-518.9989,320.4823
-520.9532,320.9054
