x,z
208.6149,-362.4189
206.6149,-362.4137
204.6150,-362.4086
202.6150,-362.4035
200.6151,-362.3983
198.6151,-362.3932
196.6152,-362.3881
194.6152,-362.3830
192.6152,-362.3779
190.6153,-362.3727
188.6153,-362.3676
186.6154,-362.3625
184.6154,-362.3577
182.6155,-362.3563
180.6155,-362.3548
178.6155,-362.3533
176.6156,-362.3518
174.6156,-362.3504
172.6156,-362.3489
170.6157,-362.3474
168.6157,-362.3459
166.6158,-362.3445
164.6158,-362.3430
162.6158,-362.3415
160.6159,-362.3401
158.6159,-362.3386
156.6160,-362.3371
154.6160,-362.3356
152.6160,-362.3341
150.6161,-362.3327
148.6161,-362.3312
146.6161,-362.3297
144.6162,-362.3282
142.6162,-362.3268
140.6163,-362.3253
138.6163,-362.3238
136.6163,-362.3224
134.6164,-362.3209
132.6164,-362.3194
130.6164,-362.3179
128.6165,-362.3165
126.6165,-362.3150
124.6165,-362.3135
122.6166,-362.3120
120.6166,-362.3103
118.6167,-362.3086
116.6167,-362.3069
114.6167,-362.3051
112.6168,-362.3034
110.6168,-362.3016
108.6169,-362.2999
106.6169,-362.2982
104.6169,-362.2964
102.6170,-362.2947
100.6170,-362.2929
98.6170,-362.2912
96.6171,-362.2895
94.6171,-362.2877
92.6171,-362.2860
90.6172,-362.2842
88.6172,-362.2825
86.6173,-362.2808
84.6173,-362.2790
82.6173,-362.2773
80.6174,-362.2755
78.6174,-362.2738
76.6174,-362.2721
74.6175,-362.2703
72.6175,-362.2686
70.6176,-362.2668
68.6176,-362.2651
66.6176,-362.2634
64.6177,-362.2616
62.6177,-362.2599
60.6177,-362.2581
58.6178,-362.2552
56.6178,-362.2512
54.6179,-362.2471
52.6179,-362.2431
50.6179,-362.2391
48.6180,-362.2350
46.6180,-362.2310
44.6181,-362.2270
42.6181,-362.2229
40.6181,-362.2189
38.6182,-362.2149
36.6182,-362.2108
34.6183,-362.2068
32.6183,-362.2028
30.6183,-362.1988
28.6184,-362.1947
26.6184,-362.1907
24.6185,-362.1866
22.6185,-362.1826
20.6186,-362.1786
18.6186,-362.1746
16.6186,-362.1705
14.6187,-362.1665
12.6187,-362.1624
10.6188,-362.1584
8.6188,-362.1544
6.6188,-362.1504
4.6189,-362.1463
2.6189,-362.1423
0.6190,-362.1382
-1.3810,-362.1342
-3.3810,-362.1302
-5.3809,-362.1265
-7.3809,-362.1228
-9.3808,-362.1190
-11.3808,-362.1153
-13.3808,-362.1116
-15.3807,-362.1078
-17.3807,-362.1041
-19.3806,-362.1004
-21.3806,-362.0967
-23.3806,-362.0929
-25.3805,-362.0892
-27.3805,-362.0855
-29.3804,-362.0818
-31.3804,-362.0780
-33.3804,-362.0743
-35.3803,-362.0706
-37.3803,-362.0668
-39.3802,-362.0631
-41.3802,-362.0594
-43.3802,-362.0556
-45.3801,-362.0519
-47.3801,-362.0482
-49.3800,-362.0444
-51.3800,-362.0407
-53.3800,-362.0370
-55.3799,-362.0332
-57.3799,-362.0295
-59.3798,-362.0258
-61.3798,-362.0221
-63.3798,-362.0183
-65.3797,-362.0145
-67.3797,-362.0099
-69.3796,-362.0054
-71.3796,-362.0009
-73.3796,-361.9964
-75.3795,-361.9918
-77.3795,-361.9873
-79.3794,-361.9828
-81.3794,-361.9782
-83.3793,-361.9737
-85.3793,-361.9692
-87.3793,-361.9647
-89.3792,-361.9601
-91.3792,-361.9556
-93.3791,-361.9510
-95.3791,-361.9465
-97.3791,-361.9420
-99.3790,-361.9375
-101.3790,-361.9330
-103.3789,-361.9284
-105.3789,-361.9239
-107.3788,-361.9193
-109.3788,-361.9148
-111.3788,-361.9103
-113.3787,-361.9058
-115.3787,-361.9012
-117.3786,-361.8967
-119.3786,-361.8922
-121.3786,-361.8876
-123.3785,-361.8831
-125.3785,-361.8786
-127.3784,-361.8741
-129.3784,-361.8700
-131.3784,-361.8659
-133.3783,-361.8619
-135.3783,-361.8578
-137.3782,-361.8538
-139.3782,-361.8497
-141.3781,-361.8456
-143.3781,-361.8416
-145.3781,-361.8376
-147.3780,-361.8335
-149.3780,-361.8294
-151.3779,-361.8254
-153.3779,-361.8213
-155.3779,-361.8173
-157.3778,-361.8132
-159.3778,-361.8091
-161.3777,-361.8051
-163.3777,-361.8010
-165.3777,-361.7970
-167.3776,-361.7929
-169.3776,-361.7888
-171.3775,-361.7848
-173.3775,-361.7807
-175.3775,-361.7767
-177.3774,-361.7726
-179.3774,-361.7686
-181.3773,-361.7645
-183.3773,-361.7604
-185.3773,-361.7564
-187.3772,-361.7523
-189.3772,-361.7483
-191.3771,-361.7404
-193.3771,-361.7323
-195.3770,-361.7242
-197.3770,-361.7161
-199.3769,-361.7080
-201.3768,-361.6999
-203.3768,-361.6918
-205.3768,-361.6837
-207.3767,-361.6756
-209.3766,-361.6675
-211.3766,-361.6594
-213.3765,-361.6513
-215.3765,-361.6432
-217.3764,-361.6351
-219.3764,-361.6270
-221.3763,-361.6189
-223.3763,-361.6108
-225.3762,-361.6027
-227.3762,-361.5946
-229.3761,-361.5865
-231.3761,-361.5784
-233.3760,-361.5703
-235.3760,-361.5622
-237.3759,-361.5541
-239.3759,-361.5460
-241.3758,-361.5379
-243.3757,-361.5298
-245.3757,-361.5217
-247.3756,-361.5136
-249.3756,-361.5055
-251.3755,-361.4974
-253.3755,-361.4874
-255.3754,-361.4770
-257.3753,-361.4666
-259.3753,-361.4561
-261.3752,-361.4458
-263.3752,-361.4354
-265.3751,-361.4250
-267.3750,-361.4146
-269.3750,-361.4041
-271.3749,-361.3937
-273.3748,-361.3833
-275.3748,-361.3729
-277.3747,-361.3625
-279.3746,-361.3521
-281.3746,-361.3417
-283.3745,-361.3313
-285.3745,-361.3209
-287.3744,-361.3105
-289.3743,-361.3001
-291.3743,-361.2897
-293.3742,-361.2793
-295.3741,-361.2689
-297.3741,-361.2585
-299.3740,-361.2481
-301.3739,-361.2377
-303.3739,-361.2273
-305.3738,-361.2169
-307.3737,-361.2065
-309.3737,-361.1960
-311.3736,-361.1856
-313.3736,-361.1753
-315.3734,-361.1549
-317.3729,-361.1123
-319.3724,-361.0698
-321.3719,-361.0272
-323.3714,-360.9847
-325.3709,-360.9421
-327.3704,-360.8996
-329.3699,-360.8571
-331.3694,-360.8145
-333.3690,-360.7719
-335.3685,-360.7294
-337.3680,-360.6869
-339.3675,-360.6443
-341.3670,-360.6018
-343.3665,-360.5592
-345.3660,-360.5167
-347.3655,-360.4741
-349.3650,-360.4316
-351.3645,-360.3890
-353.3640,-360.3465
-355.3636,-360.3040
-357.3631,-360.2614
-359.3626,-360.2189
-361.3621,-360.1763
-363.3616,-360.1338
-365.3611,-360.0912
-367.3606,-360.0487
-369.3601,-360.0061
-371.3596,-359.9636
-373.3592,-359.9211
-375.3588,-359.8836
-377.3584,-359.8503
-379.3581,-359.8169
-381.3577,-359.7835
-383.3574,-359.7501
-385.3571,-359.7167
-387.3567,-359.6833
-389.3564,-359.6499
-391.3560,-359.6165
-393.3551,-359.5592
-395.3535,-359.4815
-397.3520,-359.4039
-399.3504,-359.3263
-401.3489,-359.2487
-403.3474,-359.1711
-405.3458,-359.0935
-407.3443,-359.0159
-409.3427,-358.9383
-411.3412,-358.8607
-413.3396,-358.7831
-415.3326,-358.6335
-417.3199,-358.4090
-419.3072,-358.1844
-421.2945,-357.9599
-423.2818,-357.7353
-425.2691,-357.5107
-427.2564,-357.2862
-429.2437,-357.0616
-431.1964,-356.6328
-433.1464,-356.1889
-435.0965,-355.7449
-436.9491,-354.9950
-438.7966,-354.2291
-440.6440,-353.4632
-442.4091,-352.5297
-444.1431,-351.5332
-445.8479,-350.4931
-447.4271,-349.2659
-449.0062,-348.0387
-450.3537,-346.5754
-451.6110,-345.0201
-452.8124,-343.4279
-453.7563,-341.6648
-454.7002,-339.9016
-455.4796,-338.0614
-456.2312,-336.2080
-456.6996,-334.2648
-457.1348,-332.3141
-457.3135,-330.3221
-457.4922,-328.3302
-457.6709,-326.3382
-457.7630,-324.3411
-457.8202,-322.3420
-457.8774,-320.3429
-457.9125,-318.3435
-457.9007,-316.3435
-457.8889,-314.3436
-457.8772,-312.3437
-457.8654,-310.3438
-457.8679,-308.3438
-457.8846,-306.3440
-457.9012,-304.3441
-457.9179,-302.3442
-457.9889,-300.3458
-458.0876,-298.3483
-458.1882,-296.3509
-458.3845,-294.3606
-458.5808,-292.3703
-458.8542,-290.3898
-459.1637,-288.4140
-459.4732,-286.4381
-459.8100,-284.4669
-460.1805,-282.5016
-460.5735,-280.5415
-461.1693,-278.6325
-461.7285,-276.7127
-462.5671,-274.8984
-463.5053,-273.1344
-464.5363,-271.4219
-465.6361,-269.7524
-466.8006,-268.1267
-468.0894,-266.5980
-469.4108,-265.0969
-470.7873,-263.6470
-472.2256,-262.2588
-473.7360,-260.9484
-475.2978,-259.6993
-476.8868,-258.4855
-478.5371,-257.3561
-480.2445,-256.3147
-482.0203,-255.3946
-483.8364,-254.5573
-485.6565,-253.7284
-487.5303,-253.0310
-489.4449,-252.4558
-491.3934,-252.0119
-493.3614,-251.6591
-495.3414,-251.3775
-497.3222,-251.1016
-499.3046,-250.8434
-501.2983,-250.6877
-503.2962,-250.5964
-505.2944,-250.5125
-507.2926,-250.4285
-509.2908,-250.3445
-511.2890,-250.2605
-513.2873,-250.1931
-515.2860,-250.2626
-517.2848,-250.3320
-519.2836,-250.4014
-521.2823,-250.4708
-523.2811,-250.5403
-525.2798,-250.6097
-527.2786,-250.6791
-529.2773,-250.7486
