x,z
208.6149,-362.4189
210.6153,-362.4181
212.6157,-362.4174
214.6160,-362.4166
216.6164,-362.4158
218.6167,-362.4150
220.6171,-362.4143
222.6175,-362.4135
224.6178,-362.4127
226.6182,-362.4120
228.6186,-362.4112
230.6189,-362.4104
232.6193,-362.4096
234.6196,-362.4089
236.6200,-362.4081
238.6204,-362.4073
240.6207,-362.4066
242.6211,-362.4058
244.6214,-362.4050
246.6218,-362.4042
248.6222,-362.4035
250.6225,-362.4027
252.6229,-362.4019
254.6233,-362.4012
256.6236,-362.4004
258.6240,-362.3996
260.6243,-362.3988
262.6247,-362.3981
264.6251,-362.3973
266.6254,-362.3965
268.6258,-362.3958
270.6262,-362.3950
272.6265,-362.3942
274.6269,-362.3934
276.6272,-362.3927
278.6276,-362.3919
280.6280,-362.3911
282.6283,-362.3904
284.6287,-362.3896
286.6290,-362.3888
288.6294,-362.3880
290.6298,-362.3873
292.6301,-362.3865
294.6305,-362.3857
296.6309,-362.3849
298.6312,-362.3842
300.6316,-362.3834
302.6319,-362.3826
304.6323,-362.3819
306.6327,-362.3811
308.6330,-362.3802
310.6334,-362.3789
312.6337,-362.3776
314.6341,-362.3763
316.6345,-362.3751
318.6348,-362.3738
320.6352,-362.3725
322.6356,-362.3712
324.6359,-362.3699
326.6363,-362.3686
328.6366,-362.3673
330.6370,-362.3661
332.6374,-362.3648
334.6377,-362.3635
336.6381,-362.3622
338.6384,-362.3609
340.6388,-362.3596
342.6392,-362.3584
344.6395,-362.3571
346.6399,-362.3558
348.6403,-362.3545
350.6406,-362.3532
352.6410,-362.3520
354.6413,-362.3507
356.6417,-362.3494
358.6421,-362.3481
360.6424,-362.3468
362.6428,-362.3455
364.6431,-362.3442
366.6435,-362.3430
368.6439,-362.3417
370.6442,-362.3405
372.6446,-362.3392
374.6449,-362.3380
376.6452,-362.3368
378.6456,-362.3355
380.6459,-362.3343
382.6463,-362.3331
384.6466,-362.3319
386.6470,-362.3307
388.6473,-362.3294
390.6476,-362.3282
392.6480,-362.3270
394.6483,-362.3257
396.6487,-362.3245
398.6490,-362.3233
400.6494,-362.3221
402.6497,-362.3209
404.6501,-362.3196
406.6504,-362.3184
408.6508,-362.3172
410.6511,-362.3159
412.6515,-362.3147
414.6518,-362.3135
416.6521,-362.3123
418.6525,-362.3111
420.6528,-362.3098
422.6532,-362.3086
424.6535,-362.3074
426.6539,-362.3062
428.6542,-362.3049
430.6545,-362.3053
432.6549,-362.3069
434.6552,-362.3085
436.6555,-362.3102
438.6559,-362.3118
440.6562,-362.3134
442.6566,-362.3150
444.6569,-362.3166
446.6573,-362.3182
448.6576,-362.3199
450.6579,-362.3215
452.6583,-362.3231
454.6586,-362.3247
456.6589,-362.3264
458.6593,-362.3280
460.6596,-362.3296
462.6599,-362.3312
464.6603,-362.3328
466.6606,-362.3344
468.6609,-362.3361
470.6613,-362.3377
472.6616,-362.3393
474.6620,-362.3409
476.6623,-362.3425
478.6626,-362.3441
480.6630,-362.3458
482.6633,-362.3474
484.6635,-362.3386
486.6629,-362.2773
488.6623,-362.2160
490.6618,-362.1570
492.6615,-362.1066
494.6613,-362.0561
496.6609,-362.0057
498.6607,-361.9552
500.6606,-361.9319
502.6608,-361.9468
504.6609,-361.9617
506.6612,-361.9766
508.6613,-361.9915
510.6615,-362.0021
512.6616,-361.9864
514.6616,-361.9707
516.6617,-361.9550
518.6617,-361.9394
520.6618,-361.9237
522.6617,-361.9004
524.6614,-361.8678
526.6611,-361.8353
528.6608,-361.8028
530.6605,-361.7702
532.6599,-361.7318
534.6552,-361.5962
536.6505,-361.4606
538.6458,-361.3250
540.6410,-361.1894
542.6363,-361.0538
544.6268,-360.8689
546.6122,-360.6289
548.5975,-360.3889
550.5828,-360.1488
552.5681,-359.9088
554.5498,-359.6424
556.5295,-359.3619
558.5092,-359.0814
560.4880,-358.7946
562.4600,-358.4639
564.4321,-358.1332
566.4041,-357.8026
568.3762,-357.4719
570.3431,-357.1134
572.3029,-356.7151
574.2625,-356.3169
576.2222,-355.9186
578.1770,-355.4980
580.1207,-355.0268
582.0643,-354.5556
584.0080,-354.0844
585.9415,-353.5747
587.8640,-353.0226
589.7865,-352.4704
591.7089,-351.9182
593.6181,-351.3241
595.5069,-350.6653
597.3956,-350.0066
599.2844,-349.3478
601.1609,-348.6566
603.0148,-347.9052
604.8687,-347.1538
606.7225,-346.4024
608.5668,-345.6285
610.3915,-344.8087
612.2162,-343.9890
614.0409,-343.1693
615.8592,-342.3358
617.6669,-341.4793
619.4747,-340.6229
621.2824,-339.7664
623.0807,-338.8907
624.8640,-337.9845
626.6473,-337.0783
628.4307,-336.1721
630.2043,-335.2475
631.9653,-334.2986
633.7263,-333.3497
635.4873,-332.4008
637.2389,-331.4350
638.9818,-330.4532
640.7246,-329.4714
642.4675,-328.4896
644.1953,-327.4819
645.9150,-326.4602
647.6348,-325.4385
649.3545,-324.4168
651.0541,-323.3621
652.7488,-322.2995
654.4437,-321.2369
656.1384,-320.1743
657.7921,-319.0489
659.4456,-317.9232
661.0991,-316.7974
662.7449,-315.6608
664.3634,-314.4853
665.9819,-313.3097
667.6003,-312.1342
669.1952,-310.9275
670.7658,-309.6887
672.3364,-308.4499
673.9070,-307.2112
675.4479,-305.9359
676.9810,-304.6510
678.5141,-303.3661
680.0444,-302.0779
681.5554,-300.7673
683.0664,-299.4567
684.5728,-298.1407
686.0507,-296.7929
687.5287,-295.4451
688.9988,-294.0889
690.4451,-292.7070
691.8913,-291.3251
693.3128,-289.9186
694.6879,-288.4659
696.0630,-287.0131
697.4192,-285.5429
698.7546,-284.0536
700.0900,-282.5643
701.4103,-281.0616
702.7193,-279.5491
704.0284,-278.0366
705.3098,-276.5007
706.5824,-274.9573
707.8550,-273.4140
709.0862,-271.8376
710.3160,-270.2599
711.5427,-268.6798
712.7587,-267.0915
713.9747,-265.5031
715.1745,-263.9026
716.3598,-262.2913
717.5452,-260.6800
718.7143,-259.0569
719.8822,-257.4329
721.0388,-255.8009
722.1734,-254.1535
723.3080,-252.5062
724.4188,-250.8427
725.5211,-249.1734
726.6234,-247.5042
727.7257,-245.8350
728.8271,-244.1652
729.8949,-242.4737
730.9627,-240.7822
732.0305,-239.0907
733.0983,-237.3992
734.1348,-235.6885
735.1592,-233.9704
736.1837,-232.2524
737.2082,-230.5343
738.2054,-228.8003
739.1979,-227.0636
740.1904,-225.3268
741.1594,-223.5771
742.1102,-221.8172
743.0609,-220.0573
743.9925,-218.2871
744.9193,-216.5145
745.8292,-214.7332
746.7341,-212.9492
747.6390,-211.1653
748.5439,-209.3814
749.4489,-207.5975
750.2744,-205.7766
751.0609,-203.9373
751.8474,-202.0982
752.6339,-200.2590
753.4203,-198.4198
754.1694,-196.5658
754.8488,-194.6845
755.5283,-192.8031
756.2078,-190.9218
756.8873,-189.0404
757.5668,-187.1591
758.1401,-185.2431
758.7047,-183.3242
759.2693,-181.4053
759.8339,-179.4864
760.3984,-177.5675
760.9227,-175.6378
761.3945,-173.6940
761.8663,-171.7503
762.3382,-169.8065
762.8101,-167.8628
763.2819,-165.9191
763.6973,-163.9625
764.1085,-162.0050
764.5197,-160.0475
764.9310,-158.0900
765.3422,-156.1325
765.7070,-154.1664
766.0239,-152.1914
766.3408,-150.2164
766.6578,-148.2415
766.9747,-146.2665
767.2843,-144.2904
767.5645,-142.3099
767.8448,-140.3295
768.1251,-138.3490
768.4053,-136.3685
768.6805,-134.3874
768.8800,-132.3973
769.0795,-130.4071
769.2791,-128.4170
769.4786,-126.4268
769.6673,-124.4358
769.8022,-122.4402
769.9371,-120.4447
770.0720,-118.4491
770.2070,-116.4536
770.3179,-114.4567
770.4117,-112.4588
770.5056,-110.4609
770.5995,-108.4630
770.6782,-106.4645
770.7305,-104.4649
770.7828,-102.4653
770.8351,-100.4657
770.8729,-98.4658
770.9009,-96.4656
770.9290,-94.4655
770.9570,-92.4653
770.9850,-90.4652
771.0130,-88.4650
771.0410,-86.4649
771.0690,-84.4647
771.0970,-82.4646
771.1251,-80.4644
771.1531,-78.4643
771.1810,-76.4641
771.2090,-74.4640
771.2371,-72.4638
771.2651,-70.4637
771.2931,-68.4635
771.3211,-66.4634
771.3491,-64.4632
771.3771,-62.4631
771.4052,-60.4629
771.4332,-58.4628
771.4612,-56.4626
771.4892,-54.4625
771.5172,-52.4623
771.5452,-50.4622
771.5732,-48.4620
771.6013,-46.4619
771.6293,-44.4617
771.6573,-42.4616
771.6852,-40.4614
771.7133,-38.4613
771.7413,-36.4611
771.7693,-34.4610
771.7973,-32.4608
771.8253,-30.4607
771.8533,-28.4605
