x,z
183.8701,-136.1534
185.3614,-134.8206
186.8546,-133.4900
188.3596,-132.1726
189.8624,-130.8528
191.3615,-129.5288
192.8599,-128.2040
194.3574,-126.8782
195.8549,-125.5524
197.3521,-124.2263
198.8491,-122.8999
200.3464,-121.5738
201.8466,-120.2511
203.3469,-118.9284
204.8461,-117.6045
206.3467,-116.2822
207.8503,-114.9635
209.3546,-113.6455
210.8569,-112.3252
212.3522,-110.9969
213.8458,-109.6667
215.3409,-108.3381
216.8376,-107.0114
218.3330,-105.6833
219.8280,-104.3547
221.3311,-103.0353
222.8357,-101.7176
224.3318,-100.3903
225.8255,-99.0602
227.3140,-97.7242
228.8033,-96.3892
230.2951,-95.0570
231.7903,-93.7286
233.2884,-92.4034
234.7924,-91.0850
236.3034,-89.7746
237.8101,-88.4592
239.3103,-87.1365
240.8100,-85.8131
242.3094,-84.4895
243.8077,-83.1646
245.3038,-81.8374
246.7957,-80.5053
248.2869,-79.1724
249.7931,-77.8565
251.2991,-76.5404
252.8019,-75.2208
254.3031,-73.8992
255.8024,-72.5756
257.2987,-71.2486
258.7917,-69.9178
260.2921,-68.5954
261.8005,-67.2822
263.3023,-65.9614
264.7982,-64.6339
266.2911,-63.3029
267.7834,-61.9713
269.2772,-60.6415
270.7768,-59.3183
272.2834,-58.0030
273.7902,-56.6879
275.2955,-55.3711
276.8041,-54.0581
278.3194,-52.7529
279.8323,-51.4449
281.3415,-50.1327
282.8552,-48.8256
284.3742,-47.5247
285.8943,-46.2251
287.4105,-44.9209
288.9193,-43.6084
290.4293,-42.2971
291.9460,-40.9935
293.4602,-39.6869
294.9684,-38.3736
296.4765,-37.0600
297.9897,-35.7525
299.5025,-34.4447
301.0120,-33.1329
302.5166,-31.8155
304.0149,-30.4909
305.5152,-29.1687
307.0222,-27.8541
308.5301,-26.5406
310.0356,-25.2243
311.5345,-23.9002
313.0341,-22.5769
314.5308,-21.2505
316.0245,-19.9210
317.5208,-18.5941
319.0198,-17.2705
320.5208,-15.9490
322.0216,-14.6274
323.5206,-13.3039
325.0207,-11.9816
326.5191,-10.6573
328.0185,-9.3342
329.5192,-8.0126
331.0146,-6.6848
332.5058,-5.3524
333.9977,-4.0206
335.4938,-2.6938
336.9918,-1.3690
338.4898,-0.0443
339.9917,1.2759
341.5026,2.5859
343.0089,3.9012
344.5055,5.2273
346.0051,6.5501
347.5062,7.8713
349.0026,9.1977
350.4941,10.5296
351.9867,11.8605
353.4779,13.1926
354.9781,14.5145
356.4938,15.8189
358.0178,17.1135
359.5460,18.4032
361.0927,19.6705
362.6460,20.9297
364.2130,22.1719
365.7974,23.3916
367.3973,24.5909
369.0090,25.7743
370.6292,26.9462
372.2541,28.1115
373.8899,29.2614
375.5332,30.4003
377.1947,31.5130
378.8627,32.6155
380.5363,33.7095
382.2291,34.7736
383.9312,35.8226
385.6372,36.8655
387.3530,37.8923
389.0758,38.9071
390.8053,39.9105
392.5412,40.9028
394.2901,41.8717
396.0590,42.8037
397.8420,43.7085
399.6281,44.6073
401.4073,45.5192
403.1844,46.4355
404.9653,47.3443
406.7544,48.2369
408.5437,49.1290
410.3308,50.0256
412.1133,50.9312
413.8989,51.8308
415.6887,52.7220
417.4744,53.6212
419.2567,54.5273
421.0464,55.4186
422.8359,56.3102
424.6224,57.2081
426.4071,58.1094
428.1917,59.0111
429.9787,59.9080
431.7661,60.8039
433.5528,61.7016
435.3396,62.5990
437.1291,63.4911
438.9194,64.3814
