x,z
-352.6909,274.9809
-353.8758,273.3738
-355.0533,271.7616
-356.1891,270.1197
-357.3250,268.4777
-358.4346,266.8185
-359.5411,265.1572
-360.6270,263.4825
-361.7013,261.8002
-362.7444,260.0988
-363.7546,258.3772
-364.7542,256.6495
-365.7274,254.9069
-366.6961,253.1618
-367.6281,251.3968
-368.5602,249.6318
-369.4714,247.8564
-370.3812,246.0802
-371.2725,244.2953
-372.1555,242.5065
-373.0331,240.7149
-373.9054,238.9206
-374.7794,237.1270
-375.6611,235.3368
-376.5429,233.5465
-377.4277,231.7577
-378.3131,229.9690
-379.1965,228.1796
-380.0785,226.3895
-380.9613,224.5999
-381.8462,222.8116
-382.7304,221.0230
-383.5954,219.2253
-384.4604,217.4277
-385.3312,215.6328
-386.2038,213.8388
-387.0749,212.0441
-387.9443,210.2488
-388.8126,208.4527
-389.6761,206.6540
-390.5396,204.8552
-391.4025,203.0557
-392.2654,201.2562
-393.1297,199.4571
-393.9948,197.6584
-394.8610,195.8599
-395.7288,194.0620
-396.5968,192.2641
-397.4663,190.4666
-398.3358,188.6690
-399.2096,186.8728
-400.0846,185.0770
-400.9596,183.2810
-401.8345,181.4848
-402.7091,179.6884
-403.5827,177.8913
-404.4563,176.0943
-405.3295,174.2966
-406.2026,172.4990
-407.0782,170.7024
-407.9550,168.9063
-408.8304,167.1094
-409.7037,165.3113
-410.5772,163.5133
-411.4525,161.7160
-412.3278,159.9186
-413.2007,158.1199
-414.0732,156.3209
-414.9435,154.5208
-415.8123,152.7199
-416.6854,150.9211
-417.5691,149.1273
-418.4527,147.3336
-419.3470,145.5452
-420.2415,143.7569
-421.1385,141.9699
-422.0366,140.1834
-422.9336,138.3965
-423.8290,136.6088
-424.7234,134.8206
-425.6117,133.0294
-426.5001,131.2382
-427.3842,129.4450
-428.2676,127.6515
-429.1424,125.8538
-430.0114,124.0533
-430.8707,122.2483
-431.7130,120.4353
-432.5498,118.6198
-433.3588,116.7918
-434.1678,114.9638
-434.9366,113.1188
-435.7025,111.2725
-436.4280,109.4103
-437.1374,107.5419
-437.8263,105.6660
-438.4957,103.7831
-439.1521,101.8959
-439.7721,99.9964
-440.3891,98.0960
-440.9691,96.1840
-441.5492,94.2720
-442.0946,92.3501
-442.6331,90.4261
-443.1385,88.4934
-443.6291,86.5569
-444.1018,84.6160
-444.5553,82.6703
-444.9919,80.7211
-445.3666,78.7585
-445.7400,76.7957
-446.0500,74.8220
-446.3600,72.8483
-446.6122,70.8665
-446.8561,68.8836
-447.0735,66.8977
-447.2801,64.9106
-447.4786,62.9227
-447.6681,60.9339
-447.8500,58.9444
-448.0032,56.9525
-448.1563,54.9606
-448.2608,52.9656
-448.3638,50.9704
-448.4389,48.9741
-448.5036,46.9773
-448.5774,44.9809
