x,z
-352.6871,274.9681
-353.8776,273.3655
-355.0554,271.7538
-356.1866,270.1092
-357.3179,268.4645
-358.4401,266.8138
-359.5378,265.1471
-360.6355,263.4804
-361.7072,261.7972
-362.7310,260.0839
-363.7547,258.3706
-364.7507,256.6414
-365.7219,254.8979
-366.6931,253.1545
-367.6310,251.3931
-368.5542,249.6238
-369.4774,247.8546
-370.3761,246.0734
-371.2688,244.2894
-372.1615,242.5054
-373.0355,240.7123
-373.9080,238.9184
-374.7805,237.1245
-375.6626,235.3347
-376.5456,233.5453
-377.4286,231.7559
-378.3122,229.9668
-379.1959,228.1777
-380.0796,226.3886
-380.9634,224.6000
-381.8473,222.8115
-382.7311,221.0229
-383.5982,219.2265
-384.4646,217.4297
-385.3310,215.6329
-386.2027,213.8389
-387.0744,212.0449
-387.9460,210.2509
-388.8103,208.4529
-389.6746,206.6550
-390.5389,204.8569
-391.4019,203.0577
-392.2649,201.2585
-393.1281,199.4593
-393.9943,197.6612
-394.8604,195.8631
-395.7268,194.0650
-396.5958,192.2675
-397.4648,190.4701
-398.3343,188.6728
-399.2087,186.8770
-400.0830,185.0813
-400.9575,183.2854
-401.8319,181.4892
-402.7064,179.6930
-403.5807,177.8967
-404.4538,176.0995
-405.3269,174.3022
-406.2006,172.5052
-407.0764,170.7089
-407.9523,168.9126
-408.8277,167.1161
-409.7013,165.3184
-410.5750,163.5207
-411.4487,161.7230
-412.3231,159.9253
-413.1975,158.1277
-414.0704,156.3292
-414.9393,154.5287
-415.8082,152.7281
-416.6817,150.9298
-417.5673,149.1373
-418.4529,147.3448
-419.3412,145.5537
-420.2379,143.7668
-421.1346,141.9799
-422.0312,140.1930
-422.9274,138.4060
-423.8237,136.6190
-424.7174,134.8308
-425.6056,133.0398
-426.4937,131.2488
-427.3787,129.4563
-428.2575,127.6608
-429.1363,125.8653
-430.0045,124.0648
-430.8560,122.2563
-431.7075,120.4479
-432.5373,118.6296
-433.3459,116.8017
-434.1545,114.9738
-434.9279,113.1311
-435.6779,111.2787
-436.4280,109.4263
-437.1295,107.5555
-437.8127,105.6777
-438.4959,103.7999
-439.1327,101.9063
-439.7576,100.0087
-440.3825,98.1111
-440.9591,96.1984
-441.5323,94.2847
-442.1037,92.3704
-442.6149,90.4394
-443.1261,88.5083
-443.6270,86.5747
-444.0875,84.6310
-444.5480,82.6873
-444.9849,80.7386
-445.3511,78.7747
-445.7173,76.8108
-446.0499,74.8414
-446.3300,72.8635
-446.6101,70.8856
-446.8507,68.9028
-447.0641,66.9167
-447.2776,64.9306
-447.4731,62.9427
-447.6603,60.9539
-447.8476,58.9651
-447.9963,56.9733
-448.1319,54.9804
-448.2676,52.9874
-448.3541,50.9919
-448.4299,48.9958
-448.5057,46.9997
-448.5847,45.0037
-448.6641,43.0077
-448.7435,41.0118
-448.8200,39.0156
-448.8964,37.0194
-448.9727,35.0233
-449.0500,33.0270
-449.1272,31.0307
-449.2044,29.0344
-449.2894,27.0384
-449.3745,25.0423
-449.4597,23.0462
-449.5588,21.0507
-449.6584,19.0552
-449.7579,17.0597
-449.8577,15.0641
-449.9576,13.0686
-450.0573,11.0730
-450.1715,9.0780
-450.2863,7.0830
-450.4011,5.0880
-450.5258,3.0936
-450.6511,1.0993
-450.7764,-0.8951
-451.0059,-2.8801
-451.2414,-4.8646
-451.4769,-6.8490
-451.7146,-8.8333
-451.9525,-10.8175
-452.1903,-12.8017
-452.4084,-14.7880
-452.6262,-16.7744
-452.8438,-18.7607
-453.0498,-20.7486
-453.2559,-22.7364
-453.4616,-24.7242
-453.6601,-26.7128
-453.8585,-28.7014
-454.0570,-30.6900
-454.2571,-32.6785
-454.4573,-34.6669
-454.6576,-36.6553
-454.8578,-38.6437
-455.0581,-40.6322
-455.2585,-42.6206
-455.4604,-44.6089
-455.6624,-46.5971
-455.8674,-48.5851
-456.0957,-50.5704
-456.3241,-52.5558
-456.5531,-54.5411
-456.7868,-56.5259
-457.0205,-58.5108
-457.2547,-60.4956
-457.4920,-62.4800
-457.7293,-64.4645
-457.9630,-66.4493
-458.1795,-68.4360
-458.3961,-70.4226
-458.6128,-72.4093
-458.8303,-74.3959
-459.0477,-76.3825
-459.2659,-78.3690
-459.4861,-80.3554
-459.7064,-82.3417
-459.9235,-84.3284
-460.1326,-86.3158
-460.3417,-88.3033
-460.5443,-90.2913
-460.7328,-92.2807
-460.9213,-94.2700
-461.0956,-96.2605
-461.2427,-98.2530
-461.3899,-100.2456
-461.5114,-102.2394
-461.5891,-104.2356
-461.6668,-106.2318
-461.7021,-108.2286
-461.6835,-110.2262
-461.6649,-112.2238
-461.6317,-114.2211
-461.5858,-116.2183
-461.5400,-118.2155
-461.4593,-120.2116
-461.3616,-122.2071
-461.2639,-124.2026
-461.1121,-126.1949
-460.9497,-128.1866
-460.7874,-130.1783
-460.5864,-132.1669
-460.3839,-134.1553
-460.1717,-136.1425
-459.8714,-138.1190
-459.5712,-140.0956
-459.2416,-142.0665
-458.8005,-144.0165
-458.3595,-145.9664
-457.8547,-147.8993
-457.2631,-149.8088
-456.6715,-151.7183
-455.9649,-153.5863
-455.2031,-155.4343
-454.4412,-157.2824
-453.5086,-159.0495
-452.5630,-160.8105
-451.5765,-162.5469
-450.4647,-164.2079
-449.3529,-165.8689
-448.2022,-167.5024
-447.0063,-169.1040
-445.8105,-170.7056
-444.5552,-172.2598
-443.2544,-173.7774
-441.9536,-175.2951
-440.5600,-176.7264
-439.1346,-178.1280
-437.7091,-179.5296
-436.2636,-180.9106
-434.8174,-182.2908
-433.3711,-183.6711
-431.9211,-185.0473
-430.4709,-186.4233
-429.0206,-187.7993
-427.5519,-189.1553
-426.0829,-190.5111
-424.6118,-191.8644
-423.1114,-193.1852
-421.6110,-194.5060
-420.1078,-195.8237
-418.5888,-197.1231
-417.0699,-198.4224
-415.5523,-199.7235
-414.0418,-201.0329
-412.5312,-202.3424
-411.0215,-203.6529
-409.5157,-204.9680
-408.0098,-206.2830
-406.5053,-207.5997
-405.0068,-208.9232
-403.5083,-210.2468
-402.0111,-211.5718
-400.5191,-212.9027
-399.0272,-214.2336
-397.5389,-215.5686
-396.0665,-216.9211
-394.5941,-218.2736
-393.1255,-219.6302
-391.6755,-221.0067
-390.2255,-222.3831
-388.7854,-223.7696
-387.3922,-225.2035
-385.9991,-226.6374
-384.6059,-228.0713
-383.2631,-229.5524
-381.9219,-231.0352
-380.5808,-232.5179
-379.2380,-233.9991
-377.8951,-235.4802
-376.5521,-236.9613
-375.2445,-238.4737
-373.9395,-239.9884
-372.6345,-241.5031
-371.3366,-243.0239
-370.0398,-244.5455
-368.7430,-246.0672
-367.4527,-247.5944
-366.1631,-249.1223
-364.8736,-250.6501
-363.6089,-252.1986
-362.3489,-253.7508
-361.0889,-255.3031
-359.8144,-256.8435
-358.5387,-258.3829
-357.2630,-259.9224
-355.9920,-261.4656
-354.7214,-263.0091
-353.4507,-264.5526
-352.1525,-266.0731
-350.8539,-267.5932
-349.5475,-269.1065
-348.2009,-270.5843
-346.8543,-272.0621
-345.5045,-273.5369
-344.1422,-275.0001
-342.7798,-276.4634
-341.4060,-277.9156
-339.9983,-279.3354
-338.5907,-280.7551
-337.1557,-282.1464
-335.6811,-283.4964
-334.2066,-284.8464
-332.7101,-286.1719
-331.1950,-287.4763
-329.6798,-288.7806
-328.1309,-290.0439
-326.5571,-291.2771
-324.9834,-292.5102
-323.3820,-293.7068
-321.7708,-294.8906
-320.1597,-296.0744
-318.5471,-297.2561
-316.9340,-298.4373
-315.3210,-299.6185
-313.7068,-300.7981
-312.0923,-301.9774
-310.4778,-303.1566
-308.8604,-304.3319
-307.2424,-305.5064
-305.6245,-306.6809
-304.0092,-307.8592
-302.3945,-309.0382
-300.7798,-310.2172
-299.1602,-311.3894
-297.5401,-312.5609
-295.9200,-313.7324
-294.3006,-314.9051
-292.6814,-316.0778
-291.0622,-317.2506
-289.4489,-318.4315
-287.8359,-319.6129
-286.2230,-320.7943
-284.6067,-321.9710
-282.9902,-323.1476
-281.3737,-324.3241
-279.7526,-325.4942
-278.1314,-326.6643
-276.5103,-327.8344
-274.9092,-329.0317
-273.3081,-330.2292
-271.7071,-331.4266
-270.1040,-332.6213
-268.5009,-333.8160
-266.8982,-335.0112
-265.3073,-336.2221
-263.7165,-337.4331
-262.1256,-338.6440
-260.5391,-339.8606
-258.9526,-341.0772
-257.3659,-342.2935
-255.7767,-343.5066
-254.1875,-344.7197
-252.5975,-345.9316
-251.0013,-347.1354
-249.4051,-348.3392
-247.8091,-349.5433
-246.2147,-350.7494
-244.6204,-351.9554
-243.0265,-353.1623
-241.4352,-354.3724
-239.8439,-355.5826
-238.2527,-356.7928
-236.6614,-358.0030
-235.0702,-359.2133
-233.4802,-360.4251
-231.8965,-361.6448
-230.3129,-362.8645
-228.7307,-364.0862
-227.1545,-365.3158
-225.5783,-366.5454
-224.0018,-367.7747
-222.4238,-369.0018
-220.8457,-370.2290
-219.2639,-371.4513
-217.6708,-372.6590
-216.0777,-373.8667
-214.4842,-375.0738
-212.8895,-376.2791
-211.2948,-377.4845
-209.7032,-378.6940
-208.1215,-379.9161
-206.5398,-381.1382
-204.9608,-382.3639
-203.3894,-383.5995
-201.8181,-384.8350
-200.2451,-386.0685
-198.6687,-387.2974
-197.0924,-388.5263
-195.5076,-389.7445
-193.9110,-390.9474
-192.3144,-392.1504
-190.7256,-393.3634
-189.1480,-394.5910
-187.5704,-395.8186
-185.9975,-397.0516
-184.4362,-398.2980
-182.8749,-399.5444
-181.2994,-400.7733
-179.7081,-401.9825
-178.1168,-403.1917
-176.5325,-404.4100
-174.9602,-405.6440
-173.3879,-406.8781
-171.8237,-408.1224
-170.2699,-409.3799
-168.7161,-410.6373
-167.1535,-411.8836
-165.5833,-413.1203
-164.0130,-414.3570
-162.4257,-415.5710
-160.8224,-416.7639
-159.2191,-417.9568
-157.6022,-419.1309
-155.9782,-420.2955
-154.3543,-421.4601
-152.7301,-422.6242
-151.1057,-423.7882
-149.4814,-424.9523
-147.8237,-426.0678
-146.1568,-427.1701
-144.4899,-428.2723
-142.7722,-429.2933
-141.0513,-430.3093
-139.3288,-431.3227
-137.5853,-432.2994
-135.8417,-433.2761
-134.0897,-434.2369
-132.2965,-435.1193
-130.5033,-436.0017
-128.6903,-436.8408
-126.8466,-437.6123
-125.0028,-438.3838
-123.1375,-439.0995
-121.2582,-439.7790
-119.3790,-440.4586
-117.4751,-441.0638
-115.5602,-441.6355
-113.6453,-442.2071
-111.6976,-442.6530
-109.7445,-443.0779
-107.7906,-443.4983
-105.8164,-443.8070
-103.8423,-444.1156
-101.8661,-444.4093
-99.8796,-444.6228
-97.8932,-444.8364
-95.9039,-445.0168
-93.9084,-445.1222
-91.9130,-445.2276
-89.9160,-445.2754
-87.9177,-445.2747
-85.9194,-445.2740
-83.9220,-445.2261
-81.9250,-445.1579
-79.9280,-445.0897
-77.9332,-444.9818
-75.9389,-444.8632
-73.9446,-444.7445
-71.9541,-444.5775
-69.9639,-444.4052
-67.9739,-444.2314
-65.9863,-444.0353
-63.9987,-443.8392
-62.0111,-443.6436
-60.0222,-443.4587
-58.0334,-443.2738
-56.0448,-443.0866
-54.0584,-442.8800
-52.0720,-442.6733
-50.0857,-442.4661
-48.0997,-442.2551
-46.1138,-442.0442
-44.1281,-441.8311
-42.1439,-441.6061
-40.1597,-441.3812
-38.1762,-441.1513
-36.1953,-440.9022
-34.2143,-440.6530
-32.2342,-440.3980
-30.2560,-440.1278
-28.2779,-439.8575
-26.3011,-439.5786
-24.3275,-439.2805
-22.3538,-438.9824
-20.3792,-438.6914
-18.4025,-438.4143
-16.4259,-438.1373
-14.4517,-437.8443
-12.4815,-437.5263
-10.5112,-437.2083
-8.5397,-436.8995
-6.5666,-436.6012
-4.5936,-436.3029
-2.6210,-436.0013
-0.6493,-435.6947
1.3224,-435.3880
3.2943,-435.0821
5.2664,-434.7770
7.2384,-434.4720
9.2108,-434.1687
11.1837,-433.8672
13.1565,-433.5659
15.1295,-433.2652
17.1027,-432.9653
19.0759,-432.6653
21.0490,-432.3644
23.0218,-432.0625
24.9947,-431.7607
26.9675,-431.4583
28.9404,-431.1556
30.9134,-430.8529
32.8864,-430.5502
34.8596,-430.2474
36.8327,-429.9447
38.8058,-429.6413
40.7788,-429.3374
42.7518,-429.0336
44.7245,-428.7262
46.6969,-428.4167
48.6693,-428.1071
50.6430,-427.8052
52.6173,-427.5075
54.5916,-427.2098
56.5670,-426.9189
58.5431,-426.6321
60.5191,-426.3453
62.4968,-426.0695
64.4753,-425.7999
66.4538,-425.5302
68.4328,-425.2640
70.4124,-425.0020
72.3920,-424.7400
74.3727,-424.4851
76.3538,-424.2337
78.3349,-423.9822
80.3162,-423.7311
82.2975,-423.4800
84.2789,-423.2290
86.2610,-422.9842
88.2435,-422.7419
90.2260,-422.4996
92.2089,-422.2608
94.1920,-422.0233
96.1750,-421.7858
98.1579,-421.5462
100.1406,-421.3059
102.1234,-421.0656
104.1069,-420.8318
106.0906,-420.6002
108.0743,-420.3685
110.0590,-420.1459
112.0440,-419.9261
114.0290,-419.7063
116.0139,-419.4859
117.9988,-419.2652
119.9838,-419.0446
121.9704,-418.8398
123.9575,-418.6390
125.9445,-418.4382
127.9310,-418.2309
129.9173,-418.0222
131.9037,-417.8134
133.8914,-417.6190
135.8793,-417.4271
137.8673,-417.2353
139.8533,-417.0238
141.8390,-416.8095
143.8248,-416.5952
145.8089,-416.3672
147.7930,-416.1378
149.7770,-415.9085
151.7591,-415.6632
153.7410,-415.4170
155.7229,-415.1707
157.7041,-414.9182
159.6852,-414.6655
161.6662,-414.4113
163.6431,-414.1262
165.6201,-413.8411
167.5970,-413.5559
169.5741,-413.2705
171.5513,-412.9852
173.5284,-412.6998
175.5054,-412.4138
177.4825,-412.1277
179.4594,-411.8398
181.4348,-411.5407
183.4101,-411.2417
185.3858,-410.9441
187.3630,-410.6556
189.3402,-410.3671
191.3172,-410.0764
193.2932,-409.7770
