x,z
240.1062,-614.0560
240.2163,-612.0591
240.3263,-610.0621
240.4364,-608.0652
240.5465,-606.0683
240.6565,-604.0714
240.7666,-602.0744
240.8766,-600.0775
240.9867,-598.0806
241.0968,-596.0837
241.2068,-594.0868
241.3169,-592.0899
241.4270,-590.0930
241.5370,-588.0961
241.6471,-586.0992
241.7571,-584.1024
241.8672,-582.1055
241.9773,-580.1086
242.0873,-578.1117
242.1973,-576.1149
242.3073,-574.1180
242.4174,-572.1211
242.5274,-570.1243
242.6374,-568.1274
242.7474,-566.1306
242.8575,-564.1337
242.9675,-562.1368
243.0774,-560.1400
243.1874,-558.1431
243.2974,-556.1463
243.4073,-554.1494
243.5173,-552.1526
243.6273,-550.1558
243.7372,-548.1589
243.8472,-546.1620
243.9571,-544.1652
244.0670,-542.1683
244.1769,-540.1714
244.2868,-538.1746
244.3967,-536.1777
244.5066,-534.1809
244.6165,-532.1840
244.7264,-530.1871
244.8363,-528.1903
244.9461,-526.1934
245.0560,-524.1965
245.1658,-522.1996
245.2756,-520.2028
245.3854,-518.2059
245.4952,-516.2090
245.6050,-514.2121
245.7149,-512.2152
245.8246,-510.2183
245.9343,-508.2215
246.0440,-506.2246
246.1537,-504.2277
246.2634,-502.2308
246.3731,-500.2339
246.4828,-498.2371
246.5925,-496.2402
246.7021,-494.2433
246.8117,-492.2465
246.9212,-490.2496
247.0308,-488.2527
247.1403,-486.2559
247.2498,-484.2590
247.3594,-482.2621
247.4689,-480.2653
247.5784,-478.2684
247.6879,-476.2715
247.7973,-474.2747
247.9066,-472.2778
248.0160,-470.2810
248.1254,-468.2841
248.2347,-466.2873
248.3441,-464.2904
248.4535,-462.2936
248.5628,-460.2967
248.6720,-458.2999
248.7811,-456.3030
248.8902,-454.3062
248.9993,-452.3094
249.1084,-450.3125
249.2175,-448.3157
249.3266,-446.3189
249.4356,-444.3220
249.5447,-442.3252
249.6535,-440.3284
249.7623,-438.3316
249.8711,-436.3347
249.9799,-434.3379
250.0887,-432.3411
250.1975,-430.3443
250.3062,-428.3475
250.4150,-426.3506
250.5236,-424.3539
250.6320,-422.3571
250.7403,-420.3603
250.8486,-418.3635
250.9570,-416.3666
251.0653,-414.3698
251.1737,-412.3730
251.2820,-410.3763
251.3903,-408.3795
251.4981,-406.3827
251.6059,-404.3858
251.7136,-402.3890
251.8213,-400.3922
251.9290,-398.3954
252.0367,-396.3986
252.1445,-394.4018
252.2522,-392.4050
252.3597,-390.4082
252.4666,-388.4113
252.5735,-386.4145
252.6804,-384.4177
252.7873,-382.4208
252.8942,-380.4240
253.0011,-378.4271
253.1080,-376.4303
253.2149,-374.4334
253.3206,-372.4366
253.4257,-370.4396
253.5308,-368.4427
253.6360,-366.4458
253.7411,-364.4489
253.8462,-362.4520
253.9513,-360.4550
254.0565,-358.4581
254.1612,-356.4612
254.2621,-354.4640
254.3630,-352.4667
254.4639,-350.4695
254.5648,-348.4722
254.6657,-346.4750
254.7666,-344.4778
254.8675,-342.4805
254.9684,-340.4833
255.0934,-338.4876
255.2431,-336.4934
255.3929,-334.4993
255.5427,-332.5052
255.6924,-330.5110
255.8422,-328.5169
255.9920,-326.5228
256.1417,-324.5287
256.2915,-322.5345
256.4698,-320.5429
256.6514,-318.5515
256.8329,-316.5602
257.0145,-314.5688
257.1961,-312.5775
257.3776,-310.5861
257.5592,-308.5948
257.7408,-306.6034
257.9296,-304.6128
258.1349,-302.6236
258.3403,-300.6345
258.5457,-298.6454
258.7511,-296.6563
258.9565,-294.6671
259.1619,-292.6780
259.3672,-290.6889
259.5726,-288.6998
259.7961,-286.7126
260.0268,-284.7262
260.2576,-282.7398
260.4883,-280.7535
260.7191,-278.7671
260.9499,-276.7807
261.1806,-274.7943
261.4114,-272.8080
261.6454,-270.8220
261.9036,-268.8390
262.1618,-266.8560
262.4201,-264.8731
