x,z
240.1064,-614.0566
240.2165,-612.0597
240.3266,-610.0627
240.4366,-608.0657
240.5467,-606.0688
240.6568,-604.0718
240.7668,-602.0749
240.8769,-600.0779
240.9869,-598.0809
241.0970,-596.0840
241.2071,-594.0871
241.3171,-592.0902
241.4272,-590.0933
241.5373,-588.0964
241.6473,-586.0994
241.7574,-584.1025
241.8675,-582.1056
241.9775,-580.1087
242.0876,-578.1118
242.1976,-576.1149
242.3076,-574.1180
242.4176,-572.1212
242.5277,-570.1243
242.6377,-568.1274
242.7477,-566.1305
242.8577,-564.1336
242.9677,-562.1367
243.0777,-560.1398
243.1877,-558.1429
243.2977,-556.1461
243.4077,-554.1492
243.5176,-552.1523
243.6276,-550.1555
243.7376,-548.1586
243.8476,-546.1617
243.9575,-544.1649
244.0674,-542.1679
244.1772,-540.1710
244.2871,-538.1741
244.3970,-536.1772
244.5069,-534.1804
244.6168,-532.1835
244.7267,-530.1866
244.8366,-528.1897
244.9464,-526.1928
245.0562,-524.1959
245.1660,-522.1990
245.2758,-520.2020
245.3857,-518.2051
245.4955,-516.2082
245.6053,-514.2113
245.7151,-512.2144
245.8248,-510.2175
245.9345,-508.2206
246.0442,-506.2237
246.1539,-504.2268
246.2636,-502.2299
246.3733,-500.2329
246.4830,-498.2361
246.5927,-496.2391
246.7024,-494.2422
246.8119,-492.2454
246.9215,-490.2484
247.0310,-488.2516
247.1406,-486.2547
247.2501,-484.2578
247.3597,-482.2609
247.4692,-480.2640
247.5788,-478.2671
247.6882,-476.2702
247.7976,-474.2733
247.9069,-472.2765
248.0163,-470.2796
248.1256,-468.2827
248.2350,-466.2858
248.3443,-464.2889
248.4537,-462.2921
248.5630,-460.2952
248.6722,-458.2983
248.7813,-456.3015
248.8904,-454.3046
248.9995,-452.3077
249.1086,-450.3109
249.2177,-448.3140
249.3269,-446.3171
249.4360,-444.3203
249.5450,-442.3234
249.6537,-440.3265
249.7625,-438.3297
249.8714,-436.3329
249.9801,-434.3360
250.0889,-432.3392
250.1978,-430.3423
250.3065,-428.3455
250.4153,-426.3486
250.5238,-424.3518
250.6322,-422.3550
250.7406,-420.3582
250.8490,-418.3613
250.9573,-416.3645
251.0657,-414.3676
251.1741,-412.3708
251.2825,-410.3740
251.3907,-408.3772
251.4985,-406.3803
251.6062,-404.3835
251.7140,-402.3867
251.8217,-400.3899
251.9295,-398.3930
252.0373,-396.3962
252.1450,-394.3994
252.2528,-392.4025
252.3599,-390.4057
252.4669,-388.4088
252.5738,-386.4119
252.6807,-384.4150
252.7877,-382.4182
252.8946,-380.4213
253.0016,-378.4244
253.1085,-376.4276
253.2151,-374.4307
253.3204,-372.4337
253.4256,-370.4368
253.5309,-368.4399
253.6362,-366.4429
253.7414,-364.4460
253.8467,-362.4491
253.9519,-360.4521
254.0572,-358.4552
254.1600,-356.4580
254.2617,-354.4608
254.3633,-352.4636
254.4649,-350.4664
254.5665,-348.4692
254.6681,-346.4720
254.7697,-344.4747
254.8713,-342.4775
254.9772,-340.4806
255.1216,-338.4860
255.2661,-336.4914
255.4105,-334.4969
255.5549,-332.5023
255.6993,-330.5077
255.8438,-328.5132
255.9882,-326.5186
256.1326,-324.5240
256.2964,-322.5311
256.4763,-320.5396
256.6562,-318.5480
256.8361,-316.5565
257.0160,-314.5650
257.1959,-312.5734
257.3758,-310.5819
257.5557,-308.5904
257.7356,-306.5988
257.9384,-304.6094
258.1414,-302.6201
258.3444,-300.6307
258.5475,-298.6413
258.7505,-296.6519
258.9535,-294.6625
259.1565,-292.6732
259.3595,-290.6838
259.5737,-288.6956
259.8023,-286.7089
260.0309,-284.7223
260.2596,-282.7356
260.4883,-280.7490
260.7169,-278.7623
260.9455,-276.7756
261.1742,-274.7890
261.4028,-272.8023
261.6553,-270.8186
261.9111,-268.8353
262.1669,-266.8520
262.4227,-264.8687
262.6785,-262.8853
262.9343,-260.9020
263.1901,-258.9187
263.4459,-256.9354
263.7112,-254.9534
263.9965,-252.9740
264.2818,-250.9947
264.5671,-249.0154
264.8524,-247.0360
265.1377,-245.0567
265.4230,-243.0773
265.7083,-241.0980
265.9936,-239.1186
266.3037,-237.1432
266.6215,-235.1689
266.9392,-233.1946
267.2569,-231.2204
267.5747,-229.2461
267.8924,-227.2718
268.2102,-225.2975
268.5279,-223.3233
268.8568,-221.3510
269.2108,-219.3830
269.5648,-217.4151
269.9188,-215.4472
270.2728,-213.4793
270.6268,-211.5114
270.9808,-209.5435
271.3349,-207.5755
271.6889,-205.6076
272.0750,-203.6458
272.4669,-201.6852
272.8587,-199.7245
273.2506,-197.7638
273.6425,-195.8032
274.0344,-193.8425
274.4263,-191.8818
274.8182,-189.9212
275.2247,-187.9637
275.6667,-186.0138
276.1088,-184.0639
276.5509,-182.1141
276.9929,-180.1642
277.4350,-178.2143
277.8770,-176.2645
278.3191,-174.3146
278.7611,-172.3648
279.2511,-170.4270
279.7582,-168.4935
280.2653,-166.5601
280.7724,-164.6266
281.2795,-162.6932
281.7867,-160.7597
282.2938,-158.8263
282.8009,-156.8928
283.3179,-154.9621
283.8798,-153.0436
284.4417,-151.1251
285.0036,-149.2066
285.5655,-147.2881
286.1274,-145.3696
286.6893,-143.4511
287.2513,-141.5326
287.8131,-139.6141
288.4030,-137.7042
289.0096,-135.7996
289.6162,-133.8949
290.2229,-131.9902
290.8296,-130.0855
291.4362,-128.1808
292.0428,-126.2761
292.6495,-124.3715
293.2577,-122.4673
293.8871,-120.5701
294.5166,-118.6729
295.1461,-116.7756
295.7756,-114.8784
296.4050,-112.9812
297.0345,-111.0840
297.6640,-109.1868
298.2935,-107.2896
298.9511,-105.4025
299.6356,-103.5251
300.3201,-101.6476
301.0046,-99.7702
301.6891,-97.8927
302.3736,-96.0153
303.0580,-94.1379
303.7426,-92.2604
304.4285,-90.3835
305.1364,-88.5145
305.8443,-86.6455
306.5522,-84.7766
307.2601,-82.9076
307.9680,-81.0386
308.6759,-79.1696
309.3838,-77.3006
310.0916,-75.4316
310.8166,-73.5693
311.5521,-71.7111
312.2876,-69.8528
313.0231,-67.9946
313.7586,-66.1364
314.4941,-64.2782
315.2296,-62.4200
315.9651,-60.5617
316.7126,-58.7085
317.4925,-56.8690
318.2724,-55.0295
319.0523,-53.1899
319.8322,-51.3504
320.6121,-49.5109
321.3920,-47.6713
322.1719,-45.8318
322.9518,-43.9923
323.7456,-42.1590
324.5406,-40.3263
325.3456,-38.4982
326.1526,-36.6710
326.9744,-34.8504
327.8012,-33.0321
328.6427,-31.2208
329.4919,-29.4133
330.3558,-27.6127
331.2310,-25.8176
332.1226,-24.0305
333.0320,-22.2523
333.9541,-20.4806
334.8961,-18.7191
335.8488,-16.9634
336.8263,-15.2212
337.8129,-13.4841
338.8331,-11.7663
339.8597,-10.0524
340.9231,-8.3608
341.9901,-6.6716
343.0954,-5.0075
344.2017,-3.3441
345.3516,-1.7101
346.5014,-0.0761
347.7014,1.5220
348.9036,3.1185
350.1465,4.6833
351.3941,6.2444
352.6797,7.7743
353.9727,9.2979
355.3206,10.7730
356.6846,12.2336
358.0766,13.6674
359.4802,15.0903
360.9041,16.4925
362.3382,17.8846
363.7921,19.2559
365.2578,20.6148
366.7433,21.9518
368.2427,23.2734
369.7617,24.5722
371.2968,25.8520
372.8472,27.1128
374.4126,28.3552
375.9916,29.5799
377.5863,30.7844
379.1942,31.9708
380.8201,33.1327
382.4593,34.2753
384.1198,35.3869
385.7802,36.4986
387.4408,37.6102
389.1034,38.7185
390.8066,39.7630
392.5099,40.8074
394.2131,41.8519
395.9164,42.8964
397.6405,43.9063
399.3730,44.9025
401.1055,45.8987
402.8380,46.8948
404.5705,47.8910
406.3030,48.8872
408.0355,49.8834
409.7680,50.8795
411.5004,51.8758
413.2324,52.8743
414.9643,53.8727
416.6962,54.8712
418.4281,55.8696
420.1600,56.8680
421.8920,57.8665
423.6239,58.8649
425.3558,59.8634
427.0879,60.8613
