x,z
-96.4480,-171.3313
-98.4471,-171.3352
-100.4463,-171.3392
-102.4455,-171.3431
-104.4446,-171.3470
-106.4438,-171.3509
-108.4430,-171.3548
-110.4422,-171.3603
-112.4413,-171.3667
-114.4405,-171.3730
-116.4397,-171.3794
-118.4389,-171.3858
-120.4380,-171.3921
-122.4372,-171.3985
-124.4364,-171.4048
-126.4355,-171.4129
-128.4347,-171.4217
-130.4339,-171.4304
-132.4330,-171.4392
-134.4322,-171.4480
-136.4314,-171.4567
-138.4305,-171.4655
-140.4297,-171.4743
-142.4289,-171.4821
-144.4280,-171.4896
-146.4272,-171.4971
-148.4264,-171.5046
-150.4255,-171.5122
-152.4247,-171.5197
-154.4239,-171.5272
-156.4230,-171.5347
-158.4222,-171.5412
-160.4214,-171.5478
-162.4205,-171.5543
-164.4197,-171.5608
-166.4189,-171.5674
-168.4181,-171.5739
-170.4172,-171.5804
-172.4164,-171.5870
-174.4156,-171.5934
-176.4147,-171.5998
-178.4139,-171.6062
-180.4131,-171.6126
-182.4122,-171.6190
-184.4114,-171.6254
-186.4105,-171.6318
-188.4097,-171.6412
-190.4088,-171.6556
-192.4079,-171.6700
-194.4071,-171.6844
-196.4062,-171.6988
-198.4053,-171.7131
-200.4045,-171.7275
-202.4036,-171.7419
-204.4027,-171.7573
-206.4018,-171.7733
-208.4010,-171.7893
-210.4001,-171.8053
-212.3992,-171.8213
-214.3983,-171.8373
-216.3974,-171.8533
-218.3966,-171.8693
-220.3957,-171.8866
-222.3948,-171.9043
-224.3939,-171.9221
-226.3930,-171.9399
-228.3921,-171.9576
-230.3912,-171.9754
-232.3903,-171.9932
-234.3894,-172.0110
-236.3885,-172.0167
-238.3877,-172.0211
-240.3869,-172.0256
-242.3860,-172.0300
-244.3852,-172.0345
-246.3844,-172.0390
-248.3836,-172.0434
-250.3827,-172.0473
-252.3819,-172.0409
-254.3811,-172.0344
-256.3802,-172.0280
-258.3794,-172.0216
-260.3785,-172.0152
-262.3777,-172.0088
-264.3769,-172.0024
-266.3760,-171.9946
-268.3752,-171.9837
-270.3743,-171.9728
-272.3735,-171.9619
-274.3726,-171.9510
-276.3718,-171.9401
-278.3709,-171.9292
-280.3701,-171.9184
-282.3692,-171.9109
-284.3684,-171.9058
-286.3676,-171.9006
-288.3668,-171.8954
-290.3659,-171.8902
-292.3651,-171.8851
-294.3643,-171.8799
-296.3634,-171.8747
-298.3625,-171.8594
-300.3615,-171.8436
-302.3606,-171.8278
-304.3596,-171.8120
-306.3587,-171.7963
-308.3577,-171.7805
-310.3568,-171.7647
-312.3549,-171.7158
-314.3521,-171.6314
-316.3493,-171.5470
-318.3465,-171.4626
-320.3421,-171.3456
-322.3371,-171.2160
-324.3320,-171.0864
-326.3270,-170.9565
-328.3182,-170.7788
-330.3074,-170.5856
-332.2867,-170.3179
-334.2622,-170.0219
-336.2306,-169.6724
-338.1913,-169.2836
-340.1462,-168.8655
-342.0711,-168.3296
-343.9870,-167.7585
-345.8715,-167.0921
-347.7508,-166.4106
-349.5788,-165.6014
-351.3987,-164.7749
-353.1888,-163.8849
-354.9660,-162.9701
-356.7288,-162.0272
-358.4482,-161.0088
-360.1489,-159.9579
-361.8277,-158.8728
-363.4983,-157.7749
-365.1403,-156.6347
-366.7696,-155.4766
-368.3812,-154.2937
-369.9619,-153.0705
-371.5249,-151.8241
-373.0418,-150.5224
-374.5474,-149.2072
-376.0308,-147.8670
-377.4843,-146.4958
-378.8829,-145.0674
-380.2526,-143.6116
-381.6009,-142.1355
-382.8919,-140.6097
-384.1643,-139.0679
-385.3748,-137.4769
-386.5648,-135.8708
-387.7169,-134.2370
-388.8145,-132.5668
-389.8795,-130.8749
-390.9001,-129.1560
-391.9078,-127.4295
-392.8290,-125.6553
-393.7305,-123.8713
-394.5714,-122.0576
-395.3875,-120.2329
-396.1588,-118.3885
-396.8770,-116.5237
-397.5356,-114.6361
-398.1786,-112.7432
-398.8109,-110.8466
-399.3518,-108.9229
-399.8590,-106.9891
-400.2441,-105.0290
-400.5780,-103.0579
-400.8173,-101.0741
-401.0164,-99.0849
-401.1444,-97.0903
-401.2466,-95.0937
-401.2623,-93.0952
-401.2513,-91.0961
-401.1654,-89.0992
-401.0588,-87.1029
-400.8980,-85.1104
-400.7235,-83.1189
-400.5199,-81.1302
-400.3105,-79.1421
-400.0712,-77.1573
-399.8287,-75.1729
-399.5526,-73.1929
-399.2746,-71.2132
-398.9468,-69.2410
-398.6154,-67.2696
-398.1922,-65.3157
-397.7690,-63.3619
-397.2463,-61.4322
-396.7216,-59.5032
-396.1001,-57.6035
-395.4642,-55.7081
-394.7404,-53.8450
-393.9978,-51.9889
-393.1682,-50.1711
-392.2997,-48.3704
-391.3499,-46.6127
-390.3522,-44.8802
-389.2918,-43.1867
-388.1827,-41.5234
-387.0294,-39.8913
-385.8384,-38.2855
-384.5958,-36.7203
-383.3183,-35.1825
-381.9726,-33.7052
-380.6019,-32.2498
-379.1772,-30.8474
-377.7338,-29.4649
-376.2376,-28.1389
-374.7051,-26.8564
-373.1345,-25.6195
-371.5255,-24.4333
-369.8941,-23.2784
-368.2279,-22.1737
-366.5241,-21.1286
-364.8034,-20.1110
-363.0501,-19.1505
-361.2654,-18.2514
-359.4589,-17.3954
-357.6252,-16.5989
-355.7724,-15.8497
-353.9030,-15.1413
-351.9899,-14.5632
-350.0636,-14.0332
-348.1040,-13.6376
-346.1354,-13.2965
-344.1531,-13.0382
-342.1648,-12.8366
-340.1717,-12.6814
-338.1761,-12.5625
-336.1799,-12.4554
-334.1815,-12.4025
-332.1829,-12.3572
-330.1838,-12.3642
-328.1850,-12.3845
-326.1878,-12.4733
-324.1917,-12.5791
-322.1989,-12.7378
-320.2080,-12.9165
-318.2214,-13.1396
-316.2363,-13.3757
-314.2539,-13.6338
-312.2737,-13.9079
-310.2970,-14.2064
-308.3233,-14.5238
-306.3542,-14.8687
-304.3850,-15.2136
-302.4158,-15.5585
-300.4484,-15.9128
-298.4825,-16.2760
-296.5166,-16.6392
-294.5508,-17.0025
-292.5792,-17.3328
-290.6052,-17.6487
-288.6312,-17.9645
-286.6571,-18.2803
-284.6836,-18.5996
-282.7101,-18.9193
-280.7367,-19.2390
-278.7631,-19.5577
-276.7848,-19.8459
-274.8065,-20.1341
-272.8282,-20.4223
-270.8494,-20.7069
-268.8676,-20.9699
-266.8858,-21.2329
-264.9040,-21.4959
-262.9220,-21.7577
-260.9392,-22.0127
-258.9564,-22.2677
-256.9735,-22.5227
-254.9904,-22.7755
-253.0040,-23.0008
-251.0176,-23.2261
-249.0311,-23.4514
-247.0447,-23.6767
-245.0563,-23.8835
-243.0676,-24.0876
-241.0789,-24.2918
-239.0903,-24.4959
-237.0998,-24.6814
-235.1081,-24.8534
-233.1152,-25.0099
-231.1207,-25.1446
-229.1256,-25.2699
-227.1289,-25.3660
-225.1320,-25.4563
-223.1332,-25.4927
-221.1345,-25.5290
-219.1355,-25.5142
-217.1364,-25.4970
-215.1386,-25.4296
-213.1411,-25.3503
-211.1476,-25.2060
-209.1559,-25.0337
-207.1728,-24.7868
-205.1942,-24.5006
-203.2309,-24.1295
-201.2757,-23.7125
-199.3411,-23.2125
-197.4182,-22.6657
-195.5154,-22.0547
-193.6248,-21.4047
-191.7633,-20.6781
-189.9175,-19.9102
-188.1118,-19.0545
-186.3212,-18.1654
-184.5752,-17.1928
-182.8412,-16.1978
-181.1550,-15.1248
-179.4797,-14.0338
-177.8462,-12.8818
-176.2228,-11.7151
-174.6545,-10.4762
-173.1022,-9.2164
-171.6098,-7.8874
-170.1394,-6.5328
-168.7188,-5.1270
-167.3215,-3.6973
-165.9711,-2.2239
-164.6496,-0.7238
-163.3696,0.8110
-162.1266,2.3768
-160.9253,3.9737
-159.7764,5.6098
-158.6577,7.2659
-157.5935,8.9583
-156.5556,10.6660
-155.6069,12.4257
-154.6723,14.1925
-153.8482,16.0139
-153.0240,17.8353
-152.3176,19.7054
-151.6147,21.5770
-151.0246,23.4863
-150.4596,25.4039
-149.9859,27.3454
-149.5414,29.2945
-149.2117,31.2646
-148.9375,33.2449
-148.7598,35.2347
-148.6427,37.2304
-148.6051,39.2283
-148.6138,41.2275
-148.7228,43.2224
-148.8819,45.2153
-149.1133,47.2005
-149.3707,49.1831
-149.7499,51.1450
-150.1586,53.1020
-150.6413,55.0419
-151.1366,56.9785
-151.7432,58.8834
-152.3630,60.7839
-153.0444,62.6633
-153.7566,64.5308
-154.5269,66.3756
-155.3319,68.2052
-156.1710,70.0197
-157.0312,71.8243
-157.9032,73.6233
-158.7606,75.4293
-159.6131,77.2376
-160.4907,79.0338
-161.3741,80.8273
-162.2770,82.6109
-163.1899,84.3894
-164.1327,86.1523
-165.0756,87.9152
-166.0184,89.6780
-166.9663,91.4382
-167.9203,93.1950
-168.8743,94.9518
-169.8284,96.7086
-170.7843,98.4644
-171.7422,100.2190
-172.7002,101.9737
-173.6581,103.7284
-174.5904,105.4967
-175.5055,107.2740
-176.3787,109.0720
-177.2279,110.8818
-178.0247,112.7147
-178.7926,114.5605
-179.5280,116.4193
-180.2490,118.2838
-180.9406,120.1593
-181.6218,122.0387
-182.2115,123.9478
-182.7650,125.8688
-183.2211,127.8138
-183.6274,129.7711
-183.9346,131.7452
-184.1917,133.7277
-184.3302,135.7205
-184.4192,137.7176
-184.3837,139.7150
-184.3043,141.7125
-184.1086,143.7009
-183.8749,145.6864
-183.5790,147.6632
-183.2668,149.6378
-182.8314,151.5877
-182.3601,153.5305
-181.7762,155.4413
-181.1623,157.3438
-180.4352,159.2049
-179.6812,161.0563
-178.8431,162.8707
-177.9899,164.6785
-177.0261,166.4294
-176.0508,168.1744
-174.9989,169.8743
-173.9422,171.5713
-172.8479,173.2443
-171.7515,174.9160
-170.5992,176.5496
-169.4441,178.1813
-168.2514,179.7857
-167.0544,181.3868
-165.8235,182.9621
-164.5878,184.5334
-163.3176,186.0771
-162.0443,187.6182
-160.7436,189.1361
-159.4400,190.6515
-158.0825,192.1187
-156.7249,193.5858
-155.3680,195.0534
-154.0112,196.5210
-152.6543,197.9886
-151.2965,199.4553
-149.9259,200.9098
-148.5552,202.3643
-147.1846,203.8188
-145.8081,205.2677
-144.4022,206.6881
-142.9962,208.1086
-141.5903,209.5290
-140.1820,210.9472
-138.7700,212.3618
-137.3580,213.7765
-135.9460,215.1911
-134.5215,216.5933
-133.0896,217.9880
-131.6577,219.3828
-130.2257,220.7775
-128.7579,222.1342
-127.2823,223.4828
-125.8068,224.8313
-124.3311,226.1798
-122.8457,227.5175
-121.3603,228.8552
-119.8749,230.1929
-118.3854,231.5261
-116.8773,232.8383
-115.3648,234.1455
-113.8414,235.4399
-112.3092,236.7238
-110.7625,237.9905
-109.2131,239.2539
-107.6606,240.5134
-106.0904,241.7505
-104.5047,242.9680
-102.8981,244.1573
-101.2746,245.3239
-99.6365,246.4688
-97.9876,247.5979
-96.3242,248.7061
-94.6515,249.8011
-92.9554,250.8589
-91.2449,251.8938
-89.5245,252.9119
-87.7990,253.9215
-86.0666,254.9193
-84.3319,255.9131
-82.5820,256.8798
-80.8294,257.8415
-79.0584,258.7691
-77.2857,259.6933
-75.5014,260.5941
-73.7164,261.4934
-71.9240,262.3787
-70.1306,263.2620
-68.3152,264.0994
-66.4991,264.9350
-64.6765,265.7566
-62.8505,266.5703
-61.0086,267.3477
-59.1633,268.1166
-57.3038,268.8507
-55.4417,269.5781
-53.5714,270.2843
-51.6972,270.9799
-49.8139,271.6507
-47.9255,272.3066
-46.0276,272.9348
-44.1273,273.5557
-42.2235,274.1656
-40.3145,274.7590
-38.3997,275.3336
-36.4798,275.8904
-34.5555,276.4322
-32.6288,276.9656
-30.7008,277.4939
-28.7730,278.0235
-26.8455,278.5537
-24.9186,279.0863
-22.9918,279.6196
-21.0676,280.1618
-19.1438,280.7055
-17.2200,281.2492
-15.2965,281.7939
-13.3806,282.3649
-11.4648,282.9359
-9.5489,283.5069
-7.6351,284.0845
-5.7287,284.6864
-3.8248,285.2960
