x,z
-96.4470,-171.3313
-98.4467,-171.3352
-100.4464,-171.3392
-102.4460,-171.3431
-104.4457,-171.3470
-106.4454,-171.3509
-108.4451,-171.3548
-110.4448,-171.3604
-112.4444,-171.3667
-114.4441,-171.3731
-116.4438,-171.3794
-118.4435,-171.3858
-120.4431,-171.3921
-122.4428,-171.3985
-124.4425,-171.4048
-126.4422,-171.4129
-128.4418,-171.4217
-130.4415,-171.4305
-132.4412,-171.4392
-134.4409,-171.4480
-136.4405,-171.4568
-138.4402,-171.4655
-140.4399,-171.4743
-142.4395,-171.4821
-144.4392,-171.4896
-146.4389,-171.4972
-148.4386,-171.5047
-150.4382,-171.5122
-152.4379,-171.5197
-154.4376,-171.5273
-156.4373,-171.5347
-158.4369,-171.5413
-160.4366,-171.5478
-162.4363,-171.5544
-164.4360,-171.5609
-166.4357,-171.5674
-168.4353,-171.5740
-170.4350,-171.5805
-172.4347,-171.5870
-174.4344,-171.5934
-176.4340,-171.5998
-178.4337,-171.6063
-180.4333,-171.6127
-182.4330,-171.6191
-184.4327,-171.6255
-186.4324,-171.6319
-188.4320,-171.6414
-190.4316,-171.6558
-192.4313,-171.6702
-194.4309,-171.6845
-196.4306,-171.6989
-198.4302,-171.7133
-200.4298,-171.7277
-202.4295,-171.7421
-204.4291,-171.7575
-206.4287,-171.7735
-208.4283,-171.7895
-210.4280,-171.8055
-212.4276,-171.8215
-214.4272,-171.8375
-216.4268,-171.8535
-218.4265,-171.8695
-220.4261,-171.8868
-222.4257,-171.9046
-224.4253,-171.9224
-226.4249,-171.9402
-228.4245,-171.9579
-230.4241,-171.9757
-232.4237,-171.9935
-234.4233,-172.0113
-236.4230,-172.0167
-238.4227,-172.0212
-240.4224,-172.0257
-242.4220,-172.0301
-244.4217,-172.0346
-246.4214,-172.0390
-248.4211,-172.0435
-250.4207,-172.0471
-252.4204,-172.0407
-254.4201,-172.0343
-256.4198,-172.0279
-258.4194,-172.0215
-260.4191,-172.0151
-262.4188,-172.0087
-264.4185,-172.0022
-266.4181,-171.9944
-268.4178,-171.9835
-270.4174,-171.9726
-272.4171,-171.9617
-274.4167,-171.9508
