x,z
-96.4474,-171.3313
-98.4480,-171.3352
-100.4486,-171.3392
-102.4492,-171.3431
-104.4497,-171.3470
-106.4503,-171.3509
-108.4509,-171.3548
-110.4515,-171.3604
-112.4520,-171.3667
-114.4526,-171.3731
-116.4532,-171.3795
-118.4537,-171.3858
-120.4543,-171.3922
-122.4549,-171.3985
-124.4555,-171.4049
-126.4560,-171.4130
-128.4566,-171.4218
-130.4572,-171.4305
-132.4577,-171.4393
-134.4583,-171.4481
-136.4589,-171.4569
-138.4594,-171.4656
-140.4600,-171.4744
-142.4606,-171.4822
-144.4611,-171.4897
-146.4617,-171.4973
-148.4623,-171.5048
-150.4628,-171.5123
-152.4634,-171.5198
-154.4640,-171.5274
-156.4646,-171.5348
-158.4651,-171.5414
-160.4657,-171.5479
-162.4663,-171.5544
-164.4668,-171.5610
-166.4674,-171.5675
-168.4680,-171.5741
-170.4686,-171.5806
-172.4691,-171.5871
-174.4697,-171.5936
-176.4703,-171.6000
-178.4708,-171.6064
-180.4714,-171.6128
-182.4720,-171.6192
-184.4725,-171.6256
-186.4731,-171.6320
-188.4736,-171.6417
-190.4742,-171.6561
-192.4747,-171.6705
-194.4752,-171.6849
-196.4758,-171.6992
-198.4763,-171.7137
-200.4768,-171.7280
-202.4773,-171.7424
-204.4779,-171.7579
-206.4784,-171.7739
-208.4789,-171.7899
-210.4794,-171.8059
-212.4800,-171.8219
-214.4805,-171.8380
-216.4810,-171.8540
-218.4815,-171.8700
-220.4820,-171.8873
-222.4825,-171.9051
-224.4830,-171.9229
-226.4836,-171.9407
-228.4841,-171.9585
-230.4846,-171.9762
-232.4851,-171.9940
-234.4856,-172.0118
-236.4861,-172.0169
-238.4867,-172.0213
-240.4873,-172.0258
-242.4878,-172.0303
-244.4884,-172.0347
-246.4890,-172.0392
-248.4896,-172.0436
-250.4901,-172.0469
-252.4907,-172.0405
-254.4913,-172.0341
-256.4918,-172.0277
-258.4924,-172.0213
-260.4930,-172.0148
-262.4935,-172.0084
-264.4941,-172.0020
-266.4947,-171.9940
-268.4952,-171.9831
-270.4958,-171.9722
-272.4963,-171.9613
-274.4969,-171.9504
-276.4974,-171.9395
-278.4980,-171.9286
-280.4985,-171.9177
-282.4991,-171.9106
-284.4996,-171.9054
-286.5002,-171.9002
-288.5008,-171.8951
-290.5014,-171.8899
-292.5020,-171.8847
-294.5025,-171.8795
-296.5031,-171.8740
-298.5035,-171.8582
-300.5040,-171.8425
-302.5044,-171.8267
-304.5049,-171.8109
-306.5053,-171.7951
-308.5058,-171.7793
-310.5062,-171.7635
-312.5056,-171.7094
-314.5042,-171.6250
-316.5028,-171.5405
-318.5014,-171.4560
-320.4982,-171.3354
-322.4946,-171.2058
-324.4910,-171.0761
-326.4870,-170.9422
-328.4797,-170.7644
-330.4693,-170.5637
-332.4499,-170.2959
-334.4259,-169.9928
-336.3957,-169.6431
