x,z
233.7694,-751.9258
233.7737,-753.9262
233.7779,-755.9266
233.7822,-757.9269
233.7864,-759.9273
233.7907,-761.9277
233.7949,-763.9280
233.7992,-765.9284
233.8034,-767.9288
233.8077,-769.9291
233.8120,-771.9295
233.8162,-773.9299
233.8204,-775.9302
233.8205,-777.9306
233.8207,-779.9310
233.8208,-781.9313
233.8210,-783.9317
233.8211,-785.9321
233.8213,-787.9324
233.8214,-789.9328
233.8215,-791.9332
233.8217,-793.9335
233.8218,-795.9339
233.8220,-797.9343
233.8221,-799.9346
233.8222,-801.9350
233.8222,-803.9354
233.8223,-805.9358
233.8223,-807.9362
233.8223,-809.9365
233.8224,-811.9369
233.8224,-813.9373
233.8224,-815.9376
233.8224,-817.9380
233.8225,-819.9384
233.8225,-821.9387
233.8225,-823.9391
233.8224,-825.9395
233.8223,-827.9398
233.8222,-829.9402
233.8221,-831.9406
233.8220,-833.9409
233.8219,-835.9413
233.8217,-837.9417
233.8216,-839.9421
233.8215,-841.9424
233.8214,-843.9428
233.8232,-845.9432
233.8256,-847.9435
233.8281,-849.9439
233.8306,-851.9443
233.8330,-853.9446
233.8355,-855.9450
233.8379,-857.9454
233.8404,-859.9457
233.8428,-861.9461
233.8710,-863.9462
233.9061,-865.9463
233.9412,-867.9464
233.9762,-869.9464
234.0113,-871.9465
234.0464,-873.9465
234.0814,-875.9466
234.0939,-877.9467
234.0910,-879.9470
234.0635,-881.9468
234.0300,-883.9467
233.9978,-885.9466
233.9611,-887.9465
233.9137,-889.9464
233.8749,-891.9462
233.8739,-893.9465
233.8730,-895.9469
233.8583,-897.9471
233.8294,-899.9471
233.8004,-901.9472
233.7081,-903.9449
233.5872,-905.9415
233.4662,-907.9380
233.3455,-909.9346
233.2249,-911.9312
233.1044,-913.9277
232.9675,-915.9232
232.8180,-917.9178
232.6684,-919.9124
232.5105,-921.9063
232.3360,-923.8988
232.1615,-925.8913
231.9873,-927.8839
231.8165,-929.8767
231.6456,-931.8696
231.4748,-933.8624
231.2728,-935.8523
231.0633,-937.8414
230.8539,-939.8306
230.6442,-941.8197
230.4343,-943.8088
230.2244,-945.7980
230.0083,-947.7864
229.7859,-949.7742
229.5634,-951.7619
229.3336,-953.7489
229.0979,-955.7352
228.8621,-957.7216
228.6228,-959.7076
228.3826,-961.6935
228.1273,-963.6774
227.8351,-965.6563
227.5388,-967.6345
227.1801,-969.6023
226.8188,-971.5695
226.4477,-973.5345
226.0461,-975.4937
225.6372,-977.4512
225.2265,-979.4083
224.7796,-981.3575
224.3176,-983.3032
223.7896,-985.2324
223.2610,-987.1613
222.7107,-989.0842
222.1494,-991.0038
221.5353,-992.9075
220.9055,-994.8057
220.2280,-996.6877
219.5199,-998.5579
218.7458,-1000.4024
217.9510,-1002.2379
217.1324,-1004.0631
216.3022,-1005.8830
215.4592,-1007.6971
214.5867,-1009.4968
213.6907,-1011.2853
212.7610,-1013.0560
211.7999,-1014.8104
210.8250,-1016.5570
209.8390,-1018.2975
208.7963,-1020.0035
207.7038,-1021.6791
206.5524,-1023.3137
205.3576,-1024.9181
204.1454,-1026.5092
202.9174,-1028.0883
201.6490,-1029.6346
200.3630,-1031.1669
199.0770,-1032.6991
197.7910,-1034.2312
196.3830,-1035.6521
194.9749,-1037.0728
193.5668,-1038.4935
192.1188,-1039.8712
190.5933,-1041.1649
