x,z
233.7693,-751.9259
233.7735,-753.9255
233.7778,-755.9252
233.7820,-757.9249
233.7862,-759.9246
233.7905,-761.9243
233.7947,-763.9240
233.7989,-765.9236
233.8032,-767.9233
233.8074,-769.9230
233.8116,-771.9227
233.8159,-773.9224
233.8201,-775.9221
233.8202,-777.9218
233.8204,-779.9214
233.8205,-781.9211
233.8207,-783.9208
233.8208,-785.9205
233.8210,-787.9202
233.8211,-789.9199
233.8213,-791.9196
233.8214,-793.9192
233.8216,-795.9189
233.8217,-797.9186
233.8219,-799.9183
233.8220,-801.9180
233.8220,-803.9177
233.8220,-805.9174
233.8221,-807.9170
233.8221,-809.9167
233.8221,-811.9164
233.8222,-813.9161
233.8222,-815.9158
233.8222,-817.9155
233.8223,-819.9152
233.8223,-821.9148
233.8223,-823.9145
233.8222,-825.9142
233.8221,-827.9139
233.8220,-829.9136
233.8218,-831.9133
233.8217,-833.9129
233.8216,-835.9126
233.8215,-837.9123
233.8214,-839.9120
233.8213,-841.9117
233.8211,-843.9114
233.8229,-845.9111
233.8253,-847.9107
233.8278,-849.9104
233.8303,-851.9101
233.8328,-853.9098
233.8352,-855.9095
233.8377,-857.9092
233.8402,-859.9088
233.8427,-861.9085
233.8702,-863.9080
233.9052,-865.9073
233.9402,-867.9067
233.9753,-869.9061
234.0103,-871.9055
234.0453,-873.9048
234.0803,-875.9042
234.0936,-877.9037
234.0908,-879.9032
234.0641,-881.9024
234.0305,-883.9016
233.9983,-885.9008
233.9619,-887.9001
233.9146,-889.8992
233.8748,-891.8984
233.8737,-893.8980
233.8726,-895.8977
233.8586,-897.8972
233.8298,-899.8965
233.8010,-901.8959
233.7111,-903.8930
233.5902,-905.8890
233.4693,-907.8849
233.3486,-909.8807
233.2281,-911.8766
233.1076,-913.8725
232.9716,-915.8673
232.8220,-917.8612
232.6725,-919.8551
232.5153,-921.8483
232.3409,-923.8402
232.1665,-925.8321
231.9923,-927.8240
231.8215,-929.8162
231.6508,-931.8083
231.4800,-933.8005
231.2792,-935.7897
231.0699,-937.7783
230.8606,-939.7667
230.6510,-941.7552
230.4411,-943.7436
230.2312,-945.7321
230.0156,-947.7198
229.7931,-949.7069
229.5707,-951.6940
229.3415,-953.6803
229.1059,-955.6660
228.8702,-957.6517
228.6311,-959.6370
228.3909,-961.6223
228.1376,-963.6057
227.8454,-965.5839
227.5517,-967.5619
227.1931,-969.5290
226.8325,-971.4957
226.4615,-973.4600
226.0614,-975.4187
225.6527,-977.3756
225.2420,-979.3320
224.7971,-981.2810
224.3383,-983.2268
223.8105,-985.1552
223.2827,-987.0836
222.7328,-989.0060
222.1743,-990.9258
221.5605,-992.8287
220.9336,-994.7272
220.2563,-996.6086
219.5525,-998.4797
218.7787,-1000.3236
217.9860,-1002.1593
217.1678,-1003.9839
216.3389,-1005.8036
215.4962,-1007.6171
214.6263,-1009.4174
213.7306,-1011.2052
212.8042,-1012.9769
211.8434,-1014.7307
210.8700,-1016.4774
209.8843,-1018.2172
208.8469,-1019.9256
207.7548,-1021.6008
206.6087,-1023.2382
205.4142,-1024.8419
204.2040,-1026.4336
202.9763,-1028.0121
201.7112,-1029.5603
200.4256,-1031.0919
199.1401,-1032.6237
197.8546,-1034.1554
196.4531,-1035.5812
195.0454,-1037.0015
193.6378,-1038.4216
192.1963,-1039.8053
190.6713,-1041.0986
189.1463,-1042.3920
187.6213,-1043.6853
186.0474,-1044.9149
184.4075,-1046.0590
182.7677,-1047.2029
181.1194,-1048.3340
179.4174,-1049.3832
177.7154,-1050.4324
176.0134,-1051.4816
174.2750,-1052.4673
172.5101,-1053.4067
170.7453,-1054.3462
168.9755,-1055.2761
167.1790,-1056.1533
165.3824,-1057.0305
163.5858,-1057.9077
161.7557,-1058.7111
159.9160,-1059.4935
158.0764,-1060.2760
156.2185,-1061.0129
154.3502,-1061.7239
152.4819,-1062.4349
150.5939,-1063.0901
148.6939,-1063.7112
146.7939,-1064.3322
144.8824,-1064.9165
142.9638,-1065.4783
141.0437,-1066.0341
139.1009,-1066.5034
137.1581,-1066.9728
135.2054,-1067.3982
133.2489,-1067.8073
131.2812,-1068.1523
129.3028,-1068.4376
127.3225,-1068.7076
125.3381,-1068.9459
123.3537,-1069.1841
121.3615,-1069.3322
119.3659,-1069.4401
117.3703,-1069.5480
115.3747,-1069.6543
113.3766,-1069.6476
111.3784,-1069.6407
109.3803,-1069.6339
107.3852,-1069.5599
105.3947,-1069.3853
103.4042,-1069.2106
101.4137,-1069.0359
99.4285,-1068.8104
97.4442,-1068.5759
95.4599,-1068.3416
93.4811,-1068.0695
91.5130,-1067.7256
89.5449,-1067.3817
87.5768,-1067.0378
85.6246,-1066.6134
83.6742,-1066.1798
81.7238,-1065.7462
79.7876,-1065.2562
77.8610,-1064.7277
75.9345,-1064.1992
74.0123,-1063.6561
72.1133,-1063.0364
70.2144,-1062.4165
68.3154,-1061.7968
66.4426,-1061.1036
64.5820,-1060.3763
62.7214,-1059.6492
60.8749,-1058.8892
59.0584,-1058.0585
57.2419,-1057.2279
55.4254,-1056.3973
53.6516,-1055.4797
51.8830,-1054.5518
50.1143,-1053.6238
48.3662,-1052.6589
46.6436,-1051.6481
44.9210,-1050.6372
43.2065,-1049.6134
41.5562,-1048.4879
39.9058,-1047.3625
38.2554,-1046.2371
36.6217,-1045.0880
34.9978,-1043.9248
33.3739,-1042.7617
31.7524,-1041.5953
30.1482,-1040.4056
28.5440,-1039.2159
26.9398,-1038.0262
25.3590,-1036.8055
23.7959,-1035.5614
22.2328,-1034.3171
20.6698,-1033.0730
19.2364,-1031.6820
17.8083,-1030.2852
16.3802,-1028.8883
14.9521,-1027.4915
13.5977,-1026.0255
12.2870,-1024.5184
10.9764,-1023.0114
9.6658,-1021.5043
8.4163,-1019.9495
7.2803,-1018.3060
6.1444,-1016.6625
5.0084,-1015.0190
3.8725,-1013.3754
2.7859,-1011.6994
1.7063,-1010.0189
0.6266,-1008.3383
-0.4530,-1006.6577
-1.4866,-1004.9496
-2.4490,-1003.1989
-3.4114,-1001.4482
-4.3737,-999.6975
-5.3361,-997.9468
-6.2540,-996.1724
-7.1713,-994.3976
-8.0886,-992.6229
-9.0060,-990.8481
-9.8760,-989.0500
-10.7354,-987.2465
-11.5947,-985.4431
-12.4511,-983.6382
-13.2380,-981.8016
-14.0248,-979.9649
-14.8117,-978.1283
-15.5501,-976.2726
-16.2058,-974.3847
-16.8614,-972.4967
-17.4563,-970.5901
-17.9717,-968.6591
-18.4871,-966.7281
-18.8973,-964.7729
-19.2797,-962.8112
-19.6544,-960.8482
-19.9852,-958.8771
-20.3160,-956.9061
-20.6005,-954.9279
-20.8652,-952.9468
-21.1277,-950.9654
-21.3290,-948.9767
-21.5302,-946.9880
-21.7085,-944.9974
-21.8443,-943.0031
-21.9801,-941.0089
-22.0843,-939.0128
-22.1719,-937.0157
-22.2596,-935.0186
-22.3049,-933.0200
-22.3494,-931.0214
-22.3814,-929.0227
-22.3771,-927.0236
-22.3728,-925.0244
-22.3249,-923.0262
-22.2387,-921.0289
-22.1525,-919.0315
-22.0082,-917.0377
-21.8495,-915.0447
-21.6769,-913.0533
-21.4125,-911.0716
-21.1481,-909.0898
-20.8523,-907.1130
-20.5080,-905.1436
-20.1638,-903.1741
-19.7764,-901.2130
-19.3658,-899.2562
-18.9551,-897.2995
-18.4951,-895.3538
-18.0302,-893.4092
-17.5546,-891.4672
-17.0399,-889.5351
-16.5252,-887.6030
-15.9715,-885.6819
-15.3956,-883.7672
-14.8152,-881.8538
