x,z
233.7693,-751.9259
233.7657,-749.9262
233.7621,-747.9265
233.7585,-745.9268
233.7548,-743.9271
233.7512,-741.9275
233.7476,-739.9278
233.7440,-737.9281
233.7404,-735.9284
233.7368,-733.9287
233.7332,-731.9291
233.7296,-729.9294
233.7259,-727.9297
233.7223,-725.9300
233.7187,-723.9303
233.7135,-721.9307
233.7078,-719.9310
233.7021,-717.9313
233.6965,-715.9316
233.6908,-713.9319
233.6851,-711.9323
233.6794,-709.9326
233.6738,-707.9329
233.6681,-705.9332
233.6624,-703.9335
233.6567,-701.9338
233.6511,-699.9342
233.6454,-697.9345
233.6428,-695.9348
233.6424,-693.9351
233.6421,-691.9354
233.6418,-689.9358
233.6415,-687.9361
233.6412,-685.9364
233.6409,-683.9367
233.6406,-681.9370
233.6403,-679.9373
233.6400,-677.9377
233.6397,-675.9380
233.6393,-673.9383
233.6390,-671.9386
233.6361,-669.9389
233.6317,-667.9392
233.6274,-665.9396
233.6231,-663.9399
233.6187,-661.9402
233.6144,-659.9405
233.6101,-657.9409
233.6057,-655.9412
233.6014,-653.9415
233.5970,-651.9418
233.5927,-649.9421
233.5884,-647.9424
233.5869,-645.9427
233.5908,-643.9431
233.5946,-641.9434
233.5985,-639.9437
233.6023,-637.9440
233.6062,-635.9443
233.6100,-633.9446
233.6139,-631.9449
233.6177,-629.9453
233.6216,-627.9456
233.6254,-625.9459
233.6293,-623.9462
233.5938,-621.9469
233.5562,-619.9476
233.5186,-617.9482
233.4810,-615.9489
233.4434,-613.9496
233.4057,-611.9503
233.3681,-609.9509
233.3305,-607.9516
233.2929,-605.9523
233.2552,-603.9529
233.2337,-601.9534
233.2179,-599.9537
233.2022,-597.9541
233.1865,-595.9545
233.1707,-593.9549
233.1550,-591.9553
233.1393,-589.9556
233.1236,-587.9560
233.1078,-585.9564
233.0965,-583.9567
233.0853,-581.9571
233.0740,-579.9574
233.0627,-577.9578
233.0514,-575.9581
233.0401,-573.9584
233.0273,-571.9588
232.9864,-569.9596
232.9454,-567.9603
232.9045,-565.9611
232.8635,-563.9618
232.8079,-561.9631
232.6834,-559.9673
232.5589,-557.9715
232.3338,-555.9847
232.1034,-553.9983
231.8194,-552.0191
231.5179,-550.0423
231.1967,-548.0686
230.8671,-546.0963
230.4397,-544.1441
229.9626,-542.2022
229.4548,-540.2683
228.9332,-538.3380
228.3507,-536.4254
227.7501,-534.5183
227.1478,-532.6118
226.5451,-530.7054
225.8992,-528.8134
225.2475,-526.9233
224.5647,-525.0445
223.8903,-523.1627
223.2299,-521.2761
222.5445,-519.3987
221.8373,-517.5294
221.1294,-515.6606
220.4189,-513.7930
219.7022,-511.9280
219.0014,-510.0573
218.3125,-508.1826
217.6626,-506.2946
217.0128,-504.4066
216.3628,-502.5187
215.7161,-500.6299
215.0763,-498.7395
214.4270,-496.8530
213.7688,-494.9696
213.1050,-493.0881
212.3883,-491.2255
211.6618,-489.3666
210.8916,-487.5255
210.0843,-485.7010
209.2125,-483.9055
208.2549,-482.1541
207.2668,-480.4190
206.2443,-478.7034
205.1633,-477.0243
204.0633,-475.3569
