x,z
73.0851,1.3595
72.9501,-0.6354
72.8151,-2.6304
72.6717,-4.6247
72.5251,-6.6188
72.3775,-8.6129
72.2288,-10.6068
72.0801,-12.6008
71.9319,-14.5947
71.7836,-16.5887
71.6357,-18.5827
71.4878,-20.5767
71.3399,-22.5707
71.1922,-24.5647
71.0443,-26.5587
70.8965,-28.5527
70.7486,-30.5467
70.6006,-32.5407
70.4525,-34.5347
70.3053,-36.5287
70.1582,-38.5227
70.0108,-40.5167
69.8633,-42.5106
69.7155,-44.5046
69.5672,-46.4985
69.4189,-48.4924
69.2697,-50.4862
69.1205,-52.4801
68.9704,-54.4738
68.8201,-56.4676
68.6693,-58.4613
68.5177,-60.4549
68.3658,-62.4486
68.2128,-64.4421
68.0597,-66.4356
67.9051,-68.4290
67.7505,-70.4224
67.5948,-72.4158
67.4386,-74.4090
67.2845,-76.4025
67.1336,-78.3962
66.9828,-80.3898
66.8330,-82.3836
66.6832,-84.3773
66.5313,-86.3708
66.3791,-88.3642
66.2274,-90.3577
66.0761,-92.3511
65.9250,-94.3446
65.7743,-96.3380
65.6236,-98.3314
65.4734,-100.3248
65.3232,-102.3182
65.1731,-104.3115
65.0231,-106.3048
64.8730,-108.2980
64.7229,-110.2912
64.5727,-112.2844
64.4223,-114.2774
64.2719,-116.2705
64.1210,-118.2635
63.9701,-120.2565
63.8186,-122.2494
63.6669,-124.2424
63.5148,-126.2354
63.3620,-128.2283
63.2090,-130.2213
63.0546,-132.2142
62.9001,-134.2072
62.7433,-136.2000
62.5862,-138.1928
62.4278,-140.1856
62.2687,-142.1783
62.1090,-144.1710
61.9484,-146.1637
61.7878,-148.1563
61.6264,-150.1490
61.4651,-152.1416
61.3037,-154.1344
61.1422,-156.1271
60.9810,-158.1198
60.8201,-160.1126
60.6595,-162.1055
60.4998,-164.0984
60.3401,-166.0914
60.1822,-168.0845
60.0244,-170.0777
59.8681,-172.0710
59.7123,-174.0643
59.5563,-176.0577
59.4000,-178.0510
59.2436,-180.0443
59.0863,-182.0375
58.9289,-184.0308
58.7708,-186.0239
58.6127,-188.0171
58.4569,-190.0105
58.3026,-192.0040
58.1482,-193.9974
57.9935,-195.9909
57.8381,-197.9843
57.6762,-199.9772
57.5142,-201.9700
57.3520,-203.9629
57.1897,-205.9558
57.0296,-207.9488
56.8713,-209.9420
56.7222,-211.9358
56.5965,-213.9313
56.4709,-215.9268
56.3592,-217.9231
56.2488,-219.9195
56.1515,-221.9166
56.0619,-223.9140
55.9814,-225.9118
55.9202,-227.9103
55.8590,-229.9088
55.8354,-231.9081
55.8123,-233.9074
55.8211,-235.9067
55.8469,-237.9060
55.8902,-239.9048
55.9789,-241.9023
56.0676,-243.8998
56.2255,-245.8929
56.3906,-247.8855
56.6039,-249.8730
56.8649,-251.8554
57.1387,-253.8357
57.5164,-255.7991
57.8942,-257.7625
58.3537,-259.7074
58.8573,-261.6423
59.3829,-263.5706
60.0193,-265.4660
60.6556,-267.3614
61.3794,-269.2239
62.1470,-271.0699
62.9350,-272.9066
63.8262,-274.6963
64.7173,-276.4860
65.6823,-278.2360
66.6830,-279.9668
67.7035,-281.6855
68.7833,-283.3681
69.8630,-285.0507
