x,z
73.0632,1.0380
72.9282,-0.9572
72.7929,-2.9525
72.6477,-4.9470
72.5023,-6.9415
72.3534,-8.9358
72.2046,-10.9301
72.0561,-12.9244
71.9077,-14.9187
71.7596,-16.9130
71.6116,-18.9073
71.4637,-20.9016
71.3158,-22.8960
71.1680,-24.8903
71.0202,-26.8846
70.8723,-28.8790
70.7244,-30.8733
70.5764,-32.8676
70.4286,-34.8619
70.2812,-36.8562
70.1339,-38.8506
69.9866,-40.8449
69.8390,-42.8392
69.6911,-44.8334
69.5428,-46.8277
69.3942,-48.8219
69.2451,-50.8160
69.0956,-52.8102
68.9456,-54.8043
68.7952,-56.7983
68.6441,-58.7924
68.4926,-60.7863
68.3402,-62.7803
68.1874,-64.7741
68.0338,-66.7680
67.8797,-68.7617
67.7244,-70.7554
67.5688,-72.7491
67.4135,-74.7428
67.2584,-76.7365
67.1076,-78.7305
66.9582,-80.7246
66.8080,-82.7186
66.6575,-84.7126
66.5056,-86.7064
66.3534,-88.7002
66.2018,-90.6940
66.0504,-92.6877
65.8995,-94.6815
65.7487,-96.6753
65.5983,-98.6690
65.4479,-100.6627
65.2977,-102.6564
65.1476,-104.6500
64.9975,-106.6436
64.8475,-108.6372
64.6973,-110.6307
64.5471,-112.6242
64.3966,-114.6176
64.2461,-116.6110
64.0952,-118.6043
63.9442,-120.5976
63.7927,-122.5909
63.6409,-124.5842
63.4886,-126.5775
63.3359,-128.5708
63.1825,-130.5640
63.0284,-132.5573
62.8729,-134.5505
62.7166,-136.5437
62.5589,-138.5368
62.4006,-140.5299
62.2412,-142.5230
62.0813,-144.5160
61.9207,-146.5090
61.7598,-148.5020
61.5985,-150.4949
61.4371,-152.4879
61.2755,-154.4809
61.1141,-156.4740
60.9529,-158.4671
60.7920,-160.4602
60.6315,-162.4534
60.4718,-164.4467
60.3126,-166.4400
60.1544,-168.4335
59.9969,-170.4270
59.8406,-172.4206
59.6849,-174.4143
59.5289,-176.4080
59.3727,-178.4016
59.2158,-180.3952
59.0587,-182.3888
58.9010,-184.3823
58.7431,-186.3759
58.5864,-188.3695
58.4299,-190.3631
58.2752,-192.3569
58.1209,-194.3507
57.9661,-196.3445
57.8113,-198.3383
57.6486,-200.3314
57.4854,-202.3245
57.3228,-204.3177
57.1604,-206.3109
57.0011,-208.3043
56.8429,-210.2978
56.7065,-212.2929
56.5701,-214.2880
56.4522,-216.2843
56.3346,-218.2806
56.2317,-220.2778
56.1296,-222.2749
56.0466,-224.2730
55.9648,-226.2711
55.9079,-228.2700
55.8520,-230.2690
55.8283,-232.2686
55.8047,-234.2683
55.8227,-236.2680
55.8407,-238.2677
55.9082,-240.2663
55.9780,-242.2649
56.1039,-244.2606
56.2362,-246.2560
56.4295,-248.2463
56.6338,-250.2356
56.9092,-252.2160
57.2052,-254.1938
57.5724,-256.1589
57.9722,-258.1183
58.4305,-260.0640
58.9411,-261.9974
59.4970,-263.9174
60.1198,-265.8176
60.7741,-267.7063
61.5130,-269.5644
62.2604,-271.4189
63.1078,-273.2300
63.9553,-275.0411
64.8965,-276.8051
65.8431,-278.5665
66.8650,-280.2848
67.9030,-281.9938
68.9794,-283.6787
70.0713,-285.3539
71.2055,-287.0005
72.3555,-288.6364
73.5451,-290.2433
74.7530,-291.8370
75.9961,-293.4030
77.2598,-294.9529
78.5531,-296.4778
79.8658,-297.9864
81.2010,-299.4749
82.5560,-300.9456
83.9315,-302.3969
85.3288,-303.8274
86.7430,-305.2410
88.1841,-306.6276
89.6388,-307.9995
91.1222,-309.3407
92.6166,-310.6693
94.1433,-311.9609
95.6753,-313.2462
97.2469,-314.4828
98.8197,-315.7179
100.4363,-316.8951
102.0529,-318.0723
103.7021,-319.2033
105.3537,-320.3308
107.0547,-321.3817
108.7624,-322.4220
110.5015,-323.4081
112.2589,-324.3622
114.0416,-325.2664
115.8505,-326.1192
117.6808,-326.9216
119.5504,-327.6314
121.4272,-328.3207
123.3294,-328.9377
