x,z
421.1610,1047.6963
419.1936,1048.0552
417.2261,1048.4132
415.2584,1048.7706
413.2906,1049.1272
411.3228,1049.4833
409.3549,1049.8392
407.3870,1050.1951
405.4191,1050.5510
403.4513,1050.9070
401.4835,1051.2628
399.5155,1051.6180
397.5474,1051.9728
395.5792,1052.3268
393.6107,1052.6794
391.6421,1053.0314
389.6734,1053.3828
387.7046,1053.7338
385.7357,1054.0846
383.7669,1054.4353
381.7981,1054.7863
379.8294,1055.1379
377.8609,1055.4904
375.8926,1055.8436
373.9246,1056.1990
371.9569,1056.5557
369.9894,1056.9139
368.0226,1057.2754
366.0562,1057.6394
364.0903,1058.0057
362.1252,1058.3762
360.1608,1058.7506
358.1969,1059.1279
356.2338,1059.5089
354.2714,1059.8936
352.3094,1060.2805
350.3480,1060.6700
348.3871,1061.0627
346.4266,1061.4570
344.4663,1061.8527
342.5064,1062.2499
340.5466,1062.6476
338.5868,1063.0455
336.6270,1063.4435
334.6671,1063.8407
332.7071,1064.2372
330.7468,1064.6324
328.7861,1065.0256
326.8251,1065.4171
324.8636,1065.8064
322.9016,1066.1923
320.9391,1066.5763
318.9761,1066.9583
317.0125,1067.3367
315.0484,1067.7126
313.0838,1068.0867
311.1187,1068.4580
309.1533,1068.8279
307.1878,1069.1967
305.2220,1069.5646
303.2562,1069.9319
301.2905,1070.2993
299.3247,1070.6670
297.3593,1071.0356
295.3939,1071.4054
293.4288,1071.7761
291.4641,1072.1492
289.4998,1072.5242
287.5359,1072.9011
285.5724,1073.2808
283.6095,1073.6633
281.6471,1074.0482
279.6853,1074.4359
277.7242,1074.8273
275.7635,1075.2205
273.8031,1075.6156
271.8434,1076.0138
269.8841,1076.4136
267.9250,1076.8147
265.9663,1077.2177
264.0079,1077.6218
262.0498,1078.0270
260.0919,1078.4330
258.1343,1078.8396
256.1769,1079.2473
254.2199,1079.6563
252.2590,1080.0453
250.2941,1080.4138
248.3252,1080.7606
246.3515,1081.0790
244.3809,1081.4143
242.4129,1081.7635
240.4480,1082.1279
238.4897,1082.5258
236.5329,1082.9312
234.5744,1083.3284
232.6097,1083.6937
230.6422,1084.0428
228.6721,1084.3774
226.6906,1084.6351
224.7073,1084.8795
222.7218,1085.1040
220.7288,1085.2477
218.7328,1085.3311
216.7352,1085.3615
214.7374,1085.3185
212.7454,1085.1664
210.7614,1084.9379
208.7871,1084.6309
206.8370,1084.1949
204.9302,1083.6097
203.0594,1082.9099
201.2313,1082.1036
199.4920,1081.1239
197.8133,1080.0438
196.1893,1078.8802
194.6437,1077.6141
193.2024,1076.2351
191.8480,1074.7677
190.5829,1073.2211
189.4349,1071.5864
188.3782,1069.8932
187.4120,1068.1448
186.5899,1066.3237
185.8574,1064.4657
185.1831,1062.5852
184.5607,1060.6868
183.9531,1058.7833
183.3658,1056.8739
182.8036,1054.9572
182.2780,1053.0298
181.7824,1051.0947
181.3174,1049.1519
180.8891,1047.2002
180.4715,1045.2463
180.0624,1043.2908
179.6631,1041.3330
179.2774,1039.3723
178.8938,1037.4111
178.5073,1035.4504
178.1154,1033.4907
177.7207,1031.5315
177.3236,1029.5729
176.9232,1027.6147
176.5196,1025.6572
176.1139,1023.7001
175.7110,1021.7425
175.3081,1019.7849
174.9052,1017.8272
174.5026,1015.8694
174.1006,1013.9116
173.7065,1011.9522
173.3281,1009.9898
172.9561,1008.0261
172.5837,1006.0623
172.2097,1004.0988
171.8940,1002.1252
171.5681,1000.1534
171.2301,998.1837
170.8651,996.2189
170.5161,994.2511
170.1694,992.2830
169.8086,990.3174
169.4578,988.3500
169.1130,986.3816
168.7745,984.4120
168.4430,982.4413
168.1145,980.4702
167.7888,978.4985
167.4656,976.5266
167.1414,974.5547
166.8155,972.5831
166.4845,970.6124
166.1459,968.6431
165.8002,966.6750
165.4438,964.7088
165.0763,962.7447
164.7021,960.7818
164.3210,958.8203
163.9305,956.8607
163.5354,954.9019
163.1358,952.9441
162.7301,950.9876
162.3209,949.0317
161.9091,947.0765
161.4940,945.1219
161.0770,943.1677
160.6589,941.2138
160.2396,939.2602
159.8199,937.3066
159.4001,935.3531
158.9807,933.3995
158.5625,931.4457
158.1454,929.4917
157.7295,927.5375
157.3161,925.5827
156.9049,923.6275
156.4958,921.6719
156.0898,919.7156
155.6866,917.7588
155.2852,915.8016
154.8858,913.8441
154.4886,911.8862
154.0926,909.9280
153.6976,907.9696
153.3046,906.0108
152.9128,904.0519
152.5220,902.0927
152.1331,900.1332
151.7454,898.1735
151.3590,896.2136
150.9741,894.2533
150.5910,892.2927
150.2092,890.3319
149.8288,888.3708
149.4507,886.4094
149.0740,884.4476
148.6987,882.4857
148.3264,880.5231
147.9559,878.5602
147.5872,876.5970
147.2214,874.6332
146.8575,872.6691
146.4949,870.7047
146.1337,868.7401
145.7735,866.7753
145.4136,864.8105
145.0540,862.8458
144.6938,860.8811
144.3326,858.9167
143.9705,856.9525
143.6057,854.9888
143.2387,853.0258
142.8693,851.0631
142.4963,849.1013
142.1194,847.1404
141.7393,845.1802
141.3551,843.2209
140.9651,841.2629
140.5717,839.3058
140.1746,837.3495
139.7721,835.3945
139.3668,833.4403
138.9588,831.4868
138.5465,829.5342
138.1321,827.5822
137.7160,825.6307
137.2979,823.6797
136.8790,821.7289
136.4596,819.7781
136.0400,817.8275
135.6209,815.8766
135.2024,813.9256
134.7845,811.9743
134.3686,810.0225
133.9542,808.0703
133.5412,806.1176
133.1305,804.1643
132.7212,802.2106
132.3132,800.2564
131.9067,798.3019
131.5016,796.3469
131.0974,794.3915
130.6943,792.4359
130.2925,790.4799
129.8914,788.5237
129.4910,786.5674
129.0917,784.6108
128.6929,782.6540
128.2947,780.6971
127.8973,778.7402
127.5005,776.7831
127.1042,774.8259
126.7086,772.8687
126.3137,770.9114
125.9193,768.9541
125.5255,766.9968
125.1326,765.0394
124.7404,763.0820
124.3487,761.1245
123.9581,759.1671
123.5681,757.2095
123.1786,755.2520
122.7899,753.2944
122.4020,751.3367
122.0145,749.3790
121.6277,747.4212
121.2413,745.4634
120.8553,743.5055
120.4696,741.5475
120.0841,739.5896
119.6988,737.6315
119.3136,735.6735
118.9285,733.7153
118.5434,731.7571
118.1583,729.7988
117.7731,727.8405
117.3878,725.8821
117.0026,723.9236
116.6175,721.9651
116.2326,720.0065
115.8478,718.0478
115.4632,716.0890
115.0789,714.1301
114.6946,712.1712
114.3103,710.2122
113.9260,708.2532
113.5416,706.2942
113.1571,704.3352
112.7722,702.3762
112.3869,700.4174
112.0013,698.4585
111.6150,696.4997
111.2279,694.5411
110.8403,692.5826
110.4519,690.6242
110.0623,688.6661
109.6720,686.7081
109.2808,684.7502
108.8883,682.7925
108.4949,680.8351
108.1008,678.8777
107.7057,676.9206
107.3098,674.9636
106.9133,673.0067
106.5162,671.0499
106.1185,669.0931
105.7204,667.1365
105.3220,665.1799
104.9233,663.2234
104.5244,661.2669
104.1254,659.3104
103.7264,657.3539
103.3274,655.3974
102.9286,653.4409
102.5299,651.4843
102.1316,649.5276
101.7335,647.5709
101.3356,645.6141
100.9379,643.6573
100.5403,641.7006
100.1427,639.7438
99.7452,637.7869
99.3477,635.8301
98.9501,633.8733
98.5526,631.9164
98.1551,629.9596
97.7576,628.0027
97.3601,626.0458
96.9625,624.0890
96.5650,622.1321
96.1675,620.1752
95.7699,618.2183
95.3724,616.2613
94.9749,614.3043
94.5774,612.3473
94.1800,610.3903
93.7826,608.4332
93.3853,606.4761
92.9881,604.5189
92.5910,602.5616
92.1939,600.6044
91.7968,598.6472
91.3998,596.6898
91.0029,594.7325
90.6059,592.7751
90.2090,590.8177
89.8119,588.8604
89.4147,586.9031
89.0172,584.9458
88.6196,582.9885
88.2215,581.0314
87.8230,579.0743
87.4242,577.1174
87.0249,575.1605
86.6250,573.2037
86.2246,571.2471
85.8237,569.2906
85.4219,567.3343
85.0197,565.3781
84.6169,563.4220
84.2134,561.4661
83.8092,559.5103
83.4046,557.5546
82.9995,555.5990
82.5942,553.6435
82.1886,551.6880
81.7829,549.7325
81.3773,547.7771
80.9719,545.8216
80.5666,543.8661
80.1620,541.9106
79.7578,539.9549
79.3542,537.9991
78.9516,536.0433
78.5500,534.0872
78.1494,532.1309
77.7500,530.1744
77.3525,528.2177
76.9562,526.2607
76.5614,524.3033
76.1688,522.3457
75.7774,520.3878
75.3873,518.4297
74.9991,516.4713
74.6121,514.5127
74.2262,512.5539
73.8414,510.5949
73.4574,508.6359
73.0738,506.6768
72.6905,504.7177
72.3072,502.7586
71.9237,500.7996
71.5399,498.8408
71.1551,496.8822
70.7696,494.9239
70.3831,492.9658
69.9947,491.0081
69.6051,489.0508
69.2143,487.0939
68.8216,485.1374
68.4274,483.1813
68.0319,481.2257
67.6347,479.2705
67.2359,477.3157
66.8363,475.3612
66.4359,473.4070
66.0345,471.4531
65.6327,469.4992
65.2307,467.5455
64.8285,465.5918
64.4265,463.6380
64.0248,461.6842
63.6236,459.7302
63.2233,457.7759
62.8238,455.8214
62.4252,453.8667
62.0284,451.9115
61.6327,449.9560
61.2383,448.0002
60.8465,446.0437
60.4561,444.0870
60.0668,442.1299
59.6795,440.1725
59.2933,438.2147
58.9081,436.2567
58.5240,434.2985
58.1407,432.3400
57.7578,430.3814
57.3752,428.4226
56.9925,426.4637
56.6097,424.5046
56.2265,422.5455
55.8423,420.5864
55.4572,418.6272
55.0711,416.6681
54.6833,414.7090
54.2937,412.7501
53.9026,410.7912
53.5097,408.8326
53.1148,406.8741
52.7185,404.9157
52.3206,402.9576
51.9205,400.9997
51.5193,399.0420
51.1169,397.0844
50.7129,395.1269
50.3082,393.1695
49.9027,391.2121
49.4965,389.2547
49.0898,387.2973
48.6830,385.3399
48.2761,383.3823
47.8695,381.4246
47.4632,379.4667
47.0574,377.5086
46.6523,375.5503
46.2476,373.5919
45.8434,371.6333
45.4399,369.6745
45.0370,367.7156
44.6346,365.7566
44.2327,363.7976
43.8314,361.8385
43.4304,359.8794
43.0297,357.9204
42.6295,355.9616
42.2296,354.0028
41.8301,352.0439
41.4313,350.0850
41.0331,348.1260
40.6355,346.1669
40.2388,344.2076
39.8430,342.2480
39.4479,340.2883
39.0540,338.3282
38.6613,336.3678
38.2696,334.4070
37.8791,332.4460
37.4901,330.4845
37.1022,328.5227
36.7153,326.5607
36.3303,324.5982
35.9463,322.6356
35.5633,320.6727
35.1817,318.7095
34.8011,316.7462
34.4213,314.7827
34.0425,312.8189
33.6644,310.8551
33.2869,308.8911
32.9099,306.9271
32.5336,304.9630
32.1575,302.9987
31.7818,301.0345
31.4063,299.0702
31.0312,297.1059
30.6565,295.1414
30.2826,293.1768
29.9097,291.2121
29.5376,289.2471
29.1668,287.2820
28.7971,285.3167
28.4281,283.3512
28.0598,281.3856
27.6924,279.4198
27.3254,277.4539
26.9588,275.4880
26.5921,273.5222
26.2249,271.5565
25.8569,269.5909
25.4875,267.6256
25.1161,265.6607
24.7431,263.6961
24.3677,261.7321
23.9888,259.7687
23.6072,257.8059
23.2228,255.8437
22.8328,253.8826
22.4398,251.9222
22.0437,249.9624
21.6425,248.0037
21.2381,246.0457
20.8307,244.0883
20.4192,242.1319
20.0044,240.1761
19.5875,238.2209
19.1682,236.2663
18.7466,234.3122
18.3239,232.3584
17.9002,230.4050
17.4755,228.4518
17.0508,226.4988
16.6261,224.5459
16.2020,222.5929
15.7791,220.6399
15.3570,218.6868
14.9361,216.7337
14.5164,214.7805
14.0975,212.8273
13.6794,210.8741
13.2626,208.9208
12.8464,206.9676
12.4308,205.0144
12.0161,203.0614
11.6017,201.1083
11.1877,199.1554
10.7742,197.2025
10.3610,195.2498
9.9482,193.2971
9.5359,191.3444
9.1244,189.3918
8.7134,187.4392
8.3030,185.4865
7.8938,183.5338
7.4853,181.5810
7.0776,179.6281
6.6714,177.6751
6.2662,175.7220
5.8619,173.7687
5.4592,171.8153
5.0578,169.8618
4.6574,167.9082
4.2585,165.9545
3.8612,164.0006
3.4649,162.0468
3.0698,160.0928
2.6765,158.1388
2.2841,156.1847
1.8928,154.2305
1.5029,152.2763
1.1140,150.3220
0.7260,148.3676
0.3391,146.4131
-0.0469,144.4584
-0.4322,142.5036
-0.8167,140.5487
-1.2002,138.5936
-1.5831,136.6384
-1.9654,134.6830
-2.3466,132.7273
-2.7271,130.7715
-3.1070,128.8155
-3.4858,126.8592
-3.8638,124.9027
-4.2411,122.9461
-4.6174,120.9893
-4.9927,119.0323
-5.3672,117.0752
-5.7411,115.1179
-6.1140,113.1605
-6.4866,111.2030
-6.8587,109.2455
-7.2303,107.2879
-7.6016,105.3302
-7.9726,103.3726
-8.3430,101.4148
-8.7129,99.4571
-9.0825,97.4992
-9.4514,95.5413
-9.8191,93.5832
-10.1854,91.6249
-10.5499,89.6662
-10.9110,87.7070
-11.2696,85.7473
-11.6255,83.7872
-11.9784,81.8265
-12.3307,79.8658
-12.6824,77.9050
-13.0347,75.9443
-13.3885,73.9839
-13.7441,72.0240
-14.1033,70.0647
-14.4682,68.1066
-14.8378,66.1494
-15.2134,64.1934
-15.5997,62.2396
-15.9911,60.2869
-16.3872,58.3352
-16.7883,56.3846
-17.1908,54.4343
-17.5939,52.4841
-17.9962,50.5338
-18.3976,48.5833
-18.7983,46.6327
-19.1980,44.6818
-19.5965,42.7309
-19.9941,40.7797
-20.3906,38.8281
-20.7924,36.8779
-21.2010,34.9292
-21.6171,32.9820
-22.0521,31.0390
-22.5040,29.0999
-22.9725,27.1648
-23.4704,25.2372
-24.0007,23.3186
-24.5581,21.4078
-25.1522,19.5082
-25.7970,17.6295
-26.4787,15.7631
-27.1997,13.9088
-27.9924,12.0845
-28.8294,10.2806
-29.7112,8.4981
-30.6662,6.7545
-31.6729,5.0410
-32.7210,3.3525
-33.8229,1.6986
-34.9758,0.0810
-36.1629,-1.5112
-37.3890,-3.0738
-38.6721,-4.5892
-39.9916,-6.0720
-41.3481,-7.5213
-42.7697,-8.9061
-44.2322,-10.2464
-45.7316,-11.5454
-47.2799,-12.7857
-48.8632,-13.9800
-50.4716,-15.1403
-52.1091,-16.2590
-53.7745,-17.3350
-55.4587,-18.3811
-57.1629,-19.3946
