x,z
400.7357,-113.8044
402.6579,-114.3563
404.5802,-114.9077
406.5025,-115.4592
408.4247,-116.0109
410.3470,-116.5625
412.2693,-117.1139
414.1918,-117.6646
416.1147,-118.2140
418.0373,-118.7645
419.9592,-119.3173
421.8806,-119.8720
423.8014,-120.4286
425.7217,-120.9872
427.6414,-121.5475
429.5606,-122.1100
431.4792,-122.6742
433.3974,-123.2398
435.3152,-123.8064
437.2330,-124.3736
439.1506,-124.9410
441.0683,-125.5085
442.9858,-126.0763
444.9033,-126.6443
446.8207,-127.2126
448.7380,-127.7814
450.6552,-128.3505
452.5722,-128.9199
454.4892,-129.4896
456.4061,-130.0597
458.3229,-130.6301
460.2396,-131.2011
462.1560,-131.7725
464.0723,-132.3446
465.9886,-132.9169
467.9047,-133.4895
469.8206,-134.0627
471.7363,-134.6369
473.6516,-135.2123
475.5666,-135.7889
477.4810,-136.3670
479.3949,-136.9471
481.3080,-137.5298
483.2202,-138.1155
485.1315,-138.7040
487.0420,-139.2952
488.9516,-139.8889
490.8604,-140.4855
492.7682,-141.0852
494.6747,-141.6889
496.5797,-142.2975
498.4829,-142.9115
500.3846,-143.5302
502.2850,-144.1528
504.1844,-144.7785
506.0832,-145.4060
507.9815,-146.0348
509.8796,-146.6642
511.7776,-147.2937
513.6758,-147.9229
515.5740,-148.5519
517.4719,-149.1815
519.3693,-149.8127
521.2657,-150.4464
523.1611,-151.0835
525.0552,-151.7241
526.9482,-152.3679
528.8405,-153.0139
530.7323,-153.6610
532.6238,-154.3087
534.5150,-154.9574
536.4058,-155.6073
538.2959,-156.2589
540.1855,-156.9120
542.0746,-157.5663
543.9633,-158.2218
545.8514,-158.8788
547.7387,-159.5380
549.6249,-160.2003
551.5097,-160.8662
553.3930,-161.5362
555.2747,-162.2105
557.1548,-162.8889
559.0333,-163.5714
560.9105,-164.2575
562.7866,-164.9465
564.6618,-165.6376
566.5362,-166.3306
568.4100,-167.0255
570.2832,-167.7215
572.1561,-168.4185
574.0286,-169.1164
575.9007,-169.8153
577.7723,-170.5152
579.6437,-171.2156
581.5150,-171.9163
583.3860,-172.6173
585.2568,-173.3189
587.1271,-174.0218
588.9966,-174.7267
590.8650,-175.4343
592.7322,-176.1449
594.5984,-176.8579
596.4626,-177.5758
598.3245,-178.2999
600.1843,-179.0291
602.0424,-179.7632
603.8986,-180.5020
605.7527,-181.2448
607.6055,-181.9909
609.4577,-182.7391
611.3092,-183.4892
613.1599,-184.2415
615.0096,-184.9959
616.8588,-185.7520
618.7074,-186.5093
620.5558,-187.2671
622.4045,-188.0243
624.2537,-188.7805
626.1035,-189.5352
627.9540,-190.2881
629.8052,-191.0395
631.6553,-191.7937
633.5020,-192.5564
635.3461,-193.3252
637.1899,-194.0947
639.0339,-194.8641
640.8781,-195.6331
642.7224,-196.4022
644.5665,-197.1719
646.4100,-197.9431
648.2526,-198.7164
650.0948,-199.4909
651.9369,-200.2658
653.7791,-201.0402
655.6217,-201.8140
657.4645,-202.5871
659.3076,-203.3598
661.1509,-204.1322
662.9941,-204.9045
664.8370,-205.6779
666.6799,-206.4515
668.5225,-207.2260
670.3651,-208.0006
672.2081,-208.7745
674.0516,-209.5473
675.8958,-210.3188
677.7405,-211.0890
679.5856,-211.8581
681.4315,-212.6258
683.2784,-213.3910
685.1268,-214.1527
686.9771,-214.9101
688.8293,-215.6626
690.6834,-216.4109
692.5391,-217.1552
694.3962,-217.8961
696.2543,-218.6346
698.1130,-219.3714
699.9725,-220.1066
701.8326,-220.8403
703.6935,-221.5718
705.5555,-222.3007
707.4191,-223.0255
709.2830,-223.7496
711.1429,-224.4840
712.9990,-225.2280
714.8547,-225.9727
716.7112,-226.7156
718.5696,-227.4536
720.4303,-228.1859
722.2929,-228.9133
724.1570,-229.6370
726.0223,-230.3577
727.8887,-231.0752
729.7567,-231.7891
731.6265,-232.4981
733.4981,-233.2021
735.3715,-233.9017
737.2462,-234.5977
739.1222,-235.2903
740.9992,-235.9802
742.8770,-236.6680
744.7554,-237.3540
746.6351,-238.0369
748.5163,-238.7153
750.3989,-239.3898
752.2825,-240.0617
754.1666,-240.7321
756.0513,-241.4009
757.9367,-242.0676
759.8230,-242.7319
761.7103,-243.3934
763.5985,-244.0520
765.4881,-244.7070
767.3789,-245.3584
769.2711,-246.0057
771.1651,-246.6479
773.0609,-247.2849
774.9581,-247.9174
776.8559,-248.5486
778.7536,-249.1798
780.6515,-249.8106
782.5497,-250.4404
784.4484,-251.0686
786.3478,-251.6949
788.2478,-252.3192
790.1483,-252.9420
792.0493,-253.5636
793.9505,-254.1842
795.8522,-254.8034
797.7543,-255.4213
799.6566,-256.0388
801.5588,-256.6563
803.4612,-257.2733
805.3640,-257.8891
807.2672,-258.5038
809.1719,-259.1136
811.0797,-259.7138
812.9901,-260.3058
814.9025,-260.8909
816.8170,-261.4695
818.7330,-262.0426
820.6509,-262.6099
822.5706,-263.1708
824.4916,-263.7273
826.4130,-264.2822
828.3343,-264.8376
830.2553,-265.3940
832.1762,-265.9507
834.0973,-266.5069
836.0190,-267.0608
837.9415,-267.6120
839.8647,-268.1610
841.7882,-268.7084
843.7123,-269.2540
845.6370,-269.7976
847.5624,-270.3387
849.4886,-270.8768
851.4158,-271.4114
853.3439,-271.9425
855.2729,-272.4703
857.2025,-272.9963
859.1323,-273.5214
861.0622,-274.0461
862.9924,-274.5696
864.9234,-275.0905
866.8552,-275.6081
868.7881,-276.1218
870.7225,-276.6296
872.6585,-277.1313
874.5961,-277.6270
876.5351,-278.1169
878.4754,-278.6018
880.4168,-279.0821
882.3594,-279.5576
884.3047,-280.0219
886.2529,-280.4742
888.2021,-280.9218
890.1520,-281.3662
892.1026,-281.8082
894.0535,-282.2485
896.0045,-282.6879
897.9556,-283.1274
899.9070,-283.5655
901.8594,-283.9992
903.8124,-284.4299
905.7661,-284.8574
907.7201,-285.2839
909.6742,-285.7099
911.6230,-286.1595
913.5718,-286.6089
915.5211,-287.0562
917.4709,-287.5011
919.4213,-287.9437
921.3724,-288.3833
923.3241,-288.8200
925.2760,-289.2557
927.2277,-289.6926
929.1787,-290.1322
931.1294,-290.5735
933.0799,-291.0156
935.0305,-291.4572
936.9813,-291.8980
938.9321,-292.3384
940.8829,-292.7790
942.8336,-293.2205
944.7839,-293.6633
946.7340,-294.1070
948.6840,-294.5513
950.6338,-294.9963
952.5834,-295.4423
954.5328,-295.8892
956.4821,-296.3365
958.4314,-296.7837
960.3809,-297.2302
962.3307,-297.6751
964.2807,-298.1192
966.2300,-298.5665
968.1784,-299.0175
970.1268,-299.4686
972.0756,-299.9182
974.0244,-300.3676
975.9729,-300.8181
977.9213,-301.2691
979.8698,-301.7198
981.8183,-302.1704
983.7668,-302.6211
985.7156,-303.0706
987.6649,-303.5178
989.6145,-303.9634
991.5640,-304.4099
993.5131,-304.8577
995.4622,-305.3061
997.4114,-305.7534
999.3611,-306.1986
1001.3110,-306.6432
1003.2605,-307.0896
1005.2090,-307.5403
1007.1564,-307.9955
1009.1030,-308.4543
1011.0484,-308.9178
1012.9925,-309.3867
1014.9341,-309.8662
1016.8716,-310.3615
1018.8054,-310.8713
1020.7350,-311.3961
1022.6587,-311.9426
1024.5697,-312.5316
1026.4589,-313.1875
1028.3335,-313.8837
1030.1930,-314.6194
1032.0367,-315.3941
1033.8652,-316.2038
1035.6788,-317.0463
1037.4774,-317.9202
1039.2649,-318.8167
1041.0380,-319.7413
1042.7937,-320.6981
1044.5287,-321.6920
1046.2386,-322.7282
1047.9224,-323.8061
1049.5812,-324.9220
1051.2123,-326.0778
1052.8070,-327.2833
1054.3491,-328.5554
1055.8384,-329.8890
1057.2743,-331.2799
1058.6519,-332.7286
1059.9711,-334.2306
1061.2367,-335.7781
1062.4410,-337.3737
1063.5737,-339.0209
1064.6168,-340.7261
1065.5917,-342.4712
1066.5116,-344.2458
1067.3779,-346.0471
1068.1865,-347.8751
1068.9270,-349.7315
1069.5996,-351.6136
1070.2034,-353.5189
1070.7275,-355.4475
1071.1820,-357.3936
1071.5610,-359.3556
1071.8540,-361.3323
1072.0573,-363.3200
1072.1708,-365.3148
1072.1687,-367.3129
1072.0621,-369.3080
1071.8849,-371.2981
1071.6396,-373.2809
1071.3173,-375.2525
1070.9227,-377.2111
1070.4578,-379.1541
1069.9236,-381.0792
1069.3020,-382.9779
1068.5929,-384.8456
1067.7891,-386.6745
1066.9050,-388.4660
1065.9574,-390.2248
1064.9594,-391.9553
1063.9121,-393.6565
1062.7985,-395.3149
1061.6125,-396.9224
1060.3644,-398.4820
1059.0566,-399.9918
1057.6833,-401.4423
1056.2621,-402.8456
1054.8025,-404.2092
1053.3019,-405.5275
1051.7574,-406.7940
1050.1671,-408.0021
1048.5304,-409.1467
1046.8536,-410.2312
1045.1498,-411.2720
1043.4254,-412.2782
1041.6821,-413.2509
1039.9147,-414.1788
1038.1179,-415.0481
1036.2911,-415.8519
1034.4387,-416.5944
1032.5640,-417.2782
1030.6677,-417.8997
1028.7551,-418.4683
1026.8303,-418.9946
1024.8960,-419.4841
1022.9542,-419.9432
1021.0056,-420.3721
1019.0491,-420.7636
1017.0850,-421.1140
1015.1149,-421.4281
1013.1407,-421.7151
1011.1627,-421.9734
1009.1812,-422.2029
1007.1962,-422.3991
1005.2083,-422.5643
1003.2186,-422.7044
1001.2274,-422.8233
999.2351,-422.9220
997.2417,-422.9974
995.2475,-423.0487
993.2527,-423.0784
991.2578,-423.0918
989.2628,-423.0919
987.2679,-423.0763
985.2730,-423.0492
983.2788,-422.9864
981.2853,-422.8998
979.2922,-422.8033
977.2992,-422.6960
975.3067,-422.5774
973.3146,-422.4500
971.3233,-422.3072
969.3334,-422.1470
967.3445,-421.9732
965.3561,-421.7940
963.3677,-421.6143
961.3793,-421.4352
959.3909,-421.2557
957.4028,-421.0724
955.4147,-420.8891
953.4262,-420.7094
951.4373,-420.5333
949.4481,-420.3601
947.4588,-420.1897
945.4691,-420.0226
943.4789,-419.8586
941.4886,-419.6974
939.4967,-419.5561
937.5043,-419.4217
935.5117,-419.2888
933.5189,-419.1572
931.5258,-419.0270
929.5327,-418.8985
927.5392,-418.7715
925.5457,-418.6457
923.5520,-418.5217
921.5582,-418.3996
919.5643,-418.2794
917.5702,-418.1608
915.5759,-418.0443
913.5812,-417.9330
911.5861,-417.8252
909.5906,-417.7204
907.5941,-417.6419
905.5970,-417.5771
903.5994,-417.5289
901.6016,-417.4937
899.6035,-417.4744
897.6053,-417.4777
895.6073,-417.5088
893.6100,-417.5742
891.6143,-417.6760
889.6201,-417.8060
887.6276,-417.9588
885.6407,-418.1739
883.6646,-418.4725
881.7070,-418.8751
879.7678,-419.3587
877.8497,-419.9207
875.9570,-420.5629
874.0928,-421.2842
872.2598,-422.0814
870.4611,-422.9531
868.7094,-423.9160
867.0037,-424.9585
865.3511,-426.0833
863.7488,-427.2788
862.1989,-428.5417
860.7031,-429.8683
859.2634,-431.2557
857.8948,-432.7133
856.6102,-434.2454
855.3829,-435.8239
854.2124,-437.4449
853.1043,-439.1093
852.0554,-440.8116
851.0591,-442.5453
850.1024,-444.3011
849.1771,-446.0737
848.2756,-447.8586
847.3899,-449.6512
846.5309,-451.4569
845.7013,-453.2763
844.8834,-455.1009
844.0750,-456.9298
843.2855,-458.7669
842.4984,-460.6051
841.7111,-462.4432
840.9230,-464.2809
840.1336,-466.1182
839.3436,-467.9551
838.5531,-469.7919
837.7626,-471.6287
836.9733,-473.4659
836.1850,-475.3036
835.4017,-477.1435
834.6154,-478.9820
833.8202,-480.8168
833.0173,-482.6483
832.2053,-484.4757
831.3885,-486.3010
830.5670,-488.1241
829.7368,-489.9433
828.8986,-491.7589
828.0537,-493.5712
827.1942,-495.3767
826.3077,-497.1690
825.3818,-498.9412
824.4113,-500.6892
823.3932,-502.4101
822.3195,-504.0966
821.1854,-505.7432
819.9910,-507.3466
818.7458,-508.9109
817.4603,-510.4421
816.1323,-511.9367
814.7626,-513.3932
813.3526,-514.8106
811.9000,-516.1843
810.4052,-517.5118
808.8697,-518.7921
807.2974,-520.0270
805.6897,-521.2151
804.0437,-522.3497
802.3676,-523.4394
800.6619,-524.4825
798.9269,-525.4760
797.1606,-526.4127
795.3620,-527.2856
793.5344,-528.0964
791.6822,-528.8489
789.8096,-529.5495
787.9208,-530.2051
786.0167,-530.8148
784.0925,-531.3577
782.1491,-531.8275
780.1895,-532.2247
778.2158,-532.5444
776.2308,-532.7838
774.2380,-532.9474
772.2415,-533.0551
770.2427,-533.1111
768.2432,-533.1131
766.2446,-533.0565
764.2487,-532.9380
762.2565,-532.7675
760.2700,-532.5399
758.2913,-532.2526
756.3208,-531.9135
754.3591,-531.5265
752.4073,-531.0924
750.4675,-530.6074
748.5410,-530.0718
746.6284,-529.4887
744.7300,-528.8605
742.8481,-528.1847
740.9810,-527.4691
739.1251,-526.7250
737.2787,-525.9573
735.4406,-525.1703
733.6089,-524.3684
731.7811,-523.5579
729.9587,-522.7349
728.1407,-521.9024
726.3228,-521.0695
724.5071,-520.2318
722.6906,-519.3957
720.8762,-518.5551
719.0626,-517.7126
717.2462,-516.8760
715.4285,-516.0421
713.6115,-515.2068
711.7958,-514.3687
709.9811,-513.5280
708.1677,-512.6848
706.3555,-511.8390
704.5446,-510.9903
702.7350,-510.1386
700.9271,-509.2837
699.1205,-508.4257
697.3153,-507.5649
695.5114,-506.7012
693.7089,-505.8348
691.9076,-504.9657
690.1078,-504.0937
688.3098,-503.2178
686.5139,-502.3379
684.7195,-501.4545
682.9264,-500.5688
681.1342,-499.6811
679.3438,-498.7900
677.5554,-497.8946
675.7687,-496.9960
673.9831,-496.0950
672.1982,-495.1928
670.4142,-494.2889
