x,z
400.7374,-113.7960
402.6592,-114.3478
404.5812,-114.8991
406.5032,-115.4505
408.4252,-116.0020
410.3472,-116.5534
412.2693,-117.1045
414.1916,-117.6548
416.1142,-118.2040
418.0365,-118.7542
419.9583,-119.3064
421.8795,-119.8606
423.8002,-120.4168
425.7203,-120.9748
427.6398,-121.5346
429.5588,-122.0965
431.4773,-122.6601
433.3953,-123.2251
435.3131,-123.7910
437.2307,-124.3575
439.1482,-124.9242
441.0657,-125.4910
442.9832,-126.0580
444.9006,-126.6253
446.8179,-127.1928
448.7351,-127.7606
450.6522,-128.3288
452.5692,-128.8974
454.4862,-129.4663
456.4030,-130.0355
458.3197,-130.6051
460.2363,-131.1751
462.1527,-131.7457
464.0689,-132.3169
465.9851,-132.8883
467.9012,-133.4601
469.8171,-134.0324
471.7327,-134.6057
473.6479,-135.1801
475.5628,-135.7559
477.4772,-136.3331
479.3911,-136.9123
481.3041,-137.4942
483.2162,-138.0790
485.1274,-138.6666
487.0378,-139.2570
488.9474,-139.8500
490.8561,-140.4458
492.7638,-141.0449
494.6702,-141.6479
496.5751,-142.2558
498.4782,-142.8691
500.3797,-143.4872
502.2800,-144.1093
504.1792,-144.7345
506.0777,-145.3617
507.9758,-145.9903
509.8736,-146.6196
511.7714,-147.2490
513.6692,-147.8783
515.5670,-148.5074
517.4645,-149.1372
519.3615,-149.7685
521.2576,-150.4025
523.1525,-151.0398
525.0461,-151.6810
526.9386,-152.3254
528.8303,-152.9723
530.7214,-153.6204
532.6122,-154.2691
534.5027,-154.9189
536.3927,-155.5701
538.2820,-156.2232
540.1706,-156.8781
542.0588,-157.5341
543.9465,-158.1916
545.8335,-158.8507
547.7197,-159.5121
549.6048,-160.1767
551.4884,-160.8451
553.3704,-161.5177
555.2510,-162.1943
557.1301,-162.8745
559.0078,-163.5585
560.8842,-164.2459
562.7596,-164.9357
564.6344,-165.6269
566.5085,-166.3199
568.3820,-167.0147
570.2549,-167.7108
572.1274,-168.4077
573.9998,-169.1053
575.8715,-169.8042
577.7429,-170.5040
579.6139,-171.2044
581.4849,-171.9050
583.3557,-172.6058
585.2262,-173.3072
587.0962,-174.0100
588.9654,-174.7147
590.8336,-175.4221
592.7004,-176.1326
594.5663,-176.8456
596.4305,-177.5628
598.2920,-178.2869
600.1516,-179.0159
602.0094,-179.7498
603.8654,-180.4884
605.7192,-181.2311
607.5717,-181.9771
609.4236,-182.7252
611.2748,-183.4751
613.1252,-184.2273
614.9747,-184.9816
616.8235,-185.7376
618.6719,-186.4948
620.5201,-187.2524
622.3685,-188.0095
624.2173,-188.7656
626.0668,-189.5202
627.9171,-190.2730
629.7678,-191.0246
631.6175,-191.7790
633.4640,-192.5412
635.3081,-193.3093
637.1516,-194.0787
638.9953,-194.8479
640.8392,-195.6169
642.6832,-196.3858
644.5270,-197.1554
646.3702,-197.9265
648.2127,-198.6995
650.0546,-199.4739
651.8964,-200.2486
653.7383,-201.0230
655.5806,-201.7968
657.4232,-202.5697
659.2659,-203.3423
661.1089,-204.1146
662.9518,-204.8869
664.7945,-205.6599
666.6370,-206.4337
668.4794,-207.2079
670.3218,-207.9822
672.1644,-208.7561
674.0076,-209.5289
675.8514,-210.3003
677.6959,-211.0704
679.5408,-211.8394
681.3862,-212.6070
683.2328,-213.3722
685.0808,-214.1343
686.9308,-214.8915
688.7826,-215.6443
690.6364,-216.3924
692.4918,-217.1367
694.3486,-217.8773
696.2064,-218.6158
698.0649,-219.3525
699.9240,-220.0877
701.7837,-220.8214
703.6443,-221.5530
705.5059,-222.2821
707.3693,-223.0064
709.2337,-223.7285
711.0927,-224.4643
712.9486,-225.2076
714.8040,-225.9526
716.6601,-226.6954
718.5182,-227.4335
720.3787,-228.1655
722.2410,-228.8928
724.1047,-229.6165
725.9697,-230.3372
727.8359,-231.0546
729.7036,-231.7681
731.5731,-232.4771
733.4444,-233.1811
735.3174,-233.8808
737.1918,-234.5768
739.0674,-235.2694
740.9441,-235.9595
742.8215,-236.6473
744.6998,-237.3329
746.5792,-238.0154
748.4600,-238.6940
750.3422,-239.3689
752.2253,-240.0410
754.1091,-240.7113
755.9935,-241.3800
757.8786,-242.0468
759.7646,-242.7110
761.6515,-243.3725
763.5395,-244.0311
765.4287,-244.6862
767.3192,-245.3376
769.2110,-245.9851
771.1046,-246.6275
772.9999,-247.2647
774.8969,-247.8972
776.7943,-248.5282
778.6918,-249.1593
780.5893,-249.7901
782.4872,-250.4199
784.3856,-251.0481
786.2847,-251.6744
788.1844,-252.2987
790.0846,-252.9214
791.9852,-253.5428
793.8862,-254.1634
795.7875,-254.7826
797.6893,-255.4005
799.5913,-256.0178
801.4932,-256.6353
803.3954,-257.2522
805.2979,-257.8679
807.2007,-258.4827
809.1044,-259.0946
811.0122,-259.6938
812.9222,-260.2857
814.8344,-260.8708
816.7486,-261.4491
818.6643,-262.0224
820.5818,-262.5898
822.5011,-263.1508
824.4218,-263.7072
826.3430,-264.2617
828.2640,-264.8170
830.1847,-265.3733
832.1053,-265.9301
834.0261,-266.4860
835.9475,-267.0400
837.8696,-267.5914
839.7924,-268.1404
841.7157,-268.6878
843.6395,-269.2333
845.5638,-269.7769
847.4888,-270.3181
849.4148,-270.8561
851.3416,-271.3907
853.2694,-271.9220
855.1981,-272.4500
857.1273,-272.9760
859.0568,-273.5010
860.9865,-274.0255
862.9164,-274.5490
864.8470,-275.0698
866.7784,-275.5877
868.7111,-276.1011
870.6450,-276.6093
872.5806,-277.1114
874.5179,-277.6070
876.4565,-278.0972
878.3965,-278.5819
880.3376,-279.0625
882.2799,-279.5379
884.2249,-280.0023
886.1725,-280.4554
888.1214,-280.9031
890.0710,-281.3476
892.0212,-281.7896
893.9717,-282.2299
895.9225,-282.6695
897.8733,-283.1088
899.8244,-283.5466
901.7764,-283.9806
903.7291,-284.4114
905.6825,-284.8391
907.6362,-285.2652
909.5894,-285.6938
911.5387,-286.1398
913.4872,-286.5891
915.4362,-287.0364
917.3857,-287.4814
919.3358,-287.9240
921.2864,-288.3637
923.2378,-288.8007
925.1894,-289.2365
927.1407,-289.6735
929.0915,-290.1128
931.0419,-290.5539
932.9921,-290.9956
934.9424,-291.4372
936.8929,-291.8781
938.8434,-292.3185
940.7939,-292.7591
942.7443,-293.2005
944.6943,-293.6430
946.6442,-294.0865
948.5938,-294.5308
950.5433,-294.9758
952.4926,-295.4217
954.4417,-295.8684
956.3907,-296.3156
958.3398,-296.7626
960.2889,-297.2090
