x,z
559.8910,657.3185
558.4515,655.9298
557.0121,654.5411
555.5726,653.1524
554.1332,651.7637
552.6938,650.3750
551.2543,648.9863
549.8149,647.5975
548.3754,646.2089
546.9360,644.8201
545.4966,643.4315
544.0571,642.0427
542.6177,640.6540
541.1782,639.2653
539.7388,637.8766
538.2993,636.4879
536.8599,635.0992
535.4205,633.7105
533.9810,632.3218
532.5416,630.9330
531.1021,629.5444
529.6627,628.1556
528.2233,626.7670
526.7838,625.3782
525.3444,623.9895
523.9049,622.6008
522.4655,621.2121
521.0260,619.8234
519.5866,618.4347
518.1472,617.0460
516.7077,615.6573
515.2682,614.2686
513.8288,612.8799
512.3893,611.4911
510.9499,610.1025
509.5105,608.7137
508.0710,607.3250
506.6316,605.9363
505.1921,604.5476
503.7527,603.1589
502.3133,601.7702
500.8738,600.3815
499.4344,598.9928
497.9949,597.6041
496.5555,596.2154
495.1161,594.8267
493.6766,593.4380
492.2372,592.0493
490.7977,590.6605
489.3583,589.2719
487.9187,587.8832
486.4713,586.5033
485.0238,585.1233
483.5764,583.7433
482.1289,582.3633
480.6815,580.9833
479.2340,579.6033
477.7866,578.2233
476.3391,576.8433
474.8917,575.4633
473.4442,574.0834
471.9968,572.7034
470.5493,571.3234
469.1019,569.9434
467.6544,568.5634
466.2070,567.1834
464.7595,565.8034
463.3121,564.4234
461.8646,563.0434
460.4171,561.6635
458.9697,560.2834
457.5222,558.9034
456.0748,557.5234
454.6273,556.1434
453.1799,554.7635
451.7325,553.3835
450.2850,552.0035
448.8376,550.6235
447.3901,549.2435
445.9427,547.8635
444.4952,546.4835
443.0478,545.1035
441.6003,543.7235
440.1529,542.3436
438.7054,540.9636
437.2580,539.5836
435.8105,538.2036
434.3630,536.8236
432.9156,535.4436
431.4681,534.0636
430.0207,532.6836
428.5732,531.3036
427.1258,529.9236
425.6783,528.5436
424.2309,527.1636
422.7805,525.7868
421.2949,524.4488
419.8093,523.1108
418.3237,521.7728
416.8380,520.4348
415.3524,519.0967
413.8668,517.7587
412.3799,516.4219
410.8919,515.0862
409.4040,513.7506
407.9160,512.4149
406.4280,511.0792
404.9400,509.7436
403.4508,508.4092
401.9600,507.0766
400.4691,505.7441
398.9782,504.4115
397.4873,503.0790
395.9964,501.7465
394.4853,500.4373
392.9566,499.1484
391.4279,497.8595
389.8992,496.5706
388.3705,495.2817
386.8418,493.9928
385.2779,492.7475
383.7064,491.5116
382.1349,490.2758
380.5634,489.0399
378.9919,487.8040
377.4222,486.5661
375.8540,485.3262
374.2859,484.0863
372.7177,482.8464
371.1495,481.6066
369.5661,480.3867
367.9539,479.2050
366.3416,478.0232
364.7293,476.8414
363.1170,475.6596
361.4962,474.4897
359.8706,473.3264
358.2450,472.1631
356.6194,470.9998
354.9868,469.8464
353.3481,468.7019
351.7093,467.5574
350.0706,466.4129
348.4197,465.2861
346.7621,464.1694
345.1045,463.0526
343.4468,461.9359
341.7832,460.8280
340.1176,459.7233
338.4519,458.6186
336.7862,457.5139
335.1218,456.4071
333.4574,455.3004
331.7930,454.1937
330.1270,453.0895
328.4501,452.0020
326.7732,450.9144
325.0963,449.8268
323.4194,448.7392
321.7386,447.6581
320.0569,446.5783
318.3752,445.4985
316.6935,444.4187
315.0118,443.3391
313.3300,442.2595
311.6482,441.1799
309.9664,440.1003
308.2846,439.0207
306.5959,437.9521
304.9063,436.8849
303.2166,435.8176
301.5270,434.7503
299.8317,433.6924
298.1267,432.6503
296.4217,431.6081
294.7166,430.5660
293.0084,429.5302
291.2981,428.4981
289.5878,427.4661
287.8882,426.4172
286.1935,425.3608
284.4988,424.3044
282.7707,423.3048
281.0412,422.3075
279.3083,421.3141
277.5694,420.3318
275.7990,419.4083
273.9903,418.5651
272.1705,417.7448
270.3225,416.9814
268.4639,416.2782
266.4669,416.3630
264.4700,416.4478
262.4730,416.5326
260.6579,417.3514
258.8529,418.2107
257.3138,419.4572
255.8655,420.8357
254.7343,422.4693
253.7179,424.1906
252.7370,425.9328
252.0268,427.7812
251.5654,429.7271
251.2826,431.6918
251.3290,433.6911
251.3755,435.6904
251.6436,437.6661
252.0228,439.6299
252.4020,441.5938
252.7812,443.5576
253.1603,445.5215
253.5395,447.4853
254.0956,449.4055
254.6767,451.3194
255.2578,453.2334
255.8389,455.1473
256.4201,457.0613
257.0012,458.9752
257.5840,460.8887
258.1847,462.7966
258.7854,464.7046
259.3861,466.6125
259.9868,468.5205
260.5875,470.4284
261.1882,472.3364
261.8131,474.2354
262.5799,476.0827
263.3466,477.9299
264.1133,479.7772
264.8800,481.6244
265.6467,483.4716
266.4134,485.3189
267.1994,487.1573
268.0316,488.9743
268.8637,490.7914
269.6959,492.6084
270.5281,494.4254
271.3603,496.2425
272.2162,498.0471
273.1930,499.7883
274.1699,501.5294
275.1468,503.2707
276.1236,505.0118
277.1005,506.7530
278.1344,508.4612
279.1739,510.1661
280.2135,511.8710
281.2531,513.5759
282.2926,515.2808
283.3796,516.9546
284.5253,518.5898
285.6710,520.2250
286.8167,521.8602
287.9624,523.4954
289.1133,525.1270
290.2804,526.7478
291.4475,528.3685
292.6146,529.9893
293.7817,531.6100
294.9180,533.2522
295.9983,534.9337
297.0786,536.6151
298.1588,538.2965
299.2391,539.9780
300.1502,541.7487
300.9272,543.5903
301.7042,545.4319
302.4812,547.2736
303.2582,549.1152
303.8329,551.0273
304.3589,552.9565
304.8179,554.9023
305.2595,556.8524
305.6448,558.8130
305.9434,560.7897
306.2086,562.7696
306.2768,564.7675
306.3450,566.7653
306.3337,568.7639
306.3151,570.7624
306.2047,572.7582
306.0802,574.7529
305.8321,576.7366
305.5840,578.7203
305.1377,580.6671
304.6472,582.6057
304.1324,584.5375
303.5414,586.4482
302.9504,588.3589
302.1895,590.2086
301.4254,592.0571
300.5979,593.8780
299.7614,595.6950
298.7908,597.4417
297.7740,599.1642
296.6983,600.8499
295.5954,602.5186
294.3581,604.0900
293.1179,605.6594
291.8188,607.1801
290.5142,608.6962
289.0854,610.0947
287.6417,611.4789
286.1455,612.8051
284.6183,614.0966
283.0530,615.3396
281.4327,616.5122
279.7775,617.6329
278.0798,618.6904
276.3684,619.7240
274.6025,620.6632
272.8150,621.5583
270.9949,622.3872
269.1512,623.1616
267.2935,623.8995
265.3881,624.5063
263.4703,625.0690
261.5294,625.5493
259.5842,626.0052
257.5955,626.2095
255.6067,626.4138
253.6180,626.6182
251.6292,626.8224
249.6404,627.0267
247.6466,627.1576
245.6486,627.2285
243.6506,627.2994
241.6526,627.3702
