x,z
559.8909,657.3183
558.4517,655.9298
557.0125,654.5414
555.5732,653.1529
554.1341,651.7644
552.6949,650.3759
551.2557,648.9875
549.8165,647.5990
548.3773,646.2105
546.9380,644.8220
545.4989,643.4336
544.0597,642.0451
542.6205,640.6566
541.1813,639.2682
539.7421,637.8797
538.3029,636.4912
536.8637,635.1027
535.4245,633.7143
533.9853,632.3258
532.5461,630.9373
531.1069,629.5489
529.6677,628.1604
528.2285,626.7719
526.7893,625.3834
525.3501,623.9950
523.9109,622.6065
522.4717,621.2180
521.0325,619.8295
519.5933,618.4411
518.1541,617.0526
516.7149,615.6641
515.2757,614.2757
513.8365,612.8872
512.3973,611.4987
510.9581,610.1102
509.5189,608.7218
508.0797,607.3333
506.6405,605.9448
505.2013,604.5563
503.7621,603.1679
502.3229,601.7794
500.8837,600.3909
499.4445,599.0025
498.0053,597.6140
496.5661,596.2255
495.1269,594.8370
493.6877,593.4486
492.2485,592.0601
490.8093,590.6716
489.3701,589.2831
487.9308,587.8948
486.4836,586.5150
485.0364,585.1353
483.5892,583.7555
482.1420,582.3757
480.6948,580.9960
479.2476,579.6162
477.8004,578.2365
476.3532,576.8567
474.9060,575.4769
473.4588,574.0972
472.0116,572.7174
470.5644,571.3376
469.1172,569.9579
467.6700,568.5781
466.2228,567.1984
464.7756,565.8187
463.3284,564.4389
461.8812,563.0591
460.4340,561.6794
458.9868,560.2996
457.5396,558.9199
456.0924,557.5401
454.6452,556.1603
453.1980,554.7806
451.7508,553.4008
450.3036,552.0211
448.8564,550.6413
447.4091,549.2615
445.9619,547.8818
444.5147,546.5021
443.0675,545.1223
441.6203,543.7426
440.1731,542.3628
438.7259,540.9830
437.2787,539.6033
435.8315,538.2235
434.3843,536.8438
432.9371,535.4640
431.4899,534.0842
430.0427,532.7045
428.5955,531.3247
427.1483,529.9449
425.7011,528.5652
424.2539,527.1854
422.8044,525.8082
421.3190,524.4704
419.8336,523.1326
418.3482,521.7949
416.8629,520.4570
415.3775,519.1193
413.8921,517.7815
412.4055,516.4449
410.9178,515.1094
409.4301,513.7740
407.9424,512.4385
406.4546,511.1031
404.9669,509.7676
403.4780,508.4334
401.9874,507.1011
400.4968,505.7688
399.0062,504.4364
397.5155,503.1041
396.0249,501.7718
394.5147,500.4620
392.9863,499.1733
391.4579,497.8847
389.9294,496.5960
388.4010,495.3073
386.8726,494.0186
385.3098,492.7725
383.7386,491.5368
382.1673,490.3011
380.5961,489.0655
379.0249,487.8299
377.4553,486.5922
375.8874,485.3525
374.3195,484.1129
372.7516,482.8732
371.1837,481.6335
369.6016,480.4126
367.9896,479.2310
366.3776,478.0495
364.7656,476.8679
363.1536,475.6863
361.5333,474.5162
359.9080,473.3531
358.2826,472.1900
356.6573,471.0269
355.0253,469.8732
353.3868,468.7289
351.7484,467.5846
350.1099,466.4403
348.4598,465.3130
346.8025,464.1965
345.1451,463.0799
343.4878,461.9633
341.8247,460.8554
340.1593,459.7509
338.4939,458.6463
336.8285,457.5418
335.1643,456.4353
333.5002,455.3288
331.8361,454.2222
330.1707,453.1178
328.4940,452.0304
326.8174,450.9430
325.1408,449.8556
323.4642,448.7682
321.7838,447.6870
320.1024,446.6074
318.4210,445.5278
316.7396,444.4482
315.0582,443.3687
313.3766,442.2893
311.6952,441.2099
310.0136,440.1305
308.3322,439.0511
306.6439,437.9823
304.9546,436.9153
303.2653,435.8482
301.5759,434.7811
299.8813,433.7226
298.1766,432.6807
296.4719,431.6387
294.7672,430.5967
293.0593,429.5608
291.3493,428.5289
289.6393,427.4971
287.9396,426.4491
286.2451,425.3929
284.5507,424.3366
282.8240,423.3354
281.0948,422.3383
279.3623,421.3449
277.6248,420.3607
275.8547,419.4373
274.0477,418.5914
272.2293,417.7690
270.3816,417.0057
268.5281,416.2753
266.5315,416.3601
264.5349,416.4449
262.5382,416.5297
260.7600,417.4073
259.0020,418.3584
257.4988,419.6496
256.0938,421.0716
254.8715,422.6487
253.8359,424.3479
252.9878,426.1581
252.4101,428.0565
252.0304,430.0197
251.7099,431.9920
251.4812,433.9786
251.2526,435.9652
251.0222,437.9515
250.7905,439.9377
250.5593,441.9239
250.3323,443.9108
250.1054,445.8977
249.8607,447.8825
249.6052,449.8660
249.3456,451.8489
249.0435,453.8259
248.7415,455.8029
248.4022,457.7734
248.0154,459.7355
247.5400,461.6781
247.0278,463.6107
246.4248,465.5172
245.6776,467.3623
244.6283,469.0648
243.3248,470.5442
241.7725,471.8052
240.0565,472.7363
238.1137,473.2104
236.1399,473.4471
234.1435,473.4408
232.1678,473.1315
230.2501,472.5668
228.3819,471.8560
226.5394,471.0834
224.7763,470.1394
223.0132,469.1955
221.2687,468.2204
219.6009,467.1167
217.9331,466.0129
216.2888,464.8762
214.6951,463.6679
213.1015,462.4595
211.5393,461.2120
210.0105,459.9229
208.4817,458.6337
206.9933,457.2993
205.5247,455.9428
204.0560,454.5863
202.6407,453.1738
201.2296,451.7570
199.8298,450.3294
198.4782,448.8559
197.1267,447.3823
195.7981,445.8883
194.5087,444.3595
193.2193,442.8307
191.9689,441.2705
190.7445,439.6892
189.5201,438.1079
188.3585,436.4801
187.2038,434.8472
186.0624,433.2054
184.9850,431.5204
183.9077,429.8355
182.8664,428.1288
181.8756,426.3916
180.8848,424.6544
179.9570,422.8835
179.0636,421.0942
178.1703,419.3050
177.3726,417.4715
176.5895,415.6312
175.8170,413.7868
175.1591,411.8983
174.5011,410.0096
173.8858,408.1079
173.3676,406.1763
172.8694,404.2398
172.4524,402.2838
172.0355,400.3278
171.6404,398.3674
171.2644,396.4031
170.8884,394.4389
170.5124,392.4746
170.1364,390.5103
169.7604,388.5461
169.3844,386.5818
169.0084,384.6175
168.6324,382.6533
168.2337,380.6936
167.8197,378.7370
167.4057,376.7804
166.9917,374.8238
166.5778,372.8672
166.1638,370.9106
165.7498,368.9540
165.3359,366.9974
164.9219,365.0409
164.5223,363.0814
164.1642,361.1138
163.8061,359.1462
163.4480,357.1786
163.0899,355.2109
162.7318,353.2433
162.3737,351.2757
162.0156,349.3081
161.6575,347.3405
161.2994,345.3729
160.9391,343.4057
160.5495,341.4441
160.1599,339.4824
159.7703,337.5208
159.3808,335.5592
158.9912,333.5975
158.6016,331.6359
158.2121,329.6743
157.8225,327.7126
157.4329,325.7510
157.0434,323.7894
156.6422,321.8302
156.2158,319.8763
155.7894,317.9223
155.3631,315.9683
154.9367,314.0144
154.5104,312.0604
154.0840,310.1064
153.6576,308.1525
153.2313,306.1985
152.8049,304.2446
152.3786,302.2906
151.9490,300.3374
151.4313,298.4057
150.9136,296.4741
150.3959,294.5424
149.8782,292.6107
149.3605,290.6790
148.8428,288.7473
148.3251,286.8156
147.8075,284.8839
147.2898,282.9523
146.7721,281.0206
146.2544,279.0889
145.7367,277.1572
145.1165,275.2563
144.4825,273.3596
143.8484,271.4629
143.2144,269.5662
142.5803,267.6694
141.9463,265.7727
141.3123,263.8760
140.6782,261.9793
140.0442,260.0826
139.4101,258.1858
138.7761,256.2891
138.1420,254.3924
137.5080,252.4957
136.8739,250.5989
136.2399,248.7022
135.6059,246.8055
134.9718,244.9088
134.3358,243.0127
133.6790,241.1240
133.0222,239.2353
132.3654,237.3465
131.7086,235.4578
131.0519,233.5690
130.3951,231.6803
129.7383,229.7915
129.0815,227.9028
128.4247,226.0141
127.7679,224.1253
127.1111,222.2366
126.4543,220.3479
125.7975,218.4591
125.1407,216.5704
124.4839,214.6816
123.8272,212.7929
123.1704,210.9041
122.5136,209.0154
121.8568,207.1267
121.2000,205.2379
120.5432,203.3492
119.8864,201.4604
119.2296,199.5717
118.5728,197.6830
117.9160,195.7942
117.2593,193.9055
116.6025,192.0167
115.9457,190.1280
115.2889,188.2393
114.6321,186.3505
113.9753,184.4618
113.3185,182.5730
112.6617,180.6843
112.0049,178.7955
111.3332,176.9124
110.6598,175.0299
109.9863,173.1474
109.3129,171.2649
108.6394,169.3824
107.9660,167.4998
107.2925,165.6173
106.6327,163.7300
105.9865,161.8379
105.3403,159.9458
104.6941,158.0537
104.0480,156.1616
103.4018,154.2695
102.7556,152.3774
102.1078,150.4859
101.4522,148.5971
100.7965,146.7083
100.1408,144.8195
99.4851,142.9307
98.8295,141.0420
98.1738,139.1532
97.5181,137.2644
96.8619,135.3758
96.2056,133.4872
95.5494,131.5987
94.8931,129.7101
94.2368,127.8215
93.5806,125.9329
92.9193,124.0462
92.2523,122.1615
91.5853,120.2768
90.9183,118.3921
90.2513,116.5074
89.5843,114.6227
88.9219,112.7366
88.2614,110.8500
87.6010,108.9633
86.9405,107.0767
86.2801,105.1900
85.6865,103.2816
85.1282,101.3618
84.5699,99.4419
84.0117,97.5220
83.4534,95.6022
83.0394,93.6473
82.6472,91.6870
82.2550,89.7268
81.8628,87.7666
81.6016,85.7882
81.4449,83.7955
81.2881,81.8027
81.1314,79.8099
81.1040,77.8142
81.1647,75.8164
81.2253,73.8187
81.2859,71.8209
81.5514,69.8399
81.8168,67.8588
82.0823,65.8777
82.4507,63.9158
82.9076,61.9703
