x,z
845.3855,1179.6458
844.2452,1181.2887
843.1050,1182.9316
841.9648,1184.5745
840.8246,1186.2174
839.6844,1187.8602
838.5443,1189.5032
837.4041,1191.1460
836.2688,1192.7924
835.1690,1194.4624
834.0692,1196.1326
832.9694,1197.8027
831.8696,1199.4729
830.7698,1201.1431
829.6700,1202.8132
828.5701,1204.4834
827.4703,1206.1536
826.3705,1207.8237
825.2707,1209.4939
824.1709,1211.1639
823.0711,1212.8341
821.9225,1214.4698
820.7711,1216.1034
819.6195,1217.7369
818.4742,1219.3749
817.3481,1221.0260
816.2221,1222.6771
815.0961,1224.3282
813.9307,1225.9497
812.7619,1227.5686
811.5930,1229.1875
810.2969,1230.7067
808.9920,1232.2189
807.6345,1233.6790
806.1332,1234.9965
804.6320,1236.3141
802.9247,1237.3396
801.1778,1238.3088
799.4083,1239.2311
797.5569,1239.9835
795.7054,1240.7358
793.7820,1241.2421
791.8164,1241.6038
789.8508,1241.9656
787.8604,1241.8202
785.8688,1241.6527
783.9000,1241.3789
782.0129,1240.7225
780.1257,1240.0663
778.3207,1239.2310
776.5913,1238.2312
774.8619,1237.2314
773.1657,1236.1772
771.5032,1235.0680
769.8406,1233.9587
768.1780,1232.8495
766.6712,1231.5433
765.2015,1230.1899
763.7319,1228.8367
762.2623,1227.4833
760.9606,1225.9731
759.6623,1224.4598
758.3639,1222.9465
757.0656,1221.4332
755.8172,1219.8807
754.6179,1218.2897
753.4187,1216.6986
752.2194,1215.1075
751.0201,1213.5165
749.8845,1211.8816
748.8064,1210.2069
747.7282,1208.5323
746.6501,1206.8577
745.5719,1205.1830
744.4938,1203.5084
743.4731,1201.7986
742.4741,1200.0758
741.4750,1198.3529
740.4760,1196.6300
739.4770,1194.9071
738.4779,1193.1842
737.4912,1191.4548
736.5851,1189.6824
735.6791,1187.9100
734.7731,1186.1377
733.8670,1184.3654
732.9609,1182.5929
732.0549,1180.8206
731.1407,1179.0525
730.1630,1177.3180
729.1853,1175.5834
728.2076,1173.8488
727.2299,1172.1143
726.2523,1170.3796
725.2745,1168.6450
724.2975,1166.9102
723.3282,1165.1707
722.3589,1163.4312
721.3896,1161.6917
720.4203,1159.9521
719.4510,1158.2126
718.4821,1156.4730
717.5143,1154.7328
716.5465,1152.9926
715.5787,1151.2523
714.6109,1149.5122
713.6431,1147.7720
712.6752,1146.0317
711.7070,1144.2917
710.7341,1142.5538
709.7612,1140.8159
708.7883,1139.0780
707.8154,1137.3401
706.8425,1135.6022
705.8677,1133.8655
704.8253,1132.1691
703.7828,1130.4727
702.7404,1128.7764
701.6979,1127.0800
700.6555,1125.3835
699.6130,1123.6873
698.5342,1122.0115
697.4530,1120.3370
696.3718,1118.6626
695.2906,1116.9882
