x,z
559.8909,657.3184
558.4518,655.9300
557.0127,654.5416
555.5735,653.1533
554.1345,651.7649
552.6954,650.3765
551.2563,648.9881
549.8171,647.5997
548.3781,646.2114
546.9390,644.8230
545.4999,643.4346
544.0607,642.0462
542.6216,640.6578
541.1826,639.2695
539.7435,637.8811
538.3043,636.4927
536.8652,635.1043
535.4261,633.7159
533.9871,632.3276
532.5480,630.9392
531.1088,629.5508
529.6697,628.1624
528.2307,626.7740
526.7916,625.3857
525.3524,623.9973
523.9133,622.6089
522.4742,621.2205
521.0352,619.8322
519.5960,618.4438
518.1569,617.0554
516.7178,615.6671
515.2787,614.2786
513.8396,612.8903
512.4005,611.5019
510.9614,610.1135
509.5223,608.7252
508.0832,607.3368
506.6441,605.9484
505.2050,604.5600
503.7659,603.1716
502.3268,601.7833
500.8877,600.3949
499.4486,599.0065
498.0095,597.6181
496.5704,596.2297
495.1313,594.8414
493.6922,593.4530
492.2531,592.0646
490.8140,590.6762
489.3749,589.2878
487.9358,587.8995
486.4887,586.5198
485.0416,585.1401
483.5945,583.7605
482.1474,582.3808
480.7003,581.0012
479.2531,579.6215
477.8060,578.2418
476.3589,576.8622
474.9118,575.4825
473.4647,574.1028
472.0176,572.7232
470.5705,571.3435
469.1234,569.9639
467.6763,568.5842
466.2292,567.2045
464.7821,565.8249
463.3350,564.4452
461.8878,563.0656
460.4408,561.6859
458.9937,560.3062
457.5465,558.9265
456.0994,557.5469
454.6523,556.1672
453.2052,554.7875
451.7581,553.4079
450.3110,552.0282
448.8639,550.6486
447.4168,549.2689
445.9697,547.8892
444.5226,546.5096
443.0755,545.1299
441.6284,543.7502
440.1812,542.3706
438.7342,540.9909
437.2870,539.6113
435.8399,538.2316
434.3928,536.8519
432.9457,535.4723
431.4986,534.0926
430.0515,532.7130
428.6044,531.3333
427.1573,529.9536
425.7102,528.5739
424.2631,527.1943
422.8139,525.8168
421.3287,524.4791
419.8434,523.1414
418.3581,521.8038
416.8728,520.4661
415.3875,519.1284
413.9023,517.7906
412.4158,516.4541
410.9282,515.1188
409.4406,513.7834
407.9529,512.4481
406.4653,511.1127
404.9777,509.7773
403.4890,508.4432
401.9984,507.1109
400.5079,505.7787
399.0174,504.4465
397.5269,503.1143
396.0363,501.7820
394.5266,500.4720
392.9982,499.1834
391.4699,497.8948
389.9415,496.6062
388.4132,495.3176
386.8849,494.0290
385.3226,492.7825
383.7514,491.5469
382.1803,490.3114
380.6092,489.0758
379.0381,487.8403
377.4686,486.6027
375.9008,485.3631
374.3330,484.1235
372.7652,482.8840
371.1974,481.6444
369.6158,480.4231
368.0038,479.2415
366.3920,478.0601
364.7801,476.8785
363.1682,475.6971
361.5482,474.5268
359.9229,473.3638
358.2977,472.2008
356.6725,471.0378
355.0407,469.8840
353.4024,468.7398
351.7640,467.5956
350.1257,466.4513
348.4759,465.3239
346.8186,464.2074
345.1614,463.0909
343.5042,461.9744
341.8412,460.8664
340.1759,459.7620
338.5107,458.6575
336.8454,457.5530
335.1813,456.4467
333.5173,455.3402
331.8533,454.2337
330.1881,453.1292
328.5116,452.0418
326.8351,450.9545
325.1587,449.8672
323.4821,448.7799
321.8019,447.6987
320.1206,446.6192
318.4393,445.5396
316.7580,444.4601
315.0767,443.3806
313.3953,442.3013
311.7139,441.2220
310.0325,440.1427
308.3511,439.0633
306.6631,437.9945
304.9739,436.9275
303.2847,435.8605
301.5955,434.7935
299.9012,433.7348
298.1966,432.6929
296.4920,431.6510
294.7874,430.6091
293.0797,429.5731
291.3698,428.5413
289.6599,427.5095
287.9601,426.4619
286.2658,425.4058
284.5714,424.3496
282.8452,423.3477
281.1162,422.3507
279.3839,421.3573
277.6469,420.3723
275.8770,419.4489
274.0707,418.6020
272.2528,417.7787
270.4052,417.0155
268.5537,416.2743
266.5573,416.3591
264.5608,416.4438
262.5643,416.5286
260.7409,417.3118
258.9362,418.1709
257.3811,419.3931
255.9331,420.7712
254.7829,422.3891
253.7641,424.1084
252.7834,425.8501
252.0488,427.6884
251.5874,429.6338
251.2803,431.5955
251.3267,433.5943
251.3732,435.5932
251.6251,437.5701
252.0042,439.5335
252.3832,441.4969
252.7623,443.4602
253.1414,445.4236
253.5205,447.3870
254.0663,449.3092
254.6473,451.2227
255.2283,453.1362
255.8093,455.0497
256.3903,456.9632
256.9713,458.8767
257.5529,460.7900
258.1534,462.6975
258.7540,464.6050
259.3546,466.5125
259.9551,468.4200
260.5557,470.3275
261.1563,472.2350
261.7722,474.1368
262.5387,475.9836
263.3053,477.8304
264.0718,479.6772
264.8383,481.5240
265.6049,483.3708
266.3714,485.2177
267.1536,487.0573
267.9855,488.8738
268.8175,490.6905
269.6495,492.5071
270.4815,494.3237
271.3135,496.1403
272.1610,497.9487
273.1377,499.6895
274.1143,501.4303
275.0909,503.1711
276.0676,504.9118
277.0442,506.6526
278.0742,508.3625
279.1135,510.0670
280.1528,511.7715
281.1921,513.4760
282.2314,515.1805
283.3120,516.8580
284.4574,518.4927
285.6028,520.1276
286.7483,521.7624
287.8937,523.3972
289.0430,525.0294
290.2098,526.6497
291.3766,528.2700
292.5435,529.8904
293.7102,531.5107
294.8517,533.1489
295.9317,534.8299
297.0117,536.5109
298.0917,538.1920
299.1717,539.8730
300.1015,541.6334
300.8784,543.4745
301.6552,545.3157
302.4319,547.1569
303.2088,548.9980
303.7993,550.9042
304.3252,552.8329
304.7896,554.7769
305.2309,556.7266
305.6255,558.6849
305.9240,560.6613
306.2041,562.6393
306.2723,564.6367
306.3405,566.6340
306.3349,568.6320
306.3163,570.6301
306.2121,572.6257
306.0967,574.6206
305.8486,576.6039
305.6006,578.5872
305.1706,580.5365
304.6803,582.4746
304.1724,584.4078
