x,z
519.2306,16.9852
519.3116,14.9866
519.3925,12.9881
519.4735,10.9895
519.5544,8.9910
519.6354,6.9925
519.7164,4.9939
519.7973,2.9954
519.8782,0.9969
519.9562,-1.0018
520.0331,-3.0005
520.1100,-4.9992
520.1870,-6.9979
520.2639,-8.9966
520.3408,-10.9953
520.4177,-12.9940
520.4944,-14.9927
520.5711,-16.9914
520.6479,-18.9901
520.7246,-20.9888
520.8013,-22.9875
520.8781,-24.9862
520.9741,-26.9840
521.0754,-28.9816
521.1768,-30.9792
521.2783,-32.9768
521.3796,-34.9744
521.4810,-36.9720
521.5776,-38.9699
521.6540,-40.9686
521.7303,-42.9673
521.8068,-44.9660
521.8831,-46.9647
521.9595,-48.9634
522.0359,-50.9622
522.1122,-52.9609
522.1885,-54.9596
522.2648,-56.9583
522.3411,-58.9570
522.4173,-60.9558
522.4936,-62.9545
522.5698,-64.9532
522.6235,-66.9526
522.6752,-68.9521
522.7269,-70.9517
522.7787,-72.9512
522.8304,-74.9507
522.8821,-76.9502
522.9401,-78.9495
523.0163,-80.9482
523.0925,-82.9469
523.1687,-84.9456
523.2449,-86.9444
523.3211,-88.9431
523.3973,-90.9418
523.4735,-92.9405
523.5497,-94.9393
523.6259,-96.9380
523.7021,-98.9367
523.7783,-100.9354
523.8545,-102.9342
523.9307,-104.9329
524.0069,-106.9316
524.0831,-108.9303
524.1594,-110.9291
524.2355,-112.9278
524.3118,-114.9265
524.3880,-116.9252
524.4642,-118.9239
524.5405,-120.9227
524.6168,-122.9214
524.6930,-124.9201
524.7692,-126.9188
524.8455,-128.9175
524.9218,-130.9162
524.9981,-132.9149
525.0745,-134.9137
525.1508,-136.9124
525.2272,-138.9111
525.3036,-140.9098
525.3799,-142.9085
525.4564,-144.9072
525.5328,-146.9059
525.6092,-148.9046
525.6857,-150.9033
525.7621,-152.9020
525.8385,-154.9007
525.9149,-156.8994
525.9914,-158.8980
526.0678,-160.8967
526.1442,-162.8954
526.2206,-164.8941
526.2971,-166.8928
526.3735,-168.8915
526.4499,-170.8902
526.5263,-172.8889
526.6027,-174.8876
526.6791,-176.8863
526.7555,-178.8850
526.8319,-180.8837
526.9083,-182.8824
526.9847,-184.8811
527.0611,-186.8798
527.1375,-188.8785
527.2139,-190.8772
527.2903,-192.8759
527.3668,-194.8746
527.4432,-196.8734
527.5196,-198.8721
527.5959,-200.8708
527.6724,-202.8695
527.7487,-204.8682
527.8251,-206.8669
527.9014,-208.8656
527.9778,-210.8643
528.0542,-212.8630
528.1306,-214.8617
528.2069,-216.8604
528.2833,-218.8591
528.3596,-220.8578
528.4360,-222.8565
528.5123,-224.8552
528.5887,-226.8539
528.6650,-228.8526
528.7415,-230.8513
528.8178,-232.8500
528.8942,-234.8487
528.9706,-236.8474
529.0469,-238.8461
529.1233,-240.8449
529.1996,-242.8436
529.2760,-244.8423
529.3524,-246.8410
529.4287,-248.8397
529.5050,-250.8384
529.5814,-252.8371
529.6581,-254.8358
529.7359,-256.8344
529.8137,-258.8331
529.8915,-260.8318
529.9694,-262.8304
530.0472,-264.8290
530.1250,-266.8277
530.2015,-268.8264
530.2762,-270.8252
530.3510,-272.8239
530.4258,-274.8227
530.5006,-276.8214
530.5754,-278.8202
530.6502,-280.8190
530.7261,-282.8177
530.8024,-284.8164
530.8787,-286.8151
530.9550,-288.8138
531.0313,-290.8126
531.1075,-292.8113
531.1839,-294.8100
531.2601,-296.8087
531.3364,-298.8074
531.4127,-300.8061
531.4890,-302.8048
531.5652,-304.8035
531.6415,-306.8022
531.7178,-308.8009
531.7940,-310.7997
531.8703,-312.7983
531.9465,-314.7970
532.0228,-316.7957
532.0991,-318.7944
532.1753,-320.7931
532.2515,-322.7918
532.3278,-324.7905
532.4040,-326.7892
532.4802,-328.7878
532.5565,-330.7865
532.6327,-332.7852
532.7089,-334.7839
532.7852,-336.7825
532.8614,-338.7812
532.9376,-340.7799
533.0138,-342.7785
533.0900,-344.7772
533.1663,-346.7758
533.2424,-348.7745
533.3187,-350.7732
533.3948,-352.7718
533.4710,-354.7705
533.5472,-356.7691
533.6234,-358.7678
533.6996,-360.7664
533.7758,-362.7651
533.8519,-364.7637
533.9281,-366.7624
534.0042,-368.7610
534.0804,-370.7596
534.1566,-372.7583
534.2338,-374.7569
534.3118,-376.7555
534.3899,-378.7541
534.4679,-380.7526
534.5460,-382.7512
534.6233,-384.7498
534.6975,-386.7485
534.7717,-388.7472
534.8459,-390.7459
534.9202,-392.7447
534.9944,-394.7434
535.0701,-396.7421
535.1462,-398.7407
535.2224,-400.7394
535.2985,-402.7381
535.3746,-404.7367
535.4506,-406.7354
535.5267,-408.7341
535.6028,-410.7328
535.6790,-412.7314
535.7551,-414.7301
535.8312,-416.7288
535.9072,-418.7275
535.9833,-420.7262
536.0594,-422.7249
536.1354,-424.7237
536.2115,-426.7224
536.2875,-428.7211
536.3634,-430.7198
536.4394,-432.7185
536.5154,-434.7173
536.5913,-436.7160
536.6674,-438.7147
536.7434,-440.7134
536.8195,-442.7121
536.8956,-444.7108
536.9717,-446.7095
537.0477,-448.7083
537.1238,-450.7070
537.1998,-452.7057
537.2758,-454.7044
537.3517,-456.7031
537.4277,-458.7018
537.5038,-460.7005
537.5797,-462.6992
537.6556,-464.6979
537.7316,-466.6966
537.8075,-468.6953
537.8834,-470.6939
537.9594,-472.6926
538.0352,-474.6913
538.1111,-476.6900
538.1870,-478.6887
538.2629,-480.6873
538.3389,-482.6860
538.4147,-484.6847
538.4907,-486.6834
538.5666,-488.6820
538.6425,-490.6807
538.7184,-492.6794
538.7943,-494.6780
538.8702,-496.6767
538.9461,-498.6753
539.0219,-500.6739
539.0978,-502.6725
539.1736,-504.6712
539.2495,-506.6698
539.3253,-508.6685
539.4011,-510.6671
539.4769,-512.6658
539.5527,-514.6644
539.6285,-516.6631
539.7043,-518.6617
539.7801,-520.6604
539.8559,-522.6591
539.9317,-524.6577
540.0074,-526.6564
540.0833,-528.6551
540.1591,-530.6537
540.2348,-532.6524
540.3105,-534.6511
540.3861,-536.6498
540.4618,-538.6485
540.5374,-540.6472
540.6131,-542.6459
540.6888,-544.6446
540.7646,-546.6433
540.8403,-548.6420
540.9161,-550.6407
540.9919,-552.6394
541.0677,-554.6381
541.1433,-556.6368
541.2190,-558.6356
541.2947,-560.6343
541.3703,-562.6330
541.4460,-564.6318
541.5216,-566.6305
541.5972,-568.6292
541.6729,-570.6280
541.7485,-572.6267
541.8242,-574.6255
541.8998,-576.6242
541.9861,-578.6225
542.0782,-580.6205
542.1712,-582.6186
542.2702,-584.6163
542.3691,-586.6140
542.4681,-588.6118
542.5551,-590.6100
542.6416,-592.6083
542.7272,-594.6067
542.7832,-596.6061
542.8391,-598.6055
542.8557,-600.6055
542.8437,-602.6056
542.7970,-604.6050
