x,z
519.2306,16.9852
519.3115,14.9872
519.3925,12.9892
519.4734,10.9912
519.5543,8.9932
519.6353,6.9952
519.7162,4.9972
519.7971,2.9992
519.8781,1.0012
519.9559,-0.9969
520.0328,-2.9951
520.1097,-4.9933
520.1866,-6.9914
520.2635,-8.9896
520.3405,-10.9877
520.4173,-12.9859
520.4940,-14.9841
520.5707,-16.9822
520.6474,-18.9804
520.7241,-20.9785
520.8008,-22.9767
520.8776,-24.9749
520.9734,-26.9722
521.0748,-28.9692
521.1761,-30.9663
521.2775,-32.9634
521.3788,-34.9604
521.4802,-36.9575
521.5770,-38.9548
521.6533,-40.9529
521.7297,-42.9511
521.8061,-44.9493
521.8824,-46.9475
521.9588,-48.9457
522.0352,-50.9438
522.1115,-52.9420
522.1877,-54.9402
522.2640,-56.9384
522.3402,-58.9366
522.4164,-60.9347
522.4927,-62.9329
522.5690,-64.9311
522.6229,-66.9300
522.6746,-68.9290
522.7263,-70.9279
522.7780,-72.9269
522.8297,-74.9259
522.8813,-76.9248
522.9391,-78.9236
523.0153,-80.9218
523.0914,-82.9200
523.1676,-84.9182
523.2438,-86.9163
523.3199,-88.9145
523.3961,-90.9127
523.4723,-92.9109
523.5485,-94.9091
523.6246,-96.9073
523.7008,-98.9055
523.7770,-100.9036
523.8531,-102.9018
523.9293,-104.9000
524.0056,-106.8982
524.0817,-108.8964
524.1580,-110.8946
524.2341,-112.8927
524.3104,-114.8909
524.3865,-116.8891
524.4628,-118.8873
524.5390,-120.8855
524.6152,-122.8836
524.6915,-124.8818
524.7677,-126.8800
524.8439,-128.8782
524.9202,-130.8764
524.9965,-132.8745
525.0728,-134.8727
525.1492,-136.8708
525.2255,-138.8690
525.3019,-140.8672
525.3782,-142.8653
525.4546,-144.8635
525.5310,-146.8617
525.6074,-148.8598
525.6838,-150.8580
525.7603,-152.8561
525.8367,-154.8543
525.9131,-156.8524
525.9895,-158.8506
526.0659,-160.8488
526.1423,-162.8469
526.2187,-164.8451
526.2951,-166.8432
526.3715,-168.8414
526.4479,-170.8396
526.5243,-172.8377
526.6006,-174.8359
526.6771,-176.8340
526.7534,-178.8322
526.8298,-180.8304
526.9062,-182.8285
526.9825,-184.8267
527.0589,-186.8249
527.1353,-188.8230
527.2117,-190.8212
527.2881,-192.8194
527.3644,-194.8175
527.4409,-196.8157
527.5172,-198.8138
527.5936,-200.8120
527.6700,-202.8102
527.7463,-204.8083
527.8227,-206.8065
527.8990,-208.8047
527.9754,-210.8028
528.0518,-212.8010
528.1281,-214.7991
528.2045,-216.7973
528.2808,-218.7955
528.3571,-220.7937
528.4335,-222.7918
528.5098,-224.7900
528.5861,-226.7881
528.6625,-228.7863
528.7388,-230.7845
528.8152,-232.7827
528.8915,-234.7808
528.9679,-236.7790
529.0442,-238.7772
529.1205,-240.7753
529.1969,-242.7735
529.2732,-244.7717
529.3495,-246.7698
529.4258,-248.7680
529.5021,-250.7662
529.5785,-252.7643
529.6551,-254.7625
529.7329,-256.7606
529.8107,-258.7587
529.8885,-260.7568
529.9663,-262.7549
530.0441,-264.7531
530.1219,-266.7512
530.1985,-268.7493
530.2733,-270.7475
530.3480,-272.7458
530.4228,-274.7440
530.4976,-276.7422
530.5724,-278.7404
530.6472,-280.7387
530.7229,-282.7368
530.7992,-284.7350
530.8755,-286.7332
530.9518,-288.7314
531.0280,-290.7296
531.1043,-292.7277
531.1806,-294.7259
531.2568,-296.7241
531.3331,-298.7222
531.4094,-300.7204
531.4856,-302.7186
531.5618,-304.7167
531.6381,-306.7149
531.7144,-308.7131
531.7906,-310.7112
531.8668,-312.7094
531.9431,-314.7076
532.0193,-316.7057
532.0956,-318.7039
532.1718,-320.7020
532.2480,-322.7002
532.3242,-324.6983
532.4004,-326.6964
532.4766,-328.6946
532.5528,-330.6927
532.6290,-332.6909
532.7052,-334.6890
532.7814,-336.6871
532.8576,-338.6853
532.9338,-340.6834
533.0100,-342.6815
533.0862,-344.6796
533.1624,-346.6777
533.2386,-348.6759
533.3148,-350.6740
533.3910,-352.6721
533.4672,-354.6702
533.5433,-356.6683
533.6195,-358.6664
533.6956,-360.6646
533.7718,-362.6627
533.8480,-364.6608
533.9241,-366.6589
534.0002,-368.6570
534.0764,-370.6551
534.1525,-372.6532
534.2296,-374.6512
534.3076,-376.6493
534.3856,-378.6473
534.4637,-380.6454
534.5417,-382.6434
534.6192,-384.6414
534.6934,-386.6396
534.7676,-388.6378
534.8418,-390.6360
534.9160,-392.6342
534.9902,-394.6324
535.0659,-396.6305
535.1419,-398.6286
535.2180,-400.6267
535.2941,-402.6249
535.3702,-404.6230
535.4462,-406.6211
535.5223,-408.6193
535.5984,-410.6174
535.6745,-412.6156
535.7505,-414.6137
535.8267,-416.6118
535.9027,-418.6100
535.9787,-420.6082
536.0547,-422.6064
536.1308,-424.6045
536.2068,-426.6027
536.2828,-428.6009
536.3587,-430.5991
536.4347,-432.5972
536.5106,-434.5954
536.5865,-436.5936
536.6625,-438.5918
536.7386,-440.5900
536.8146,-442.5881
536.8907,-444.5863
536.9668,-446.5845
537.0428,-448.5827
537.1188,-450.5808
537.1948,-452.5790
537.2708,-454.5771
537.3468,-456.5753
537.4228,-458.5735
537.4988,-460.5717
537.5747,-462.5698
537.6506,-464.5680
537.7265,-466.5661
537.8024,-468.5643
537.8783,-470.5624
537.9542,-472.5605
538.0301,-474.5587
538.1060,-476.5569
538.1819,-478.5550
538.2578,-480.5531
538.3337,-482.5513
538.4095,-484.5494
538.4855,-486.5475
538.5613,-488.5457
538.6372,-490.5438
538.7131,-492.5419
538.7890,-494.5400
538.8649,-496.5381
538.9407,-498.5362
539.0166,-500.5343
539.0924,-502.5324
539.1682,-504.5305
539.2440,-506.5286
539.3199,-508.5267
539.3956,-510.5248
539.4714,-512.5229
539.5472,-514.5211
539.6230,-516.5192
539.6987,-518.5173
539.7745,-520.5154
539.8503,-522.5135
539.9261,-524.5117
540.0018,-526.5098
540.0776,-528.5079
540.1534,-530.5060
540.2291,-532.5042
540.3047,-534.5023
540.3804,-536.5005
540.4561,-538.4987
540.5317,-540.4968
540.6073,-542.4949
540.6830,-544.4931
540.7587,-546.4913
540.8345,-548.4894
540.9102,-550.4876
540.9860,-552.4858
541.0617,-554.4839
541.1374,-556.4821
541.2130,-558.4803
541.2886,-560.4785
541.3643,-562.4767
541.4399,-564.4749
541.5156,-566.4731
541.5912,-568.4713
541.6667,-570.4695
541.7424,-572.4677
541.8180,-574.4659
541.8936,-576.4641
541.9786,-578.4619
542.0707,-580.4594
542.1631,-582.4569
542.2621,-584.4541
542.3610,-586.4513
542.4600,-588.4485
542.5479,-590.4462
542.6344,-592.4440
542.7209,-594.4417
542.7785,-596.4405
542.8344,-598.4394
542.8544,-600.4388
542.8458,-602.4384
542.8035,-604.4374
542.7197,-606.4352
542.5776,-608.4298
542.3467,-610.4158
542.0947,-612.3993
541.7651,-614.3716
541.4355,-616.3439
541.0336,-618.3022
540.6091,-620.2563
540.1799,-622.2091
539.6536,-624.1381
539.1273,-626.0671
538.5375,-627.9768
537.9000,-629.8719
537.2280,-631.7542
536.4766,-633.6069
535.7012,-635.4491
534.8350,-637.2510
533.9439,-639.0400
532.9820,-640.7927
531.9758,-642.5191
530.9076,-644.2090
529.7905,-645.8666
528.6503,-647.5089
527.4528,-649.1100
526.2424,-650.7013
525.0095,-652.2755
523.7673,-653.8425
522.5150,-655.4012
521.2220,-656.9266
519.9292,-658.4521
518.5416,-659.8916
517.1506,-661.3282
515.6877,-662.6899
514.2018,-664.0279
512.6711,-665.3125
511.0963,-666.5444
509.5072,-667.7568
507.8533,-668.8803
506.1993,-670.0038
504.4894,-671.0385
502.7628,-672.0466
501.0222,-673.0292
499.2373,-673.9302
497.4524,-674.8312
495.6389,-675.6714
493.8044,-676.4666
491.9698,-677.2618
490.1048,-677.9813
488.2301,-678.6768
486.3554,-679.3722
484.4565,-679.9971
482.5498,-680.5995
480.6431,-681.2020
478.7239,-681.7616
476.7943,-682.2863
474.8648,-682.8110
472.9326,-683.3248
470.9814,-683.7625
469.0302,-684.2001
467.0791,-684.6378
465.1248,-685.0606
463.1667,-685.4660
461.2086,-685.8714
459.2505,-686.2768
457.2901,-686.6707
455.3286,-687.0583
453.3669,-687.4459
451.4054,-687.8336
449.4432,-688.2177
447.4809,-688.6008
445.5186,-688.9839
443.5563,-689.3669
