x,z
11.7840,512.1427
13.4848,511.0930
15.1859,510.0435
16.8874,508.9944
18.5878,507.9436
20.2878,506.8922
21.9866,505.8387
23.6847,504.7842
25.3814,503.7273
27.0768,502.6685
28.7715,501.6084
30.4649,500.5462
32.1579,499.4836
33.8500,498.4194
35.5414,497.3540
37.2319,496.2873
38.9215,495.2191
40.6108,494.1504
42.2994,493.0805
43.9879,492.0106
45.6762,490.9404
47.3644,489.8700
49.0526,488.7995
50.7412,487.7297
52.4298,486.6601
54.1187,485.5909
55.8076,484.5216
57.4964,483.4522
59.1854,482.3831
60.8744,481.3140
62.5629,480.2438
64.2511,479.1732
65.9384,478.1009
67.6263,477.0297
69.3148,475.9594
71.0047,474.8915
72.6951,473.8243
74.3864,472.7585
76.0777,471.6929
77.7694,470.6277
79.4611,469.5625
81.1528,468.4973
82.8443,467.4318
84.5358,466.3661
86.2270,465.3001
87.9182,464.2341
89.6094,463.1682
91.3009,462.1024
92.9924,461.0369
94.6844,459.9721
96.3766,458.9075
98.0694,457.8437
99.7625,456.7805
101.4559,455.7177
103.1498,454.6558
104.8440,453.5941
106.5387,452.5332
108.2336,451.4727
109.9287,450.4124
111.6240,449.3524
113.3193,448.2924
115.0148,447.2327
116.7104,446.1731
118.4059,445.1135
120.1016,444.0541
121.7975,442.9948
123.4935,441.9359
125.1896,440.8771
126.8858,439.8185
128.5822,438.7601
130.2785,437.7017
131.9750,436.6434
133.6715,435.5853
135.3681,434.5272
137.0647,433.4691
138.7614,432.4111
140.4581,431.3533
142.1550,430.2956
143.8524,429.2388
145.5500,428.1823
147.2487,427.1274
148.9473,426.0725
150.6459,425.0175
152.3436,423.9611
154.0405,422.9034
155.7363,421.8440
157.4318,420.7841
159.1267,419.7231
160.8213,418.6618
162.5156,417.6000
164.2097,416.5378
165.9036,415.4754
167.5973,414.4126
169.2909,413.3497
170.9843,412.2864
172.6776,411.2230
174.3707,410.1593
176.0637,409.0953
177.7565,408.0313
179.4492,406.9668
181.1417,405.9023
182.8341,404.8374
184.5262,403.7721
186.2181,402.7066
187.9096,401.6404
189.6010,400.5740
191.2921,399.5072
192.9832,398.4403
194.6743,397.3734
196.3654,396.3066
198.0567,395.2400
199.7482,394.1738
201.4400,393.1081
203.1322,392.0430
204.8249,390.9786
206.5178,389.9146
208.2111,388.8513
209.9046,387.7881
211.5981,386.7250
213.2917,385.6619
214.9852,384.5986
216.6788,383.5355
218.3724,382.4725
220.0660,381.4096
221.7597,380.3467
223.4533,379.2839
225.1468,378.2209
226.8402,377.1579
228.5333,376.0942
230.2263,375.0303
231.9193,373.9663
233.6123,372.9024
235.3054,371.8386
236.9986,370.7751
238.6920,369.7116
240.3856,368.6486
242.0793,367.5858
243.7732,366.5232
245.4671,365.4608
247.1611,364.3984
248.8552,363.3361
250.5494,362.2739
252.2436,361.2118
253.9377,360.1497
255.6320,359.0876
257.3262,358.0257
259.0205,356.9637
260.7148,355.9018
262.4091,354.8399
264.1035,353.7781
265.7978,352.7163
267.4921,351.6545
269.1833,350.5877
270.8727,349.5182
272.5533,348.4350
274.2309,347.3469
