x,z
11.7775,512.1272
13.4857,511.0903
15.1883,510.0421
16.8902,508.9926
18.5913,507.9418
20.2914,506.8895
21.9911,505.8364
23.6894,504.7812
25.3866,503.7241
27.0828,502.6654
28.7775,501.6042
30.4716,500.5423
32.1650,499.4790
33.8575,498.4146
35.5496,497.3493
37.2404,496.2819
38.9306,495.2136
40.6202,494.1444
42.3093,493.0743
43.9982,492.0041
45.6871,490.9336
47.3758,489.8629
49.0644,488.7921
50.7534,487.7219
52.4425,486.6520
54.1319,485.5825
55.8212,484.5129
57.5106,483.4433
59.1999,482.3738
60.8895,481.3044
62.5791,480.2350
64.2670,479.1628
65.9550,478.0906
67.6431,477.0187
69.3325,475.9488
71.0224,474.8799
72.7136,473.8129
74.4052,472.7466
76.0971,471.6807
77.7892,470.6152
79.4814,469.5498
81.1735,468.4842
82.8655,467.4184
84.5575,466.3525
86.2492,465.2862
87.9409,464.2199
89.6325,463.1536
91.3245,462.0876
93.0165,461.0219
94.7089,459.9566
96.4017,458.8919
98.0948,457.8276
99.7884,456.7642
101.4824,455.7012
103.1767,454.6388
104.8715,453.5771
106.5665,452.5157
108.2619,451.4549
109.9575,450.3943
111.6533,449.3340
113.3492,448.2739
115.0451,447.2138
116.7411,446.1539
118.4372,445.0940
120.1333,444.0343
121.8297,442.9748
123.5261,441.9156
125.2227,440.8564
126.9194,439.7976
128.6162,438.7388
130.3131,437.6801
132.0101,436.6216
133.7071,435.5632
135.4041,434.5048
137.1012,433.4464
138.7983,432.3881
140.4955,431.3300
142.1929,430.2721
143.8907,429.2148
145.5891,428.1585
147.2878,427.1028
148.9872,426.0480
150.6861,424.9925
152.3845,423.9360
154.0815,422.8775
155.7781,421.8183
157.4739,420.7578
159.1693,419.6966
160.8644,418.6350
162.5591,417.5728
164.2536,416.5103
165.9480,415.4476
167.6422,414.3845
169.3363,413.3213
171.0302,412.2577
172.7239,411.1939
174.4175,410.1300
176.1109,409.0657
177.8042,408.0013
179.4973,406.9366
181.1903,405.8717
182.8832,404.8066
184.5758,403.7410
186.2681,402.6750
187.9602,401.6087
