x,z
-223.2820,-211.8954
-221.2819,-211.8832
-219.2817,-211.8720
-217.2815,-211.8609
-215.2814,-211.8499
-213.2812,-211.8389
-211.2810,-211.8281
-209.2808,-211.8175
-207.2807,-211.8070
-205.2805,-211.7967
-203.2803,-211.7865
-201.2801,-211.7766
-199.2799,-211.7668
-197.2798,-211.7573
-195.2796,-211.7480
-193.2794,-211.7388
-191.2792,-211.7300
-189.2790,-211.7214
-187.2788,-211.7130
-185.2786,-211.7047
-183.2784,-211.6966
-181.2783,-211.6886
-179.2781,-211.6807
-177.2779,-211.6730
-175.2777,-211.6653
-173.2775,-211.6578
-171.2773,-211.6505
-169.2771,-211.6432
-167.2769,-211.6360
-165.2767,-211.6290
-163.2765,-211.6221
-161.2763,-211.6153
-159.2761,-211.6086
-157.2759,-211.6020
-155.2758,-211.5955
-153.2756,-211.5891
-151.2754,-211.5827
-149.2752,-211.5764
-147.2750,-211.5702
-145.2748,-211.5640
-143.2746,-211.5579
-141.2744,-211.5518
-139.2742,-211.5457
-137.2740,-211.5398
-135.2738,-211.5339
-133.2736,-211.5280
-131.2734,-211.5221
-129.2732,-211.5161
-127.2730,-211.5099
-125.2728,-211.5037
-123.2726,-211.4973
-121.2724,-211.4908
-119.2722,-211.4841
-117.2720,-211.4774
-115.2718,-211.4705
-113.2716,-211.4636
-111.2715,-211.4566
-109.2713,-211.4495
-107.2711,-211.4422
-105.2709,-211.4349
-103.2707,-211.4273
-101.2705,-211.4196
-99.2703,-211.4118
-97.2701,-211.4037
-95.2700,-211.3954
-93.2698,-211.3869
-91.2696,-211.3783
-89.2694,-211.3696
-87.2692,-211.3609
-85.2690,-211.3520
-83.2689,-211.3431
-81.2687,-211.3342
-79.2685,-211.3252
-77.2683,-211.3162
-75.2681,-211.3071
-73.2679,-211.2981
-71.2678,-211.2890
-69.2676,-211.2799
-67.2674,-211.2708
-65.2672,-211.2617
-63.2670,-211.2526
-61.2668,-211.2436
-59.2666,-211.2348
-57.2665,-211.2264
-55.2663,-211.2183
-53.2661,-211.2103
-51.2659,-211.2024
-49.2657,-211.1947
-47.2655,-211.1870
-45.2654,-211.1793
-43.2652,-211.1715
-41.2650,-211.1638
-39.2648,-211.1560
-37.2646,-211.1482
-35.2645,-211.1403
-33.2643,-211.1322
-31.2641,-211.1240
-29.2639,-211.1156
-27.2637,-211.1070
-25.2635,-211.0982
-23.2633,-211.0890
-21.2632,-211.0794
-19.2630,-211.0694
-17.2628,-211.0588
-15.2626,-211.0477
-13.2625,-211.0358
-11.2623,-211.0233
-9.2622,-211.0102
