x,z
-223.2723,-211.8983
-221.2722,-211.8831
-219.2720,-211.8720
-217.2719,-211.8609
-215.2717,-211.8499
-213.2716,-211.8389
-211.2715,-211.8281
-209.2713,-211.8174
-207.2712,-211.8069
-205.2710,-211.7966
-203.2709,-211.7865
-201.2707,-211.7765
-199.2706,-211.7668
-197.2704,-211.7572
-195.2703,-211.7479
-193.2701,-211.7389
-191.2700,-211.7300
-189.2699,-211.7213
-187.2697,-211.7129
-185.2695,-211.7046
-183.2694,-211.6965
-181.2692,-211.6885
-179.2691,-211.6806
-177.2689,-211.6729
-175.2688,-211.6653
-173.2686,-211.6578
-171.2684,-211.6504
-169.2683,-211.6432
-167.2681,-211.6360
-165.2680,-211.6290
-163.2678,-211.6221
-161.2677,-211.6152
-159.2675,-211.6086
-157.2673,-211.6020
-155.2672,-211.5954
-153.2670,-211.5890
-151.2669,-211.5826
-149.2667,-211.5764
-147.2665,-211.5701
-145.2664,-211.5639
-143.2662,-211.5578
-141.2661,-211.5518
-139.2659,-211.5458
-137.2657,-211.5398
-135.2656,-211.5339
-133.2654,-211.5280
-131.2652,-211.5220
-129.2651,-211.5159
-127.2649,-211.5098
-125.2648,-211.5036
-123.2646,-211.4972
-121.2644,-211.4907
-119.2643,-211.4841
-117.2641,-211.4774
-115.2640,-211.4705
-113.2638,-211.4636
-111.2637,-211.4566
-109.2635,-211.4494
-107.2633,-211.4422
-105.2632,-211.4348
-103.2630,-211.4272
-101.2629,-211.4195
-99.2627,-211.4116
-97.2626,-211.4035
-95.2624,-211.3952
-93.2623,-211.3868
-91.2621,-211.3783
-89.2620,-211.3696
-87.2618,-211.3608
-85.2617,-211.3520
-83.2616,-211.3431
-81.2614,-211.3341
-79.2613,-211.3251
-77.2611,-211.3161
-75.2610,-211.3071
-73.2608,-211.2980
-71.2607,-211.2888
-69.2605,-211.2797
-67.2604,-211.2706
-65.2602,-211.2616
-63.2601,-211.2526
-61.2599,-211.2437
-59.2598,-211.2350
-57.2596,-211.2266
-55.2594,-211.2183
-53.2593,-211.2103
-51.2591,-211.2024
-49.2590,-211.1946
-47.2589,-211.1868
-45.2587,-211.1792
-43.2586,-211.1715
-41.2584,-211.1637
-39.2583,-211.1560
-37.2581,-211.1482
-35.2580,-211.1402
-33.2578,-211.1322
-31.2577,-211.1240
-29.2575,-211.1156
-27.2574,-211.1070
-25.2572,-211.0981
-23.2571,-211.0889
-21.2569,-211.0793
-19.2568,-211.0692
-17.2567,-211.0586
-15.2565,-211.0474
-13.2564,-211.0355
-11.2563,-211.0230
-9.2561,-211.0099
-7.2560,-210.9960
-5.2559,-210.9816
-3.2558,-210.9665
-1.2557,-210.9510
0.7444,-210.9350
2.7445,-210.9189
4.7446,-210.9028
6.7447,-210.8872
8.7448,-210.8726
10.7449,-210.8595
12.7451,-210.8481
14.7452,-210.8387
16.7454,-210.8314
18.7455,-210.8259
20.7457,-210.8218
22.7459,-210.8185
24.7460,-210.8155
26.7462,-210.8121
28.7464,-210.8081
30.7465,-210.8034
32.7467,-210.7983
34.7468,-210.7934
36.7470,-210.7897
38.7472,-210.7880
40.7474,-210.7893
42.7475,-210.7934
44.7477,-210.7996
46.7478,-210.8062
48.7480,-210.8108
50.7482,-210.8119
52.7484,-210.8088
54.7485,-210.8023
56.7487,-210.7934
58.7488,-210.7834
60.7490,-210.7734
62.7491,-210.7638
64.7493,-210.7548
66.7494,-210.7463
68.7496,-210.7382
70.7497,-210.7302
72.7499,-210.7223
74.7500,-210.7142
76.7502,-210.7060
78.7503,-210.6975
80.7505,-210.6890
82.7506,-210.6807
84.7508,-210.6727
86.7509,-210.6653
88.7511,-210.6584
90.7513,-210.6520
92.7514,-210.6460
94.7516,-210.6403
96.7518,-210.6347
98.7519,-210.6291
100.7521,-210.6233
102.7522,-210.6172
104.7524,-210.6108
106.7526,-210.6040
108.7527,-210.5968
110.7529,-210.5892
112.7530,-210.5814
114.7532,-210.5732
116.7533,-210.5647
118.7535,-210.5560
120.7536,-210.5472
122.7538,-210.5384
124.7539,-210.5297
126.7541,-210.5211
128.7542,-210.5125
130.7544,-210.5036
132.7545,-210.4940
134.7547,-210.4833
136.7548,-210.4713
138.7549,-210.4577
140.7550,-210.4426
142.7551,-210.4269
144.7552,-210.4122
146.7553,-210.4017
148.7555,-210.4012
150.7555,-210.4195
152.7550,-210.4687
154.7530,-210.5612
156.7478,-210.7047
158.7384,-210.8992
160.7241,-211.1392
162.7050,-211.4160
164.6821,-211.7192
166.6569,-212.0368
168.6313,-212.3565
170.6074,-212.6662
172.5867,-212.9542
174.5702,-213.2113
176.5582,-213.4311
178.5502,-213.6101
180.5455,-213.7475
182.5432,-213.8451
184.5423,-213.9072
186.5422,-213.9408
188.5423,-213.9538
190.5425,-213.9531
192.5426,-213.9426
194.5427,-213.9208
196.5424,-213.8800
198.5413,-213.8090
200.5385,-213.7002
202.5330,-213.5505
204.5243,-213.3631
206.5124,-213.1443
208.4978,-212.9017
210.4811,-212.6423
212.4629,-212.3722
214.4439,-212.0960
216.4244,-211.8161
218.4043,-211.5323
220.3833,-211.2416
222.3602,-210.9376
224.3332,-210.6092
226.2993,-210.2421
228.2546,-209.8208
230.1941,-209.3324
232.1139,-208.7719
234.0119,-208.1425
235.8866,-207.4473
237.7334,-206.6791
239.5322,-205.8048
241.2959,-204.8633
243.0248,-203.8584
244.7067,-202.7759
246.3481,-201.6335
247.9555,-200.4438
249.5270,-199.2068
251.0638,-197.9267
252.5696,-196.6104
254.0494,-195.2648
255.5079,-193.8960
256.9483,-192.5083
258.3724,-191.1039
259.7801,-189.6830
261.1690,-188.2437
262.5356,-186.7833
263.8765,-185.2993
265.1891,-183.7901
266.4724,-182.2561
267.7279,-180.6990
268.9579,-179.1218
270.1658,-177.5277
271.3554,-175.9197
272.5291,-174.3001
273.6876,-172.6697
274.8295,-171.0275
275.9511,-169.3715
277.0467,-167.6982
278.1093,-166.0037
279.1310,-164.2844
280.1049,-162.5376
281.0271,-160.7629
281.8971,-158.9621
282.7186,-157.1385
283.4973,-155.2962
284.2408,-153.4394
284.9561,-151.5716
285.6494,-149.6954
286.3251,-147.8129
286.9870,-145.9254
287.6375,-144.0339
288.2780,-142.1391
288.9083,-140.2408
289.5264,-138.3386
290.1301,-136.4317
290.7168,-134.5195
291.2845,-132.6016
291.8317,-130.6777
292.3577,-128.7480
292.8619,-126.8124
293.3442,-124.8713
293.8050,-122.9249
294.2444,-120.9736
294.6622,-119.0176
295.0573,-117.0568
295.4284,-115.0914
295.7738,-113.1213
296.0911,-111.1465
296.3784,-109.1671
296.6332,-107.1832
296.8527,-105.1951
297.0342,-103.2033
297.1767,-101.2083
297.2805,-99.2108
297.3470,-97.2119
297.3786,-95.2120
297.3777,-93.2119
297.3464,-91.2120
297.2869,-89.2128
297.2015,-87.2145
297.0931,-85.2173
296.9656,-83.2212
296.8228,-81.2262
296.6679,-79.2320
296.5027,-77.2387
296.3273,-75.2462
296.1409,-73.2548
295.9421,-71.2645
295.7298,-69.2756
295.5038,-67.2883
295.2661,-65.3023
295.0207,-63.3173
294.7733,-61.3325
294.5294,-59.3472
294.2922,-57.3612
294.0609,-55.3745
293.8316,-53.3876
293.5980,-51.4011
293.3509,-49.4163
293.0806,-47.4346
292.7801,-45.4572
292.4509,-43.4843
292.1004,-41.5151
291.7363,-39.5484
291.3637,-37.5832
290.9860,-35.6190
290.6057,-33.6554
290.2245,-31.6919
289.8438,-29.7282
289.4643,-27.7644
289.0860,-25.8003
288.7088,-23.8361
288.3324,-21.8716
287.9566,-19.9071
287.5811,-17.9425
287.2058,-15.9778
286.8312,-14.0130
286.4576,-12.0481
286.0858,-10.0828
285.7166,-8.1170
285.3506,-6.1506
284.9875,-4.1836
284.6263,-2.2163
284.2653,-0.2490
283.9030,1.7181
283.5384,3.6847
283.1711,5.6509
282.8011,7.6165
282.4288,9.5817
282.0547,11.5466
281.6794,13.5113
281.3033,15.4758
280.9270,17.4402
280.5508,19.4047
280.1750,21.3692
279.7999,23.3339
279.4254,25.2987
279.0518,27.2637
278.6787,29.2287
278.3061,31.1939
277.9336,33.1590
277.5612,35.1242
277.1888,37.0894
276.8163,39.0546
276.4437,41.0198
276.0710,42.9849
275.6981,44.9500
275.3249,46.9150
274.9514,48.8800
274.5777,50.8450
274.2036,52.8098
273.8294,54.7746
273.4551,56.7394
273.0811,58.7043
272.7077,60.6693
272.3355,62.6344
271.9649,64.6000
271.5965,66.5659
271.2308,68.5323
270.8678,70.4993
270.5067,72.4666
270.1462,74.4340
269.7848,76.4013
269.4214,78.3681
269.0555,80.3345
268.6875,82.3006
268.3183,84.2664
267.9490,86.2321
267.5800,88.1980
267.2115,90.1639
266.8424,92.1297
266.4709,94.0951
266.0959,96.0598
265.7168,98.0237
265.3334,99.9868
264.9444,101.9488
264.5486,103.9094
264.1465,105.8687
263.7446,107.8281
263.3622,109.7913
263.0454,111.7655
262.8769,113.7562
262.9634,115.7490
263.3745,117.6994
264.0904,119.5622
265.0659,121.3083
266.2940,122.8853
267.6743,124.3258
269.2011,125.6106
270.8703,126.7069
272.6635,127.5889
274.5432,128.2696
276.4708,128.8021
278.4198,129.2515
280.3757,129.6699
282.3310,130.0912
284.2818,130.5323
286.2273,130.9970
288.1678,131.4816
290.1049,131.9799
292.0402,132.4853
293.9749,132.9928
295.9100,133.4985
297.8462,134.0004
299.7834,134.4985
301.7209,134.9950
303.6580,135.4935
305.5937,135.9973
307.5273,136.5086
309.4589,137.0282
311.3885,137.5546
313.3173,138.0840
315.2470,138.6101
317.1819,139.1168
319.1283,139.5771
321.0921,139.9559
323.0752,140.2151
325.0723,140.3208
327.0706,140.2494
329.0536,139.9952
331.0050,139.5624
332.9103,138.9587
334.7585,138.1976
336.5442,137.2989
338.2658,136.2824
339.9241,135.1653
341.5204,133.9609
343.0552,132.6790
344.5264,131.3245
345.9263,129.8967
347.2410,128.3903
348.4510,126.7994
349.5330,125.1197
350.4626,123.3519
351.2163,121.5021
351.7775,119.5844
352.1567,117.6213
352.2503,115.6412
351.9812,113.6593
351.7463,111.6731
351.5697,109.6811
351.4733,107.6837
351.4731,105.6842
351.5744,103.6872
351.7740,101.6977
352.0668,99.7197
352.4485,97.7568
352.9153,95.8123
353.4622,93.8886
354.0797,91.9862
354.7536,90.1030
355.4660,88.2340
356.1973,86.3723
356.9352,84.5133
357.6719,82.6538
358.4028,80.7919
359.1259,78.9271
359.8409,77.0591
360.5483,75.1882
361.2499,73.3151
361.9477,71.4406
362.6443,69.5657
363.3426,67.6913
364.0456,65.8188
364.7564,63.9492
365.4774,62.0835
366.2108,60.2227
366.9581,58.3674
367.7197,56.5179
368.4942,54.6738
369.2798,52.8344
370.0747,50.9989
370.8771,49.1668
371.6857,47.3373
372.4989,45.5099
373.3152,43.6839
374.1331,41.8586
374.9507,40.0332
375.7667,38.2070
376.5803,36.3798
377.3914,34.5515
378.2004,32.7222
379.0076,30.8922
379.8135,29.0615
380.6183,27.2304
381.4222,25.3989
382.2253,23.5670
383.0276,21.7348
383.8290,19.9023
384.6297,18.0693
385.4292,16.2359
386.2275,14.4019
387.0245,12.5674
387.8200,10.7323
388.6140,8.8965
389.4062,7.0599
390.1963,5.2224
390.9842,3.3839
391.7702,1.5447
392.5547,-0.2952
393.3382,-2.1355
394.1210,-3.9761
394.9031,-5.8170
395.6843,-7.6583
396.4648,-9.4999
397.2448,-11.3417
398.0245,-13.1836
398.8040,-15.0256
399.5832,-16.8678
400.3615,-18.7103
401.1385,-20.5534
401.9145,-22.3969
402.6903,-24.2404
403.4678,-26.0832
404.2504,-27.9239
405.0435,-29.7601
405.8560,-31.5877
406.6999,-33.4010
407.5892,-35.1923
408.5373,-36.9532
409.5534,-38.6756
410.6413,-40.3537
411.7996,-41.9840
413.0237,-43.5656
414.3062,-45.1004
415.6367,-46.5938
417.0028,-48.0546
418.3928,-49.4928
419.7980,-50.9162
421.2126,-52.3302
422.6333,-53.7381
424.0580,-55.1420
425.4854,-56.5431
426.9139,-57.9431
428.3425,-59.3430
429.7700,-60.7441
431.1959,-62.1467
432.6201,-63.5510
434.0434,-64.9564
435.4664,-66.3619
436.8897,-67.7672
438.3133,-69.1722
439.7369,-70.5771
441.1612,-71.9814
442.5881,-73.3830
444.0204,-74.7790
445.4610,-76.1665
446.9109,-77.5443
448.3689,-78.9136
449.8305,-80.2789
451.2896,-81.6470
452.7405,-83.0238
454.1811,-84.4114
455.6129,-85.8080
457.0388,-87.2107
458.4612,-88.6169
459.8817,-90.0250
461.3015,-91.4339
462.7211,-92.8429
464.1412,-94.2515
465.5624,-95.6589
466.9855,-97.0644
468.4112,-98.4673
469.8396,-99.8674
471.2705,-101.2650
472.7027,-102.6612
474.1348,-104.0576
475.5657,-105.4551
476.9949,-106.8544
478.4222,-108.2556
479.8479,-109.6585
481.2723,-111.0627
482.6956,-112.4680
484.1181,-113.8741
485.5397,-115.2811
486.9607,-116.6887
488.3810,-118.0970
489.8008,-119.5057
491.2200,-120.9152
492.6383,-122.3255
494.0553,-123.7371
495.4709,-125.1502
496.8849,-126.5647
498.2978,-127.9805
499.7101,-129.3969
501.1223,-130.8132
502.5353,-132.2289
503.9493,-133.6435
505.3644,-135.0570
506.7805,-136.4696
508.1971,-137.8816
509.6142,-139.2931
511.0318,-140.7042
512.4501,-142.1145
513.8692,-143.5240
515.2883,-144.9335
516.7057,-146.3448
518.1177,-147.7615
519.5187,-149.1890
520.9001,-150.6354
522.2509,-152.1104
523.5594,-153.6230
524.8163,-155.1787
526.0166,-156.7785
527.1567,-158.4218
528.2339,-160.1069
529.2469,-161.8316
530.1949,-163.5927
531.0813,-165.3857
531.9090,-167.2064
532.6805,-169.0516
533.3969,-170.9189
534.0576,-172.8066
534.6609,-174.7134
535.2043,-176.6381
535.6852,-178.5793
536.1014,-180.5354
536.4517,-182.5043
536.7353,-184.4839
536.9509,-186.4721
537.0978,-188.4665
537.1760,-190.4648
537.1873,-192.4647
537.1334,-194.4638
537.0148,-196.4602
536.8311,-198.4516
536.5819,-200.4358
536.2675,-202.4108
535.8887,-204.3745
535.4461,-206.3248
534.9403,-208.2597
534.3715,-210.1770
533.7396,-212.0745
533.0441,-213.9496
532.2858,-215.8002
531.4669,-217.6248
530.5916,-219.4231
529.6663,-221.1963
528.6987,-222.9467
527.6959,-224.6774
526.6650,-226.3914
525.6129,-228.0924
524.5461,-229.7844
523.4703,-231.4706
522.3886,-233.1531
521.3036,-234.8334
520.2172,-236.5128
519.1309,-238.1923
518.0456,-239.8724
516.9612,-241.5531
515.8770,-243.2339
514.7915,-244.9139
513.7037,-246.5924
512.6133,-248.2692
511.5202,-249.9442
510.4255,-251.6182
509.3309,-253.2924
508.2390,-254.9682
507.1527,-256.6476
506.0750,-258.3326
505.0092,-260.0252
503.9595,-261.7277
502.9308,-263.4430
501.9289,-265.1741
500.9595,-266.9235
500.0269,-268.6928
499.1335,-270.4822
498.2803,-272.2911
497.4671,-274.1184
496.6939,-275.9629
495.9609,-277.8238
495.2685,-279.7002
494.6173,-281.5912
494.0082,-283.4962
493.4420,-285.4145
492.9199,-287.3452
492.4420,-289.2873
492.0076,-291.2396
491.6140,-293.2006
491.2572,-295.1686
490.9326,-297.1422
490.6352,-299.1201
490.3598,-301.1012
490.1006,-303.0845
489.8511,-305.0690
489.6055,-307.0540
489.3599,-309.0390
489.1127,-311.0237
488.8640,-313.0083
488.6153,-314.9929
488.3679,-316.9777
488.1225,-318.9627
487.8785,-320.9479
487.6352,-322.9331
487.3919,-324.9184
487.1484,-326.9037
486.9044,-328.8889
486.6597,-330.8740
486.4144,-332.8590
486.1684,-334.8440
485.9216,-336.8289
485.6738,-338.8136
485.4250,-340.7982
485.1750,-342.7827
484.9239,-344.7671
484.6718,-346.7513
484.4193,-348.7355
484.1668,-350.7196
483.9154,-352.7039
483.6662,-354.6885
483.4200,-356.6735
483.1774,-358.6588
482.9380,-360.6446
482.7005,-362.6306
482.4634,-364.6166
482.2261,-366.6026
481.9885,-368.5886
481.7503,-370.5745
481.5117,-372.5603
481.2724,-374.5461
481.0314,-376.5317
480.7854,-378.5167
480.5279,-380.5002
480.2477,-382.4807
479.9315,-384.4557
479.5663,-386.4222
479.1408,-388.3765
478.6465,-390.3144
478.0775,-392.2317
477.4299,-394.1239
476.7010,-395.9861
475.8898,-397.8140
474.9968,-399.6032
474.0243,-401.3506
472.9749,-403.0528
471.8509,-404.7066
470.6544,-406.3088
469.3878,-407.8562
468.0544,-409.3463
466.6573,-410.7770
465.1995,-412.1458
463.6840,-413.4503
462.1132,-414.6877
460.4901,-415.8557
458.8178,-416.9520
457.0998,-417.9753
455.3396,-418.9245
453.5409,-419.7983
