x,z
-409.3045,-275.1325
-408.1099,-273.5284
-406.9154,-271.9242
-405.7216,-270.3194
-404.5281,-268.7144
-403.3354,-267.1089
-402.1430,-265.5031
-400.9513,-263.8969
-399.7603,-262.2900
-398.5698,-260.6829
-397.3803,-259.0750
-396.1911,-257.4668
-395.0033,-255.8577
-393.8157,-254.2484
-392.6296,-252.6379
-391.4437,-251.0273
-390.2588,-249.4161
-389.0740,-247.8046
-387.8898,-246.1928
-386.7057,-244.5810
-385.5217,-242.9690
-384.3375,-241.3571
-383.1533,-239.7453
-381.9657,-238.1360
-380.7772,-236.5273
-379.5811,-234.9243
-378.3834,-233.3225
-377.1747,-231.7289
-375.9623,-230.1383
-374.7377,-228.5569
-373.5096,-226.9782
-372.2762,-225.4037
-371.0418,-223.8300
-369.8066,-222.2569
-368.5749,-220.6810
-367.3449,-219.1039
-366.1251,-217.5188
-364.9074,-215.9322
-363.6980,-214.3391
-362.4894,-212.7455
-361.2850,-211.1487
-360.0808,-209.5517
-358.8774,-207.9541
-357.6728,-206.3575
-356.4665,-204.7620
-355.2602,-203.1666
-354.0540,-201.5712
-352.8498,-199.9742
-351.6464,-198.3765
-350.4480,-196.7752
-349.2505,-195.1731
-348.0616,-193.5647
-346.8734,-191.9557
-345.6892,-190.3438
-344.5052,-188.7317
-343.3217,-187.1192
-342.1366,-185.5079
-340.9497,-183.8980
-339.7583,-182.2913
-338.5641,-180.6868
-337.3667,-179.0846
-336.1685,-177.4831
-334.9696,-175.8821
-333.7741,-174.2786
-332.6289,-172.6388
-331.4857,-170.9976
-330.3486,-169.3523
-329.2033,-167.7128
-328.0445,-166.0828
-326.8941,-164.4469
-325.7514,-162.8057
-324.6041,-161.1678
-323.4547,-159.5314
-322.3086,-157.8927
-321.1632,-156.2536
-319.9912,-154.6334
-318.8171,-153.0147
-317.6330,-151.4033
-316.4495,-149.7913
-315.2675,-148.1781
-314.0870,-146.5638
-312.9084,-144.9479
-311.7318,-143.3306
-310.5565,-141.7123
-309.3835,-140.0922
-308.2114,-138.4716
-307.0418,-136.8490
-305.8727,-135.2261
-304.7063,-133.6013
-303.5403,-131.9762
-302.3761,-130.3497
-301.2126,-128.7228
-300.0504,-127.0950
-298.8888,-125.4668
-297.7279,-123.8381
-296.5676,-122.2090
-295.4077,-120.5796
-294.2483,-118.9499
-293.0892,-117.3200
-291.9306,-115.6898
-290.7721,-114.0595
-289.6141,-112.4290
-288.4561,-110.7984
-287.2984,-109.1676
-286.1408,-107.5369
-284.9832,-105.9060
-283.8257,-104.2752
-282.6682,-102.6444
-281.5105,-101.0137
-280.3528,-99.3831
-279.1948,-97.7526
-278.0367,-96.1223
-276.8783,-94.4921
-275.7198,-92.8621
-274.5608,-91.2323
-273.4015,-89.6028
-272.2419,-87.9734
-271.0816,-86.3445
-269.9036,-84.7289
-268.6638,-83.1595
-267.4108,-81.6007
-266.1416,-80.0551
-264.8499,-78.5280
-263.5117,-77.0418
-262.1620,-75.5657
-260.8119,-74.0900
-259.4559,-72.6196
-258.0930,-71.1558
-256.6935,-69.7272
-255.2758,-68.3164
-253.7552,-67.0187
-252.2165,-65.7410
-250.6373,-64.5137
-249.0468,-63.3017
-247.4249,-62.1314
