x,z
54.8950,794.2384
56.8871,794.4243
58.8790,794.6104
60.8709,794.7977
62.8628,794.9854
64.8545,795.1738
66.8462,795.3627
68.8379,795.5519
70.8296,795.7414
72.8212,795.9311
74.8128,796.1209
76.8043,796.3109
78.7957,796.5010
80.7872,796.6912
82.7788,796.8810
84.7705,797.0709
86.7621,797.2611
88.7537,797.4513
90.7453,797.6414
92.7369,797.8312
94.7285,798.0209
96.7202,798.2103
98.7119,798.3994
100.7037,798.5879
102.6954,798.7762
104.6873,798.9638
106.6792,799.1512
108.6711,799.3376
110.6631,799.5239
112.6552,799.7093
114.6473,799.8942
116.6395,800.0782
118.6317,800.2615
120.6241,800.4443
122.6165,800.6254
124.6091,800.8058
126.6016,800.9863
128.5941,801.1669
130.5869,801.3450
132.5797,801.5229
134.5726,801.6997
136.5655,801.8762
138.5584,802.0519
140.5514,802.2274
142.5444,802.4025
144.5375,802.5769
146.5306,802.7508
148.5237,802.9252
150.5168,803.0997
152.5099,803.2742
154.5029,803.4488
156.4960,803.6235
158.4890,803.7983
160.4820,803.9731
162.4749,804.1484
164.4678,804.3246
166.4607,804.5003
168.4536,804.6757
170.4465,804.8511
172.4394,805.0266
174.4324,805.2020
176.4253,805.3774
178.4183,805.5528
180.4112,805.7281
182.4042,805.9031
184.3971,806.0781
186.3901,806.2529
188.3831,806.4274
190.3762,806.6016
192.3692,806.7755
194.3623,806.9492
196.3554,807.1224
198.3486,807.2955
200.3427,807.4572
202.3369,807.6168
204.3319,807.7680
206.3268,807.9202
208.3211,808.0784
210.3157,808.2347
212.3106,808.3862
214.3057,808.5355
216.3010,808.6821
218.2970,808.8190
220.2934,808.9492
222.2902,809.0742
224.2871,809.1973
226.2840,809.3210
228.2809,809.4440
230.2787,809.5513
232.2767,809.6552
234.2754,809.7449
236.2744,809.8270
238.2739,809.8949
240.2735,809.9627
242.2730,810.0304
244.2733,810.0651
246.2739,810.0827
248.2742,810.0494
250.2744,810.0044
252.2687,809.8460
254.2619,809.6756
256.2484,809.4378
258.2332,809.1871
260.2132,808.9004
262.1889,808.5870
264.1587,808.2366
266.1191,807.8397
268.0735,807.4116
270.0170,806.9379
271.9572,806.4497
273.8657,805.8501
275.7696,805.2359
277.6522,804.5588
279.5294,803.8674
281.3911,803.1348
283.2455,802.3843
285.0897,801.6086
286.9104,800.7808
288.7155,799.9182
290.5004,799.0148
292.2780,798.0968
293.9984,797.0759
295.7125,796.0443
297.4017,794.9723
299.0762,793.8783
300.7156,792.7314
302.3252,791.5446
303.8988,790.3091
305.4429,789.0375
306.9679,787.7425
308.4497,786.3987
309.9207,785.0426
311.3376,783.6302
312.7427,782.2064
314.0902,780.7275
315.4289,779.2408
316.7477,777.7363
318.0250,776.1974
319.2612,774.6243
320.4732,773.0327
321.6676,771.4277
322.8475,769.8120
324.0239,768.1937
325.1753,766.5576
326.3253,764.9204
327.4633,763.2749
328.5885,761.6207
329.6797,759.9438
330.7228,758.2378
331.7016,756.4929
332.6024,754.7080
333.4445,752.8932
334.2376,751.0567
335.0114,749.2117
335.7796,747.3644
336.5468,745.5166
337.2858,743.6574
338.0211,741.7967
338.7354,739.9279
339.4451,738.0573
340.1425,736.1821
340.8341,734.3047
341.5180,732.4246
342.1990,730.5434
342.8777,728.6613
343.5482,726.7764
344.2158,724.8904
344.8767,723.0020
345.5361,721.1132
346.1735,719.2168
346.8125,717.3209
347.4587,715.4275
348.1027,713.5333
348.7421,711.6376
349.3782,709.7408
350.0108,707.8428
350.6428,705.9446
351.2744,704.0463
351.8961,702.1447
352.5146,700.2421
353.1268,698.3373
353.7379,696.4323
354.3422,694.5251
354.9476,692.6183
355.5571,690.7128
356.1595,688.8051
356.7495,686.8934
357.3357,684.9806
357.9185,683.0667
358.4963,681.1514
359.0717,679.2353
359.6411,677.3174
360.2091,675.3991
360.7648,673.4772
361.3198,671.5552
361.8728,669.6325
362.4240,667.7093
362.9695,665.7845
363.5119,663.8588
364.0497,661.9318
364.5833,660.0037
365.1133,658.0746
365.6380,656.1440
366.1604,654.2128
366.6572,652.2750
367.1493,650.3359
367.6322,648.3945
368.1085,646.4515
368.5523,644.5007
368.9886,642.5483
369.4072,640.5919
369.8286,638.6361
370.2535,636.6812
370.6532,634.7209
371.0368,632.7574
371.4852,630.8080
371.9532,628.8630
372.4139,626.9161
372.8734,624.9690
373.3253,623.0201
373.7755,621.0707
374.2194,619.1199
374.6602,617.1685
375.0958,615.2159
375.5273,613.2623
375.9548,611.3079
376.3768,609.3523
376.7961,607.3961
377.2086,605.4385
377.6196,603.4805
378.0227,601.5209
378.4245,599.5610
378.8189,597.5997
379.2112,595.6378
379.5973,593.6748
379.9799,591.7111
380.3576,589.7465
380.7304,587.7808
381.0996,585.8146
381.4627,583.8471
381.8235,581.8793
382.1767,579.9100
382.5287,577.9406
382.8723,575.9697
383.2144,573.9985
383.5494,572.0261
383.8816,570.0532
384.2079,568.0793
384.5301,566.1048
384.8477,564.1295
385.1599,562.1533
385.4688,560.1766
385.7708,558.1989
386.0708,556.2209
386.3627,554.2416
386.6533,552.2621
386.9356,550.2815
387.2160,548.3005
387.4893,546.3187
387.7594,544.3363
388.0237,542.3531
388.2833,540.3694
388.5386,538.3851
388.7878,536.4000
389.0340,534.4145
389.2727,532.4281
389.5098,530.4415
389.7380,528.4539
389.9649,526.4661
390.1836,524.4774
390.3998,522.4884
390.6093,520.4987
390.8149,518.5086
391.0150,516.5179
391.2098,514.5268
391.4006,512.5352
391.5848,510.5430
391.7664,508.5506
391.9406,506.5575
392.1134,504.5642
392.2780,502.5703
392.4413,500.5763
392.5978,498.5818
392.7521,496.5870
392.9017,494.5919
393.0483,492.5966
393.1918,490.6010
393.3321,488.6053
393.4704,486.6093
393.6055,484.6132
393.7397,482.6170
393.8699,480.6206
393.9996,478.6241
394.1250,476.6273
394.2494,474.6305
394.3703,472.6334
394.4895,470.6363
394.6057,468.6389
394.7199,466.6415
394.8324,464.6440
394.9430,462.6463
395.0527,460.6486
395.1610,458.6508
395.2690,456.6530
395.3762,454.6552
395.4833,452.6574
395.5898,450.6595
395.6960,448.6617
395.8018,446.6638
395.9073,444.6658
396.0124,442.6679
396.1172,440.6700
396.2217,438.6720
396.3258,436.6740
396.4297,434.6761
396.5334,432.6781
396.6370,430.6801
396.7404,428.6821
396.8437,426.6841
396.9469,424.6861
397.0501,422.6881
397.1533,420.6901
397.2564,418.6920
397.3596,416.6940
397.4627,414.6960
397.5658,412.6980
397.6690,410.7000
397.7723,408.7020
397.8756,406.7040
397.9790,404.7060
398.0826,402.7080
398.1861,400.7100
398.2899,398.7120
398.3937,396.7141
398.4977,394.7161
398.6018,392.7181
398.7061,390.7202
398.8106,388.7222
398.9153,386.7243
399.0201,384.7263
399.1250,382.7284
399.2303,380.7305
399.3358,378.7326
399.4414,376.7347
399.5472,374.7368
399.6533,372.7389
399.7596,370.7411
399.8660,368.7432
399.9727,366.7454
400.0797,364.7475
400.1869,362.7497
