x,z
-409.3203,-275.1308
-408.1259,-273.5270
-406.9316,-271.9231
-405.7381,-270.3187
-404.5448,-268.7140
-403.3523,-267.1089
-402.1602,-265.5034
-400.9687,-263.8974
-399.7780,-262.2909
-398.5877,-260.6840
-397.3984,-259.0764
-396.2095,-257.4686
-395.0219,-255.8598
-393.8344,-254.2508
-392.6486,-252.6407
-391.4629,-251.0304
-390.2782,-249.4194
-389.0938,-247.8083
-387.9097,-246.1968
-386.7258,-244.5853
-385.5421,-242.9736
-384.3581,-241.3621
-383.1741,-239.7506
-381.9868,-238.1416
-380.7985,-236.5332
-379.6027,-234.9305
-378.4053,-233.3289
-377.1969,-231.7357
-375.9847,-230.1452
-374.7603,-228.5642
-373.5326,-226.9858
-372.2994,-225.4116
-371.0653,-223.8382
-369.8303,-222.2654
-368.5988,-220.6899
-367.3691,-219.1130
-366.1494,-217.5284
-364.9319,-215.9420
-363.7227,-214.3493
-362.5143,-212.7560
-361.3101,-211.1595
-360.1062,-209.5628
-358.9030,-207.9656
-357.6987,-206.3692
-356.4926,-204.7741
-355.2866,-203.1790
-354.0806,-201.5838
-352.8766,-199.9872
-351.6735,-198.3898
-350.4753,-196.7888
-349.2779,-195.1871
-348.0892,-193.5790
-346.9012,-191.9704
-345.7173,-190.3588
-344.5335,-188.7470
-343.3502,-187.1349
-342.1654,-185.5239
-340.9787,-183.9142
-339.7877,-182.3078
-338.5936,-180.7036
-337.3966,-179.1017
-336.1985,-177.5005
-335.0487,-175.8645
-333.9035,-174.2251
-332.7422,-172.5972
-331.5807,-170.9694
-330.4183,-169.3423
-329.2686,-167.7064
-328.1411,-166.0551
-327.0304,-164.3926
-325.9355,-162.7196
-324.7835,-161.0862
-323.6006,-159.4743
-322.4165,-157.8634
-321.2320,-156.2528
-320.0472,-154.6424
-318.8625,-153.0320
-317.6786,-151.4208
-316.4952,-149.8092
-315.3135,-148.1964
-314.1331,-146.5824
-312.9548,-144.9669
-311.7783,-143.3500
-310.6032,-141.7319
-309.4304,-140.1123
-308.2584,-138.4919
-307.0890,-136.8698
-305.9200,-135.2473
-304.7538,-133.6228
-303.5880,-131.9980
-302.4241,-130.3719
-301.2607,-128.7453
-300.0987,-127.1179
-298.9373,-125.4900
-297.7766,-123.8616
-296.6165,-122.2328
-295.4568,-120.6038
-294.2977,-118.9744
-293.1388,-117.3448
-291.9804,-115.7149
-290.8221,-114.0850
-289.6643,-112.4548
-288.5066,-110.8245
-287.3492,-109.1940
-286.1917,-107.5636
-285.0344,-105.9331
-283.8771,-104.3026
-282.7198,-102.6721
-281.5623,-101.0417
-280.4049,-99.4114
-279.2471,-97.7813
-278.0893,-96.1512
-276.9311,-94.5214
-275.7646,-92.8977
-274.5332,-91.3225
-273.3042,-89.7454
-272.0794,-88.1649
-270.8677,-86.5744
-269.6554,-84.9843
-268.4196,-83.4123
-267.1790,-81.8442
-265.9348,-80.2786
-264.6867,-78.7163
-263.3755,-77.2071
-262.0419,-75.7170
-260.6775,-74.2550
-259.2885,-72.8170
-257.8680,-71.4097
-256.4144,-70.0371
-254.9425,-68.6834
-253.4589,-67.3426
-251.9679,-66.0103
-250.4168,-64.7481
-248.8553,-63.4992
-247.2516,-62.3046
-245.6401,-61.1206
-244.0199,-59.9487
-242.3642,-58.8284
-240.6924,-57.7314
-238.9885,-56.6853
-237.2762,-55.6529
-235.5252,-54.6873
-233.7639,-53.7411
-231.9765,-52.8449
-230.1693,-51.9904
-228.3409,-51.1809
-226.4850,-50.4380
-224.6162,-49.7267
-222.7222,-49.0860
-220.8230,-48.4602
-218.9002,-47.9111
-216.9717,-47.3842
-215.0227,-46.9364
-213.0687,-46.5132
-211.1050,-46.1369
-209.1334,-45.8055
-207.1564,-45.5045
-205.1734,-45.2465
-203.1889,-44.9997
-201.1968,-44.8262
-199.2038,-44.6623
-197.2073,-44.5480
-195.2102,-44.4463
-193.2114,-44.3815
-191.2123,-44.3343
-189.2126,-44.3132
-187.2129,-44.3044
-185.2131,-44.3055
-183.2134,-44.3227
-181.2138,-44.3470
-179.2144,-44.3869
-177.2151,-44.4298
-175.2158,-44.4716
-173.2166,-44.5179
-171.2183,-44.5938
-169.2201,-44.6719
-167.2221,-44.7558
-165.2247,-44.8517
-163.2281,-44.9638
-161.2345,-45.1149
-159.2429,-45.2954
-157.2537,-45.4992
-155.2654,-45.7123
-153.2796,-45.9470
-151.2942,-46.1854
-149.3040,-46.3803
-147.3142,-46.5783
-145.3265,-46.7969
-143.3392,-47.0188
-141.3531,-47.2511
-139.3676,-47.4887
-137.3832,-47.7353
-135.3992,-47.9844
-133.4153,-48.2356
-131.4341,-48.5062
-129.4542,-48.7867
-127.4738,-49.0637
-125.4932,-49.3399
-123.5124,-49.6142
-121.5319,-49.8908
-119.5540,-50.1851
-117.5756,-50.4767
-115.5961,-50.7603
-113.6174,-51.0497
-111.6400,-51.3479
-109.6636,-51.6524
-107.6880,-51.9622
-105.7144,-52.2848
-103.7418,-52.6134
-101.7718,-52.9571
-99.8024,-53.3042
-97.8326,-53.6496
-95.8627,-53.9937
-93.8911,-54.3284
-91.9190,-54.6603
-89.9456,-54.9843
-87.9719,-55.3061
-85.9977,-55.6251
-84.0198,-55.9195
-82.0386,-56.1916
-80.0548,-56.4435
-78.0696,-56.6855
-76.0802,-56.8875
-74.0897,-57.0802
-72.0950,-57.2224
-70.0999,-57.3587
-68.1029,-57.4637
-66.1054,-57.5528
-64.1063,-57.6012
-62.1069,-57.6331
-60.1073,-57.6427
-58.1081,-57.6181
-56.1092,-57.5680
-54.1115,-57.4838
-52.1144,-57.3861
-50.1183,-57.2705
-48.1224,-57.1517
-46.1294,-56.9913
-44.1372,-56.8225
-42.1494,-56.6071
-40.1637,-56.3750
-38.1827,-56.1035
-36.2055,-55.8076
-34.2328,-55.4811
-32.2633,-55.1364
-30.2959,-54.7791
-28.3354,-54.3863
-26.3774,-53.9809
-24.4285,-53.5333
-22.4810,-53.0795
-20.5482,-52.5666
-18.6177,-52.0453
-16.6992,-51.4815
-14.7888,-50.8915
-12.8909,-50.2615
-11.0015,-49.6070
-9.1193,-48.9316
-7.2489,-48.2247
-5.3838,-47.5035
-3.5341,-46.7440
-1.6875,-45.9767
0.1396,-45.1639
1.9635,-44.3442
3.7686,-43.4836
5.5677,-42.6110
7.3509,-41.7059
9.1248,-40.7831
10.8859,-39.8357
12.6345,-38.8658
14.3734,-37.8783
16.0966,-36.8638
17.8134,-35.8383
19.5103,-34.7803
21.2035,-33.7163
22.8876,-32.6380
24.5667,-31.5522
26.2244,-30.4337
27.8781,-29.3093
29.5236,-28.1730
31.1653,-27.0311
32.8027,-25.8831
34.4249,-24.7139
36.0366,-23.5302
37.6445,-22.3412
39.2510,-21.1503
40.8464,-19.9446
42.4423,-18.7397
44.0711,-17.5795
45.6924,-16.4092
47.2809,-15.1944
48.8627,-13.9710
50.4304,-12.7295
51.9838,-11.4704
53.5201,-10.1903
55.0569,-8.9107
56.5941,-7.6316
58.1322,-6.3536
59.6705,-5.0759
61.2102,-3.7999
62.7501,-2.5241
64.2918,-1.2504
65.8337,0.0230
67.3769,1.2949
68.9205,2.5662
70.4650,3.8364
72.0099,5.1061
73.5555,6.3750
75.1016,7.6434
76.6480,8.9113
78.1950,10.1785
79.7421,11.4456
81.2897,12.7120
82.8375,13.9783
84.3856,15.2441
85.9338,16.5098
87.4823,17.7752
89.0122,19.0622
90.4971,20.4017
91.9851,21.7376
93.4773,23.0689
94.9620,24.4085
96.4403,25.7552
97.9566,27.0585
99.4886,28.3437
101.0198,29.6299
102.5509,30.9164
104.0554,32.2337
105.5612,33.5495
107.0755,34.8556
108.5935,36.1573
110.1216,37.4473
111.6404,38.7480
113.1458,40.0644
114.6637,41.3662
116.1914,42.6565
117.7074,43.9606
119.2183,45.2706
120.7553,46.5498
122.2977,47.8226
123.8387,49.0971
125.3795,50.3718
126.9191,51.6480
128.4585,52.9244
129.9970,54.2019
131.5352,55.4799
133.0728,56.7584
134.6102,58.0372
136.1476,59.3160
137.6854,60.5944
139.2233,61.8726
140.7623,63.1496
142.3015,64.4263
143.8425,65.7007
145.3839,66.9748
146.9270,68.2467
148.4707,69.5179
150.0159,70.7873
151.5620,72.0556
153.1094,73.3223
154.6579,74.5876
156.2076,75.8516
157.7618,77.1098
159.3185,78.3651
160.8847,79.6084
162.4533,80.8488
164.1216,81.9503
165.7968,83.0421
167.4814,84.1194
169.1685,85.1927
170.8640,86.2530
172.5707,87.2948
174.2959,88.3060
176.0598,89.2450
177.8493,90.1366
179.7012,90.8863
181.5720,91.5928
183.4756,92.2044
185.3857,92.7932
187.3374,93.2293
189.3009,93.5950
191.2871,93.8266
193.2811,93.8625
195.2794,93.7875
197.2409,93.4032
199.1766,92.9218
201.0471,92.2144
202.8512,91.3629
204.6040,90.4003
206.2119,89.2161
207.7494,87.9437
209.1302,86.4971
210.3900,84.9504
211.5545,83.3248
212.6003,81.6213
213.6198,79.9011
214.5294,78.1202
215.4291,76.3343
216.2870,74.5279
217.1267,72.7131
217.9232,70.8788
218.6929,69.0333
219.4326,67.1754
220.1363,65.3037
220.8197,63.4242
221.4808,61.5369
222.1353,59.6473
222.7678,57.7501
223.3982,55.8523
224.0227,53.9525
224.6453,52.0520
225.2609,50.1493
225.8738,48.2458
226.4817,46.3406
227.0864,44.4344
227.6879,42.5272
228.2860,40.6189
228.8821,38.7100
229.4751,36.8001
230.0672,34.8900
230.6297,32.9710
231.1897,31.0511
231.7498,29.1314
232.2977,27.2082
232.7958,25.2714
233.3008,23.3365
233.8197,21.4051
234.3224,19.4696
234.8071,17.5294
235.3539,15.6066
235.9436,13.6957
236.5425,11.7877
237.1448,9.8807
237.7626,7.9787
238.3830,6.0776
239.0267,4.1842
239.6751,2.2925
240.3485,0.4095
241.0327,-1.4695
241.7417,-3.3394
242.4691,-5.2021
243.2193,-7.0558
244.0061,-8.8940
