x,z
-235.3249,-761.8743
-235.6923,-763.8403
-236.0597,-765.8062
-236.4271,-767.7721
-236.7945,-769.7380
-237.1619,-771.7040
-237.5293,-773.6699
-237.8966,-775.6359
-238.2639,-777.6018
-238.6313,-779.5677
-238.9987,-781.5336
-239.3661,-783.4995
-239.7336,-785.4653
-240.1010,-787.4312
-240.4684,-789.3970
-240.8358,-791.3629
-241.2033,-793.3287
-241.5707,-795.2945
-241.9381,-797.2604
-242.3056,-799.2263
-242.6730,-801.1922
-243.0405,-803.1581
-243.4079,-805.1240
-243.7753,-807.0899
-244.1427,-809.0558
-244.5101,-811.0217
-244.8775,-812.9877
-245.2450,-814.9536
-245.6124,-816.9194
-245.9798,-818.8854
-246.3473,-820.8513
-246.7147,-822.8171
-247.0821,-824.7830
-247.4495,-826.7489
-247.8170,-828.7148
-248.1844,-830.6806
-248.5518,-832.6464
-248.9192,-834.6123
-249.2867,-836.5781
-249.6541,-838.5439
-250.0215,-840.5098
-250.3890,-842.4756
-250.7564,-844.4415
-251.1238,-846.4073
-251.4912,-848.3732
-251.8586,-850.3391
-252.2260,-852.3049
-252.5934,-854.2708
-252.9608,-856.2366
-253.3283,-858.2025
-253.6957,-860.1684
-254.0631,-862.1343
-254.4306,-864.1002
-254.7980,-866.0660
-255.1654,-868.0319
-255.5329,-869.9977
-255.9003,-871.9636
-256.2677,-873.9295
-256.6351,-875.8954
-257.0026,-877.8613
-257.3700,-879.8271
-257.7375,-881.7929
-258.1051,-883.7586
-258.4727,-885.7243
-258.8403,-887.6900
-259.2077,-889.6557
-259.5750,-891.6213
-259.9423,-893.5870
-260.3096,-895.5527
-260.6769,-897.5182
-261.0443,-899.4836
-261.4116,-901.4490
-261.7789,-903.4144
-262.1462,-905.3798
-262.5135,-907.3452
-262.8808,-909.3104
-263.2481,-911.2758
-263.6154,-913.2411
-263.9826,-915.2063
-264.3499,-917.1714
-264.7171,-919.1365
-265.0844,-921.1016
-265.4516,-923.0667
-265.8188,-925.0316
-266.1861,-926.9965
-266.5533,-928.9614
-266.9205,-930.9264
-267.2867,-932.8913
-267.6529,-934.8562
-268.0191,-936.8211
-268.3853,-938.7860
-268.7523,-940.7507
-269.1195,-942.7153
-269.4868,-944.6798
-269.8540,-946.6444
-270.2209,-948.6089
-270.5877,-950.5735
-270.9544,-952.5381
-271.3211,-954.5026
-271.6875,-956.4672
-272.0527,-958.4319
-272.4178,-960.3965
-272.7830,-962.3612
-273.1482,-964.3259
-273.5115,-966.2908
-273.8754,-968.2556
-274.2399,-970.2204
-274.6038,-972.1853
-274.9679,-974.1503
-275.3321,-976.1154
-275.6964,-978.0806
-276.0601,-980.0462
-276.4236,-982.0120
-276.7875,-983.9777
-277.1509,-985.9434
-277.5143,-987.9092
-277.8777,-989.8749
-278.2408,-991.8408
-278.6021,-993.8069
-278.9617,-995.7734
-279.3199,-997.7402
-279.6799,-999.7068
-280.0396,-1001.6732
-280.4100,-1003.6376
-280.8750,-1005.5801
-281.4869,-1007.4821
-282.2467,-1009.3309
-283.1622,-1011.1083
-284.2250,-1012.8019
-285.4547,-1014.3784
-286.8476,-1015.8104
-288.3997,-1017.0678
-290.0984,-1018.1191
-291.9466,-1018.8766
-293.8842,-1019.3594
-295.8770,-1019.4908
-297.8673,-1019.3290
-299.8163,-1018.8910
-301.6845,-1018.1810
-303.4709,-1017.2844
-305.1585,-1016.2120
-306.7511,-1015.0038
-308.2578,-1013.6906
-309.6833,-1012.2892
-311.0356,-1010.8176
-312.3214,-1009.2876
-313.5463,-1007.7088
-314.7181,-1006.0903
-315.8276,-1004.4287
-316.9052,-1002.7468
-317.9464,-1001.0417
-318.9364,-999.3069
-319.9012,-997.5583
-320.8370,-995.7939
-321.7316,-994.0086
-322.6058,-992.2133
-323.4581,-990.4074
-324.2760,-988.5857
-325.0793,-986.7576
-325.8675,-984.9229
-326.6526,-983.0869
-327.4378,-981.2510
-328.2232,-979.4151
-329.0086,-977.5792
-329.7942,-975.7434
-330.5798,-973.9077
-331.3664,-972.0724
-332.1531,-970.2371
-332.9397,-968.4019
-333.7264,-966.5666
-334.5118,-964.7310
-335.2970,-962.8952
-336.0821,-961.0594
-336.8673,-959.2238
-337.6507,-957.3871
-338.4326,-955.5496
-339.2145,-953.7120
-339.9964,-951.8746
-340.7768,-950.0365
-341.5532,-948.1969
-342.3295,-946.3573
-343.1058,-944.5177
-343.8822,-942.6781
-344.6518,-940.8357
-345.4214,-938.9933
-346.1909,-937.1509
-346.9605,-935.3085
-347.7246,-933.4638
-348.4869,-931.6185
-349.2491,-929.7731
-350.0114,-927.9278
-350.7701,-926.0811
-351.5254,-924.2331
-352.2806,-922.3851
-353.0359,-920.5371
-353.7894,-918.6885
-354.5384,-916.8381
-355.2873,-914.9878
-356.0363,-913.1375
-356.7851,-911.2870
-357.5282,-909.4344
-358.2713,-907.5819
-359.0143,-905.7293
-359.7574,-903.8768
-360.4966,-902.0226
-361.2342,-900.1678
-361.9717,-898.3130
-362.7093,-896.4583
-363.4446,-894.6026
-364.1765,-892.7455
-364.9083,-890.8884
-365.6401,-889.0313
-366.3716,-887.1741
-367.0971,-885.3145
-367.8226,-883.4549
-368.5481,-881.5953
-369.2736,-879.7357
-369.9945,-877.8743
-370.7137,-876.0122
-371.4329,-874.1501
-372.1521,-872.2880
-372.8651,-870.4235
-373.5692,-868.5557
-374.2732,-866.6877
-374.9772,-864.8198
-375.6770,-862.9503
-376.3331,-861.0651
-376.9892,-859.1798
-377.6453,-857.2945
-378.3014,-855.4092
-378.9313,-853.5151
-379.5533,-851.6183
-380.1753,-849.7216
-380.7973,-847.8248
-381.4037,-845.9230
-381.9907,-844.0152
-382.5776,-842.1074
-383.1646,-840.1995
-383.7505,-838.2913
-384.3269,-836.3804
-384.9033,-834.4694
-385.4796,-832.5585
-386.0561,-830.6475
-386.6210,-828.7332
-387.1822,-826.8176
-387.7433,-824.9020
-388.3044,-822.9865
-388.8519,-821.0670
-389.3788,-819.1414
-389.9056,-817.2158
-390.4325,-815.2901
-390.9573,-813.3640
-391.4401,-811.4265
-391.9229,-809.4891
-392.4057,-807.5516
-392.8885,-805.6142
-393.3520,-803.6722
-393.8077,-801.7285
-394.2634,-799.7846
-394.7190,-797.8408
-395.1592,-795.8936
-395.5731,-793.9406
-395.9869,-791.9875
-396.4008,-790.0345
-396.8141,-788.0813
-397.2105,-786.1243
-397.6070,-784.1673
-398.0034,-782.2103
-398.3999,-780.2532
-398.7805,-778.2928
-399.1543,-776.3309
-399.5280,-774.3690
-399.9017,-772.4071
-400.2672,-770.4435
-400.6190,-768.4774
-400.9709,-766.5112
-401.3228,-764.5451
-401.6741,-762.5789
-402.0175,-760.6110
