x,z
60.3710,-294.3322
62.3712,-294.3322
64.3714,-294.3322
66.3716,-294.3322
68.3718,-294.3322
70.3720,-294.3322
72.3722,-294.3322
74.3723,-294.3322
76.3725,-294.3322
78.3727,-294.3322
80.3729,-294.3323
82.3731,-294.3323
84.3733,-294.3323
86.3735,-294.3323
88.3737,-294.3323
90.3739,-294.3322
92.3741,-294.3322
94.3743,-294.3322
96.3745,-294.3322
98.3747,-294.3322
100.3749,-294.3322
102.3751,-294.3322
104.3753,-294.3322
106.3755,-294.3322
108.3756,-294.3322
110.3758,-294.3322
112.3760,-294.3322
114.3762,-294.3322
116.3764,-294.3322
118.3766,-294.3322
120.3768,-294.3322
122.3770,-294.3322
124.3772,-294.3322
126.3774,-294.3322
128.3776,-294.3322
130.3778,-294.3322
132.3780,-294.3322
134.3782,-294.3322
136.3784,-294.3322
138.3786,-294.3322
140.3787,-294.3322
142.3789,-294.3322
144.3791,-294.3322
146.3793,-294.3322
148.3795,-294.3322
150.3797,-294.3322
152.3799,-294.3322
154.3801,-294.3322
156.3803,-294.3322
158.3805,-294.3322
160.3807,-294.3322
162.3809,-294.3322
164.3811,-294.3322
166.3813,-294.3322
168.3815,-294.3322
170.3817,-294.3322
172.3819,-294.3323
174.3820,-294.3323
176.3822,-294.3323
178.3824,-294.3323
180.3826,-294.3323
182.3828,-294.3323
184.3830,-294.3323
186.3832,-294.3323
188.3834,-294.3323
190.3836,-294.3323
192.3838,-294.3323
194.3840,-294.3323
196.3842,-294.3323
198.3844,-294.3323
200.3846,-294.3323
202.3848,-294.3323
204.3849,-294.3323
206.3851,-294.3323
208.3853,-294.3321
210.3855,-294.3295
212.3857,-294.3269
214.3859,-294.3243
216.3859,-294.3309
218.3844,-294.4132
220.3829,-294.4956
222.3814,-294.5780
224.3679,-294.7673
226.3349,-295.1301
228.3019,-295.4930
230.2563,-295.8972
232.0922,-296.6911
233.9282,-297.4850
235.7477,-298.3109
237.4694,-299.3290
239.1911,-300.3471
240.8990,-301.3868
242.5454,-302.5226
244.1918,-303.6585
245.8074,-304.8364
247.3864,-306.0642
248.9654,-307.2920
250.5444,-308.5198
252.1220,-309.7495
253.6974,-310.9818
255.2729,-312.2141
256.8484,-313.4465
258.4239,-314.6788
259.9987,-315.9119
261.5691,-317.1508
263.1394,-318.3897
264.7097,-319.6286
266.2812,-320.8661
267.8545,-322.1012
269.4278,-323.3363
271.0010,-324.5714
272.5711,-325.8107
274.1331,-327.0600
275.6951,-328.3093
277.2572,-329.5587
278.8166,-330.8112
280.3736,-332.0669
281.9305,-333.3225
283.4875,-334.5782
285.0444,-335.8338
286.6014,-337.0895
288.1583,-338.3452
289.7153,-339.6008
291.2722,-340.8565
292.8292,-342.1122
294.3861,-343.3678
295.9430,-344.6235
297.4999,-345.8792
299.0569,-347.1349
300.6138,-348.3907
302.1707,-349.6464
303.7276,-350.9021
305.2845,-352.1578
306.8414,-353.4135
308.3983,-354.6693
309.9551,-355.9250
311.5120,-357.1808
313.0689,-358.4365
314.6258,-359.6923
316.1826,-360.9481
317.7395,-362.2038
319.2963,-363.4596
320.8532,-364.7154
322.4100,-365.9712
323.9668,-367.2271
325.5236,-368.4829
327.0804,-369.7387
328.6372,-370.9946
330.1940,-372.2504
331.7508,-373.5063
333.3076,-374.7622
334.8643,-376.0180
336.4211,-377.2740
337.9778,-378.5299
339.5346,-379.7858
341.0913,-381.0417
342.6481,-382.2976
344.2048,-383.5536
345.7614,-384.8096
347.3181,-386.0656
348.8748,-387.3215
350.4315,-388.5775
351.9882,-389.8336
353.5448,-391.0896
355.1015,-392.3456
356.6581,-393.6017
358.2147,-394.8578
359.7713,-396.1139
361.3279,-397.3700
362.8844,-398.6262
364.4410,-399.8823
365.9975,-401.1385
367.5540,-402.3946
369.1106,-403.6508
370.6671,-404.9070
372.2235,-406.1633
373.7800,-407.4196
375.3365,-408.6758
376.8929,-409.9322
378.4493,-411.1885
380.0056,-412.4449
381.5620,-413.7013
383.1184,-414.9577
384.6747,-416.2141
386.2310,-417.4705
387.7874,-418.7270
389.3436,-419.9835
390.8998,-421.2401
392.4561,-422.4966
394.0123,-423.7532
395.5684,-425.0099
397.1245,-426.2665
398.6806,-427.5232
400.2368,-428.7799
401.7928,-430.0367
403.3488,-431.2935
404.9049,-432.5503
406.4609,-433.8071
408.0169,-435.0640
409.5728,-436.3210
411.1286,-437.5780
412.6845,-438.8350
414.2403,-440.0920
415.7961,-441.3492
417.3517,-442.6064
418.9075,-443.8636
420.4632,-445.1208
422.0187,-446.3782
423.5742,-447.6356
425.1298,-448.8930
426.6853,-450.1504
428.2406,-451.4081
429.7960,-452.6657
431.3513,-453.9234
432.9066,-455.1812
434.4617,-456.4391
436.0168,-457.6971
437.5718,-458.9551
439.1269,-460.2130
440.6817,-461.4714
442.2364,-462.7298
443.7912,-463.9882
445.3459,-465.2466
446.9003,-466.5054
448.4546,-467.7643
450.0089,-469.0232
451.5633,-470.2821
453.1173,-471.5414
454.6711,-472.8010
456.2249,-474.0605
457.7788,-475.3200
459.3320,-476.5803
460.8850,-477.8408
462.4381,-479.1012
463.9911,-480.3617
465.5464,-481.6194
467.1019,-482.8770
468.6573,-484.1345
470.2149,-485.3894
471.7852,-486.6282
473.3549,-487.8679
474.9189,-489.1149
476.4726,-490.3742
477.9985,-491.6674
479.4767,-493.0146
480.9132,-494.4060
482.3212,-495.8266
483.6512,-497.3156
484.8312,-498.9305
485.9295,-500.6018
486.9532,-502.3199
487.8954,-504.0839
488.7384,-505.8971
489.4471,-507.7668
490.0304,-509.6797
490.5208,-511.6184
490.8963,-513.5826
491.1366,-515.5677
491.2546,-517.5638
491.2423,-519.5634
491.0827,-521.5566
490.8090,-523.5377
490.4274,-525.5006
489.9136,-527.4327
489.2560,-529.3209
488.4385,-531.1455
487.4676,-532.8931
486.4005,-534.5848
485.3136,-536.2640
484.2267,-537.9431
483.1399,-539.6223
482.0422,-541.2944
480.9439,-542.9660
479.8455,-544.6376
478.7472,-546.3093
477.6492,-547.9812
476.5512,-549.6531
475.4532,-551.3249
474.3546,-552.9965
473.2559,-554.6678
472.1571,-556.3392
471.0584,-558.0106
469.9613,-559.6830
468.8641,-561.3555
467.7670,-563.0280
466.6697,-564.7003
465.5721,-566.3724
464.4745,-568.0446
463.3769,-569.7167
462.2771,-571.3874
461.1765,-573.0576
460.0759,-574.7277
458.9749,-576.3976
457.8665,-578.0626
456.7580,-579.7276
455.6496,-581.3926
454.4929,-583.0237
453.3029,-584.6313
452.0806,-586.2141
450.8038,-587.7536
449.4817,-589.2543
448.0777,-590.6782
446.5760,-591.9982
444.9783,-593.2005
443.3005,-594.2889
441.5711,-595.2928
439.7845,-596.1906
437.9515,-596.9904
436.0860,-597.7116
434.1985,-598.3730
432.2925,-598.9793
430.3666,-599.5187
428.4190,-599.9730
426.4526,-600.3378
424.4724,-600.6188
422.4818,-600.8002
420.4830,-600.8740
418.4829,-600.8648
416.4838,-600.8021
414.4867,-600.6943
412.4957,-600.5054
410.5161,-600.2211
408.5537,-599.8355
406.6115,-599.3593
404.6962,-598.7840
402.8188,-598.0948
400.9807,-597.3073
399.1832,-596.4305
397.4209,-595.4846
395.6815,-594.4973
393.9723,-593.4587
392.3074,-592.3505
390.6895,-591.1750
389.1055,-589.9539
387.5341,-588.7164
385.9626,-587.4789
384.3912,-586.2414
382.8248,-584.9976
381.2624,-583.7487
379.7000,-582.4998
378.1377,-581.2509
376.5766,-580.0003
375.0172,-578.7478
373.4577,-577.4953
371.8982,-576.2428
370.3396,-574.9891
368.7816,-573.7348
367.2235,-572.4805
365.6655,-571.2262
364.1082,-569.9709
362.5515,-568.7150
360.9947,-567.4591
359.4380,-566.2032
357.8817,-564.9467
356.3261,-563.6894
354.7704,-562.4321
353.2148,-561.1748
351.6598,-559.9168
350.1051,-558.6583
348.5504,-557.3998
346.9957,-556.1414
345.4418,-554.8820
343.8880,-553.6224
342.3343,-552.3627
340.7806,-551.1031
339.2275,-549.8427
337.6746,-548.5820
336.1217,-547.3214
334.5688,-546.0607
333.0166,-544.7991
331.4646,-543.5374
329.9125,-542.2757
328.3605,-541.0139
326.8091,-539.7515
325.2579,-538.4887
323.7067,-537.2260
322.1555,-535.9632
320.6048,-534.6998
319.0544,-533.4360
317.5040,-532.1723
315.9536,-530.9086
314.4037,-529.6443
312.8541,-528.3795
311.3045,-527.1148
309.7549,-525.8501
308.2057,-524.5849
306.6569,-523.3192
305.1082,-522.0534
303.5594,-520.7877
302.0110,-519.5215
300.4631,-518.2547
298.9152,-516.9879
297.3673,-515.7211
295.8197,-514.4539
294.2726,-513.1860
292.7256,-511.9182
291.1786,-510.6504
289.6318,-509.3821
288.0857,-508.1132
286.5396,-506.8442
284.9934,-505.5753
283.4477,-504.3058
281.9026,-503.0357
280.3574,-501.7656
278.8122,-500.4955
277.2677,-499.2245
275.7237,-497.9529
274.1797,-496.6814
272.6357,-495.4098
271.0922,-494.1376
269.5495,-492.8645
268.0068,-491.5914
266.4641,-490.3184
264.9218,-489.0446
263.3805,-487.7699
261.8391,-486.4951
260.2978,-485.2204
258.7572,-483.9447
257.2177,-482.6676
255.6783,-481.3906
254.1389,-480.1135
252.6017,-478.8337
251.0683,-477.5494
249.5470,-476.2508
248.0574,-474.9163
246.6333,-473.5125
245.2931,-472.0286
244.0500,-470.4623
242.9102,-468.8191
