x,z
60.5190,-294.3322
58.5189,-294.3322
56.5188,-294.3322
54.5187,-294.3321
52.5186,-294.3321
50.5186,-294.3321
48.5185,-294.3321
46.5184,-294.3321
44.5183,-294.3321
42.5182,-294.3322
40.5181,-294.3322
38.5180,-294.3322
36.5180,-294.3323
34.5179,-294.3323
32.5178,-294.3323
30.5177,-294.3323
28.5176,-294.3323
26.5175,-294.3322
24.5174,-294.3322
22.5173,-294.3322
20.5173,-294.3322
18.5172,-294.3322
16.5171,-294.3322
14.5170,-294.3321
12.5169,-294.3321
10.5168,-294.3321
8.5167,-294.3321
6.5167,-294.3321
4.5166,-294.3322
2.5165,-294.3322
0.5164,-294.3322
-1.4837,-294.3323
-3.4838,-294.3323
-5.4839,-294.3323
-7.4839,-294.3323
-9.4840,-294.3323
-11.4841,-294.3323
-13.4842,-294.3322
-15.4843,-294.3322
-17.4844,-294.3322
-19.4845,-294.3322
-21.4846,-294.3322
-23.4846,-294.3322
-25.4847,-294.3322
-27.4848,-294.3322
-29.4849,-294.3322
-31.4850,-294.3321
-33.4851,-294.3322
-35.4852,-294.3322
-37.4852,-294.3322
-39.4853,-294.3322
-41.4854,-294.3322
-43.4855,-294.3322
-45.4856,-294.3321
-47.4857,-294.3321
-49.4858,-294.3321
-51.4858,-294.3322
-53.4859,-294.3322
-55.4860,-294.3323
-57.4861,-294.3323
-59.4862,-294.3322
-61.4863,-294.3322
-63.4864,-294.3322
-65.4865,-294.3322
-67.4865,-294.3322
-69.4866,-294.3322
-71.4867,-294.3321
-73.4868,-294.3321
-75.4869,-294.3321
-77.4870,-294.3321
-79.4871,-294.3321
-81.4871,-294.3322
-83.4872,-294.3322
-85.4873,-294.3322
-87.4874,-294.3322
-89.4875,-294.3323
-91.4876,-294.3323
-93.4877,-294.3323
-95.4877,-294.3323
-97.4878,-294.3323
-99.4879,-294.3322
-101.4880,-294.3322
-103.4881,-294.3322
-105.4882,-294.3322
-107.4883,-294.3323
-109.4883,-294.3323
-111.4884,-294.3323
-113.4885,-294.3322
-115.4886,-294.3322
-117.4887,-294.3321
-119.4888,-294.3321
-121.4889,-294.3321
-123.4890,-294.3321
-125.4890,-294.3321
-127.4891,-294.3322
-129.4892,-294.3322
-131.4893,-294.3322
-133.4894,-294.3322
-135.4895,-294.3322
-137.4896,-294.3322
-139.4896,-294.3322
-141.4897,-294.3321
-143.4898,-294.3321
-145.4899,-294.3322
-147.4900,-294.3322
-149.4901,-294.3322
-151.4902,-294.3322
-153.4902,-294.3321
-155.4903,-294.3321
-157.4904,-294.3321
-159.4905,-294.3321
-161.4906,-294.3322
-163.4907,-294.3322
-165.4908,-294.3322
-167.4909,-294.3322
-169.4909,-294.3322
-171.4910,-294.3322
-173.4911,-294.3321
-175.4912,-294.3322
-177.4913,-294.3322
-179.4914,-294.3322
-181.4915,-294.3323
-183.4915,-294.3323
-185.4916,-294.3323
-187.4917,-294.3323
-189.4918,-294.3323
-191.4919,-294.3323
-193.4920,-294.3322
-195.4921,-294.3322
-197.4922,-294.3322
-199.4922,-294.3322
-201.4923,-294.3322
-203.4924,-294.3322
-205.4925,-294.3321
-207.4926,-294.3322
-209.4927,-294.3322
-211.4928,-294.3322
-213.4928,-294.3322
-215.4929,-294.3323
-217.4930,-294.3323
-219.4931,-294.3323
-221.4932,-294.3323
-223.4933,-294.3323
-225.4934,-294.3323
-227.4934,-294.3323
-229.4935,-294.3322
-231.4936,-294.3322
-233.4937,-294.3322
-235.4938,-294.3322
-237.4939,-294.3322
-239.4940,-294.3321
-241.4940,-294.3322
-243.4941,-294.3322
-245.4942,-294.3323
-247.4943,-294.3323
-249.4944,-294.3323
-251.4945,-294.3323
-253.4946,-294.3322
-255.4947,-294.3322
-257.4948,-294.3322
-259.4948,-294.3322
-261.4949,-294.3322
-263.4950,-294.3321
-265.4951,-294.3321
-267.4952,-294.3321
-269.4953,-294.3321
-271.4953,-294.3321
-273.4954,-294.3322
-275.4955,-294.3322
-277.4956,-294.3322
-279.4957,-294.3322
-281.4958,-294.3323
-283.4958,-294.3323
-285.4959,-294.3322
-287.4960,-294.3322
-289.4961,-294.3322
-291.4962,-294.3322
-293.4963,-294.3322
-295.4964,-294.3322
-297.4965,-294.3321
-299.4966,-294.3321
-301.4966,-294.3321
-303.4967,-294.3321
-305.4968,-294.3321
-307.4969,-294.3321
-309.4970,-294.3321
-311.4971,-294.3321
-313.4972,-294.3321
-315.4973,-294.3322
-317.4973,-294.3322
-319.4974,-294.3322
-321.4975,-294.3323
-323.4976,-294.3323
-325.4977,-294.3323
-327.4978,-294.3323
-329.4979,-294.3324
-331.4979,-294.3324
-333.4980,-294.3323
-335.4981,-294.3323
-337.4982,-294.3323
-339.4983,-294.3323
-341.4984,-294.3323
-343.4984,-294.3323
-345.4985,-294.3322
-347.4986,-294.3322
-349.4987,-294.3322
-351.4988,-294.3322
-353.4989,-294.3322
-355.4990,-294.3323
-357.4991,-294.3323
-359.4991,-294.3323
-361.4992,-294.3323
-363.4993,-294.3323
-365.4994,-294.3323
-367.4995,-294.3323
-369.4996,-294.3323
-371.4997,-294.3323
-373.4998,-294.3323
-375.4998,-294.3323
-377.4999,-294.3323
-379.5000,-294.3322
-381.5001,-294.3322
-383.5002,-294.3322
-385.5002,-294.3322
-387.5003,-294.3322
-389.5004,-294.3322
-391.5005,-294.3321
-393.5006,-294.3321
-395.5007,-294.3321
-397.5008,-294.3321
-399.5009,-294.3321
-401.5009,-294.3321
-403.5010,-294.3322
-405.5011,-294.3322
-407.5012,-294.3322
-409.5013,-294.3323
-411.5013,-294.3323
-413.5014,-294.3323
-415.5015,-294.3323
-417.5016,-294.3323
-419.5017,-294.3323
-421.5018,-294.3323
-423.5019,-294.3322
-425.5020,-294.3322
-427.5020,-294.3322
-429.5021,-294.3322
-431.5022,-294.3322
-433.5023,-294.3322
-435.5024,-294.3322
-437.5025,-294.3321
-439.5026,-294.3322
-441.5026,-294.3322
-443.5027,-294.3322
-445.5028,-294.3323
-447.5029,-294.3323
-449.5030,-294.3344
-451.5031,-294.3369
-453.5031,-294.3394
-455.5032,-294.3419
-457.5033,-294.3487
-459.5033,-294.3709
-461.5032,-294.3931
-463.5032,-294.4153
-465.5031,-294.4375
-467.5027,-294.4818
-469.5020,-294.5374
-471.5009,-294.6048
-473.4996,-294.6790
-475.4967,-294.7857
-477.4926,-294.9147
-479.4873,-295.0601
-481.4812,-295.2175
-483.4732,-295.3955
-485.4637,-295.5914
-487.4532,-295.7966
-489.4416,-296.0115
-491.4280,-296.2438
-493.4121,-296.4962
-495.3950,-296.7572
-497.3765,-297.0286
-499.3557,-297.3160
-501.3318,-297.6248
-503.3065,-297.9414
-505.2795,-298.2689
-507.2499,-298.6111
-509.2164,-298.9756
-511.1815,-299.3476
-513.1444,-299.7308
-515.1044,-300.1285
-517.0597,-300.5483
-519.0134,-300.9756
-520.9647,-301.4139
-522.9127,-301.8668
-524.8554,-302.3414
-526.7963,-302.8237
-528.7344,-303.3166
-530.6686,-303.8247
-532.5972,-304.3534
-534.5237,-304.8902
-536.4473,-305.4370
-538.3661,-305.9999
-540.2793,-306.5822
-542.1898,-307.1730
-544.0974,-307.7732
-545.9994,-308.3909
-547.8956,-309.0260
-549.7887,-309.6704
-551.6789,-310.3232
-553.5623,-310.9954
-555.4401,-311.6828
-557.3141,-312.3807
-559.1834,-313.0912
-561.0473,-313.8156
-562.9064,-314.5523
-564.7602,-315.3023
-566.6108,-316.0598
-568.4540,-316.8352
-570.2901,-317.6276
-572.1226,-318.4281
-573.9509,-319.2381
-575.7728,-320.0621
-577.5855,-320.9066
-579.3951,-321.7575
-581.1996,-322.6192
-582.9987,-323.4918
-584.7867,-324.3873
-586.5722,-325.2878
-588.3515,-326.2002
-590.1268,-327.1203
-591.8888,-328.0659
-593.6488,-329.0152
-595.4017,-329.9775
-597.1518,-330.9448
-598.8864,-331.9396
-600.6196,-332.9369
-602.3448,-333.9480
-604.0683,-334.9618
-605.7745,-336.0048
-607.4797,-337.0491
-609.1760,-338.1081
-610.8713,-339.1685
-612.5482,-340.2578
-614.2237,-341.3492
-615.8902,-342.4543
-617.5553,-343.5615
-619.2025,-344.6953
-620.8470,-345.8329
-622.4829,-346.9829
-624.1167,-348.1358
-625.7332,-349.3129
-627.3457,-350.4955
-628.9497,-351.6897
-630.5510,-352.8874
-632.1355,-354.1072
-633.7148,-355.3339
-635.2858,-356.5712
-636.8536,-357.8126
-638.4051,-359.0742
-639.9502,-360.3438
-641.4872,-361.6232
-643.0203,-362.9072
-644.5378,-364.2095
-646.0475,-365.5211
-647.5494,-366.8415
-649.0468,-368.1671
-650.5291,-369.5095
-652.0024,-370.8619
-653.4683,-372.2224
-654.9290,-373.5883
-656.3751,-374.9697
-657.8112,-376.3615
-659.2397,-377.7611
-660.6625,-379.1665
-662.0715,-380.5857
-663.4689,-382.0164
-664.8594,-383.4539
-666.2434,-384.8975
-667.6141,-386.3537
-668.9721,-387.8220
-670.3233,-389.2964
-671.6674,-390.7773
-672.9988,-392.2695
-674.3157,-393.7747
-675.6262,-395.2854
-676.9288,-396.8030
-678.2195,-398.3306
-679.4937,-399.8721
-680.7620,-401.4185
-682.0219,-402.9716
-683.2706,-404.5338
-684.5010,-406.1105
-685.7255,-407.6918
-686.9419,-409.2793
-688.1489,-410.8738
-689.3351,-412.4841
-690.5165,-414.0979
-691.6879,-415.7189
-692.8505,-417.3461
-693.9912,-418.9889
-695.1276,-420.6347
-696.2531,-422.2879
-697.3713,-423.9460
-698.4657,-425.6201
-699.5562,-427.2966
-700.6349,-428.9808
-701.7080,-430.6684
-702.7548,-432.3727
-703.7988,-434.0785
-704.8295,-435.7925
-705.8569,-437.5084
-706.8554,-439.2414
-707.8524,-440.9752
-708.8342,-442.7177
-709.8145,-444.4609
-710.7640,-446.2212
-711.7117,-447.9825
-712.6445,-449.7517
-713.5752,-451.5220
-714.4769,-453.3072
-715.3740,-455.0948
-716.2579,-456.8889
-717.1381,-458.6848
-717.9916,-460.4937
-718.8375,-462.3061
-719.6713,-464.1240
-720.5001,-465.9442
-721.3046,-467.7753
-722.0986,-469.6111
-722.8817,-471.4514
-723.6585,-473.2945
-724.4138,-475.1464
-725.1551,-477.0041
-725.8870,-478.8654
-726.6069,-480.7314
-727.3133,-482.6026
-728.0064,-484.4787
-728.6864,-486.3597
-729.3579,-488.2437
-730.0096,-490.1345
-730.6467,-492.0304
-731.2728,-493.9300
-731.8918,-495.8319
-732.4889,-497.7407
-733.0734,-499.6535
-733.6461,-501.5698
-734.2124,-503.4880
-734.7546,-505.4131
-735.2860,-507.3413
-735.8046,-509.2730
-736.3176,-511.2062
-736.8049,-513.1459
-737.2826,-515.0881
-737.7469,-517.0336
-738.2061,-518.9802
-738.6384,-520.9330
-739.0613,-522.8878
-739.4714,-524.8455
-739.8763,-526.8041
-740.2536,-528.7682
-740.6220,-530.7341
-740.9771,-532.7024
-741.3274,-534.6716
-741.6497,-536.6454
-741.9629,-538.6208
-742.2631,-540.5983
-742.5580,-542.5765
-742.8258,-544.5585
-743.0859,-546.5416
-743.3400,-548.5255
-743.5900,-550.5099
-743.7983,-552.4990
-743.9918,-554.4897
-744.1854,-556.4803
-744.3790,-558.4711
-744.5349,-560.4649
-744.6722,-562.4603
-744.8096,-564.4556
-744.9470,-566.4510
-745.0513,-568.4481
-745.1325,-570.4466
-745.2137,-572.4450
-745.2949,-574.4434
-745.3491,-576.4426
-745.3753,-578.4425
-745.4015,-580.4424
-745.4277,-582.4423
-745.4263,-584.4423
-745.4037,-586.4423
-745.3811,-588.4422
-745.3585,-590.4421
-745.3085,-592.4415
-745.2411,-594.4404
-745.1736,-596.4394
-745.1063,-598.4384
-745.0082,-600.4359
-744.8952,-602.4328
-744.7822,-604.4297
-744.6692,-606.4266
-744.5212,-608.4211
-744.3618,-610.4148
-744.2025,-612.4086
-744.0430,-614.4023
-743.8426,-616.3922
-743.6341,-618.3814
-743.4256,-620.3705
-743.2170,-622.3597
-742.9761,-624.3451
-742.7158,-626.3282
-742.4556,-628.3113
-742.1953,-630.2943
-741.9124,-632.2742
-741.5994,-634.2496
-741.2865,-636.2250
-740.9735,-638.2005
-740.6475,-640.1737
-740.2813,-642.1400
-739.9149,-644.1062
-739.5486,-646.0724
-739.1783,-648.0379
-738.7579,-649.9933
-738.3375,-651.9487
-737.9171,-653.9041
-737.4967,-655.8596
-737.0262,-657.8034
-736.5511,-659.7463
-736.0761,-661.6891
-735.6010,-663.6320
-735.0831,-665.5637
-734.5529,-667.4922
-734.0226,-669.4207
-733.4924,-671.3492
-732.9265,-673.2674
-732.3406,-675.1797
-731.7546,-677.0921
-731.1687,-679.0044
-730.5544,-680.9076
-729.9123,-682.8018
-729.2701,-684.6960
-728.6280,-686.5902
-727.9646,-688.4769
-727.2662,-690.3510
-726.5677,-692.2252
-725.8693,-694.0994
-725.1561,-695.9678
-724.4011,-697.8199
-723.6462,-699.6721
-722.8912,-701.5242
-722.1281,-703.3728
-721.3167,-705.2009
-720.5053,-707.0291
-719.6940,-708.8572
-718.8808,-710.6845
-718.0130,-712.4865
-717.1451,-714.2885
-716.2773,-716.0905
-715.4095,-717.8925
-714.4905,-719.6689
-713.5665,-721.4427
-712.6424,-723.2166
-711.7183,-724.9904
-710.7512,-726.7408
-709.7712,-728.4844
-708.7914,-730.2280
-707.8115,-731.9717
-706.7961,-733.6946
-705.7610,-735.4059
-704.7258,-737.1173
-703.6907,-738.8287
-702.6282,-740.5229
-701.5382,-742.2000
-700.4482,-743.8769
-699.3582,-745.5538
-698.2505,-747.2189
-697.1070,-748.8599
-695.9634,-750.5009
-694.8199,-752.1418
-693.6675,-753.7763
-692.4713,-755.3792
-691.2751,-756.9822
-690.0789,-758.5851
-688.8826,-760.1880
-687.6359,-761.7520
-686.3879,-763.3150
-685.1400,-764.8779
-683.8920,-766.4409
-682.6064,-767.9729
-681.3080,-769.4942
-680.0096,-771.0155
-678.7111,-772.5368
-677.3884,-774.0367
-676.0428,-775.5166
-674.6973,-776.9964
-673.3518,-778.4763
-671.9811,-779.9324
-670.5916,-781.3710
-669.2020,-782.8096
-667.8124,-784.2482
-666.3975,-785.6615
-664.9654,-787.0577
-663.5333,-788.4539
-662.1011,-789.8501
-660.6445,-791.2203
-659.1721,-792.5740
-657.6996,-793.9276
-656.2272,-795.2813
-654.7410,-796.6197
-653.2476,-797.9501
-651.7542,-799.2805
-650.2608,-800.6110
-648.7594,-801.9323
-647.2490,-803.2434
-645.7386,-804.5545
-644.2282,-805.8656
-642.7131,-807.1713
-641.1862,-808.4631
-639.6593,-809.7549
-638.1323,-811.0468
-636.6039,-812.3368
-635.0610,-813.6096
-633.5181,-814.8823
-631.9753,-816.1550
-630.4324,-817.4278
-628.8756,-818.6835
