x,z
60.3710,-294.3322
58.3708,-294.3322
56.3706,-294.3322
54.3704,-294.3322
52.3702,-294.3322
50.3700,-294.3322
48.3698,-294.3322
46.3696,-294.3322
44.3694,-294.3322
42.3692,-294.3322
40.3690,-294.3322
38.3689,-294.3323
36.3687,-294.3323
34.3685,-294.3323
32.3683,-294.3323
30.3681,-294.3323
28.3679,-294.3323
26.3677,-294.3323
24.3675,-294.3322
22.3673,-294.3322
20.3671,-294.3322
18.3669,-294.3322
16.3667,-294.3322
14.3665,-294.3322
12.3663,-294.3322
10.3661,-294.3322
8.3659,-294.3322
6.3658,-294.3322
4.3656,-294.3322
2.3654,-294.3322
0.3652,-294.3323
-1.6350,-294.3323
-3.6352,-294.3323
-5.6354,-294.3323
-7.6356,-294.3323
-9.6358,-294.3323
-11.6360,-294.3323
-13.6362,-294.3323
-15.6364,-294.3322
-17.6366,-294.3322
-19.6368,-294.3322
-21.6370,-294.3322
-23.6372,-294.3322
-25.6374,-294.3322
-27.6375,-294.3322
-29.6377,-294.3322
-31.6379,-294.3322
-33.6381,-294.3322
-35.6383,-294.3322
-37.6385,-294.3322
-39.6387,-294.3322
-41.6389,-294.3322
-43.6391,-294.3322
-45.6393,-294.3322
-47.6395,-294.3321
-49.6397,-294.3322
-51.6399,-294.3322
-53.6401,-294.3322
-55.6403,-294.3323
-57.6405,-294.3323
-59.6406,-294.3323
-61.6408,-294.3322
-63.6410,-294.3322
-65.6412,-294.3322
-67.6414,-294.3322
-69.6416,-294.3322
-71.6418,-294.3322
-73.6420,-294.3322
-75.6422,-294.3322
-77.6424,-294.3322
-79.6426,-294.3322
-81.6428,-294.3322
-83.6430,-294.3322
-85.6432,-294.3322
-87.6434,-294.3322
-89.6436,-294.3323
-91.6438,-294.3323
-93.6439,-294.3323
-95.6441,-294.3323
-97.6443,-294.3323
-99.6445,-294.3322
-101.6447,-294.3322
-103.6449,-294.3322
-105.6451,-294.3322
-107.6453,-294.3323
-109.6455,-294.3323
-111.6457,-294.3323
-113.6459,-294.3322
-115.6461,-294.3322
-117.6463,-294.3321
-119.6465,-294.3321
-121.6467,-294.3321
-123.6469,-294.3322
-125.6470,-294.3322
-127.6472,-294.3322
-129.6474,-294.3322
-131.6476,-294.3322
-133.6478,-294.3322
-135.6480,-294.3322
-137.6482,-294.3322
-139.6484,-294.3322
-141.6486,-294.3322
-143.6488,-294.3322
-145.6490,-294.3322
-147.6492,-294.3322
-149.6494,-294.3322
-151.6496,-294.3322
-153.6498,-294.3322
-155.6500,-294.3321
-157.6501,-294.3321
-159.6503,-294.3321
