x,z
60.3710,-294.3116
62.3715,-294.3116
64.3720,-294.3116
66.3725,-294.3116
68.3731,-294.3116
70.3736,-294.3116
72.3741,-294.3116
74.3746,-294.3116
76.3751,-294.3117
78.3757,-294.3117
80.3762,-294.3117
82.3767,-294.3117
84.3772,-294.3117
86.3777,-294.3117
88.3783,-294.3117
90.3788,-294.3117
92.3793,-294.3117
94.3798,-294.3116
96.3803,-294.3116
98.3809,-294.3116
100.3814,-294.3116
102.3819,-294.3116
104.3824,-294.3116
106.3829,-294.3116
108.3835,-294.3116
110.3840,-294.3116
112.3845,-294.3116
114.3850,-294.3116
116.3855,-294.3116
118.3861,-294.3116
120.3866,-294.3116
122.3871,-294.3117
124.3876,-294.3117
126.3881,-294.3117
128.3887,-294.3117
130.3892,-294.3117
132.3897,-294.3116
134.3902,-294.3116
136.3907,-294.3116
138.3913,-294.3116
140.3918,-294.3116
142.3923,-294.3116
144.3928,-294.3117
146.3933,-294.3117
148.3939,-294.3117
150.3944,-294.3117
152.3949,-294.3117
154.3954,-294.3117
156.3959,-294.3116
158.3965,-294.3116
160.3970,-294.3116
162.3975,-294.3116
164.3980,-294.3116
166.3985,-294.3116
168.3990,-294.3117
170.3996,-294.3117
172.4001,-294.3117
174.4006,-294.3117
176.4011,-294.3117
178.4016,-294.3117
180.4022,-294.3117
182.4027,-294.3117
184.4032,-294.3117
186.4037,-294.3117
188.4043,-294.3117
190.4048,-294.3117
192.4053,-294.3117
194.4058,-294.3117
196.4063,-294.3117
198.4068,-294.3117
200.4074,-294.3117
202.4079,-294.3117
204.4084,-294.3117
206.4089,-294.3117
208.4094,-294.3117
210.4100,-294.3117
212.4105,-294.3117
214.4110,-294.3117
216.4113,-294.3222
218.4100,-294.4073
220.4087,-294.4923
222.4074,-294.5774
224.3938,-294.7720
226.3611,-295.1349
228.3284,-295.4978
230.2814,-295.9080
232.1176,-296.7020
233.9538,-297.4960
235.7720,-298.3252
237.4940,-299.3435
239.2160,-300.3617
240.9230,-301.4034
242.5697,-302.5394
