x,z
60.3710,-294.3116
58.3705,-294.3116
56.3699,-294.3116
54.3694,-294.3116
52.3689,-294.3116
50.3684,-294.3116
48.3679,-294.3116
46.3673,-294.3116
44.3668,-294.3116
42.3663,-294.3116
40.3658,-294.3117
38.3653,-294.3117
36.3647,-294.3117
34.3642,-294.3117
32.3637,-294.3117
30.3632,-294.3117
28.3627,-294.3117
26.3622,-294.3117
24.3616,-294.3117
22.3611,-294.3117
20.3606,-294.3116
18.3601,-294.3116
16.3596,-294.3116
14.3590,-294.3116
12.3585,-294.3116
10.3580,-294.3116
8.3575,-294.3116
6.3570,-294.3116
4.3564,-294.3116
2.3559,-294.3116
0.3554,-294.3117
-1.6451,-294.3117
-3.6456,-294.3117
-5.6462,-294.3117
-7.6467,-294.3117
-9.6472,-294.3117
-11.6477,-294.3117
-13.6482,-294.3117
-15.6488,-294.3117
-17.6493,-294.3117
-19.6498,-294.3116
-21.6503,-294.3116
-23.6508,-294.3116
-25.6514,-294.3116
-27.6519,-294.3116
-29.6524,-294.3116
-31.6529,-294.3116
-33.6534,-294.3116
-35.6540,-294.3116
-37.6545,-294.3116
-39.6550,-294.3117
-41.6555,-294.3116
-43.6560,-294.3116
-45.6566,-294.3116
-47.6571,-294.3116
-49.6576,-294.3116
-51.6581,-294.3116
-53.6586,-294.3117
-55.6592,-294.3117
-57.6597,-294.3117
-59.6602,-294.3117
-61.6607,-294.3117
-63.6612,-294.3117
-65.6618,-294.3116
-67.6623,-294.3116
-69.6628,-294.3116
-71.6633,-294.3116
-73.6638,-294.3116
-75.6644,-294.3116
-77.6649,-294.3116
-79.6654,-294.3116
-81.6659,-294.3116
-83.6664,-294.3116
-85.6670,-294.3117
-87.6675,-294.3117
-89.6680,-294.3117
-91.6685,-294.3117
-93.6690,-294.3118
-95.6695,-294.3117
-97.6701,-294.3117
-99.6706,-294.3117
-101.6711,-294.3116
-103.6716,-294.3116
-105.6721,-294.3117
-107.6727,-294.3117
-109.6732,-294.3118
-111.6737,-294.3117
-113.6742,-294.3117
-115.6747,-294.3116
-117.6753,-294.3116
-119.6758,-294.3116
-121.6763,-294.3116
-123.6768,-294.3116
-125.6773,-294.3116
-127.6779,-294.3116
-129.6784,-294.3116
-131.6789,-294.3116
-133.6794,-294.3117
-135.6799,-294.3116
-137.6805,-294.3116
-139.6810,-294.3116
-141.6815,-294.3116
-143.6820,-294.3116
-145.6825,-294.3116
-147.6831,-294.3116
-149.6836,-294.3116
-151.6841,-294.3116
-153.6846,-294.3116
-155.6851,-294.3116
-157.6857,-294.3116
-159.6862,-294.3116
-161.6867,-294.3116
-163.6872,-294.3116
-165.6877,-294.3117
-167.6883,-294.3116
-169.6888,-294.3116
-171.6893,-294.3116
-173.6898,-294.3116
-175.6903,-294.3116
-177.6909,-294.3117
-179.6914,-294.3117
-181.6919,-294.3118
-183.6924,-294.3118
-185.6929,-294.3117
-187.6935,-294.3117
-189.6940,-294.3117
-191.6945,-294.3117
-193.6950,-294.3117
-195.6955,-294.3117
-197.6961,-294.3117
-199.6966,-294.3116
-201.6971,-294.3116
-203.6976,-294.3116
-205.6981,-294.3116
-207.6987,-294.3116
-209.6992,-294.3116
-211.6997,-294.3117
-213.7002,-294.3117
-215.7007,-294.3117
-217.7012,-294.3117
-219.7018,-294.3117
-221.7023,-294.3118
-223.7028,-294.3118
-225.7033,-294.3117
-227.7038,-294.3117
-229.7044,-294.3117
-231.7049,-294.3117
-233.7054,-294.3116
-235.7059,-294.3116
-237.7065,-294.3116
-239.7070,-294.3116
-241.7075,-294.3116
-243.7080,-294.3117
-245.7085,-294.3117
-247.7090,-294.3118
-249.7096,-294.3117
-251.7101,-294.3117
-253.7106,-294.3117
-255.7111,-294.3117
