x,z
0.2864,6.8290
2.0994,5.9849
3.9124,5.1407
5.7255,4.2966
7.5387,3.4527
9.3531,2.6113
11.1676,1.7703
12.9839,0.9330
14.8002,0.0957
16.6152,-0.7444
18.4296,-1.5860
20.2388,-2.4385
22.0470,-3.2933
23.8492,-4.1605
25.6507,-5.0293
27.4479,-5.9068
29.2447,-6.7852
31.0388,-7.6690
32.8326,-8.5535
34.6234,-9.4441
36.4138,-10.3353
38.2020,-11.2310
39.9899,-12.1271
41.7773,-13.0245
43.5644,-13.9222
45.3511,-14.8208
47.1376,-15.7199
48.9227,-16.6216
50.7076,-17.5239
52.4907,-18.4294
54.2736,-19.3355
56.0551,-20.2443
57.8360,-21.1542
59.6146,-22.0687
61.3919,-22.9856
63.1657,-23.9092
64.9379,-24.8359
66.7068,-25.7692
68.4738,-26.7059
70.2356,-27.6523
71.9956,-28.6021
73.7502,-29.5617
75.5032,-30.5244
77.2510,-31.4965
78.9970,-32.4718
80.7361,-33.4595
82.4733,-34.4506
84.2012,-35.4577
85.9276,-36.4675
87.6463,-37.4903
89.3643,-38.5143
91.0791,-39.5435
92.7938,-40.5731
94.5070,-41.6051
96.2199,-42.6376
97.9306,-43.6737
99.6406,-44.7111
101.3458,-45.7562
103.0496,-46.8036
104.7485,-47.8588
106.4462,-48.9161
108.1431,-49.9746
109.8396,-51.0337
111.5384,-52.0892
113.2371,-53.1446
114.9366,-54.1988
116.6366,-55.2522
118.3366,-56.3056
120.0380,-57.3566
121.7411,-58.4050
123.4463,-59.4500
125.1534,-60.4919
126.8624,-61.5308
128.5729,-62.5671
130.2852,-63.6004
131.9992,-64.6310
133.7141,-65.6600
135.4284,-66.6901
137.1413,-67.7227
138.8496,-68.7626
140.5547,-69.8079
142.2535,-70.8635
143.9492,-71.9238
145.6404,-72.9916
147.3300,-74.0618
149.0176,-75.1351
150.7043,-76.2097
152.3895,-77.2869
154.0734,-78.3659
155.7552,-79.4483
157.4354,-80.5331
159.1135,-81.6212
160.7899,-82.7119
162.4643,-83.8055
164.1377,-84.9008
165.8109,-85.9963
167.4839,-87.0921
169.1588,-88.1849
170.8342,-89.2771
172.5109,-90.3672
174.1874,-91.4576
175.8624,-92.5503
177.5359,-93.6453
179.2063,-94.7451
180.8749,-95.8476
182.5412,-96.9535
184.2065,-98.0609
185.8707,-99.1700
187.5347,-100.2794
189.1980,-101.3897
190.8613,-102.5000
192.5242,-103.6109
194.1873,-104.7216
195.8500,-105.8327
197.5125,-106.9442
199.1739,-108.0571
200.8345,-109.1713
202.4935,-110.2877
204.1516,-111.4055
205.8088,-112.5246
207.4648,-113.6454
209.1197,-114.7680
210.7724,-115.8937
212.4229,-117.0226
214.0712,-118.1547
215.7184,-119.2885
217.3649,-120.4233
219.0120,-121.5572
220.6602,-122.6895
222.3099,-123.8197
223.9612,-124.9476
225.6138,-126.0734
227.2674,-127.1979
228.9217,-128.3213
230.5756,-129.4453
232.2285,-130.5708
233.8804,-131.6979
235.5312,-132.8266
237.1822,-133.9550
238.8344,-135.0817
240.4885,-136.2056
242.1452,-137.3258
243.8038,-138.4433
245.4637,-139.5587
247.1240,-140.6738
248.7836,-141.7897
250.4422,-142.9073
252.0994,-144.0269
253.7556,-145.1480
255.4112,-146.2700
257.0677,-147.3907
258.7265,-148.5081
260.3881,-149.6213
262.0528,-150.7298
263.7191,-151.8360
265.3851,-152.9425
267.0497,-154.0512
268.7120,-155.1634
270.3726,-156.2781
272.0331,-157.3930
273.6935,-158.5079
275.3547,-159.6217
277.0152,-160.7365
278.6732,-161.8550
280.3286,-162.9773
281.9806,-164.1047
283.6304,-165.2352
285.2788,-166.3677
286.9268,-167.5009
288.5748,-168.6339
290.2227,-169.7669
291.8703,-170.9004
293.5175,-172.0344
295.1641,-173.1693
296.8104,-174.3046
298.4565,-175.4401
300.1022,-176.5760
301.7477,-177.7124
303.3926,-178.8493
305.0371,-179.9870
306.6819,-181.1242
308.3259,-182.2625
309.9618,-183.4123
311.5792,-184.5880
313.1658,-185.8050
314.7072,-187.0789
316.2058,-188.4031
317.6545,-189.7818
319.0691,-191.1952
320.3758,-192.7093
321.6347,-194.2632
322.8022,-195.8870
323.8906,-197.5648
324.8690,-199.3092
325.7784,-201.0901
326.4857,-202.9608
327.1277,-204.8549
327.6581,-206.7832
328.0967,-208.7345
328.4278,-210.7069
328.6922,-212.6891
328.7831,-214.6870
328.8087,-216.6867
328.7164,-218.6844
328.5188,-220.6744
328.2045,-222.6494
327.8200,-224.6117
327.2697,-226.5342
326.6612,-228.4391
325.9376,-230.3033
325.1292,-232.1322
324.2083,-233.9072
323.2103,-235.6396
322.0399,-237.2610
320.8131,-238.8400
319.4869,-240.3366
318.0935,-241.7708
316.6369,-243.1409
315.1279,-244.4530
313.5685,-245.7050
311.9650,-246.8997
310.2935,-247.9975
308.5912,-249.0468
306.8343,-250.0023
305.0564,-250.9178
303.2475,-251.7708
301.4206,-252.5843
299.5720,-253.3474
297.7090,-254.0748
295.8323,-254.7658
293.9440,-255.4249
292.0457,-256.0545
290.1362,-256.6491
288.2164,-257.2100
286.2867,-257.7355
284.3447,-258.2137
282.3960,-258.6634
280.4317,-259.0400
278.4629,-259.3915
276.4828,-259.6731
274.4988,-259.9252
272.5089,-260.1252
270.5154,-260.2844
268.5182,-260.3898
266.5193,-260.4520
264.5195,-260.4705
262.5199,-260.4440
260.5216,-260.3667
258.5258,-260.2408
256.5356,-260.0453
254.5514,-259.7971
252.5784,-259.4709
250.6139,-259.0974
248.6618,-258.6638
246.7200,-258.1861
244.7887,-257.6679
242.8708,-257.1017
240.9668,-256.4906
239.0812,-255.8247
237.2168,-255.1012
235.3720,-254.3290
233.5538,-253.4960
231.7527,-252.6265
229.9773,-251.7055
228.2144,-250.7611
226.4783,-249.7680
224.7528,-248.7567
223.0518,-247.7048
221.3614,-246.6359
219.6860,-245.5436
218.0179,-244.4402
216.3568,-243.3263
214.7008,-242.2048
213.0527,-241.0718
211.4133,-239.9261
209.7887,-238.7596
208.1772,-237.5750
