x,z
0.2882,6.8241
2.1018,5.9818
3.9153,5.1392
5.7282,4.2953
7.5410,3.4512
9.3550,2.6097
11.1692,1.7683
12.9855,0.9317
14.8020,0.0955
16.6170,-0.7441
18.4318,-1.5840
20.2407,-2.4367
22.0489,-3.2907
23.8506,-4.1585
25.6516,-5.0276
27.4484,-5.9054
29.2449,-6.7840
31.0387,-7.6678
32.8324,-8.5520
34.6229,-9.4425
36.4131,-10.3336
38.2009,-11.2295
39.9884,-12.1260
41.7754,-13.0234
43.5623,-13.9209
45.3489,-14.8193
47.1353,-15.7179
48.9202,-16.6195
50.7050,-17.5215
52.4878,-18.4272
54.2704,-19.3332
56.0517,-20.2418
57.8328,-21.1507
59.6110,-22.0653
61.3889,-22.9805
63.1620,-23.9050
64.9347,-24.8304
66.7028,-25.7644
68.4704,-26.6994
70.2314,-27.6467
71.9916,-28.5956
73.7455,-29.5562
75.4986,-30.5182
77.2458,-31.4907
78.9923,-32.4648
80.7310,-33.4526
82.4684,-34.4426
84.1959,-35.4501
85.9217,-36.4604
87.6399,-37.4835
89.3569,-38.5087
91.0714,-39.5380
92.7857,-40.5677
94.4987,-41.5996
96.2114,-42.6319
97.9223,-43.6672
99.6322,-44.7042
101.3376,-45.7486
103.0413,-46.7955
104.7397,-47.8512
106.4367,-48.9091
108.1328,-49.9684
109.8288,-51.0279
111.5273,-52.0832
113.2264,-53.1376
114.9256,-54.1919
116.6248,-55.2459
118.3242,-56.2998
120.0241,-57.3528
121.7276,-58.4002
123.4322,-59.4456
125.1397,-60.4864
126.8481,-61.5258
128.5586,-62.5615
130.2701,-63.5958
131.9848,-64.6247
133.7003,-65.6523
135.4152,-66.6809
137.1298,-67.7101
138.8375,-68.7505
140.5441,-69.7929
142.2410,-70.8509
143.9369,-71.9107
145.6266,-72.9802
147.3157,-74.0507
149.0027,-75.1245
150.6895,-76.1986
152.3744,-77.2757
154.0590,-78.3532
155.7401,-79.4361
157.4208,-80.5197
159.0981,-81.6086
160.7749,-82.6981
162.4483,-83.7929
164.1213,-84.8883
165.7939,-85.9843
167.4662,-87.0808
169.1409,-88.1734
170.8158,-89.2659
172.4927,-90.3553
174.1697,-91.4444
175.8446,-92.5369
177.5188,-93.6303
179.1883,-94.7309
180.8567,-95.8332
182.5221,-96.9400
184.1871,-98.0475
185.8508,-99.1569
187.5144,-100.2663
189.1774,-101.3766
190.8406,-102.4868
192.5032,-103.5977
194.1660,-104.7083
195.8286,-105.8191
197.4912,-106.9299
199.1527,-108.0423
200.8138,-109.1552
202.4724,-110.2718
204.1304,-111.3893
205.7873,-112.5085
207.4435,-113.6286
209.0986,-114.7504
210.7524,-115.8739
212.4023,-117.0034
214.0502,-118.1356
215.6962,-119.2705
217.3413,-120.4070
218.9879,-121.5412
220.6351,-122.6746
222.2846,-123.8045
223.9356,-124.9324
225.5884,-126.0576
227.2420,-127.1815
228.8967,-128.3039
230.5509,-129.4269
232.2039,-130.5519
233.8554,-131.6790
235.5053,-132.8086
237.1552,-133.9383
238.8065,-135.0659
240.4602,-136.1899
242.1168,-137.3098
243.7758,-138.4262
245.4361,-139.5406
247.0968,-140.6546
248.7564,-141.7701
250.4151,-142.8871
252.0719,-144.0069
253.7277,-145.1280
255.3824,-146.2511
257.0378,-147.3730
258.6956,-148.4912
260.3567,-149.6048
262.0221,-150.7118
263.6890,-151.8165
265.3560,-152.9211
267.0208,-154.0292
268.6825,-155.1416
270.3423,-156.2572
272.0016,-157.3732
273.6618,-158.4881
275.3235,-159.6007
276.9851,-160.7134
278.6436,-161.8307
280.2990,-162.9527
281.9503,-164.0806
283.5992,-165.2119
285.2469,-166.3451
286.8943,-167.4786
288.5421,-168.6114
290.1901,-169.7440
291.8376,-170.8771
293.4846,-172.0110
295.1309,-173.1458
296.7768,-174.2812
298.4226,-175.4166
300.0683,-176.5522
301.7137,-177.6882
303.3585,-178.8250
305.0019,-179.9638
306.6469,-181.1003
308.2951,-182.2320
309.9367,-183.3733
311.5623,-184.5372
313.1606,-185.7383
314.7009,-187.0131
316.2118,-188.3227
317.6494,-189.7124
319.0509,-191.1387
320.3777,-192.6347
321.6403,-194.1854
322.8148,-195.8037
323.9343,-197.4607
324.8884,-199.2177
325.7722,-201.0115
326.5219,-202.8652
327.1725,-204.7561
327.7013,-206.6845
328.1531,-208.6325
328.4610,-210.6082
328.7012,-212.5934
328.8391,-214.5883
328.8722,-216.5876
328.7839,-218.5852
328.6265,-220.5786
328.2826,-222.5480
327.8755,-224.5057
327.3543,-226.4360
326.7467,-228.3409
326.0387,-230.2107
325.2574,-232.0512
324.3283,-233.8214
323.3226,-235.5494
322.1797,-237.1896
320.9503,-238.7664
319.6324,-240.2698
318.2511,-241.7154
316.7893,-243.0794
315.2953,-244.4082
313.7227,-245.6429
312.1161,-246.8334
310.4521,-247.9418
308.7464,-248.9853
306.9986,-249.9565
305.2177,-250.8658
303.4111,-251.7230
301.5836,-252.5345
299.7366,-253.3007
297.8763,-254.0342
295.9993,-254.7238
294.1151,-255.3936
292.2154,-256.0181
290.3097,-256.6242
288.3892,-257.1815
286.4618,-257.7146
284.5198,-258.1916
282.5697,-258.6343
280.6088,-259.0264
278.6394,-259.3735
276.6617,-259.6696
274.6781,-259.9231
272.6897,-260.1348
270.6972,-260.3045
268.7006,-260.4144
266.7023,-260.4875
264.7028,-260.5034
262.7032,-260.4915
260.7052,-260.4136
258.7088,-260.3024
256.7190,-260.1060
254.7364,-259.8466
252.7619,-259.5320
250.7987,-259.1530
248.8446,-258.7293
246.9021,-258.2558
244.9700,-257.7414
243.0489,-257.1874
241.1442,-256.5793
239.2533,-255.9293
237.3884,-255.2081
235.5429,-254.4380
233.7238,-253.6077
231.9257,-252.7326
230.1467,-251.8192
228.3875,-250.8683
226.6454,-249.8865
224.9223,-248.8716
223.2175,-247.8263
221.5293,-246.7543
219.8526,-245.6644
218.1847,-244.5612
216.5228,-243.4490
214.8663,-242.3287
213.2166,-241.1983
211.5759,-240.0552
209.9491,-238.8921
208.3359,-237.7104
206.7386,-236.5072
205.1539,-235.2874
203.5806,-234.0530
202.0161,-232.8075
200.4610,-231.5502
198.9138,-230.2832
197.3804,-228.9996
195.8565,-227.7046
194.3494,-226.3902
192.8520,-225.0647
191.3718,-223.7201
189.9007,-222.3655
188.4516,-220.9874
187.0125,-219.5988
185.5994,-218.1839
184.1960,-216.7593
182.8244,-215.3040
181.4633,-213.8389
180.1138,-212.3631
178.7673,-210.8846
177.4315,-209.3964
176.1279,-207.8799
174.8345,-206.3548
173.5445,-204.8267
172.2565,-203.2969
170.9756,-201.7613
169.6985,-200.2224
168.4207,-198.6841
167.1420,-197.1466
165.8625,-195.6097
164.5812,-194.0743
163.2987,-192.5400
162.0143,-191.0072
160.7291,-189.4751
159.4465,-187.9408
158.1658,-186.4050
156.8895,-184.8655
155.6151,-183.3244
154.3395,-181.7843
153.0637,-180.2443
151.7902,-178.7025
150.5182,-177.1594
149.2499,-175.6133
147.9832,-174.0658
146.7187,-172.5166
145.4550,-170.9667
144.1931,-169.4153
142.9318,-167.8635
141.6731,-166.3095
140.4152,-164.7549
139.1596,-163.1984
137.9047,-161.6414
136.6514,-160.0831
135.3984,-158.5246
134.1466,-156.9651
132.8948,-155.4056
131.6423,-153.8465
130.3894,-152.2880
129.1349,-150.7306
127.8800,-149.1736
126.6271,-147.6149
125.3744,-146.0561
124.1167,-144.5014
122.8486,-142.9551
121.5396,-141.4433
120.1954,-139.9628
118.8234,-138.5080
117.4334,-137.0703
116.0239,-135.6517
114.5936,-134.2542
113.1407,-132.8801
111.6649,-131.5306
110.1735,-130.1984
108.6670,-128.8833
107.1459,-127.5851
105.6080,-126.3068
104.0473,-125.0565
102.4668,-123.8313
100.8660,-122.6329
99.2535,-121.4501
97.6201,-120.2964
95.9776,-119.1557
94.3009,-118.0658
92.6090,-116.9998
90.8847,-115.9870
89.1396,-115.0104
87.3711,-114.0770
85.5814,-113.1847
83.7712,-112.3350
81.9412,-111.5286
80.0931,-110.7650
78.2291,-110.0407
76.3528,-109.3490
74.4641,-108.6919
72.5655,-108.0642
70.6615,-107.4527
68.7495,-106.8670
66.8352,-106.2886
64.9195,-105.7150
63.0008,-105.1513
61.0810,-104.5914
59.1578,-104.0434
57.2255,-103.5287
55.2892,-103.0289
53.3469,-102.5530
51.3988,-102.1019
49.4450,-101.6758
47.4841,-101.2839
45.5210,-100.9028
43.5524,-100.5516
41.5816,-100.2127
39.6082,-99.8893
37.6317,-99.5856
35.6521,-99.3028
33.6699,-99.0390
31.6853,-98.7936
29.6989,-98.5629
27.7107,-98.3487
25.7207,-98.1519
23.7290,-97.9739
21.7356,-97.8146
19.7410,-97.6732
17.7452,-97.5486
15.7485,-97.4384
13.7509,-97.3453
11.7527,-97.2682
9.7533,-97.2312
7.7537,-97.2055
5.7542,-97.2270
3.7548,-97.2609
1.7571,-97.3479
-0.2393,-97.4611
-2.2343,-97.5984
-4.2277,-97.7554
-6.2199,-97.9284
-8.2098,-98.1260
-10.1971,-98.3473
-12.1804,-98.6030
-14.1587,-98.8945
-16.1305,-99.2269
-18.0936,-99.6071
-20.0474,-100.0328
-21.9831,-100.5343
-23.9090,-101.0723
-25.8127,-101.6844
-27.6924,-102.3666
-29.5402,-103.1308
-31.3405,-104.0010
-33.0914,-104.9667
-34.7964,-106.0115
-36.4207,-107.1775
-37.9932,-108.4126
-39.5145,-109.7103
-40.9725,-111.0788
-42.3759,-112.5034
-43.7143,-113.9890
-44.9807,-115.5365
-46.1834,-117.1340
-47.3221,-118.7776
-48.4152,-120.4519
-49.4674,-122.1523
-50.4765,-123.8785
-51.4344,-125.6337
-52.3020,-127.4352
-53.0775,-129.2782
-53.8146,-131.1369
-54.5331,-133.0029
-55.2373,-134.8744
-55.9165,-136.7551
-56.5631,-138.6472
-57.1711,-140.5521
-57.7636,-142.4619
-58.3359,-144.3779
-58.8953,-146.2978
-59.4389,-148.2221
-59.9791,-150.1474
-60.5179,-152.0731
-61.0639,-153.9968
-61.6157,-155.9188
-62.1632,-157.8421
-62.7099,-159.7655
-63.2606,-161.6878
-63.8180,-163.6082
-64.3648,-165.5317
-64.9095,-167.4557
-65.4529,-169.3800
-65.9953,-171.3047
-66.5342,-173.2303
-67.0702,-175.1567
-67.6025,-177.0841
-68.1321,-179.0122
-68.6547,-180.9423
-69.1723,-182.8737
-69.6805,-184.8076
-70.1831,-186.7430
-70.6798,-188.6800
-71.1711,-190.6183
-71.6598,-192.5572
-72.1480,-194.4963
-72.6357,-196.4354
-73.1230,-198.3746
-73.6120,-200.3134
-74.1020,-202.2519
-74.5984,-204.1888
-75.0985,-206.1248
-75.6032,-208.0596
-76.1102,-209.9938
-76.6126,-211.9292
-77.1111,-213.8656
-77.5884,-215.8074
-78.0495,-217.7530
-78.5044,-219.7001
-78.9572,-221.6476
-79.3989,-223.5977
-79.8319,-225.5497
-80.2549,-227.5040
-80.6712,-229.4596
-81.0812,-231.4166
-81.4870,-233.3745
-81.8895,-235.3330
-82.2898,-237.2919
-82.6865,-239.2516
-83.0802,-241.2119
-83.4609,-243.1748
-83.8295,-245.1400
-84.1822,-247.1082
-84.5166,-249.0796
-84.8374,-251.0532
-85.1405,-253.0297
-85.4318,-255.0079
-85.7077,-256.9884
-85.9722,-258.9704
-86.2222,-260.9544
-86.4615,-262.9396
-86.6881,-264.9264
-86.9093,-266.9137
-87.1232,-268.9018
-87.3181,-270.8918
-87.4875,-272.8841
-87.6021,-274.8803
-87.6409,-276.8793
-87.5844,-278.8779
-87.4638,-280.8738
-87.2343,-282.8600
-86.8922,-284.8299
-86.4654,-286.7834
-85.9146,-288.7055
-85.1730,-290.5620
-84.3049,-292.3633
-83.3150,-294.1006
-82.1965,-295.7580
-80.9195,-297.2962
-79.5426,-298.7462
-78.0515,-300.0782
-76.4596,-301.2881
-74.7754,-302.3657
-73.0206,-303.3246
-71.2030,-304.1581
-69.3508,-304.9117
-67.4753,-305.6056
-65.5761,-306.2316
-63.6588,-306.7996
-61.7220,-307.2971
-59.7728,-307.7439
-57.8140,-308.1464
-55.8540,-308.5428
-53.8934,-308.9361
-51.9306,-309.3185
-49.9662,-309.6919
-47.9992,-310.0520
-46.0314,-310.4071
-44.0628,-310.7577
-42.0940,-311.1078
-40.1267,-311.4657
-38.1616,-311.8354
-36.2048,-312.2470
-34.2568,-312.6978
-32.3175,-313.1845
-30.3877,-313.7077
-28.4810,-314.3093
-26.6047,-314.9998
-24.7699,-315.7937
-22.9732,-316.6705
-21.2493,-317.6826
-19.5934,-318.8027
-18.0594,-320.0844
-16.6070,-321.4582
-15.2837,-322.9565
-14.0386,-324.5209
-12.8608,-326.1366
-11.7448,-327.7957
-10.6955,-329.4977
-9.7196,-331.2430
-8.7921,-333.0144
-7.9143,-334.8111
-7.0735,-336.6254
-6.2423,-338.4442
-5.4126,-340.2636
-4.5976,-342.0897
-3.8341,-343.9379
-3.1071,-345.8009
-2.4114,-347.6757
-1.7483,-349.5623
-1.1684,-351.4761
-0.6285,-353.4016
-0.1254,-355.3370
0.3620,-357.2765
0.8071,-359.2261
1.2313,-361.1803
1.5941,-363.1469
1.9268,-365.1188
2.2034,-367.0993
2.4484,-369.0840
2.6540,-371.0731
2.8329,-373.0648
2.9871,-375.0585
3.1223,-377.0536
3.2424,-379.0496
3.3506,-381.0463
3.4502,-383.0434
3.5410,-385.0409
3.6227,-387.0388
3.6944,-389.0370
3.7552,-391.0356
3.8010,-393.0346
3.8259,-395.0340
3.8312,-397.0335
3.8181,-399.0330
3.7873,-401.0323
3.7379,-403.0313
3.6731,-405.0298
3.5912,-407.0278
3.4993,-409.0254
3.4006,-411.0226
3.2910,-413.0193
3.1594,-415.0146
3.0033,-417.0082
2.8064,-418.9982
2.5752,-420.9845
2.3040,-422.9657
1.9950,-424.9413
1.6238,-426.9063
1.2133,-428.8634
0.7354,-430.8051
0.2092,-432.7343
-0.3948,-434.6406
-1.0537,-436.5286
-1.8113,-438.3792
-2.6334,-440.2021
-3.5215,-441.9938
-4.4626,-443.7582
-5.4962,-445.4700
-6.5847,-447.1475
-7.7959,-448.7384
-9.0677,-450.2815
-10.4231,-451.7518
-11.8498,-453.1529
-13.3424,-454.4836
-14.8743,-455.7690
-16.4482,-457.0025
-18.0412,-458.2112
-19.6634,-459.3804
-21.3158,-460.5064
-23.0068,-461.5734
-24.7135,-462.6153
-26.4390,-463.6259
-28.1672,-464.6317
-29.8866,-465.6523
-31.6044,-466.6758
-33.3189,-467.7044
-35.0311,-468.7369
-36.7404,-469.7740
-38.4505,-470.8096
-40.1539,-471.8560
-41.8539,-472.9081
-43.5448,-473.9749
-45.2221,-475.0628
-46.8768,-476.1848
-48.5054,-477.3445
-50.0988,-478.5523
-51.6465,-479.8182
-53.1506,-481.1358
-54.6176,-482.4947
-56.0449,-483.8953
-57.4467,-485.3214
-58.8073,-486.7870
-60.1539,-488.2654
-61.4791,-489.7630
-62.7942,-491.2695
-64.0920,-492.7909
-65.3738,-494.3258
-66.6157,-495.8932
-67.8337,-497.4791
-69.0111,-499.0954
-70.1520,-500.7376
-71.2533,-502.4067
-72.3199,-504.0981
-73.3552,-505.8089
-74.3659,-507.5342
-75.3564,-509.2712
-76.3295,-511.0180
-77.2900,-512.7719
-78.2492,-514.5264
-79.2098,-516.2801
-80.1704,-518.0339
-81.1468,-519.7790
-82.1403,-521.5145
-83.1538,-523.2383
-84.1876,-524.9502
-85.2492,-526.6449
-86.3340,-528.3249
-87.4371,-529.9927
-88.5507,-531.6537
-89.6745,-533.3077
-90.8147,-534.9504
-91.9761,-536.5780
-93.1621,-538.1877
-94.3877,-539.7672
-95.6387,-541.3267
-96.9277,-542.8546
-98.2354,-544.3665
-99.5817,-545.8442
-100.9441,-547.3071
-102.3499,-548.7283
-103.7746,-550.1309
-105.2384,-551.4924
-106.7273,-552.8266
-108.2532,-554.1183
-109.7936,-555.3929
-111.3621,-556.6328
-112.9410,-557.8594
-114.5308,-559.0718
-116.1182,-560.2875
-117.6865,-561.5280
-119.2455,-562.7798
-120.7781,-564.0640
-122.2925,-565.3696
-123.7789,-566.7069
-125.2471,-568.0643
-126.6997,-569.4383
-128.1252,-570.8405
-129.5182,-572.2749
-130.8620,-573.7557
-132.1506,-575.2847
-133.3840,-576.8587
-134.5674,-578.4706
-135.7019,-580.1173
-136.7879,-581.7964
-137.8424,-583.4954
-138.8617,-585.2158
-139.8643,-586.9460
-140.8441,-588.6893
-141.8159,-590.4369
-142.7791,-592.1893
-143.7373,-593.9445
-144.6868,-595.7043
-145.6296,-597.4678
-146.5602,-599.2378
-147.4847,-601.0110
-148.3997,-602.7891
-149.3078,-604.5707
-150.2048,-606.3580
-151.0963,-608.1481
-151.9734,-609.9451
-152.8494,-611.7429
-153.7266,-613.5399
-154.6102,-615.3339
-155.4989,-617.1252
-156.3890,-618.9160
-157.2792,-620.7067
-158.1694,-622.4973
-159.0596,-624.2880
-159.9498,-626.0787
-160.8399,-627.8694
-161.7301,-629.6600
-162.6208,-631.4504
-163.5147,-633.2393
-164.4101,-635.0274
-165.3056,-636.8154
-166.2012,-638.6034
-167.0969,-640.3914
-167.9961,-642.1775
-168.9018,-643.9604
-169.8089,-645.7426
-170.7238,-647.5208
-171.6498,-649.2932
-172.5802,-651.0633
-173.5112,-652.8331
-174.4422,-654.6029
-175.3786,-656.3699
-176.3273,-658.1302
-177.2808,-659.8879
-178.2350,-661.6453
-179.1893,-663.4027
-180.1441,-665.1597
-181.0995,-666.9164
-182.0553,-668.6729
-183.0110,-670.4294
-183.9705,-672.1839
-184.9391,-673.9332
-185.9115,-675.6804
-186.8864,-677.4261
-187.8628,-679.1710
-188.8412,-680.9148
-189.8205,-682.6580
-190.8004,-684.4010
-191.7800,-686.1441
-192.7585,-687.8878
-193.7374,-689.6313
-194.7174,-691.3741
-195.7028,-693.1140
-196.6984,-694.8479
-197.6999,-696.5785
-198.7078,-698.3054
-199.7194,-700.0301
-200.7363,-701.7517
-201.7545,-703.4725
-202.7732,-705.1931
-203.7942,-706.9123
-204.8209,-708.6281
-205.8522,-710.3412
-206.8882,-712.0516
-207.9263,-713.7606
-208.9667,-715.4683
-210.0063,-717.1765
-211.0438,-718.8859
-212.0851,-720.5930
-213.1364,-722.2940
-214.1933,-723.9915
-215.2547,-725.6862
-216.3206,-727.3781
-217.3913,-729.0669
-218.4689,-730.7513
-219.5567,-732.4293
-220.6491,-734.1041
-221.7441,-735.7773
-222.8422,-737.4485
-223.9485,-739.1143
-225.0575,-740.7783
-226.1694,-742.4402
-227.2828,-744.1013
-228.3980,-745.7610
-229.5173,-747.4181
-230.6444,-749.0698
-231.7785,-750.7167
-232.9245,-752.3554
-234.0773,-753.9894
-235.2400,-755.6162
-236.4078,-757.2394
-237.5813,-758.8586
-238.7606,-760.4736
-239.9466,-762.0837
-241.1375,-763.6902
-242.3333,-765.2930
-243.5310,-766.8943
-244.7297,-768.4950
-245.9291,-770.0952
-247.1299,-771.6943
-248.3318,-773.2925
-249.5355,-774.8895
-250.7403,-776.4855
-251.9473,-778.0800
-253.1551,-779.6738
-254.3642,-781.2666
-255.5736,-782.8593
-256.7828,-784.4520
-257.9918,-786.0449
-259.2006,-787.6380
-260.4093,-789.2311
-261.6180,-790.8243
-262.8266,-792.4175
-264.0352,-794.0107
-265.2435,-795.6042
-266.4510,-797.1982
-267.6591,-798.7919
-268.8686,-800.3845
-270.0806,-801.9750
-271.2980,-803.5615
-272.5175,-805.1464
-273.7387,-806.7300
-274.9575,-808.3154
-276.1700,-809.9056
-277.3777,-811.4995
-278.5791,-813.0981
-279.7763,-814.6999
-280.9689,-816.3051
-282.1578,-817.9130
-283.3420,-819.5244
-284.5234,-821.1378
-285.7024,-822.7531
-286.8773,-824.3712
-288.0466,-825.9934
-289.2088,-827.6207
-290.3616,-829.2546
-291.5099,-830.8918
-292.6564,-832.5301
-293.8001,-834.1703
-294.9397,-835.8135
-296.0774,-837.4579
-297.2147,-839.1027
-298.3510,-840.7481
-299.4844,-842.3955
-300.6167,-844.0437
-301.7495,-845.6915
-302.8814,-847.3400
-304.0107,-848.9902
-305.1349,-850.6440
-306.2517,-852.3027
-307.3666,-853.9627
-308.4851,-855.6204
-309.6081,-857.2750
-310.7366,-858.9258
-311.8722,-860.5719
-313.0152,-862.2128
-314.1655,-863.8486
-315.3258,-865.4772
-316.5104,-867.0883
-317.7325,-868.6711
-318.9853,-870.2296
-320.2724,-871.7599
-321.6011,-873.2542
-323.0059,-874.6770
-324.4628,-876.0465
-325.9982,-877.3270
-327.5760,-878.5551
-329.2246,-879.6861
-330.9113,-880.7596
-332.6402,-881.7634
-334.4040,-882.7042
-336.2094,-883.5603
-338.0432,-884.3523
-339.9114,-885.0541
-341.7950,-885.7114
-343.7070,-886.2734
-345.6385,-886.7576
-347.5907,-887.1351
-349.5538,-887.4435
-351.5257,-887.6823
-353.5019,-887.8752
-355.4822,-887.9916
-357.4633,-888.0786
-359.4454,-888.1042
-361.4269,-888.0736
-363.4052,-887.9505
-365.3808,-887.7866
-367.3481,-887.5330
-369.3025,-887.1919
-371.2289,-886.7148
-373.1302,-886.1426
-374.9893,-885.4408
-376.8171,-884.6584
-378.6010,-883.7784
-380.3484,-882.8257
-382.0292,-881.7555
-383.6590,-880.6072
-385.2345,-879.3826
