x,z
0.2566,6.8444
2.0698,6.0004
3.8826,5.1554
5.6954,4.3105
7.5088,3.4670
9.3224,2.6238
11.1378,1.7846
12.9537,0.9463
14.7700,0.1090
16.5865,-0.7281
18.3993,-1.5730
20.2113,-2.4197
22.0171,-3.2796
23.8214,-4.1425
25.6210,-5.0153
27.4196,-5.8902
29.2153,-6.7709
31.0103,-7.6529
32.8031,-8.5396
34.5952,-9.4274
36.3846,-10.3208
38.1734,-11.2154
39.9610,-12.1123
41.7483,-13.0098
43.5354,-13.9077
45.3225,-14.8056
47.1086,-15.7055
48.8945,-16.6058
50.6787,-17.5095
52.4625,-18.4139
54.2449,-19.3209
56.0271,-20.2284
57.8075,-21.1394
59.5874,-22.0513
61.3636,-22.9704
63.1391,-23.8910
64.9103,-24.8198
66.6806,-25.7503
68.4459,-26.6903
70.2100,-27.6325
71.9679,-28.5862
73.7243,-29.5428
75.4755,-30.5087
77.2255,-31.4769
78.9693,-32.4563
80.7115,-33.4384
82.4454,-34.4353
84.1771,-35.4360
85.9001,-36.4516
87.6208,-37.4712
89.3373,-38.4978
91.0527,-39.5262
92.7667,-40.5569
94.4804,-41.5882
96.1928,-42.6216
97.9046,-43.6559
99.6134,-44.6953
101.3209,-45.7367
103.0229,-46.7872
104.7231,-47.8405
106.4201,-48.8990
108.1163,-49.9587
109.8136,-51.0165
111.5118,-52.0729
113.2109,-53.1279
114.9105,-54.1819
116.6097,-55.2367
118.3084,-56.2922
120.0101,-57.3429
121.7124,-58.3926
123.4184,-59.4364
125.1252,-60.4788
126.8346,-61.5171
128.5446,-62.5544
130.2576,-63.5867
131.9713,-64.6178
133.6872,-65.6453
135.4035,-66.6721
137.1159,-67.7054
138.8273,-68.7405
140.5300,-69.7897
142.2308,-70.8420
143.9243,-71.9061
145.6162,-72.9726
147.3047,-74.0447
148.9924,-75.1179
150.6789,-76.1930
152.3651,-77.2686
154.0486,-78.3484
155.7313,-79.4294
157.4110,-80.5150
159.0899,-81.6019
160.7655,-82.6939
162.4404,-83.7869
164.1134,-84.8829
165.7861,-85.9792
167.4596,-87.0744
169.1333,-88.1691
170.8094,-89.2602
172.4860,-90.3506
174.1625,-91.4411
175.8388,-92.5318
177.5114,-93.6283
179.1828,-94.7265
180.8504,-95.8306
182.5170,-96.9362
184.1816,-98.0447
185.8459,-99.1537
187.5095,-100.2637
189.1731,-101.3737
190.8362,-102.4844
192.4993,-103.5951
194.1621,-104.7062
195.8251,-105.8170
197.4877,-106.9284
199.1503,-108.0397
200.8106,-109.1542
202.4705,-110.2695
204.1281,-111.3880
205.7852,-112.5074
207.4418,-113.6275
209.0978,-114.7484
210.7505,-115.8741
212.4017,-117.0021
214.0495,-118.1351
215.6954,-119.2707
217.3417,-120.4059
218.9876,-121.5416
220.6357,-122.6741
222.2849,-123.8050
223.9365,-124.9326
225.5893,-126.0583
227.2434,-127.1819
228.8979,-128.3051
230.5524,-129.4284
232.2059,-130.5531
233.8573,-131.6809
235.5077,-132.8102
237.1581,-133.9397
238.8096,-135.0674
240.4637,-136.1914
242.1205,-137.3116
243.7795,-138.4284
245.4400,-139.5431
247.1006,-140.6577
248.7608,-141.7729
250.4194,-142.8905
252.0769,-144.0098
253.7325,-145.1319
255.3878,-146.2544
257.0437,-147.3761
258.7014,-148.4950
260.3634,-149.6077
262.0282,-150.7163
263.6954,-151.8210
265.3624,-152.9263
267.0273,-154.0345
268.6895,-155.1469
270.3496,-156.2624
272.0090,-157.3790
273.6698,-158.4933
275.3318,-159.6060
276.9931,-160.7197
278.6527,-161.8360
280.3078,-162.9588
281.9595,-164.0866
283.6086,-165.2182
285.2566,-166.3515
286.9043,-167.4851
288.5522,-168.6183
290.2003,-169.7512
291.8482,-170.8843
293.4954,-172.0185
295.1419,-173.1534
296.7881,-174.2889
298.4341,-175.4247
300.0801,-176.5602
301.7257,-177.6964
303.3701,-178.8342
305.0150,-179.9715
306.6607,-181.1074
308.3059,-182.2440
309.9483,-183.3846
311.5753,-184.5470
313.1625,-185.7633
314.7198,-187.0178
316.2096,-188.3519
317.6676,-189.7208
319.0536,-191.1626
320.3892,-192.6513
321.6471,-194.2063
322.8314,-195.8180
323.9093,-197.5027
324.9157,-199.2311
325.7704,-201.0393
326.5310,-202.8891
327.1696,-204.7845
