x,z
0.2842,6.8297
2.0981,5.9864
3.9118,5.1428
5.7251,4.2980
7.5383,3.4531
9.3528,2.6107
11.1675,1.7689
12.9844,0.9319
14.8017,0.0957
16.6175,-0.7437
18.4330,-1.5840
20.2427,-2.4364
22.0514,-3.2913
23.8539,-4.1590
25.6553,-5.0289
27.4528,-5.9069
29.2497,-6.7862
31.0443,-7.6700
32.8386,-8.5545
34.6297,-9.4453
36.4204,-10.3370
38.2088,-11.2332
39.9968,-12.1302
41.7845,-13.0279
43.5721,-13.9259
45.3593,-14.8244
47.1463,-15.7234
48.9320,-16.6251
50.7173,-17.5275
52.5007,-18.4335
54.2839,-19.3400
56.0660,-20.2486
57.8475,-21.1583
59.6268,-22.0723
61.4045,-22.9894
63.1790,-23.9127
64.9513,-24.8403
66.7209,-25.7731
68.4885,-26.7095
70.2509,-27.6559
72.0110,-28.6063
73.7661,-29.5662
75.5191,-30.5298
77.2676,-31.5015
79.0139,-32.4772
80.7540,-33.4640
82.4915,-34.4555
84.2201,-35.4623
85.9459,-36.4739
87.6648,-37.4973
89.3820,-38.5236
91.0971,-39.5533
92.8120,-40.5834
94.5256,-41.6155
96.2389,-42.6483
97.9505,-43.6838
99.6605,-44.7220
101.3670,-45.7659
103.0705,-46.8145
104.7701,-47.8697
106.4671,-48.9288
108.1639,-49.9883
109.8603,-51.0485
111.5595,-52.1040
113.2592,-53.1588
114.9590,-54.2133
116.6594,-55.2669
118.3593,-56.3213
120.0607,-57.3733
121.7641,-58.4220
123.4699,-59.4669
125.1775,-60.5089
126.8869,-61.5478
128.5977,-62.5846
130.3105,-63.6181
132.0252,-64.6483
133.7412,-65.6764
135.4568,-66.7053
137.1706,-67.7371
138.8801,-68.7760
140.5853,-69.8219
142.2846,-70.8775
143.9798,-71.9397
145.6711,-73.0080
147.3602,-74.0797
149.0482,-75.1533
150.7353,-76.2283
152.4210,-77.3053
154.1053,-78.3846
155.7877,-79.4669
157.4680,-80.5524
159.1466,-81.6406
160.8232,-82.7317
162.4980,-83.8257
164.1713,-84.9218
165.8446,-86.0181
167.5180,-87.1141
169.1929,-88.2078
170.8690,-89.2996
172.5459,-90.3902
174.2233,-91.4802
175.8990,-92.5726
177.5729,-93.6678
179.2438,-94.7676
180.9122,-95.8712
182.5787,-96.9776
184.2440,-98.0860
185.9085,-99.1953
187.5726,-100.3054
189.2364,-101.4158
190.9000,-102.5266
192.5633,-103.6376
194.2266,-104.7488
195.8899,-105.8598
197.5529,-106.9713
199.2152,-108.0838
200.8762,-109.1980
202.5358,-110.3145
204.1941,-111.4328
205.8517,-112.5521
207.5084,-113.6727
209.1640,-114.7950
210.8178,-115.9199
212.4688,-117.0490
214.1172,-118.1817
215.7640,-119.3168
217.4099,-120.4532
219.0567,-121.5884
220.7048,-122.7217
222.3546,-123.8525
224.0064,-124.9804
225.6596,-126.1062
227.3141,-127.2301
228.9691,-128.3533
230.6239,-129.4767
232.2775,-130.6021
233.9294,-131.7298
235.5802,-132.8593
237.2306,-133.9895
238.8826,-135.1173
240.5370,-136.2416
242.1941,-137.3621
243.8538,-138.4786
245.5145,-139.5938
247.1758,-140.7080
248.8360,-141.8240
250.4951,-142.9415
252.1526,-144.0616
253.8089,-145.1834
255.4644,-146.3064
257.1204,-147.4286
258.7791,-148.5469
260.4407,-149.6609
262.1066,-150.7685
263.7744,-151.8731
265.4417,-152.9786
267.1074,-154.0865
268.7695,-155.1998
270.4296,-156.3159
272.0898,-157.4321
273.7501,-158.5479
275.4125,-159.6608
277.0753,-160.7730
278.7336,-161.8918
280.3900,-163.0135
282.0413,-164.1428
283.6907,-165.2747
285.3388,-166.4084
286.9867,-167.5424
288.6352,-168.6756
290.2838,-169.8084
291.9318,-170.9421
293.5796,-172.0761
295.2263,-173.2115
296.8727,-174.3474
298.5191,-175.4832
300.1654,-176.6191
301.8112,-177.7557
303.4568,-178.8926
305.1009,-180.0316
306.7454,-181.1701
308.3946,-182.3016
310.0417,-183.4360
311.6590,-184.6126
313.2560,-185.8165
314.7939,-187.0954
316.2882,-188.4249
317.7383,-189.8027
319.1356,-191.2340
320.4628,-192.7306
321.7354,-194.2737
322.8904,-195.9069
323.9775,-197.5859
324.9563,-199.3304
325.8367,-201.1263
326.5777,-202.9843
327.2223,-204.8778
327.7278,-206.8132
328.1543,-208.7675
328.4862,-210.7401
328.7202,-212.7267
328.8484,-214.7229
328.9001,-216.7222
328.7778,-218.7187
328.5804,-220.7091
328.2632,-222.6839
327.8448,-224.6398
327.3217,-226.5703
326.7197,-228.4775
325.9935,-230.3412
325.2012,-232.1773
324.2668,-233.9456
323.2444,-235.6643
322.1036,-237.3071
320.8799,-238.8887
319.5428,-240.3761
318.1558,-241.8169
316.6885,-243.1762
315.1730,-244.4815
313.6111,-245.7308
311.9995,-246.9155
310.3366,-248.0268
308.6259,-249.0634
306.8730,-250.0267
305.0904,-250.9342
303.2798,-251.7845
301.4533,-252.6000
299.6012,-253.3557
297.7406,-254.0902
295.8607,-254.7739
293.9738,-255.4382
292.0737,-256.0635
290.1657,-256.6647
288.2448,-257.2232
286.3150,-257.7499
284.3729,-258.2295
282.4206,-258.6658
280.4586,-259.0558
278.4881,-259.4005
276.5093,-259.6938
274.5250,-259.9469
272.5354,-260.1546
270.5427,-260.3292
268.5447,-260.4262
266.5455,-260.4911
264.5452,-260.5010
262.5450,-260.4803
260.5463,-260.4035
258.5502,-260.2768
256.5586,-260.0922
254.5760,-259.8274
252.6013,-259.5101
250.6392,-259.1215
248.6860,-258.6909
246.7432,-258.2156
244.8109,-257.6992
242.8900,-257.1421
240.9855,-256.5313
239.0977,-255.8704
237.2326,-255.1476
235.3910,-254.3667
233.5698,-253.5391
231.7747,-252.6562
229.9955,-251.7420
228.2381,-250.7863
226.4964,-249.8022
224.7742,-248.7845
223.0699,-247.7371
221.3824,-246.6627
219.7063,-245.5706
218.0385,-244.4659
216.3766,-243.3524
214.7200,-242.2310
213.0706,-241.0991
211.4301,-239.9542
209.8041,-238.7889
208.1918,-237.6048
206.5954,-236.3993
205.0115,-235.1773
203.4386,-233.9412
201.8745,-232.6941
200.3196,-231.4354
198.7731,-230.1665
197.2397,-228.8817
195.7171,-227.5842
194.2098,-226.2690
192.7138,-224.9409
191.2334,-223.5953
189.7643,-222.2376
188.3149,-220.8588
186.8786,-219.4664
185.4656,-218.0503
184.0678,-216.6192
182.7064,-215.1535
181.3500,-213.6831
179.9939,-212.2124
178.6406,-210.7392
177.3027,-209.2519
175.9851,-207.7467
174.6910,-206.2212
173.4090,-204.6855
172.1268,-203.1499
170.8394,-201.6188
169.5561,-200.0841
168.2790,-198.5444
167.0058,-197.0014
165.7341,-195.4571
164.4602,-193.9147
163.1818,-192.3760
161.8961,-190.8434
160.6037,-189.3165
159.3165,-187.7851
158.0358,-186.2484
156.7591,-184.7083
155.4842,-183.1667
154.2082,-181.6260
152.9319,-180.0855
151.6581,-178.5430
150.3860,-176.9991
149.1174,-175.4523
147.8506,-173.9040
146.5858,-172.3541
145.3219,-170.8035
144.0595,-169.2516
142.7981,-167.6989
141.5390,-166.1444
140.2812,-164.5889
139.0251,-163.0319
137.7701,-161.4740
136.5163,-159.9152
135.2632,-158.3558
134.0108,-156.7959
132.7587,-155.2357
131.5057,-153.6763
130.2522,-152.1172
128.9973,-150.5592
127.7424,-149.0014
126.4886,-147.4426
125.2338,-145.8845
123.9747,-144.3300
122.7000,-142.7883
121.3926,-141.2743
120.0404,-139.8001
118.6667,-138.3459
117.2712,-136.9126
115.8618,-135.4930
114.4290,-134.0970
112.9731,-132.7252
111.4954,-131.3767
110.0018,-130.0460
108.4943,-128.7309
106.9699,-127.4355
105.4312,-126.1573
103.8640,-124.9140
102.2812,-123.6907
100.6774,-122.4950
99.0604,-121.3172
97.4261,-120.1635
95.7746,-119.0348
94.0995,-117.9413
92.4002,-116.8859
90.6764,-115.8709
88.9281,-114.8988
87.1572,-113.9686
85.3643,-113.0814
83.5511,-112.2364
81.7188,-111.4336
79.8684,-110.6737
78.0040,-109.9488
76.1236,-109.2664
74.2348,-108.6076
72.3328,-107.9878
70.4266,-107.3811
68.5136,-106.7959
66.5984,-106.2184
64.6812,-105.6471
62.7620,-105.0829
60.8410,-104.5246
58.9148,-103.9849
56.9822,-103.4681
55.0437,-102.9744
53.1004,-102.4999
51.1510,-102.0510
49.1968,-101.6236
47.2349,-101.2332
45.2700,-100.8581
43.3004,-100.5084
41.3287,-100.1710
39.3544,-99.8485
37.3769,-99.5468
35.3966,-99.2644
33.4131,-99.0047
31.4278,-98.7595
29.4402,-98.5327
27.4514,-98.3180
25.4602,-98.1261
23.4679,-97.9478
21.4734,-97.7940
19.4779,-97.6537
17.4812,-97.5329
15.4837,-97.4246
13.4853,-97.3351
11.4861,-97.2677
9.4860,-97.2297
7.4857,-97.2184
5.4854,-97.2343
3.4856,-97.2823
1.4870,-97.3646
-0.5100,-97.4797
-2.5053,-97.6205
-4.4994,-97.7786
-6.4919,-97.9556
-8.4825,-98.1530
-10.4697,-98.3821
-12.4535,-98.6381
-14.4311,-98.9384
-16.4030,-99.2739
-18.3645,-99.6657
-20.3150,-100.1085
-22.2512,-100.6107
-24.1717,-101.1699
-26.0756,-101.7829
-27.9527,-102.4728
-29.7925,-103.2576
-31.5953,-104.1223
-33.3341,-105.1105
-35.0237,-106.1806
-36.6639,-107.3251
-38.2417,-108.5533
-39.7382,-109.8802
-41.1768,-111.2698
-42.5622,-112.7127
-43.8984,-114.2009
-45.1653,-115.7485
-46.3693,-117.3457
-47.5164,-118.9842
-48.6186,-120.6530
-49.6576,-122.3623
-50.6567,-124.0949
-51.5876,-125.8649
-52.4383,-127.6750
-53.2226,-129.5149
-53.9604,-131.3742
-54.6806,-133.2403
-55.3734,-135.1167
-56.0407,-137.0023
-56.6813,-138.8972
-57.2988,-140.7998
-57.8899,-142.7108
-58.4615,-144.6277
-59.0126,-146.5506
-59.5506,-148.4773
-60.0846,-150.4051
-60.6201,-152.3324
-61.1618,-154.2580
-61.7075,-156.1825
-62.2498,-158.1080
-62.7921,-160.0334
-63.3379,-161.9578
-63.8889,-163.8808
-64.4385,-165.8042
-64.9830,-167.7290
-65.5266,-169.6540
-66.0683,-171.5796
-66.6075,-173.5058
-67.1426,-175.4332
-67.6750,-177.3613
-68.2027,-179.2907
-68.7258,-181.2214
-69.2403,-183.1543
-69.7498,-185.0887
-70.2500,-187.0254
-70.7473,-188.9629
-71.2382,-190.9020
-71.7268,-192.8417
-72.2151,-194.7814
-72.7030,-196.7212
-73.1907,-198.6611
