x,z
-828.7488,-1412.8767
-828.7581,-1410.8771
-828.7681,-1408.8774
-828.7775,-1406.8778
-828.7872,-1404.8782
-828.8000,-1402.8785
-828.8135,-1400.8789
-828.8304,-1398.8794
-828.8478,-1396.8798
-828.8672,-1394.8802
-828.8870,-1392.8807
-828.9080,-1390.8812
-828.9299,-1388.8817
-828.9539,-1386.8823
-828.9788,-1384.8828
-829.0061,-1382.8834
-829.0336,-1380.8840
-829.0606,-1378.8845
-829.0869,-1376.8851
-829.1110,-1374.8857
-829.1331,-1372.8862
-829.1516,-1370.8867
-829.1660,-1368.8872
-829.1748,-1366.8877
-829.1785,-1364.8881
-829.1769,-1362.8885
-829.1718,-1360.8890
-829.1647,-1358.8895
-829.1564,-1356.8900
-829.1477,-1354.8905
-829.1395,-1352.8911
-829.1326,-1350.8916
-829.1309,-1348.8921
-829.1364,-1346.8927
-829.1511,-1344.8934
-829.1756,-1342.8942
-829.2078,-1340.8950
-829.2458,-1338.8961
-829.2862,-1336.8972
-829.3262,-1334.8984
-829.3646,-1332.8997
-829.4005,-1330.9009
-829.4367,-1328.9021
-829.4764,-1326.9034
-829.5231,-1324.9049
-829.5806,-1322.9067
-829.6492,-1320.9089
-829.7288,-1318.9116
-829.8156,-1316.9147
-829.9050,-1314.9178
-829.9941,-1312.9210
-830.0792,-1310.9240
-830.1603,-1308.9266
-830.2388,-1306.9293
-830.3145,-1304.9318
-830.3875,-1302.9341
-830.4569,-1300.9363
-830.5223,-1298.9384
-830.5830,-1296.9402
-830.6393,-1294.9420
-830.6906,-1292.9436
-830.7377,-1290.9451
-830.7801,-1288.9464
-830.8182,-1286.9475
-830.8522,-1284.9485
-830.8821,-1282.9493
-830.9096,-1280.9501
-830.9342,-1278.9507
-830.9570,-1276.9512
-830.9756,-1274.9517
-830.9927,-1272.9520
-831.0070,-1270.9523
-831.0197,-1268.9524
-831.0232,-1266.9525
-831.0236,-1264.9526
-831.0091,-1262.9529
-830.9907,-1260.9531
-830.9604,-1258.9535
-830.9269,-1256.9540
-830.8851,-1254.9547
-830.8406,-1252.9556
-830.7867,-1250.9567
-830.7298,-1248.9579
-830.6635,-1246.9596
-830.5934,-1244.9614
-830.5170,-1242.9636
-830.4372,-1240.9659
-830.3506,-1238.9686
-830.2617,-1236.9716
-830.1703,-1234.9746
-830.0776,-1232.9779
-829.9873,-1230.9811
-829.8965,-1228.9844
-829.8072,-1226.9879
-829.7173,-1224.9915
-829.6217,-1222.9954
-829.5246,-1220.9993
-829.4149,-1219.0039
-829.3030,-1217.0087
-829.1835,-1215.0139
-829.0636,-1213.0192
-828.9473,-1211.0242
-828.8329,-1209.0291
-828.7261,-1207.0337
-828.6216,-1205.0381
-828.5193,-1203.0424
-828.4182,-1201.0465
-828.3153,-1199.0509
-828.2122,-1197.0553
-828.1074,-1195.0598
-828.0019,-1193.0643
-827.8941,-1191.0691
-827.7845,-1189.0739
-827.6708,-1187.0789
-827.5549,-1185.0841
-827.4357,-1183.0894
-827.3148,-1181.0947
-827.1921,-1179.1002
-827.0677,-1177.1058
-826.9409,-1175.1116
-826.8113,-1173.1174
-826.6794,-1171.1235
-826.5450,-1169.1298
-826.4089,-1167.1361
-826.2699,-1165.1425
-826.1287,-1163.1489
-825.9852,-1161.1554
-825.8396,-1159.1621
-825.6939,-1157.1687
-825.5490,-1155.1754
-825.4067,-1153.1818
-825.2672,-1151.1880
-825.1304,-1149.1941
-824.9963,-1147.2000
-824.8648,-1145.2054
-824.7360,-1143.2108
-824.6099,-1141.2158
-824.4863,-1139.2206
-824.3639,-1137.2253
-824.2411,-1135.2300
-824.1171,-1133.2347
-823.9913,-1131.2396
-823.8642,-1129.2445
-823.7360,-1127.2495
-823.6062,-1125.2544
-823.4742,-1123.2594
-823.3401,-1121.2645
-823.2036,-1119.2697
