x,z
-297.2728,611.6078
-297.1337,613.6030
-296.9946,615.5983
-296.8550,617.5935
-296.7153,619.5887
-296.5750,621.5839
-296.4295,623.5787
-296.2840,625.5734
-296.1385,627.5682
-295.9904,629.5627
-295.8415,631.5573
-295.6926,633.5518
-295.5424,635.5461
-295.3869,637.5402
-295.2314,639.5342
-295.0759,641.5281
-294.9206,643.5222
-294.7655,645.5161
-294.6103,647.5101
-294.4586,649.5044
-294.3122,651.4990
-294.1659,653.4937
-294.0201,655.4883
-293.8766,657.4832
-293.7332,659.4780
-293.5898,661.4728
-293.4471,663.4677
-293.3044,665.4625
-293.1617,667.4574
-293.0163,669.4520
-292.8706,671.4467
-292.7249,673.4413
-292.5723,675.4354
-292.4160,677.4292
-292.2597,679.4230
-292.1029,681.4167
-291.9454,683.4105
-291.7879,685.4042
-291.6321,687.3979
-291.4826,689.3922
-291.3330,691.3865
-291.1835,693.3807
-291.0341,695.3749
-290.8847,697.3692
-290.7353,699.3634
-290.5813,701.3574
-290.4251,703.3511
-290.2689,705.3449
-290.1125,707.3386
-289.9557,709.3323
-289.7990,711.3259
-289.6434,713.3196
-289.4899,715.3134
-289.3365,717.3071
-289.1834,719.3009
-289.0342,721.2949
-288.8850,723.2889
-288.7358,725.2828
-288.5949,727.2774
-288.4557,729.2720
-288.3164,731.2667
-288.1772,733.2613
-288.0380,735.2559
-287.8987,737.2505
-287.7552,739.2448
-287.6054,741.2385
-287.4556,743.2323
-287.3058,745.2260
-287.1544,747.2197
-287.0031,749.2133
-286.8518,751.2069
-286.7037,753.2009
-286.5575,755.1949
-286.4113,757.1891
-286.2654,759.1832
-286.1199,761.1774
-285.9744,763.1716
-285.8290,765.1658
-285.6820,767.1599
-285.5348,769.1539
-285.3876,771.1480
-285.2397,773.1420
-285.0914,775.1360
-284.9432,777.1301
-284.7949,779.1241
-284.6465,781.1180
-284.4981,783.1121
-284.3486,785.1060
-284.1967,787.0997
-284.0448,789.0934
-283.8916,791.0870
-283.7325,793.0801
-283.5733,795.0731
-283.4141,797.0662
-283.2495,799.0588
-283.0849,801.0514
-282.9203,803.0440
-282.7489,805.0359
-282.5759,807.0278
-282.4030,809.0197
-282.2317,811.0116
-282.0615,813.0036
-281.8913,814.9956
-281.7271,816.9882
-281.5750,818.9816
-281.4229,820.9750
-281.2711,822.9684
-281.1211,824.9620
-280.9711,826.9554
-280.8210,828.9489
-280.6610,830.9414
-280.4990,832.9337
-280.3370,834.9260
-280.1743,836.9182
-280.0107,838.9102
-279.8472,840.9023
-279.6843,842.8944
-279.5277,844.8870
-279.3712,846.8796
-279.2146,848.8723
-279.0566,850.8647
-278.8980,852.8571
-278.7395,854.8495
-278.5774,856.8416
-278.4077,858.8329
-278.2379,860.8243
-278.0682,862.8157
-277.8967,864.8069
-277.7249,866.7980
-277.5532,868.7892
-277.3838,870.7806
-277.2166,872.7722
-277.0494,874.7639
-276.8830,876.7555
-276.7192,878.7474
-276.5554,880.7393
-276.3916,882.7311
-276.2331,884.7234
-276.0747,886.7156
-275.9163,888.7079
-275.7598,890.7002
-275.6038,892.6926
-275.4479,894.6849
-275.2934,896.6772
-275.1400,898.6696
-274.9868,900.6619
-274.8323,902.6541
-274.6734,904.6459
-274.5145,906.6376
-274.3556,908.6294
-274.1886,910.6204
-274.0205,912.6112
-273.8524,914.6021
-273.6668,916.5913
-273.4731,918.5798
-273.2795,920.5683
-273.0702,922.5552
-272.8490,924.5408
-272.6278,926.5266
-272.3703,928.5074
-272.0717,930.4829
-271.7732,932.4584
-271.4189,934.4235
-271.0008,936.3769
-270.5827,938.3303
-270.0591,940.2559
-269.4608,942.1618
-268.8624,944.0677
-268.0224,945.8778
-267.1448,947.6730
-266.1734,949.4136
-265.0465,951.0639
-263.9196,952.7142
-262.6083,954.2198
-261.2786,955.7112
-259.9159,957.1696
-258.4304,958.5058
-256.9448,959.8420
-255.3858,961.0869
-253.7579,962.2460
-252.1201,963.3893
-250.3624,964.3405
-248.6046,965.2916
-246.7932,966.1299
-244.9467,966.8947
-243.1003,967.6595
-241.2005,968.2764
-239.2916,968.8680
-237.3827,969.4595
-235.4292,969.8794
-233.4752,970.2970
-231.5175,970.6929
-229.5342,970.9346
-227.5508,971.1762
-225.5650,971.3857
-223.5677,971.4436
-221.5705,971.5015
-219.5733,971.5511
-217.5768,971.4727
-215.5804,971.3944
-213.5839,971.3160
-211.5957,971.1255
-209.6084,970.9205
-207.6212,970.7156
-205.6414,970.4515
-203.6638,970.1688
-201.6863,969.8860
-199.7113,969.5865
-197.7379,969.2773
-195.7644,968.9680
-193.7932,968.6450
-191.8242,968.3088
-189.8553,967.9727
-187.8868,967.6349
-185.9188,967.2947
-183.9509,966.9546
-181.9843,966.6069
-180.0204,966.2433
-178.0565,965.8798
-176.0942,965.5078
-174.1380,965.1023
-172.1818,964.6968
-170.2256,964.2913
-168.2717,963.8734
-166.3180,963.4550
-164.3643,963.0366
-162.4094,962.6233
-160.4538,962.2131
-158.4982,961.8029
-156.5424,961.3933
-154.5858,960.9879
-152.6292,960.5825
-150.6726,960.1771
-148.7144,959.7803
-146.7550,959.3895
-144.7956,958.9986
-142.8363,958.6075
-140.8774,958.2147
-138.9185,957.8218
-136.9596,957.4289
-135.0037,957.0212
-133.0490,956.6081
-131.0942,956.1951
-129.1402,955.7786
-127.1871,955.3573
-125.2341,954.9360
-123.2810,954.5144
-121.3284,954.0901
-119.3757,953.6657
-117.4231,953.2413
-115.4701,952.8182
-113.5170,952.3954
-111.5639,951.9727
-109.6102,951.5532
-107.6554,951.1381
-105.7007,950.7231
-103.7460,950.3080
-101.7895,949.9008
-99.8331,949.4936
-97.8767,949.0863
-95.9180,948.6903
-93.9578,948.3011
-91.9977,947.9120
-90.0377,947.5217
-88.0781,947.1296
-86.1185,946.7376
-84.1600,946.3398
-82.2060,945.9205
-80.2519,945.5013
-78.2978,945.0820
-76.3444,944.6597
-74.3911,944.2365
-72.4379,943.8131
-70.4839,943.3931
-68.5276,942.9843
-66.5713,942.5754
-64.6149,942.1665
-62.6587,941.7570
-60.7025,941.3472
-58.7462,940.9374
-56.7910,940.5228
-54.8380,940.0976
-52.8849,939.6724
-50.9319,939.2473
-48.9790,938.8206
-47.0262,938.3940
-45.0733,937.9673
-43.1183,937.5499
-41.1627,937.1356
-39.2070,936.7213
-37.2511,936.3077
-35.2951,935.8947
-33.3392,935.4818
-31.3842,935.0645
-29.4306,934.6412
-27.4771,934.2178
-25.5233,933.7956
-23.5687,933.3772
-21.6142,932.9587
-19.6595,932.5410
-17.7006,932.1437
-15.7417,931.7463
-13.7828,931.3490
-11.8230,930.9559
-9.8629,930.5643
-7.9028,930.1728
-5.9418,929.7853
-3.9797,929.4028
-2.0177,929.0203
-0.0573,928.6296
