x,z
-297.2728,611.6078
-297.1337,613.6027
-296.9947,615.5975
-296.8551,617.5923
-296.7154,619.5872
-296.5752,621.5820
-296.4297,623.5764
-296.2842,625.5707
-296.1387,627.5651
-295.9907,629.5593
-295.8418,631.5535
-295.6930,633.5475
-295.5428,635.5416
-295.3873,637.5352
-295.2318,639.5288
-295.0763,641.5224
-294.9211,643.5161
-294.7660,645.5096
-294.6109,647.5033
-294.4591,649.4971
-294.3128,651.4914
-294.1665,653.4857
-294.0207,655.4800
-293.8773,657.4744
-293.7339,659.4689
-293.5905,661.4633
-293.4478,663.4578
-293.3051,665.4523
-293.1624,667.4467
-293.0172,669.4410
-292.8714,671.4352
-292.7257,673.4294
-292.5732,675.4232
-292.4170,677.4166
-292.2608,679.4100
-292.1040,681.4034
-291.9465,683.3967
-291.7890,685.3901
-291.6332,687.3835
-291.4837,689.3773
-291.3342,691.3712
-291.1847,693.3651
-291.0353,695.3589
-290.8859,697.3528
-290.7366,699.3467
-290.5827,701.3402
-290.4265,703.3336
-290.2703,705.3270
-290.1138,707.3203
-289.9572,709.3136
-289.8005,711.3069
-289.6449,713.3002
-289.4915,715.2936
-289.3380,717.2869
-289.1850,719.2803
-289.0358,721.2739
-288.8866,723.2675
-288.7374,725.2611
-288.5964,727.2552
-288.4572,729.2495
-288.3180,731.2438
-288.1788,733.2380
-288.0396,735.2323
-287.9004,737.2265
-287.7570,739.2204
-287.6073,741.2137
-287.4575,743.2071
-287.3077,745.2005
-287.1564,747.1937
-287.0052,749.1870
-286.8539,751.1802
-286.7057,753.1738
-286.5595,755.1675
-286.4134,757.1613
-286.2674,759.1550
-286.1220,761.1488
-285.9766,763.1426
-285.8311,765.1364
-285.6842,767.1301
-285.5370,769.1238
-285.3899,771.1176
-285.2420,773.1112
-285.0938,775.1048
-284.9455,777.0984
-284.7972,779.0920
-284.6489,781.0857
-284.5006,783.0793
-284.3511,785.0728
-284.1992,787.0662
-284.0474,789.0594
-283.8943,791.0527
-283.7352,793.0454
-283.5761,795.0381
-283.4170,797.0308
-283.2525,799.0230
-283.0879,801.0152
-282.9234,803.0074
-282.7521,804.9990
-282.5792,806.9905
-282.4063,808.9819
-282.2349,810.9735
-282.0647,812.9651
-281.8946,814.9568
-281.7301,816.9489
-281.5781,818.9420
-281.4260,820.9350
-281.2741,822.9281
-281.1241,824.9212
-280.9742,826.9143
-280.8242,828.9074
-280.6644,830.8995
-280.5024,832.8914
-280.3405,834.8834
-280.1778,836.8751
-280.0143,838.8668
-279.8508,840.8585
-279.6877,842.8502
-279.5312,844.8425
-279.3747,846.8347
-279.2181,848.8269
-279.0602,850.8190
-278.9017,852.8110
-278.7432,854.8030
-278.5814,856.7948
-278.4117,858.7858
-278.2420,860.7767
-278.0723,862.7677
-277.9008,864.7585
-277.7291,866.7493
-277.5574,868.7401
-277.3880,870.7311
-277.2208,872.7224
-277.0536,874.7136
-276.8871,876.7049
-276.7234,878.6964
-276.5596,880.6879
-276.3959,882.6794
-276.2372,884.6712
-276.0789,886.6631
-275.9205,888.6550
-275.7640,890.6469
-275.6080,892.6389
-275.4521,894.6308
-275.2975,896.6227
-275.1443,898.6147
-274.9910,900.6066
-274.8367,902.5985
-274.6779,904.5899
-274.5190,906.5813
-274.3601,908.5726
-274.1934,910.5633
-274.0253,912.5538
-273.8573,914.5443
-273.6724,916.5331
-273.4788,918.5212
-273.2852,920.5093
-273.0768,922.4960
-272.8557,924.4813
-272.6345,926.4666
-272.3794,928.4474
-272.0809,930.4225
-271.7823,932.3975
-271.4319,934.3630
-271.0139,936.3160
-270.5958,938.2690
-270.0780,940.1957
-269.4797,942.1013
-268.8815,944.0069
-268.0505,945.8202
-267.1732,947.6150
-266.2100,949.3600
-265.0833,951.0099
-263.9567,952.6599
-262.6523,954.1705
-261.3228,955.6616
-259.9656,957.1249
-258.4803,958.4609
-256.9951,959.7968
-255.4412,961.0475
-253.8136,962.2063
-252.1806,963.3566
-250.4232,964.3076
-248.6658,965.2585
-246.8578,966.1031
-245.0117,966.8678
-243.1656,967.6324
-241.2684,968.2554
-239.3598,968.8468
-237.4513,969.4382
-235.4998,969.8643
-233.5462,970.2818
-231.5900,970.6841
-229.6070,970.9257
-227.6240,971.1673
-225.6391,971.3835
-223.6422,971.4414
-221.6453,971.4993
-219.6485,971.5540
-217.6524,971.4757
-215.6563,971.3973
-213.6603,971.3190
-211.6720,971.1334
-209.6852,970.9285
-207.6983,970.7236
-205.7185,970.4626
-203.7413,970.1799
-201.7642,969.8972
-199.7894,969.5988
-197.8163,969.2896
-195.8432,968.9804
-193.8723,968.6585
-191.9037,968.3224
-189.9351,967.9863
-187.9669,967.6487
-185.9993,967.3087
