x,z
80.7643,226.2632
82.7642,226.2636
84.7640,226.2638
86.7639,226.2641
88.7638,226.2644
90.7637,226.2647
92.7636,226.2650
94.7634,226.2654
96.7633,226.2657
98.7632,226.2661
100.7631,226.2664
102.7629,226.2668
104.7628,226.2672
106.7627,226.2676
108.7626,226.2680
110.7625,226.2684
112.7623,226.2688
114.7622,226.2693
116.7621,226.2697
118.7620,226.2701
120.7618,226.2706
122.7617,226.2711
124.7616,226.2716
126.7615,226.2721
128.7614,226.2726
130.7612,226.2730
132.7611,226.2735
134.7610,226.2740
136.7608,226.2745
138.7607,226.2750
140.7606,226.2756
142.7605,226.2761
144.7604,226.2766
146.7602,226.2772
148.7601,226.2778
150.7600,226.2784
152.7599,226.2789
154.7598,226.2795
156.7596,226.2801
158.7595,226.2806
160.7594,226.2812
162.7592,226.2819
164.7591,226.2825
166.7590,226.2831
168.7589,226.2836
170.7588,226.2842
172.7586,226.2849
174.7585,226.2855
176.7584,226.2861
178.7583,226.2867
180.7581,226.2874
182.7580,226.2881
184.7579,226.2886
186.7578,226.2892
188.7577,226.2898
190.7575,226.2903
192.7574,226.2908
194.7573,226.2912
196.7572,226.2918
198.7571,226.2924
200.7569,226.2928
202.7568,226.2933
204.7567,226.2938
206.7566,226.2943
208.7565,226.2950
210.7563,226.2955
212.7562,226.2962
214.7561,226.2970
216.7560,226.2977
218.7558,226.2985
220.7557,226.2992
222.7556,226.3001
224.7555,226.3011
226.7554,226.3020
228.7552,226.3029
230.7551,226.3038
232.7550,226.3048
234.7549,226.3057
236.7548,226.3065
238.7546,226.3074
240.7545,226.3083
242.7544,226.3091
244.7543,226.3099
246.7542,226.3105
248.7540,226.3111
250.7539,226.3117
252.7538,226.3122
254.7537,226.3127
256.7535,226.3130
258.7534,226.3134
260.7533,226.3137
262.7532,226.3139
264.7530,226.3142
266.7529,226.3146
268.7528,226.3149
270.7527,226.3154
272.7525,226.3160
274.7524,226.3167
276.7522,226.3176
278.7521,226.3187
280.7520,226.3198
282.7518,226.3210
284.7517,226.3223
286.7515,226.3236
288.7514,226.3250
290.7512,226.3264
292.7511,226.3279
294.7509,226.3294
296.7508,226.3309
298.7506,226.3324
300.7505,226.3340
302.7503,226.3356
304.7502,226.3372
306.7500,226.3387
308.7498,226.3403
310.7497,226.3418
312.7495,226.3432
314.7494,226.3444
316.7492,226.3454
318.7491,226.3464
320.7489,226.3473
322.7487,226.3481
324.7486,226.3489
326.7484,226.3496
328.7483,226.3500
330.7481,226.3504
332.7480,226.3508
334.7478,226.3510
336.7477,226.3512
338.7475,226.3513
340.7474,226.3516
342.7472,226.3521
344.7470,226.3631
346.7452,226.4325
348.7347,226.6337
350.7116,226.9343
352.6604,227.3735
354.5780,227.9407
356.4754,228.5726
358.3476,229.2738
360.1853,230.0621
362.0040,230.8936
363.7623,231.8454
365.4747,232.8781
367.1143,234.0215
368.6646,235.2843
370.1560,236.6161
371.5511,238.0478
372.8452,239.5718
374.0688,241.1534
375.2043,242.7991
376.2625,244.4958
377.2292,246.2459
378.0873,248.0519
378.8668,249.8933
379.5316,251.7784
380.0754,253.7028
380.5726,255.6397
381.0032,257.5923
381.3719,259.5578
381.6234,261.5402
381.6881,263.5388
381.6981,265.5384
381.5634,267.5335
381.3904,269.5258
381.2055,271.5170
381.0471,273.5105
380.9252,275.5066
380.8272,277.5040
380.7345,279.5017
380.6310,281.4988
380.5091,283.4949
380.3701,285.4899
380.2110,287.4834
380.0606,289.4776
379.9400,291.4738
379.7854,293.4675
379.6096,295.4596
379.4253,297.4509
379.2408,299.4422
379.0561,301.4335
378.8823,303.4258
378.7154,305.4187
378.5345,307.4103
378.3499,309.4016
378.1653,311.3929
377.9808,313.3842
377.7977,315.3756
377.6191,317.3675
377.4372,319.3590
377.2529,321.3504
377.0693,323.3418
376.8857,325.3332
376.7012,327.3244
376.5164,329.3157
376.3324,331.3070
376.1487,333.2984
375.9650,335.2898
375.7815,337.2811
375.5963,339.2723
375.4233,341.2645
375.2455,343.2563
375.0616,345.2475
374.8742,347.2384
374.6871,349.2294
374.5052,351.2208
374.3235,353.2123
374.1358,355.2032
373.9454,357.1938
373.7663,359.1854
373.5953,361.1778
373.4178,363.1696
373.2383,365.1611
373.0594,367.1527
372.8815,369.1444
372.7028,371.1360
372.5232,373.1274
372.3448,375.1190
372.1669,377.1105
371.9861,379.1017
371.8061,381.0930
371.6274,383.0844
371.4474,385.0755
371.2668,387.0666
371.0860,389.0576
370.9049,391.0485
370.7236,393.0393
370.5423,395.0302
370.3608,397.0210
370.1795,399.0118
369.9988,401.0027
369.8187,402.9936
369.6385,404.9844
369.4584,406.9753
369.2780,408.9661
369.0970,410.9568
368.9161,412.9476
368.7353,414.9383
368.5546,416.9290
368.3739,418.9196
368.1935,420.9103
368.0134,422.9009
367.8341,424.8916
367.6039,426.8767
367.3830,428.8629
367.1321,430.8458
366.8568,432.8254
366.5799,434.8047
366.3051,436.7843
366.0147,438.7616
365.7672,440.7447
365.5699,442.7332
365.3784,444.7223
365.1547,446.7078
364.8900,448.6884
364.5177,450.6514
364.0842,452.6008
363.5881,454.5363
363.0861,456.4702
