x,z
80.7823,226.2626
82.7817,226.2629
84.7811,226.2633
86.7805,226.2636
88.7799,226.2639
90.7792,226.2642
92.7786,226.2645
94.7780,226.2649
96.7774,226.2652
98.7768,226.2655
100.7761,226.2659
102.7755,226.2663
104.7749,226.2667
106.7743,226.2671
108.7737,226.2675
110.7730,226.2679
112.7724,226.2683
114.7718,226.2688
116.7712,226.2692
118.7706,226.2696
120.7699,226.2701
122.7693,226.2705
124.7687,226.2710
126.7681,226.2715
128.7675,226.2720
130.7668,226.2725
132.7662,226.2730
134.7656,226.2735
136.7650,226.2740
138.7643,226.2745
140.7637,226.2751
142.7631,226.2756
144.7625,226.2762
146.7619,226.2767
148.7612,226.2775
150.7606,226.2783
152.7600,226.2789
154.7594,226.2795
156.7587,226.2801
158.7581,226.2806
160.7575,226.2812
162.7569,226.2819
164.7563,226.2825
166.7556,226.2831
168.7550,226.2837
170.7544,226.2842
172.7538,226.2849
174.7532,226.2855
176.7525,226.2861
178.7519,226.2867
180.7513,226.2874
182.7507,226.2881
184.7501,226.2887
186.7494,226.2892
188.7488,226.2898
190.7482,226.2903
192.7476,226.2908
194.7470,226.2913
196.7463,226.2918
198.7457,226.2924
200.7451,226.2928
202.7445,226.2933
204.7439,226.2938
206.7432,226.2943
208.7426,226.2950
210.7420,226.2956
212.7414,226.2963
214.7408,226.2970
216.7402,226.2977
218.7395,226.2985
220.7389,226.2993
222.7383,226.3001
224.7377,226.3010
226.7371,226.3020
228.7364,226.3029
230.7358,226.3039
232.7352,226.3048
234.7346,226.3056
236.7340,226.3065
238.7333,226.3074
240.7327,226.3083
242.7321,226.3091
244.7315,226.3099
246.7309,226.3105
248.7302,226.3111
250.7296,226.3117
252.7290,226.3122
254.7284,226.3127
256.7278,226.3131
258.7271,226.3134
260.7265,226.3137
262.7259,226.3139
264.7253,226.3143
266.7246,226.3145
268.7240,226.3149
270.7234,226.3154
272.7227,226.3160
274.7221,226.3167
276.7215,226.3176
278.7208,226.3187
280.7202,226.3198
282.7195,226.3210
284.7189,226.3222
286.7183,226.3236
288.7176,226.3249
290.7170,226.3264
292.7163,226.3279
294.7157,226.3294
296.7150,226.3309
298.7144,226.3324
300.7137,226.3340
302.7131,226.3356
304.7124,226.3371
306.7118,226.3387
308.7111,226.3402
310.7104,226.3418
312.7098,226.3432
314.7092,226.3444
316.7085,226.3454
318.7079,226.3464
320.7072,226.3473
322.7065,226.3481
324.7059,226.3489
326.7052,226.3496
328.7046,226.3500
330.7039,226.3504
332.7033,226.3508
334.7026,226.3510
336.7020,226.3512
338.7013,226.3514
340.7007,226.3516
342.7000,226.3521
344.6992,226.3689
346.6959,226.4528
348.6850,226.6473
350.6607,226.9540
352.6021,227.4274
354.5235,227.9791
356.4247,228.5965
358.3005,229.2865
360.1465,230.0537
361.9604,230.8947
363.7220,231.8378
365.4271,232.8797
367.0687,234.0185
368.6367,235.2585
370.1054,236.6150
371.5073,238.0376
372.8151,239.5486
374.0386,241.1295
375.1894,242.7644
376.2275,244.4728
377.1933,246.2220
378.0642,248.0208
378.8442,249.8613
379.5156,251.7445
380.0508,253.6703
380.5319,255.6105
380.9482,257.5656
381.2951,259.5343
381.5451,261.5179
381.6313,263.5151
381.6526,265.5136
381.5606,267.5096
381.3909,269.5017
381.2079,271.4926
381.0437,273.4851
380.9079,275.4798
380.7999,277.4761
380.7062,279.4733
380.6160,281.4706
380.5009,283.4665
380.3666,285.4614
380.2117,287.4546
380.0573,289.4480
379.9303,291.4433
379.7844,293.4372
379.6124,295.4290
379.4281,297.4199
379.2436,299.4107
379.0590,301.4015
378.8838,303.3931
378.7159,305.3854
378.5370,307.3767
378.3529,309.3676
378.1684,311.3584
377.9839,313.3492
377.7997,315.3400
377.6228,317.3315
377.4403,319.3225
377.2562,321.3134
377.0726,323.3043
376.8890,325.2952
376.7045,327.2860
376.5198,329.2767
376.3358,331.2675
376.1523,333.2584
375.9686,335.2492
375.7851,337.2401
375.6002,339.2308
375.4261,341.2224
375.2493,343.2137
375.0656,345.2045
374.8779,347.1949
374.6911,349.1854
374.5092,351.1763
374.3269,353.1672
374.1400,355.1577
373.9496,357.1478
373.7712,359.1390
373.5988,361.1307
373.4221,363.1220
373.2427,365.1131
373.0638,367.1042
372.8857,369.0954
372.7073,371.0865
372.5278,373.0775
372.3493,375.0685
372.1718,377.0595
371.9919,379.0504
371.8118,381.0411
371.6323,383.0319
371.4521,385.0226
371.2715,387.0132
371.0907,389.0036
370.9096,390.9940
370.7284,392.9844
370.5471,394.9747
370.3657,396.9651
370.1844,398.9554
370.0038,400.9457
369.8237,402.9361
369.6436,404.9265
369.4635,406.9169
369.2830,408.9072
369.1021,410.8974
368.9213,412.8877
368.7406,414.8779
368.5599,416.8681
368.3793,418.8582
368.1989,420.8484
368.0190,422.8385
367.8181,424.8265
367.6043,426.8131
367.3671,428.7970
367.1050,430.7779
366.8280,432.7567
366.5546,434.7360
366.2708,436.7138
365.9919,438.6923
365.7698,440.6777
365.5773,442.6662
365.3841,444.6546
365.1558,446.6392
364.8484,448.6127
364.4540,450.5705
364.0037,452.5164
363.5386,454.4591
363.0656,456.3999
362.5452,458.3279
361.9625,460.2381
361.3282,462.1319
360.6512,464.0108
359.9409,465.8774
359.1252,467.7003
358.2567,469.4984
357.3269,471.2654
356.3364,472.9993
355.2950,474.7033
354.2117,476.3812
353.0899,478.0334
351.9253,479.6559
350.7160,481.2453
349.4495,482.7894
348.1319,484.2900
346.7657,485.7464
345.3674,487.1724
343.9191,488.5464
342.4161,489.8622
340.8922,491.1536
339.3361,492.4061
337.7643,493.6391
336.1390,494.8015
334.4823,495.9184
332.7785,496.9612
331.0171,497.9022
329.2166,498.7686
327.4015,499.6046
325.5846,500.4367
323.7707,501.2752
321.9595,502.1198
320.1505,502.9689
318.3433,503.8218
316.5374,504.6777
314.7328,505.5362
312.9292,506.3968
311.1263,507.2591
309.3243,508.1231
307.5230,508.9886
305.7222,509.8550
303.9218,510.7225
302.1224,511.5920
300.3236,512.4627
298.5235,513.3307
296.7249,514.2019
294.9264,515.0733
293.1290,515.9469
291.3299,516.8170
289.5318,517.6892
287.7339,518.5620
285.9364,519.4354
284.1382,520.3076
282.3396,521.1790
280.5418,522.0523
278.7443,522.9261
276.9460,523.7985
275.1476,524.6705
273.3490,525.5422
271.5500,526.4133
269.7506,527.2836
267.9493,528.1499
266.1410,529.0014
264.3486,529.8863
262.5574,530.7734
260.7723,531.6730
258.9978,532.5931
257.2348,533.5352
255.4835,534.4989
253.7592,535.5095
252.0666,536.5731
250.4073,537.6879
248.7650,538.8276
247.1582,540.0169
245.5655,541.2250
243.9868,542.4514
242.4276,543.7026
240.8827,544.9713
239.3624,546.2693
237.8620,547.5904
236.3647,548.9150
234.8744,550.2476
233.4040,551.6019
231.9556,552.9799
230.5290,554.3804
229.1256,555.8041
227.7465,557.2515
226.3900,558.7200
