x,z
80.7874,226.2626
82.7871,226.2630
84.7869,226.2633
86.7867,226.2637
88.7864,226.2640
90.7862,226.2643
92.7859,226.2646
94.7857,226.2649
96.7854,226.2653
98.7852,226.2656
100.7850,226.2660
102.7847,226.2664
104.7845,226.2668
106.7842,226.2672
108.7840,226.2676
110.7837,226.2680
112.7835,226.2684
114.7833,226.2688
116.7830,226.2692
118.7828,226.2697
120.7825,226.2701
122.7823,226.2706
124.7820,226.2711
126.7818,226.2716
128.7815,226.2721
130.7813,226.2726
132.7811,226.2731
134.7808,226.2735
136.7806,226.2741
138.7803,226.2746
140.7801,226.2751
142.7798,226.2757
144.7796,226.2762
146.7793,226.2768
148.7791,226.2775
150.7789,226.2784
152.7786,226.2790
154.7784,226.2795
156.7781,226.2801
158.7779,226.2807
160.7776,226.2813
162.7774,226.2820
164.7771,226.2826
166.7769,226.2831
168.7766,226.2837
170.7764,226.2843
172.7762,226.2849
174.7759,226.2856
176.7757,226.2862
178.7754,226.2868
180.7752,226.2875
182.7749,226.2881
184.7747,226.2887
186.7745,226.2893
188.7742,226.2899
190.7740,226.2904
192.7737,226.2908
194.7735,226.2913
196.7733,226.2919
198.7730,226.2924
200.7728,226.2929
202.7725,226.2934
204.7723,226.2939
206.7720,226.2944
208.7718,226.2950
210.7715,226.2957
212.7713,226.2964
214.7711,226.2971
216.7708,226.2978
218.7706,226.2985
220.7703,226.2993
222.7701,226.3002
224.7699,226.3011
226.7696,226.3021
228.7694,226.3030
230.7691,226.3039
232.7689,226.3049
234.7686,226.3057
236.7684,226.3066
238.7682,226.3075
240.7679,226.3084
242.7677,226.3092
244.7674,226.3099
246.7672,226.3106
248.7669,226.3112
250.7667,226.3118
252.7664,226.3123
254.7662,226.3128
256.7660,226.3131
258.7657,226.3135
260.7655,226.3137
262.7652,226.3140
264.7650,226.3143
266.7647,226.3146
268.7645,226.3150
270.7642,226.3155
272.7639,226.3161
274.7637,226.3167
276.7634,226.3177
278.7632,226.3188
280.7629,226.3199
282.7627,226.3211
284.7624,226.3223
286.7621,226.3236
288.7618,226.3250
290.7616,226.3265
292.7613,226.3280
294.7610,226.3295
296.7608,226.3310
298.7605,226.3326
300.7602,226.3341
302.7599,226.3357
304.7597,226.3373
306.7594,226.3388
308.7591,226.3404
310.7589,226.3419
312.7586,226.3434
314.7583,226.3445
