x,z
11.7413,-328.5628
13.1191,-330.0133
14.5012,-331.4597
15.8837,-332.9057
17.2672,-334.3508
18.6517,-335.7950
20.0371,-337.2382
21.4237,-338.6803
22.8112,-340.1215
24.2002,-341.5613
25.5903,-343.0000
26.9817,-344.4375
28.3745,-345.8736
29.7717,-347.3054
31.1816,-348.7248
32.5935,-350.1421
34.0094,-351.5555
35.4273,-352.9668
36.8487,-354.3746
38.2631,-355.7894
39.6714,-357.2103
41.0825,-358.6284
42.4982,-360.0420
43.9074,-361.4620
45.3180,-362.8806
46.7464,-364.2813
48.1578,-365.6990
49.5762,-367.1099
50.9959,-368.5194
52.4153,-369.9293
53.8359,-371.3379
55.2579,-372.7451
56.6806,-374.1516
58.1050,-375.5564
59.5327,-376.9578
60.9618,-378.3578
62.3898,-379.7589
63.8368,-381.1403
65.3011,-382.5034
66.7620,-383.8702
68.2253,-385.2344
69.6819,-386.6057
71.1417,-387.9737
72.6074,-389.3352
74.0774,-390.6922
75.5527,-392.0435
77.0319,-393.3904
78.5161,-394.7319
80.0043,-396.0688
81.4968,-397.4010
82.9934,-398.7286
84.4939,-400.0517
85.9984,-401.3704
87.5066,-402.6848
89.0184,-403.9951
90.5338,-405.3011
92.0525,-406.6033
93.5745,-407.9017
95.0997,-409.1964
96.6279,-410.4875
98.1590,-411.7751
99.6929,-413.0594
101.2292,-414.3408
102.7683,-415.6190
104.3097,-416.8943
105.8534,-418.1667
107.3991,-419.4368
108.9467,-420.7045
110.4960,-421.9702
112.0471,-423.2338
113.6007,-424.4942
115.1576,-425.7505
116.7172,-427.0035
118.2806,-428.2517
119.8470,-429.4962
121.4173,-430.7357
122.9911,-431.9709
124.5689,-433.2008
126.1506,-434.4257
127.7366,-435.6451
129.3266,-436.8594
130.9208,-438.0680
132.5192,-439.2711
134.1219,-440.4685
135.7286,-441.6604
137.3394,-442.8468
138.9542,-444.0278
140.5729,-445.2035
142.1953,-446.3741
143.8212,-447.5396
145.4503,-448.7008
147.0829,-449.8571
148.7182,-451.0096
150.3569,-452.1571
151.9976,-453.3019
153.6415,-454.4420
155.2871,-455.5797
156.9349,-456.7141
158.5845,-457.8459
160.2360,-458.9751
161.8891,-460.1019
163.5438,-461.2263
165.1998,-462.3488
166.8570,-463.4695
168.5155,-464.5882
170.1749,-465.7057
171.8353,-466.8217
173.4964,-467.9366
175.1585,-469.0501
176.8211,-470.1628
178.4844,-471.2744
180.1483,-472.3851
181.8138,-473.4935
183.4818,-474.5981
185.1525,-475.6986
186.8255,-476.7956
188.5004,-477.8896
190.1773,-478.9807
191.8565,-480.0681
193.5370,-481.1536
195.2194,-482.2361
196.9029,-483.3169
198.5878,-484.3956
200.2737,-485.4725
201.9607,-486.5479
203.6487,-487.6216
205.3375,-488.6942
207.0273,-489.7651
208.7176,-490.8352
210.4087,-491.9041
212.1003,-492.9721
213.7926,-494.0391
215.4854,-495.1053
217.1786,-496.1710
218.8725,-497.2353
220.5667,-498.2993
222.2612,-499.3628
223.9561,-500.4257
225.6511,-501.4883
227.3462,-502.5508
229.0423,-503.6118
230.7378,-504.6736
232.4336,-505.7350
234.1300,-506.7955
235.8254,-507.8575
237.5216,-508.9183
239.2182,-509.9784
240.9146,-511.0388
242.6106,-512.0999
244.3071,-513.1602
246.0027,-514.2219
247.6983,-515.2836
249.3942,-516.3448
251.0905,-517.4055
252.7861,-518.4672
254.4819,-519.5286
256.1779,-520.5897
257.8741,-521.6504
259.5704,-522.7110
261.2662,-523.7725
262.9616,-524.8345
264.6570,-525.8965
266.3525,-526.9584
268.0480,-528.0203
269.7432,-529.0826
271.4386,-530.1447
273.1331,-531.2083
274.8276,-532.2716
276.5220,-533.3353
278.2161,-534.3994
279.9097,-535.4643
281.6029,-536.5298
283.2957,-537.5960
284.9836,-538.6697
286.6610,-539.7600
288.3479,-540.8355
290.0258,-541.9250
291.7122,-543.0013
293.4046,-544.0681
295.0942,-545.1393
296.7782,-546.2193
298.4605,-547.3019
300.1452,-548.3809
301.8309,-549.4583
303.5131,-550.5412
305.1940,-551.6260
306.8742,-552.7119
308.5502,-553.8043
310.2213,-554.9041
311.8961,-555.9985
313.5799,-557.0786
315.2637,-558.1590
316.9417,-559.2484
318.6087,-560.3540
320.2464,-561.5029
321.8281,-562.7266
323.3193,-563.9622
322.9832,-565.9344
324.0439,-567.2693
325.7629,-568.2927
327.5023,-569.2811
329.2630,-570.2306
331.0204,-571.1859
332.7959,-572.1072
334.5739,-573.0244
336.3354,-573.9725
338.0858,-574.9412
339.8420,-575.8992
341.6001,-576.8539
343.4249,-577.6731
345.2813,-578.4106
347.2088,-578.9315
349.1932,-579.1708
351.1882,-579.1420
353.1593,-578.8434
355.0919,-578.3393
357.0052,-577.7546
358.9605,-577.3548
360.9261,-576.9827
362.8813,-576.5598
364.8231,-576.0789
366.7550,-575.5599
368.6732,-574.9928
370.5779,-574.3820
372.4664,-573.7226
374.3396,-573.0208
376.1958,-572.2753
378.0369,-571.4932
379.8598,-570.6699
381.6650,-569.8085
383.4513,-568.9086
385.2165,-567.9675
386.9604,-566.9875
388.6717,-565.9516
390.3493,-564.8620
391.9895,-563.7172
393.5877,-562.5144
395.1445,-561.2584
396.6552,-559.9472
398.1219,-558.5867
399.5507,-557.1866
400.9452,-555.7523
402.2990,-554.2796
403.6096,-552.7683
404.8852,-551.2274
406.1259,-549.6583
407.3275,-548.0591
408.4974,-546.4365
409.6289,-544.7870
410.7223,-543.1119
411.7786,-541.4132
412.8040,-539.6956
413.7820,-537.9506
414.7193,-536.1833
415.6151,-534.3947
416.4656,-532.5842
417.2704,-530.7531
418.0360,-528.9052
418.7626,-527.0416
419.4551,-525.1652
420.1068,-523.2744
420.7157,-521.3691
421.2818,-519.4507
421.8136,-517.5225
422.2850,-515.5784
422.7160,-513.6249
423.0967,-511.6610
423.4368,-509.6896
423.7422,-507.7125
424.0027,-505.7290
424.2214,-503.7405
424.4024,-501.7482
424.5448,-499.7527
424.6462,-497.7548
424.6994,-495.7551
424.6928,-493.7546
424.6349,-491.7550
424.5336,-489.7571
424.3688,-487.7634
424.1671,-485.7730
423.9261,-483.7871
423.6519,-481.8054
423.3404,-479.8293
422.9893,-477.8598
422.5980,-475.8980
422.1657,-473.9447
421.6882,-472.0021
421.1618,-470.0721
420.5825,-468.1574
419.9348,-466.2646
419.2486,-464.3855
418.5188,-462.5229
417.7578,-460.6728
416.9569,-458.8396
416.1054,-457.0294
415.2035,-455.2439
414.2544,-453.4830
413.2631,-451.7455
412.2306,-450.0322
411.1618,-448.3414
410.0554,-446.6750
408.9211,-445.0274
407.7535,-443.4034
406.5498,-441.8058
405.3140,-440.2329
404.0269,-438.7018
402.7010,-437.2042
401.3289,-435.7487
399.9131,-434.3357
398.4583,-432.9627
396.9752,-431.6202
395.4645,-430.3088
393.9250,-429.0313
392.3597,-427.7856
390.7599,-426.5845
389.1330,-425.4204
387.4729,-424.3042
385.7709,-423.2531
384.0337,-422.2614
382.2685,-421.3202
380.4802,-420.4239
378.6734,-419.5652
376.8567,-418.7279
375.0255,-417.9226
373.1774,-417.1567
371.3080,-416.4448
369.4160,-415.7952
367.5050,-415.2041
365.5757,-414.6755
363.6337,-414.1957
361.6828,-413.7537
359.7256,-413.3395
357.7651,-412.9418
355.8023,-412.5553
353.8378,-412.1776
351.8724,-411.8041
349.9066,-411.4333
347.9406,-411.0634
345.9746,-410.6939
344.0087,-410.3242
342.0427,-409.9545
340.0767,-409.5847
338.1110,-409.2138
336.1454,-408.8421
334.1800,-408.4695
332.2147,-408.0962
330.2495,-407.7222
328.2844,-407.3478
326.3195,-406.9728
324.3546,-406.5974
322.3897,-406.2214
320.4250,-405.8450
318.4604,-405.4681
316.4958,-405.0907
314.5314,-404.7128
312.5670,-404.3343
310.6028,-403.9553
308.6386,-403.5755
306.6746,-403.1952
304.7107,-402.8143
302.7468,-402.4331
300.7830,-402.0515
298.8193,-401.6697
296.8556,-401.2877
294.8919,-400.9055
292.9283,-400.5229
290.9647,-400.1404
289.0011,-399.7577
287.0375,-399.3751
285.0739,-398.9924
283.1104,-398.6097
281.1468,-398.2271
279.1833,-397.8447
277.2196,-397.4626
275.2560,-397.0807
273.2923,-396.6989
271.3287,-396.3168
269.3651,-395.9346
267.4015,-395.5523
265.4380,-395.1697
263.4745,-394.7867
261.5110,-394.4032
259.5477,-394.0193
257.5844,-393.6352
255.6212,-393.2508
253.6580,-392.8662
251.6948,-392.4814
249.7317,-392.0966
247.7685,-391.7117
245.8053,-391.3269
243.8421,-390.9423
241.8789,-390.5579
239.9156,-390.1736
237.9523,-389.7893
235.9891,-389.4049
234.0258,-389.0204
232.0625,-388.6360
230.0992,-388.2517
228.1359,-387.8674
226.1726,-387.4833
224.2092,-387.0994
222.2458,-386.7157
220.2823,-386.3322
218.3187,-385.9491
216.3551,-385.5665
214.3914,-385.1844
212.4274,-384.8033
210.4632,-384.4237
208.4987,-384.0458
206.5340,-383.6689
204.5693,-383.2924
202.6045,-382.9161
200.6397,-382.5398
198.6749,-382.1635
196.7101,-381.7870
194.7453,-381.4102
192.7806,-381.0330
190.8160,-380.6554
188.8515,-380.2773
186.8870,-379.8992
184.9225,-379.5208
182.9580,-379.1426
180.9937,-378.7635
179.0311,-378.3759
177.0709,-377.9763
175.1161,-377.5508
173.1709,-377.0839
171.2378,-376.5688
169.3209,-375.9969
167.4203,-375.3728
165.5419,-374.6845
163.6833,-373.9448
161.8530,-373.1374
160.0506,-372.2696
158.2750,-371.3481
156.5227,-370.3829
154.7904,-369.3823
153.0764,-368.3509
151.3862,-367.2806
149.7228,-366.1695
148.1048,-364.9936
146.5528,-363.7313
145.0056,-362.4630
143.4624,-361.1899
141.9176,-359.9187
140.3726,-358.6478
138.8271,-357.3775
137.2811,-356.1078
135.7349,-354.8382
134.1890,-353.5684
132.6434,-352.2982
131.0984,-351.0273
129.5538,-349.7558
128.0101,-348.4833
126.4675,-347.2095
124.9259,-345.9344
123.3857,-344.6577
121.8469,-343.3792
120.3099,-342.0986
118.7747,-340.8158
117.2418,-339.5303
115.7110,-338.2423
114.1835,-336.9504
112.6586,-335.6555
111.1384,-334.3549
109.6215,-333.0507
108.1108,-331.7391
106.6051,-330.4218
105.1024,-329.1011
103.6005,-327.7795
102.0995,-326.4569
100.5989,-325.1338
99.0985,-323.8105
97.5984,-322.4869
96.0985,-321.1630
94.5990,-319.8388
93.0999,-318.5140
91.6011,-317.1889
90.1023,-315.8638
88.6037,-314.5385
87.1054,-313.2128
85.6073,-311.8869
84.1093,-310.5609
82.6115,-309.2347
81.1138,-307.9083
79.6163,-306.5816
78.1190,-305.2549
76.6216,-303.9282
75.1244,-302.6013
73.6270,-301.2746
72.1296,-299.9479
70.6319,-298.6216
69.1336,-297.2959
67.6344,-295.9713
66.1330,-294.6490
64.6330,-293.3254
63.1400,-291.9937
61.6608,-290.6468
60.2318,-289.2477
58.8972,-287.7576
57.5778,-286.2538
56.3098,-284.7065
55.0723,-283.1346
53.8626,-281.5414
52.7412,-279.8854
51.6872,-278.1853
50.6735,-276.4606
49.7204,-274.7022
48.8379,-272.9069
47.9958,-271.0923
47.2198,-269.2486
46.5257,-267.3728
45.9034,-265.4716
45.3108,-263.5608
44.7565,-261.6398
44.3302,-259.6852
43.9364,-257.7238
43.5798,-255.7558
43.3483,-253.7687
43.1794,-251.7754
43.0347,-249.7801
42.8906,-247.7847
42.7455,-245.7894
42.5972,-243.7943
42.4506,-241.7991
42.3123,-239.8033
42.1689,-237.8079
42.0240,-235.8126
41.8811,-233.8171
41.7390,-231.8216
41.5970,-229.8261
41.4551,-227.8305
41.3137,-225.8350
41.1749,-223.8392
41.0360,-221.8434
40.8964,-219.8477
40.7563,-217.8521
40.6161,-215.8564
40.4758,-213.8608
40.3355,-211.8651
40.1952,-209.8695
40.0550,-207.8738
39.9147,-205.8781
39.7746,-203.8825
39.6345,-201.8868
39.4945,-199.8911
39.3546,-197.8955
39.2150,-195.8998
39.0754,-193.9041
38.9358,-191.9084
38.7965,-189.9126
38.6574,-187.9169
38.5186,-185.9211
38.3800,-183.9254
38.2426,-181.9295
38.1013,-179.9339
37.9583,-177.9385
37.8156,-175.9430
37.6764,-173.9473
37.5479,-171.9508
37.4087,-169.9551
37.2720,-167.9592
37.1338,-165.9634
37.0037,-163.9671
36.8683,-161.9711
36.7423,-159.9745
36.6475,-157.9762
36.6182,-155.9759
36.6864,-153.9769
36.9151,-151.9909
37.3207,-150.0328
38.0681,-148.1795
39.0839,-146.4599
40.3835,-144.9431
41.8666,-143.6035
43.5569,-142.5402
45.4007,-141.7717
47.3362,-141.2749
49.3153,-140.9880
51.3090,-140.8241
53.3066,-140.7173
55.3054,-140.6331
57.3050,-140.5700
59.3051,-140.5267
61.3055,-140.5074
63.3061,-140.4984
65.3066,-140.4845
67.3072,-140.4833
69.3078,-140.4854
71.3083,-140.4850
73.3089,-140.4836
75.3095,-140.4815
77.3101,-140.4790
79.3106,-140.4762
81.3112,-140.4730
83.3118,-140.4695
85.3124,-140.4658
87.3129,-140.4618
89.3135,-140.4577
91.3141,-140.4536
93.3147,-140.4494
95.3152,-140.4450
97.3158,-140.4406
99.3164,-140.4363
101.3170,-140.4323
103.3175,-140.4281
105.3181,-140.4240
107.3187,-140.4202
109.3193,-140.4164
111.3198,-140.4130
113.3204,-140.4099
115.3210,-140.4070
117.3216,-140.4046
119.3221,-140.4029
121.3227,-140.3933
123.3232,-140.3765
125.3229,-140.3205
127.3201,-140.2080
129.3129,-140.0332
131.2992,-139.7960
133.2782,-139.5036
135.2460,-139.1436
137.1984,-138.7087
139.1422,-138.2356
141.0896,-137.7775
143.0173,-137.2607
144.8353,-136.4271
146.6118,-135.5083
148.2987,-134.4335
149.9266,-133.2727
151.4482,-131.9738
152.8774,-130.5747
154.1815,-129.0581
155.3952,-127.4690
156.5193,-125.8147
157.5364,-124.0925
158.3984,-122.2883
159.1442,-120.4330
159.8933,-118.5782
160.5792,-116.6990
161.1713,-114.7885
161.7337,-112.8686
162.2722,-110.9421
162.7197,-108.9925
163.0906,-107.0268
163.4413,-105.0572
163.7739,-103.0846
164.0874,-101.1087
164.3960,-99.1322
164.7012,-97.1551
165.0269,-95.1813
165.3309,-93.2040
165.6194,-91.2244
165.9225,-89.2469
166.2182,-87.2683
166.5043,-85.2883
166.8006,-83.3098
167.0840,-81.3295
167.3622,-79.3484
167.6407,-77.3673
167.9212,-75.3865
168.2028,-73.4059
168.4821,-71.4250
168.7485,-69.4423
169.0200,-67.4602
169.2556,-65.4738
169.5178,-63.4907
169.7777,-61.5072
170.0295,-59.5225
170.2759,-57.5373
170.5117,-55.5507
170.7348,-53.5627
170.9640,-51.5753
171.1848,-49.5870
171.3963,-47.5979
171.6393,-45.6121
171.8629,-43.6241
172.0525,-41.6326
172.1249,-39.6341
172.0790,-37.6345
171.9313,-35.6396
171.7158,-33.6509
171.4398,-31.6695
170.9832,-29.7218
170.5127,-27.7773
169.7918,-25.9112
168.9379,-24.1020
167.9566,-22.3641
166.8148,-20.7239
165.5259,-19.1968
164.0786,-17.8156
162.5669,-16.5134
160.9228,-15.3735
159.1726,-14.4072
157.4026,-13.4747
155.5952,-12.6175
153.7758,-11.7856
151.9448,-10.9796
150.0980,-10.2104
148.2388,-9.4720
146.3622,-8.7793
144.4638,-8.1483
142.5510,-7.5625
140.6304,-7.0025
138.7027,-6.4677
136.7697,-5.9519
134.8394,-5.4263
132.9052,-4.9154
130.9621,-4.4396
129.0149,-3.9806
127.0623,-3.5455
125.1030,-3.1413
123.1385,-2.7632
121.1686,-2.4144
119.1938,-2.0949
117.2126,-1.8177
115.2300,-1.5501
113.2451,-1.3006
111.2587,-1.0629
109.2684,-0.8602
107.2757,-0.6830
105.2792,-0.5571
103.2818,-0.4441
101.2832,-0.3559
99.2837,-0.2907
97.2841,-0.2284
95.2846,-0.1645
93.2847,-0.1133
91.2844,-0.0775
89.2840,-0.0520
87.2835,-0.0338
85.2830,-0.0146
83.2825,-0.0026
81.2819,-0.0022
79.2814,-0.0153
77.2809,-0.0293
75.2803,-0.0441
73.2798,-0.0581
71.2793,-0.0720
69.2787,-0.0865
67.2782,-0.1008
65.2777,-0.1131
63.2771,-0.1240
61.2766,-0.1367
59.2761,-0.1518
57.2755,-0.1670
55.2750,-0.1827
53.2745,-0.1968
51.2739,-0.2057
49.2734,-0.2222
47.2729,-0.2381
45.2724,-0.2516
43.2719,-0.2653
41.2713,-0.2790
39.2708,-0.2927
37.2703,-0.3066
35.2697,-0.3204
33.2692,-0.3340
31.2687,-0.3475
29.2681,-0.3610
27.2676,-0.3742
25.2671,-0.3872
23.2665,-0.4001
21.2660,-0.4127
19.2655,-0.4254
17.2649,-0.4378
15.2644,-0.4503
13.2638,-0.4632
11.2633,-0.4759
9.2628,-0.4877
7.2622,-0.4989
5.2617,-0.5089
3.2611,-0.5172
1.2605,-0.5234
-0.7400,-0.5276
-2.7405,-0.5425
-4.7411,-0.5581
-6.7416,-0.5604
-8.7422,-0.5578
-10.7428,-0.5551
-12.7434,-0.5523
-14.7439,-0.5494
-16.7445,-0.5465
-18.7451,-0.5435
-20.7456,-0.5405
-22.7462,-0.5375
-24.7468,-0.5347
-26.7473,-0.5319
-28.7479,-0.5292
-30.7484,-0.5265
-32.7490,-0.5240
-34.7495,-0.5217
-36.7500,-0.5195
-38.7505,-0.5174
-40.7510,-0.5159
-42.7515,-0.5154
-44.7520,-0.5158
-46.7524,-0.5174
-48.7528,-0.5202
-50.7533,-0.5239
-52.7537,-0.5282
-54.7541,-0.5333
-56.7544,-0.5389
-58.7548,-0.5451
-60.7552,-0.5510
-62.7555,-0.5537
-64.7559,-0.5520
-66.7562,-0.5417
-68.7563,-0.5163
-70.7561,-0.4699
-72.7552,-0.4028
-74.7523,-0.2900
-76.7470,-0.1411
-78.7384,0.0476
-80.7249,0.2816
-82.7079,0.5447
-84.6854,0.8457
-86.6587,1.1730
-88.6268,1.5303
-90.5911,1.9084
-92.5502,2.3128
-94.5053,2.7354
-96.4544,3.1853
-98.3950,3.6703
-100.3277,4.1864
-102.2505,4.7379
-104.1659,5.3145
-106.0699,5.9276
-107.9635,6.5721
-109.8457,7.2495
-111.7164,7.9580
-113.5557,8.7436
-115.3774,9.5704
-117.1867,10.4239
-118.9858,11.2987
-120.7733,12.1968
-122.5472,13.1216
-124.3132,14.0613
-126.0752,15.0085
-127.8343,15.9610
-129.5897,16.9203
-131.3421,17.8851
-133.0918,18.8548
-134.8409,19.8255
-136.5901,20.7961
-138.3395,21.7664
-140.0890,22.7365
-141.8386,23.7064
-143.5882,24.6764
-145.3377,25.6465
-147.0872,26.6166
-148.8367,27.5868
-150.5861,28.5570
-152.3391,29.5208
-154.0918,30.4852
-155.8464,31.4461
-157.6009,32.4071
-159.3553,33.3684
-161.1096,34.3296
-162.8641,35.2906
-164.6184,36.2518
-166.3726,37.2131
-168.1269,38.1744
-169.8813,39.1355
-171.6357,40.0968
-173.3897,41.0589
-175.1444,42.0199
-176.9002,42.9787
-178.6582,43.9334
-180.4229,44.8757
-182.2068,45.7808
-184.0698,46.5043
-186.0217,46.8986
-188.0071,47.0683
-189.9914,46.8772
-191.9239,46.3597
-193.7063,45.4728
-195.3451,44.3492
-196.7720,42.9535
-197.9478,41.3353
-198.9445,39.6024
-199.8410,37.8144
-200.6887,36.0026
-201.4940,34.1714
-202.2724,32.3286
-203.0227,30.4741
-203.7486,28.6099
-204.4544,26.7380
-205.1313,24.8554
-205.7911,22.9668
-206.4321,21.0717
-207.0550,19.1706
-207.6660,17.2657
-208.2535,15.3533
-208.8308,13.4379
-209.3869,11.5163
-209.9297,9.5908
-210.4548,7.6604
-210.9602,5.7248
-211.4498,3.7850
-211.9108,1.8383
-212.3552,-0.1122
-212.7675,-2.0698
-213.1577,-4.0320
-213.5302,-5.9976
-213.8913,-7.9653
-214.2540,-9.9327
-214.6153,-11.9003
-214.9642,-13.8702
-215.2977,-15.8428
-215.6130,-17.8183
-215.9067,-19.7972
-216.1825,-21.7787
-216.4324,-23.7636
-216.6606,-25.7511
-216.8510,-27.7425
-216.9940,-29.7379
-217.0967,-31.7357
-217.1212,-33.7359
-217.0645,-35.7355
-216.9303,-37.7312
-216.7023,-39.7185
-216.4050,-41.6965
-216.0150,-43.6580
-215.5477,-45.6030
-214.9895,-47.5237
-214.3439,-49.4170
-213.6709,-51.3007
-212.9878,-53.1808
-212.2926,-55.0564
-211.5867,-56.9281
-210.8688,-58.7952
-210.1397,-60.6580
-209.4010,-62.5169
-208.6514,-64.3716
-207.8826,-66.2183
-207.0955,-68.0574
-206.2984,-69.8921
-205.4915,-71.7225
-204.6921,-73.5562
-203.8911,-75.3890
-203.0536,-77.2056
-202.2061,-79.0176
-201.3498,-80.8255
-200.4831,-82.6284
-199.5962,-84.4214
-198.6741,-86.1965
-197.7568,-87.9742
-196.8522,-89.7583
-195.9355,-91.5364
-195.0068,-93.3081
-194.0565,-95.0684
-193.0865,-96.8178
-192.1259,-98.5725
-191.1582,-100.3233
-190.1753,-102.0656
-189.1870,-103.8048
-188.1882,-105.5380
-187.1790,-107.2653
-186.1583,-108.9857
-185.1267,-110.6996
-184.0840,-112.4068
-183.0297,-114.1069
-181.9655,-115.8008
-180.8743,-117.4773
-179.7604,-119.1389
-178.6601,-120.8096
-177.5505,-122.4742
-176.4315,-124.1324
-175.3103,-125.7892
-174.1773,-127.4379
-173.0164,-129.0670
-171.8449,-130.6886
-170.6782,-132.3137
-169.5040,-133.9333
-168.3205,-135.5463
-167.1293,-137.1534
-165.9328,-138.7567
-164.7311,-140.3561
-163.5139,-141.9437
-162.2874,-143.5241
-161.0526,-145.0981
-159.8084,-146.6647
-158.5514,-148.2210
-157.2870,-149.7713
-156.0175,-151.3175
-154.7390,-152.8562
-153.4530,-154.3886
-152.1587,-155.9141
-150.8569,-157.4332
-149.5474,-158.9456
-148.2302,-160.4514
-146.9064,-161.9513
-145.5746,-163.4442
-144.2368,-164.9316
-142.8911,-166.4120
-141.5398,-167.8872
-140.1813,-169.3558
-138.8167,-170.8187
-137.4463,-172.2762
-136.0694,-173.7276
-134.6876,-175.1742
-133.3026,-176.6179
-131.9183,-178.0622
-130.5351,-179.5076
-129.1525,-180.9535
-127.7705,-182.4000
-126.3890,-183.8470
-125.0082,-185.2946
-123.6277,-186.7426
-122.2475,-188.1908
-120.8675,-189.6393
-119.4878,-191.0879
-118.1082,-192.5367
-116.7288,-193.9857
-115.3495,-195.4348
-113.9708,-196.8845
-112.5921,-198.3341
-111.2135,-199.7838
-109.8349,-201.2336
-108.4564,-202.6834
-107.0778,-204.1332
-105.6992,-205.5829
-104.3206,-207.0327
-102.9419,-208.4823
-101.5631,-209.9319
-100.1842,-211.3814
-98.8053,-212.8308
-97.4263,-214.2802
-96.0471,-215.7294
-94.6677,-217.1784
-93.2881,-218.6272
-91.9084,-220.0759
-90.5285,-221.5244
-89.1480,-222.9724
-87.7663,-224.4191
-86.3840,-225.8654
-85.0009,-227.3109
-83.6172,-228.7557
-82.2329,-230.2000
-80.8478,-231.6435
-79.4619,-233.0863
-78.0757,-234.5288
-76.6889,-235.9708
-75.3017,-237.4122
-73.9140,-238.8533
-72.5259,-240.2939
-71.1374,-241.7342
-69.7487,-243.1743
-68.3597,-244.6140
-66.9704,-246.0536
-65.5810,-247.4930
-64.1913,-248.9321
-62.8016,-250.3712
-61.4118,-251.8102
-60.0220,-253.2493
-58.6323,-254.6883
-57.2425,-256.1273
-55.8528,-257.5665
-54.4632,-259.0057
-53.0739,-260.4452
-51.6848,-261.8849
-50.2962,-263.3251
-48.9079,-264.7655
-47.5201,-266.2064
-46.1327,-267.6478
-44.7461,-269.0898
-43.3601,-270.5326
-41.9751,-271.9762
-40.5911,-273.4208
-39.2080,-274.8662
-37.8256,-276.3124
-36.4435,-277.7588
-35.0619,-279.2057
-33.6812,-280.6534
-32.3014,-282.1020
-30.9227,-283.5517
-29.5449,-285.0022
-28.1679,-286.4535
-26.7917,-287.9055
-25.4161,-289.3581
-24.0416,-290.8118
-22.6676,-292.2659
-21.2943,-293.7206
-19.9214,-295.1758
-18.5429,-296.6256
-17.1660,-298.0770
-15.7904,-299.5296
-14.4150,-300.9824
-13.0397,-302.4352
-11.6645,-303.8883
-10.2896,-305.3414
-8.9146,-306.7946
-7.5396,-308.2478
-6.1647,-309.7010
-4.7895,-311.1540
-3.4140,-312.6067
-2.0383,-314.0593
-0.6624,-315.5115
0.7138,-316.9636
2.0903,-318.4153
3.4671,-319.8668
4.8443,-321.3179
6.2219,-322.7685
7.6002,-324.2186
8.9790,-325.6682
10.3584,-327.1171
