x,z
-0.4707,-556.1682
4.5329,-556.1730
9.5360,-556.1700
14.5386,-556.1605
19.5408,-556.1460
24.5427,-556.1278
29.5444,-556.1073
34.5460,-556.0858
39.5475,-556.0648
44.5490,-556.0456
49.5507,-556.0297
54.5524,-556.0183
59.5545,-556.0129
64.5569,-556.0149
69.5597,-556.0255
74.5630,-556.0463
79.5668,-556.0779
84.5711,-556.1190
89.5756,-556.1682
94.5804,-556.2240
99.5853,-556.2848
104.5901,-556.3491
109.5948,-556.4154
114.5992,-556.4823
119.6033,-556.5481
124.6069,-556.6114
129.6098,-556.6707
134.6121,-556.7244
139.6135,-556.7710
144.6140,-556.8091
149.6135,-556.8376
154.6124,-556.8598
159.6117,-556.8816
164.6120,-556.9085
169.6143,-556.9464
174.6192,-557.0008
179.6275,-557.0776
184.6396,-557.1777
189.6530,-557.2791
194.6648,-557.3536
199.6719,-557.3728
204.6713,-557.3084
209.6599,-557.1320
214.6347,-556.8152
219.5929,-556.3320
224.5347,-555.6756
229.4618,-554.8497
234.3757,-553.8574
239.2650,-552.6866
244.0856,-551.2855
248.7881,-549.5964
253.3262,-547.5659
257.7049,-545.2169
261.9730,-542.6372
266.1807,-539.9168
270.3463,-537.1119
274.3464,-534.1275
278.0186,-530.8265
281.2016,-527.0746
283.8042,-522.8440
285.8332,-518.2582
287.3029,-513.4519
288.2329,-508.5509
288.6842,-503.6090
288.7378,-498.6451
288.4748,-493.6780
287.9657,-488.7213
287.2550,-483.7772
286.3832,-478.8457
285.3914,-473.9272
284.3201,-469.0219
283.2103,-464.1301
282.1025,-459.2518
281.0308,-454.3848
280.0002,-449.5152
279.0082,-444.6263
278.0520,-439.7018
277.1268,-434.7443
276.2238,-429.7817
275.3342,-424.8441
274.4316,-419.9623
273.3522,-415.1761
271.8687,-410.5289
269.7540,-406.0647
266.8875,-401.8587
263.3910,-398.0583
259.4195,-394.8205
255.1239,-392.2935
250.5954,-390.4890
245.8790,-389.3139
241.0189,-388.6725
236.0590,-388.4691
231.0432,-388.6080
226.0155,-388.9936
221.0152,-389.5363
216.0486,-390.1927
211.1072,-390.9388
206.1826,-391.7512
201.2665,-392.6061
196.3503,-393.4799
191.4256,-394.3491
186.4850,-395.1929
181.5366,-396.0331
176.5993,-396.9226
171.6926,-397.9152
166.8359,-399.0647
162.0487,-400.4250
157.3503,-402.0498
152.7601,-403.9916
148.2922,-406.2580
143.9546,-408.8014
139.7549,-411.5707
135.6990,-414.5183
131.7822,-417.6190
127.9950,-420.8573
124.3280,-424.2175
120.7436,-427.6609
117.1467,-431.1015
113.4347,-434.4473
109.5107,-437.6063
105.3514,-440.4890
100.9857,-443.0071
96.4436,-445.0726
91.7545,-446.6245
86.9449,-447.6986
82.0407,-448.3525
77.0678,-448.6437
72.0521,-448.6297
67.0196,-448.3681
61.9961,-447.9163
57.0042,-447.3286
52.0443,-446.6387
47.1081,-445.8720
42.1875,-445.0539
37.2740,-444.2098
32.3594,-443.3650
27.4355,-442.5450
22.4948,-441.7722
17.5404,-441.0330
12.5825,-440.2893
7.6316,-439.5025
2.6979,-438.6340
-2.2082,-437.6453
-7.0762,-436.4978
-11.8947,-435.1516
-16.6174,-433.5304
-21.1593,-431.5165
-25.4331,-428.9907
-29.3612,-425.8990
-32.8836,-422.3110
-35.9424,-418.3107
-38.4818,-413.9807
-40.4693,-409.3950
-41.8878,-404.6209
-42.7203,-399.7261
-42.9499,-394.7780
-42.5598,-389.8441
-41.5330,-384.9918
-39.8546,-380.2888
-37.5586,-375.8046
-34.7308,-371.6108
-31.4595,-367.7792
-27.8261,-364.3748
-23.8727,-361.4253
-19.6279,-358.9450
-15.1202,-356.9477
-10.3954,-355.3907
-5.5293,-354.1328
-0.6006,-353.0230
4.3169,-351.9193
9.2023,-350.7763
14.0667,-349.6072
18.9218,-348.4261
23.7765,-347.2439
28.6323,-346.0623
33.4891,-344.8813
38.3468,-343.7010
43.2055,-342.5213
48.0650,-341.3421
52.9253,-340.1636
57.7864,-338.9857
62.6481,-337.8083
67.5105,-336.6315
72.3735,-335.4553
77.2370,-334.2796
82.1009,-333.1044
86.9653,-331.9297
91.8300,-330.7556
96.6950,-329.5820
101.5603,-328.4089
106.4258,-327.2363
111.2914,-326.0641
116.1571,-324.8924
121.0229,-323.7212
125.8886,-322.5505
130.7542,-321.3801
135.6197,-320.2102
140.4851,-319.0408
145.3501,-317.8717
150.2149,-316.7031
155.0794,-315.5348
159.9434,-314.3669
164.8067,-313.1979
169.6686,-312.0241
174.5283,-310.8415
179.3850,-309.6461
184.2380,-308.4339
189.0866,-307.2010
193.9296,-305.9428
198.7610,-304.6421
203.5696,-303.2697
208.3441,-301.7960
213.0730,-300.1913
217.7452,-298.4259
222.3491,-296.4700
226.8730,-294.2940
231.2755,-291.8602
235.4674,-289.1186
239.3556,-286.0179
242.8601,-282.5177
246.0252,-278.6795
248.9633,-274.6203
251.7874,-270.4577
254.5577,-266.2676
257.1905,-262.0121
259.5776,-257.6344
261.6119,-253.0801
263.2020,-248.3493
264.2717,-243.4920
264.7449,-238.5601
264.5905,-233.5991
263.9923,-228.6245
263.1987,-223.6424
262.4562,-218.6589
261.8861,-213.6782
261.4205,-208.7015
260.9757,-203.7294
260.4749,-198.7629
259.9003,-193.8014
259.2651,-188.8440
258.5828,-183.8896
257.8669,-178.9374
257.1309,-173.9864
256.3883,-169.0355
255.6523,-164.0838
254.9286,-159.1309
254.2166,-154.1768
253.5156,-149.2217
252.8247,-144.2655
252.1431,-139.3084
251.4700,-134.3504
250.8047,-129.3916
250.1463,-124.4321
249.4940,-119.4719
248.8470,-114.5111
248.2045,-109.5497
247.5656,-104.5880
246.9297,-99.6258
246.2959,-94.6633
245.6636,-89.7005
245.0328,-84.7375
244.4037,-79.7742
243.7765,-74.8106
243.1513,-69.8467
242.5282,-64.8824
241.9073,-59.9179
241.2888,-54.9530
240.6728,-49.9878
240.0595,-45.0222
239.4490,-40.0563
238.8414,-35.0900
238.2368,-30.1233
237.6355,-25.1562
237.0375,-20.1887
236.4430,-15.2208
235.8521,-10.2525
235.2649,-5.2837
234.6816,-0.3145
234.1023,4.6552
233.5272,9.6253
232.9564,14.5960
232.3900,19.5671
231.8282,24.5387
231.2710,29.5108
230.7187,34.4834
230.1714,39.4566
229.6292,44.4303
229.0919,49.4045
228.5570,54.3789
228.0208,59.3530
227.4795,64.3263
226.9294,69.2984
226.3668,74.2687
225.7880,79.2369
225.1894,84.2024
224.5711,89.1654
223.9360,94.1266
223.2871,99.0869
222.6273,104.0468
221.9596,109.0071
221.2870,113.9685
220.6110,118.9313
219.8772,123.8786
218.9554,128.7706
217.7104,133.5657
216.0256,138.2272
213.9281,142.7548
211.5107,147.1648
208.8666,151.4739
206.0553,155.6780
203.0598,159.7267
199.8527,163.5635
196.4066,167.1314
192.6941,170.3738
188.6877,173.2341
184.3600,175.6554
179.7092,177.5880
174.8361,179.0101
169.8673,179.9068
164.9156,180.2607
159.9937,180.0346
155.0806,179.2805
150.1776,178.2648
145.2832,177.2214
140.3822,176.2502
135.4581,175.4331
130.4953,174.8491
125.5000,174.5315
120.4941,174.4791
115.5000,174.6901
110.5361,175.1588
105.6054,175.8649
100.7074,176.7844
95.8414,177.8933
91.0068,179.1678
86.2031,180.5839
81.4296,182.1176
76.6868,183.7485
71.9831,185.4794
67.3300,187.3233
62.7394,189.2930
58.2227,191.4014
53.7917,193.6615
49.4580,196.0862
45.2221,198.6805
40.9343,201.3438
36.5045,204.0204
32.4560,207.0976
29.4806,210.9353
28.3410,215.4157
29.0310,220.2467
30.6428,225.0666
32.6280,229.6903
34.9066,234.1395
37.4238,238.4466
40.1251,242.6444
42.9556,246.7656
45.8608,250.8427
48.7862,254.9083
51.6953,258.9842
54.5863,263.0714
57.4611,267.1687
60.3218,271.2749
63.1703,275.3887
66.0087,279.5088
68.8389,283.6340
71.6629,287.7631
74.4827,291.8949
77.3002,296.0280
80.1176,300.1613
82.9367,304.2935
85.7596,308.4234
88.5882,312.5497
91.4242,316.6714
94.2670,320.7889
97.1153,324.9029
99.9678,329.0144
102.8231,333.1241
105.6798,337.2329
108.5366,341.3416
111.3923,345.4511
114.2453,349.5621
117.0945,353.6756
119.9384,357.7924
122.7758,361.9132
125.6051,366.0390
128.4253,370.1705
131.2355,374.3082
134.0395,378.4499
136.8425,382.5925
139.6496,386.7329
142.4661,390.8679
145.2972,394.9946
148.1481,399.1097
151.0221,403.2114
153.9024,407.3092
156.7592,411.4202
159.5630,415.5616
162.2839,419.7505
164.8922,424.0040
167.3583,428.3393
169.6563,432.7715
171.8611,437.2682
174.0927,441.7675
176.1461,446.3184
177.7304,450.9998
178.7214,455.8361
179.1482,460.8006
179.2052,465.8100
179.0420,470.8069
178.7006,475.7886
178.2128,480.7580
177.6101,485.7177
176.9243,490.6705
176.1868,495.6190
175.4294,500.5661
174.6766,505.5139
173.9315,510.4626
173.1936,515.4122
172.4622,520.3625
171.7366,525.3135
171.0161,530.2651
170.3001,535.2173
169.5878,540.1698
168.8787,545.1227
168.1719,550.0759
167.4669,555.0293
166.7630,559.9827
166.0594,564.9362
165.3556,569.8896
164.6508,574.8429
163.9452,579.7960
163.2387,584.7490
162.5319,589.7020
161.8249,594.6549
161.1179,599.6078
160.4114,604.5607
159.7054,609.5138
159.0003,614.4670
158.2963,619.4203
157.5938,624.3738
156.8929,629.3276
156.1939,634.2816
155.4972,639.2359
154.8029,644.1906
154.1113,649.1457
153.4227,654.1012
152.7373,659.0571
152.0555,664.0136
151.3775,668.9706
150.7034,673.9281
150.0337,678.8863
149.3686,683.8452
148.7083,688.8047
148.0531,693.7650
147.4032,698.7260
146.7590,703.6878
146.1207,708.6505
145.4885,713.6140
144.8628,718.5785
144.2439,723.5438
143.6323,728.5101
143.0283,733.4772
142.4324,738.4452
141.8449,743.4141
141.2662,748.3839
140.6968,753.3545
140.1370,758.3259
139.5872,763.2983
139.0478,768.2714
138.5192,773.2454
138.0019,778.2203
137.4961,783.1959
137.0021,788.1724
136.5189,793.1498
136.0452,798.1281
135.5797,803.1074
135.1211,808.0878
134.6681,813.0693
134.2194,818.0521
133.7736,823.0361
133.3295,828.0214
132.8858,833.0082
132.4411,837.9964
131.9942,842.9861
131.5438,847.9775
131.0885,852.9705
130.6232,857.9642
130.0708,862.9390
129.2899,867.8585
128.1303,872.6805
126.0801,877.0622
122.5640,880.2430
118.0037,881.7747
113.1296,881.4542
108.3596,879.5939
104.0376,876.6636
100.6808,872.9330
98.5774,868.6237
97.4293,863.9120
96.8558,858.9678
96.4891,853.9551
96.1589,848.9461
95.8474,843.9426
95.5408,838.9442
95.2254,833.9508
94.8871,828.9622
94.5124,823.9780
94.0875,818.9982
93.6085,814.0223
93.0841,809.0495
92.5235,804.0793
91.9363,799.1109
91.3316,794.1435
90.7190,789.1766
90.1077,784.2095
89.5044,779.2415
88.9094,774.2728
88.3224,769.3033
87.7431,764.3330
87.1711,759.3621
86.6061,754.3905
86.0476,749.4183
85.4954,744.4454
84.9490,739.4720
84.4082,734.4981
83.8726,729.5236
83.3417,724.5487
82.8153,719.5733
82.2930,714.5976
81.7744,709.6214
81.2593,704.6449
80.7471,699.6681
80.2376,694.6910
79.7305,689.7137
79.2253,684.7361
78.7217,679.7584
78.2193,674.7805
77.7179,669.8025
77.2170,664.8244
76.7162,659.8462
76.2153,654.8680
75.7138,649.8898
75.2115,644.9117
74.7079,639.9336
74.2033,634.9556
73.6989,629.9775
73.1956,624.9993
72.6945,620.0210
72.1966,615.0423
71.7032,610.0633
71.2151,605.0838
70.7335,600.1037
70.2595,595.1230
69.7941,590.1416
69.3384,585.1594
68.8935,580.1763
68.4603,575.1923
68.0401,570.2072
67.6326,565.2210
67.2364,560.2338
66.8501,555.2458
66.4722,550.2570
66.1012,545.2674
65.7355,540.2773
65.3736,535.2867
65.0142,530.2957
64.6556,525.3043
64.2965,520.3128
63.9352,515.3211
63.5703,510.3293
63.2004,505.3376
62.8238,500.3461
62.4236,495.3576
61.9287,490.3847
61.2560,485.4422
60.3262,480.5441
59.1652,475.6848
57.9187,470.8361
56.7394,465.9688
55.7524,461.0590
54.9104,456.1192
54.0997,451.1755
53.2066,446.2539
52.1681,441.3684
51.0175,436.5096
49.7994,431.6653
48.5560,426.8242
47.3027,421.9824
46.0375,417.1411
44.7578,412.3017
43.4610,407.4656
42.1447,402.6339
40.8063,397.8082
39.4433,392.9896
38.0531,388.1795
36.6333,383.3794
35.1814,378.5903
33.6947,373.8139
32.1709,369.0512
30.6073,364.3037
29.0015,359.5727
27.3516,354.8589
25.6576,350.1617
23.9193,345.4804
22.1366,340.8143
20.3093,336.1627
18.4376,331.5249
16.5211,326.9004
14.5581,322.2907
12.5452,317.6998
10.4789,313.1317
8.3557,308.5905
6.1719,304.0804
3.9241,299.6053
1.6087,295.1693
-0.7748,290.7742
-3.2222,286.4173
-5.7283,282.0956
-8.2883,277.8062
-10.8972,273.5459
-13.5500,269.3118
-16.2417,265.1009
-18.9673,260.9101
-21.7219,256.7365
-24.5006,252.5769
-27.2982,248.4284
-30.1100,244.2880
-32.9308,240.1527
-35.7558,236.0193
-38.5808,231.8856
-41.4067,227.7523
-44.2358,223.6213
