x,z
-204.5912,148.3838
-206.2851,149.4472
-207.9790,150.5105
-209.6729,151.5738
-211.3667,152.6371
-213.0606,153.7004
-214.7545,154.7638
-216.4484,155.8271
-218.1422,156.8904
-219.8361,157.9537
-221.5300,159.0170
-223.2239,160.0803
-224.9178,161.1436
-226.6116,162.2070
-228.3055,163.2703
-229.9994,164.3336
-231.6932,165.3969
-233.3871,166.4602
-235.0810,167.5235
-236.7749,168.5869
-238.4688,169.6501
-240.1626,170.7135
-241.8565,171.7768
-243.5504,172.8401
-245.2442,173.9034
-246.9381,174.9667
-248.6320,176.0300
-250.3259,177.0934
-252.0197,178.1566
-253.7136,179.2200
-255.4075,180.2833
-257.1013,181.3466
-258.7952,182.4099
-260.4891,183.4732
-262.1830,184.5365
-263.8768,185.5998
-265.5707,186.6632
-267.2646,187.7265
-268.9584,188.7898
-270.6523,189.8531
-272.3442,190.9195
-274.0361,191.9859
-275.7279,193.0524
-277.4198,194.1188
-279.1117,195.1852
-280.8036,196.2516
-282.4955,197.3181
-284.1873,198.3845
-285.8792,199.4509
-287.5711,200.5173
-289.2630,201.5838
-290.9550,202.6502
-292.6469,203.7166
-294.3387,204.7831
-296.0307,205.8495
-297.7226,206.9159
-299.4145,207.9824
-301.1106,209.0423
-302.8066,210.1021
-304.5027,211.1620
-306.1988,212.2218
-307.8948,213.2817
-309.5909,214.3416
-311.2870,215.4015
-312.9830,216.4613
-314.6790,217.5212
-316.3751,218.5810
-318.0711,219.6409
-319.7672,220.7007
-321.4632,221.7606
-323.1592,222.8204
-324.8553,223.8803
-326.5513,224.9401
-328.2473,226.0000
-329.9433,227.0598
-331.6393,228.1196
-333.3353,229.1795
-335.0313,230.2393
-336.7273,231.2991
-338.4233,232.3590
-340.1193,233.4188
-341.8126,234.4831
-343.5058,235.5474
-345.1991,236.6117
-346.8924,237.6761
-348.5857,238.7404
-350.2790,239.8047
-351.9724,240.8691
-353.6656,241.9334
-355.3589,242.9977
-357.0522,244.0621
-358.7455,245.1264
-360.4388,246.1907
-362.1320,247.2550
-363.8253,248.3193
-365.5185,249.3836
-367.2118,250.4479
