x,z
-461.7608,-363.6264
-453.9044,-363.3559
-448.0168,-363.1630
-442.0619,-362.9679
-436.1472,-362.7742
-430.0394,-362.5976
-424.0601,-362.4342
-418.0639,-362.2704
-412.0668,-362.1065
-406.0597,-361.9446
-400.0617,-361.7861
-394.0596,-361.6275
-388.0577,-361.4689
-382.0576,-361.3104
-376.0546,-361.1526
-370.0530,-360.9949
-364.0512,-360.8371
-358.0495,-360.6794
-352.0496,-360.5217
-346.0461,-360.3683
-340.0450,-360.2163
-334.0432,-360.0642
-328.0436,-359.9122
-322.0567,-359.7605
-316.0251,-359.6291
-310.0356,-359.5128
-304.0425,-359.3965
-298.0577,-359.2804
-292.1260,-359.1653
-285.8763,-359.0274
-280.0136,-358.8760
-274.0731,-358.7226
-268.1660,-358.5700
-262.4514,-358.4224
-254.8203,-358.2265
-249.8528,-358.1007
-244.1530,-357.9563
-238.4938,-357.8130
-233.2518,-357.6802
-230.2956,-357.6053
-218.9412,-357.7965
-213.7696,-357.9994
-208.4347,-358.2087
-203.3939,-358.4065
-199.7590,-358.5492
-187.9771,-359.8459
-183.4809,-360.6018
-178.2078,-361.4884
-172.8200,-362.3943
-168.0647,-363.1938
-159.0497,-364.7788
-154.2127,-365.6662
-148.6415,-366.6882
-142.9565,-367.7312
-137.4440,-368.7425
-130.1656,-370.0803
-124.9643,-371.0393
-119.1949,-372.1030
-113.3555,-373.1797
-107.5154,-374.2564
-101.2509,-375.4116
-95.6277,-376.4491
-89.7492,-377.5337
-83.8576,-378.6207
-77.9681,-379.7073
-72.3632,-380.7415
-66.1389,-381.8889
-60.2672,-382.9713
-54.4084,-384.0514
-48.6108,-385.1201
-43.4101,-386.0788
-36.3423,-387.3611
-30.6960,-388.3779
-24.9537,-389.4120
-19.3219,-390.4262
-14.4498,-391.3035
-5.9765,-392.6652
-0.8323,-393.4089
4.7642,-394.2181
10.3123,-395.0202
15.2484,-395.7339
24.8360,-396.8999
29.2692,-397.3128
34.7165,-397.8201
40.2542,-398.3359
45.3971,-398.8149
55.5109,-399.6117
59.3620,-399.8278
64.7291,-400.1288
70.2790,-400.4401
75.5445,-400.7354
78.8890,-400.9230
