x,z
-184.0306,275.7843
-179.0330,275.7450
-174.0351,275.7150
-169.0370,275.6934
-164.0387,275.6794
-159.0402,275.6721
-154.0416,275.6705
-149.0429,275.6738
-144.0441,275.6812
-139.0453,275.6917
-134.0465,275.7045
-129.0477,275.7188
-124.0490,275.7335
-119.0504,275.7479
-114.0520,275.7610
-109.0537,275.7720
-104.0557,275.7801
-99.0579,275.7843
-94.0604,275.7837
-89.0632,275.7775
-84.0664,275.7648
-79.0700,275.7448
-74.0740,275.7165
-69.0785,275.6791
-64.0833,275.6327
-59.0885,275.5779
-54.0937,275.5155
-49.0989,275.4464
-44.1040,275.3711
-39.1088,275.2904
-34.1131,275.2051
-29.1168,275.1159
-24.1198,275.0235
-19.1220,274.9288
-14.1231,274.8323
-9.1231,274.7350
-4.1218,274.6374
0.8808,274.5390
5.8837,274.4338
10.8860,274.3140
15.8865,274.1721
20.8844,274.0005
25.8783,273.7915
30.8675,273.5376
35.8507,273.2311
40.8269,272.8645
45.7950,272.4300
50.7541,271.9202
55.7031,271.3273
60.6409,270.6439
65.5664,269.8623
70.4783,268.9791
75.3749,267.9964
80.2546,266.9167
85.1156,265.7425
89.9561,264.4762
94.7746,263.1204
99.5691,261.6776
104.3382,260.1503
109.0799,258.5409
113.7926,256.8520
118.4746,255.0860
123.1242,253.2455
127.7397,251.3329
132.3204,249.3513
136.8687,247.3047
141.3870,245.1975
145.8779,243.0340
150.3440,240.8186
154.7879,238.5555
159.2122,236.2491
163.6199,233.9053
168.0148,231.5321
172.4007,229.1378
176.7813,226.7305
181.1605,224.3184
185.5420,221.9097
189.9295,219.5123
194.3244,217.1293
198.7260,214.7595
203.1339,212.4020
207.5474,210.0555
211.9660,207.7189
216.3890,205.3911
220.8159,203.0710
225.2461,200.7575
229.6790,198.4493
234.1141,196.1454
238.5506,193.8446
242.9881,191.5459
247.4260,189.2480
251.8636,186.9499
256.3005,184.6504
260.7359,182.3485
265.1693,180.0428
269.6002,177.7324
274.0279,175.4162
278.4518,173.0928
282.8715,170.7614
287.2862,168.4206
291.6954,166.0694
296.0985,163.7067
300.4949,161.3313
304.8841,158.9420
309.2654,156.5379
313.6397,154.1203
318.0098,151.6941
322.3784,149.2644
326.7485,146.8365
331.1230,144.4154
335.5047,142.0063
339.8936,139.6098
344.2768,137.2058
348.6379,134.7688
352.9604,132.2731
357.2280,129.6932
361.4240,127.0035
365.5322,124.1783
369.5426,121.2040
373.4611,118.0961
377.2960,114.8745
381.0557,111.5592
384.7485,108.1700
388.3826,104.7268
391.9659,101.2489
395.4802,97.7243
398.8699,94.0958
402.0769,90.3032
405.0662,86.3136
407.8601,82.1606
410.4893,77.8882
412.9839,73.5391
415.3602,69.1346
417.6231,64.6786
419.7769,60.1738
421.8260,55.6235
423.7751,51.0306
425.6284,46.3983
427.3905,41.7295
429.0657,37.0273
430.6585,32.2947
432.1734,27.5348
433.6148,22.7506
434.9871,17.9451
436.2947,13.1215
437.5416,8.2824
438.7290,3.4290
439.8575,-1.4382
440.9274,-6.3182
441.9395,-11.2105
442.8942,-16.1143
443.7920,-21.0290
444.6344,-25.9537
445.4249,-30.8874
446.1672,-35.8292
446.8654,-40.7781
447.5231,-45.7329
448.1443,-50.6928
448.7325,-55.6566
449.2809,-60.6239
449.7669,-65.5943
450.1671,-70.5679
450.4579,-75.5445
450.6158,-80.5241
450.6172,-85.5065
450.4473,-90.4915
450.1307,-95.4780
449.7030,-100.4650
449.1999,-105.4512
448.6571,-110.4354
448.1103,-115.4164
447.5951,-120.3931
447.1344,-125.3652
446.7198,-130.3351
446.3376,-135.3056
445.9744,-140.2794
445.6166,-145.2593
445.2508,-150.2481
444.8629,-155.2483
444.4112,-160.2509
443.8139,-165.2302
442.9859,-170.1591
441.8631,-175.0128
440.4337,-179.7715
438.6939,-184.4163
436.6416,-188.9296
434.3043,-193.3142
431.7351,-197.5905
428.9877,-201.7796
426.1157,-205.9025
423.1730,-209.9803
420.2132,-214.0339
417.2758,-218.0807
414.3643,-222.1283
411.4768,-226.1831
408.6110,-230.2513
405.7651,-234.3394
402.9371,-238.4536
400.1245,-242.5998
397.3105,-246.7640
394.4565,-250.9035
391.5226,-254.9732
388.4687,-258.9278
385.2547,-262.7223
381.8406,-266.3116
378.1826,-269.6413
374.1744,-272.4917
369.7055,-274.5430
364.8909,-275.6667
359.9001,-275.8646
354.8903,-275.2446
350.0179,-273.9226
345.4234,-272.0123
341.1211,-269.6093
337.0642,-266.8004
333.2053,-263.6722
329.4974,-260.3117
325.8929,-256.8055
322.3452,-253.2396
318.8246,-249.6655
315.3255,-246.0865
311.8443,-242.5024
308.3771,-238.9131
304.9204,-235.3184
301.4702,-231.7180
298.0230,-228.1118
294.5771,-224.5001
291.1324,-220.8835
287.6889,-217.2625
284.2466,-213.6378
280.8055,-210.0100
277.3654,-206.3797
273.9265,-202.7474
270.4886,-199.1139
267.0518,-195.4798
263.6159,-191.8455
260.1811,-188.2118
256.7472,-184.5793
253.3142,-180.9485
249.8825,-177.3195
246.4534,-173.6899
243.0290,-170.0566
239.6112,-166.4164
236.2018,-162.7663
232.8026,-159.1032
229.4157,-155.4238
226.0480,-151.7224
222.7186,-147.9863
219.4485,-144.2019
216.2587,-140.3555
213.1703,-136.4334
210.2042,-132.4221
207.3816,-128.3079
204.7344,-124.0771
202.3093,-119.7164
200.1541,-115.2122
198.3134,-110.5621
196.8232,-105.7911
195.7185,-100.9278
195.0306,-96.0007
194.7306,-91.0323
194.7392,-86.0394
194.9762,-81.0390
195.3947,-76.0463
195.9950,-71.0740
196.7810,-66.1347
197.7561,-61.2404
198.9220,-56.3972
200.2794,-51.6087
201.8289,-46.8781
203.5711,-42.2090
205.5067,-37.6048
207.6364,-33.0690
209.9602,-28.6124
212.4777,-24.2558
215.1881,-20.0208
218.0908,-15.9291
221.1852,-12.0023
224.4708,-8.2619
227.9462,-4.7283
231.6021,-1.4020
235.4220,1.7335
239.3890,4.6953
243.4866,7.5002
247.6979,10.1651
252.0063,12.7072
256.3950,15.1433
260.8473,17.4903
265.3465,19.7654
269.8759,21.9853
274.4188,24.1670
278.9583,26.3276
283.4779,28.4840
287.9650,30.6501
292.4258,32.8260
296.8718,35.0082
301.3143,37.1931
305.7648,39.3772
310.2347,41.5569
314.7353,43.7287
319.2749,45.8908
323.8541,48.0458
328.4725,50.1970
333.0242,52.4472
336.9398,55.3339
339.7148,59.1616
341.1298,63.7258
341.3265,68.6933
340.8794,73.6643
340.1415,78.6767
339.2054,83.8155
337.8320,88.7780
335.7351,93.2055
332.6484,96.7553
328.6309,99.3455
324.0045,101.1049
319.0960,102.1687
314.1099,102.6965
309.0864,102.8803
304.0545,102.9147
299.0400,102.9758
294.0459,103.1006
289.0646,103.2615
284.0883,103.4303
279.1095,103.5789
274.1204,103.6791
269.1136,103.7023
264.0955,103.5995
259.0907,103.2940
254.1253,102.7072
249.2177,101.7971
244.3694,100.6068
239.5796,99.1914
234.8471,97.6043
230.1696,95.8758
225.5435,94.0176
220.9654,92.0406
216.4318,89.9560
211.9391,87.7749
207.4839,85.5083
203.0625,83.1672
198.6716,80.7629
194.3076,78.3063
189.9670,75.8086
185.6464,73.2807
181.3420,70.7339
177.0506,68.1791
172.7689,65.6238
168.4952,63.0601
164.2283,60.4761
159.9627,57.8702
155.6615,55.3220
151.2727,52.9489
146.7444,50.8688
142.0496,49.1700
137.2195,47.8714
132.2936,46.9825
127.3116,46.5125
122.3128,46.4707
117.3370,46.8664
112.4236,47.7086
107.6111,48.9968
102.9368,50.7174
98.4378,52.8561
94.1512,55.3982
90.1141,58.3293
86.3637,61.6351
82.9407,65.3008
79.9463,69.3099
77.5291,73.6443
75.8372,78.2847
74.9364,83.1641
74.7813,88.1515
75.3188,93.1118
76.4951,97.9197
78.2483,102.5286
80.5131,106.9275
83.2241,111.1057
86.3159,115.0524
89.7233,118.7570
93.3807,122.2098
97.2172,125.4421
101.1551,128.5398
105.1158,131.5921
109.0210,134.6885
112.7923,137.9185
116.3513,141.3712
119.6160,145.1325
122.4477,149.2304
124.6635,153.6480
126.0825,158.3659
126.6535,163.3140
126.4938,168.3567
125.7318,173.3542
124.4758,178.1840
122.6853,182.8524
120.2366,187.2359
116.9821,190.8322
112.9892,193.5321
108.4913,195.5625
103.7253,197.1585
98.8887,198.5183
94.0226,199.6968
89.1304,200.7136
84.2152,201.5882
79.2803,202.3405
74.3289,202.9900
69.3644,203.5564
64.3898,204.0594
59.4086,204.5186
54.4239,204.9537
49.4389,205.3843
44.4570,205.8301
39.4813,206.3108
34.5144,206.8407
29.5538,207.3958
24.5950,207.9352
19.6330,208.4179
14.6633,208.8028
9.6812,209.0491
4.6819,209.1157
-0.3351,208.9781
-5.3538,208.6769
-10.3544,208.2688
-15.3184,207.7956
-20.2382,207.1921
-25.1112,206.3453
-29.9345,205.1424
-34.6875,203.5140
-39.3100,201.4868
-43.7367,199.0998
-47.9209,196.3944
-51.8884,193.4207
-55.6834,190.2304
-59.3496,186.8752
-62.9299,183.4030
-66.4668,179.8598
-69.9985,176.2886
-73.4997,172.6813
-76.8969,168.9913
-80.1153,165.1710
-83.0955,161.1838
-85.8371,157.0369
-88.3545,152.7479
-90.6623,148.3347
-92.7749,143.8150
-94.7067,139.2068
-96.4722,134.5277
-98.0836,129.7922
-99.5481,125.0075
-100.8722,120.1798
-102.0626,115.3153
-103.1258,110.4201
-104.0683,105.5006
-104.8889,100.5637
-105.2888,95.6502
-104.6978,90.8316
-103.3331,86.0926
-101.6144,81.4025
-99.6211,76.7836
-97.3871,72.2649
-94.9464,67.8737
-92.3295,63.6105
-89.5640,59.4554
-86.6776,55.3880
-83.6981,51.3879
-80.6532,47.4349
-77.5705,43.5085
-74.4753,39.5902
-71.3756,35.6743
-68.2717,31.7605
-65.1640,27.8487
-62.0526,23.9389
-58.9379,20.0309
-55.8202,16.1246
-52.6998,12.2200
-49.5769,8.3168
-46.4519,4.4150
-43.3251,0.5144
-40.1967,-3.3850
-37.0670,-7.2833
-33.9364,-11.1808
-30.8050,-15.0773
-27.6725,-18.9728
-24.5387,-22.8669
-21.4033,-26.7596
-18.2660,-30.6506
-15.1266,-34.5396
-11.9848,-38.4265
-8.8403,-42.3110
-5.6929,-46.1930
-2.5423,-50.0722
0.6118,-53.9485
3.7697,-57.8216
6.9316,-61.6912
10.0978,-65.5573
13.2686,-69.4195
16.4441,-73.2777
19.6248,-77.1317
22.8109,-80.9812
26.0026,-84.8261
29.2002,-88.6661
32.4040,-92.5010
35.6142,-96.3307
38.8312,-100.1548
42.0551,-103.9732
45.2863,-107.7857
48.5250,-111.5921
51.7716,-115.3922
55.0255,-119.1862
58.2858,-122.9750
61.5512,-126.7596
64.8206,-130.5410
68.0928,-134.3200
71.3665,-138.0976
74.6408,-141.8748
77.9142,-145.6525
81.1857,-149.4316
84.4542,-153.2130
87.7183,-156.9978
90.9770,-160.7868
94.2291,-164.5811
97.4715,-168.3829
100.6975,-172.1983
103.8995,-176.0334
107.0701,-179.8947
110.2018,-183.7885
113.2871,-187.7209
116.3178,-191.6988
119.2550,-195.7433
122.0190,-199.8946
124.5279,-204.1942
126.7494,-208.6564
128.7641,-213.2340
130.6684,-217.8713
132.5496,-222.5163
134.3605,-227.1720
135.9484,-231.8845
137.1607,-236.7003
137.9636,-241.6259
138.4791,-246.6157
138.8398,-251.6208
139.1598,-256.6086
139.5103,-261.5835
139.9570,-266.5553
140.5249,-271.5311
141.0737,-276.5087
141.4211,-281.4833
141.3878,-286.4501
140.9168,-291.4021
140.1123,-296.3292
139.0895,-301.2213
137.9312,-306.0723
136.6471,-310.8850
135.2372,-315.6639
133.7016,-320.4129
132.0495,-325.1340
130.2968,-329.8273
128.4597,-334.4929
126.5540,-339.1308
124.5961,-343.7412
122.6018,-348.3240
120.5856,-352.8800
118.5490,-357.4135
116.4880,-361.9308
114.3981,-366.4383
112.2751,-370.9420
110.1149,-375.4484
107.9132,-379.9637
105.6577,-384.4832
103.3043,-388.9581
100.8005,-393.3284
98.0937,-397.5339
95.1315,-401.5145
91.8614,-405.2101
88.2310,-408.5606
84.2169,-411.4832
79.8613,-413.8440
75.2153,-415.5020
70.3370,-416.3696
65.3113,-416.5744
60.2303,-416.2977
55.1849,-415.7179
50.2366,-414.9039
45.4086,-413.7816
40.7210,-412.2676
36.1763,-410.3381
31.7370,-408.1018
27.3603,-405.6857
23.0049,-403.2123
18.6522,-400.7356
14.3019,-398.2571
9.9537,-395.7770
5.6076,-393.2954
1.2634,-390.8122
-3.0790,-388.3276
-7.4196,-385.8418
-11.7586,-383.3547
-16.0962,-380.8665
-20.4324,-378.3773
-24.7673,-375.8872
-29.1010,-373.3961
-33.4337,-370.9043
-37.7655,-368.4119
-42.0965,-365.9188
-46.4268,-363.4253
-50.7565,-360.9313
-55.0858,-358.4371
-59.4147,-355.9426
-63.7433,-353.4479
-68.0718,-350.9533
-72.4003,-348.4586
-76.7289,-345.9641
-81.0577,-343.4698
-85.3868,-340.9759
-89.7164,-338.4823
-94.0465,-335.9892
-98.3771,-333.4966
-102.7083,-331.0046
-107.0401,-328.5131
-111.3724,-326.0221
-115.7052,-323.5317
-120.0385,-321.0419
-124.3724,-318.5526
-128.7067,-316.0639
-133.0416,-313.5759
-137.3769,-311.0884
-141.7127,-308.6016
-146.0489,-306.1154
-150.3856,-303.6298
-154.7227,-301.1449
-159.0603,-298.6607
-163.3982,-296.1771
-167.7366,-293.6943
-172.0754,-291.2121
-176.4146,-288.7306
-180.7541,-286.2498
-185.0941,-283.7698
-189.4344,-281.2905
-193.7750,-278.8120
-198.1160,-276.3342
-202.4573,-273.8572
-206.7990,-271.3809
-211.1410,-268.9054
-215.4832,-266.4307
-219.8256,-263.9565
-224.1683,-261.4828
-228.5111,-259.0096
-232.8539,-256.5366
-237.1968,-254.0639
-241.5398,-251.5913
-245.8826,-249.1187
-250.2254,-246.6461
-254.5681,-244.1733
-258.9105,-241.7002
-263.2528,-239.2268
-267.5948,-236.7529
-271.9365,-234.2785
-276.2778,-231.8035
-280.6188,-229.3277
-284.9592,-226.8511
-289.2992,-224.3735
-293.6387,-221.8950
-297.9776,-219.4153
-302.3159,-216.9344
-306.6535,-214.4522
-310.9904,-211.9686
-315.3265,-209.4835
-319.6618,-206.9968
-323.9963,-204.5085
-328.3300,-202.0184
-332.6631,-199.5272
-336.9958,-197.0352
-341.3284,-194.5429
-345.6611,-192.0507
-349.9942,-189.5591
-354.3279,-187.0686
-358.6625,-184.5796
-362.9981,-182.0925
