x,z
-167.7245,805.9338
-166.9646,803.7253
-166.3175,801.8455
-165.6679,799.9587
-165.0177,798.0702
-164.3673,796.1811
-163.7170,794.2920
-163.0667,792.4031
-162.4167,790.5151
-161.7676,788.6298
-161.1224,786.7555
-160.3800,784.5993
-159.8019,782.9200
-159.1565,781.0450
-158.5082,779.1617
-157.8593,777.2767
-157.2106,775.3923
-156.5624,773.5095
-155.9151,771.6292
-155.2707,769.7571
-154.6327,767.9038
-154.0207,766.1259
-153.6814,765.1402
-154.0358,766.1697
-154.3989,767.2245
-154.6886,768.0661
-154.9205,768.7400
-155.1098,769.2897
-149.3927,752.6747
-148.7449,750.7917
-148.0969,748.9081
-147.4485,747.0234
-146.8005,745.1397
-146.1527,743.2567
-145.5052,741.3746
-144.8582,739.4940
-144.2120,737.6155
-143.5669,735.7403
-142.9234,733.8699
-142.2828,732.0078
-141.6471,730.1602
-141.0215,728.3417
-140.4206,726.5950
-139.9037,725.0924
-138.5506,721.1595
-138.1555,720.0109
-137.5836,718.3485
-136.9684,716.5603
-136.3381,714.7282
-135.7010,712.8765
-135.0603,711.0142
-134.4175,709.1458
-133.7742,707.2759
-133.1300,705.4035
-132.4853,703.5296
-131.8410,701.6569
-131.1972,699.7854
-130.5541,697.9162
-129.9123,696.0506
-129.2724,694.1906
-128.6354,692.3393
-128.0034,690.5022
-127.3796,688.6891
-126.7728,686.9253
-126.2041,685.2722
-125.7417,683.9281
-125.5786,683.4542
-125.8000,684.0975
-123.1785,676.4774
-122.5912,674.7702
-121.9773,672.9856
-121.3509,671.1647
-120.7179,669.3246
-120.0810,667.4731
-119.4417,665.6148
-118.8010,663.7522
-118.1594,661.8870
-117.5173,660.0207
-116.8752,658.1541
-116.2332,656.2879
-115.5920,654.4237
-114.9517,652.5624
-114.3125,650.7045
-113.6760,648.8541
-113.0428,647.0133
-112.4147,645.1876
-111.7947,643.3853
-111.1896,641.6264
-110.6130,639.9500
-110.0977,638.4522
-109.7318,637.3885
-107.6674,631.3876
-107.3384,630.4310
-106.8391,628.9795
-106.2697,627.3245
-105.6692,625.5787
-105.0528,623.7869
-104.4275,621.9693
-103.7969,620.1363
-103.1630,618.2935
-102.5270,616.4447
-101.8897,614.5922
-101.2518,612.7379
-100.6138,610.8832
-99.9761,609.0295
-99.3393,607.1782
-98.7039,605.3311
-98.0704,603.4896
-97.4404,601.6585
-96.8154,599.8416
-96.1980,598.0468
-95.5928,596.2875
-95.0083,594.5885
-94.4637,593.0053
