x,z
267.9607,403.8474
266.3481,406.7455
277.7317,386.2921
281.5424,379.4460
285.3891,372.5351
289.2492,365.6002
293.1140,358.6570
296.9785,351.7142
300.8367,344.7827
304.6787,337.8805
308.4707,331.0679
312.0351,324.6643
317.4628,314.9137
320.6570,309.1762
324.4037,302.4461
328.2331,295.5677
332.0870,288.6451
335.9506,281.7052
339.8175,274.7593
343.6821,267.8176
347.5379,260.8916
351.3722,254.0043
355.1361,247.2435
358.4764,241.2436
363.7871,231.7035
367.3017,225.3896
371.0890,218.5858
374.9290,211.6873
378.7879,204.7550
382.6535,197.8105
386.5206,190.8634
390.3834,183.9240
394.2349,177.0048
398.0535,170.1449
409.4187,149.7177
407.7137,152.7857
410.2281,148.2613
413.9151,141.6272
417.7226,134.7761
421.5577,127.8755
425.3949,120.9710
429.2138,114.0995
432.9612,107.3567
440.2644,94.2219
441.4788,92.0409
445.0460,85.6338
448.8294,78.8387
452.6476,71.9809
456.4553,65.1421
460.1797,58.4527
463.2758,52.8919
468.7251,43.1040
472.2973,36.6874
476.0686,29.9131
479.8697,23.0853
483.6436,16.3063
487.2626,9.8055
493.5076,-1.3908
495.8895,-5.6426
499.4804,-12.0527
503.1623,-18.6250
506.6049,-24.7704
512.5327,-35.3225
515.4305,-40.4589
519.0590,-46.8905
522.7346,-53.4058
526.1263,-59.4178
532.3518,-70.4584
535.1411,-75.4088
538.7066,-81.7370
542.3144,-88.1401
551.5033,-104.4707
551.7315,-104.8779
554.5359,-109.8798
557.7343,-115.5848
564.3802,-127.4660
566.5333,-131.3312
569.6954,-137.0076
576.8337,-149.8242
577.9861,-151.8944
583.4651,-161.7343
585.1666,-164.7889
590.3878,-174.1620
592.2399,-177.4869
597.5011,-186.9361
602.9787,-196.7753
604.7384,-199.9349
609.8587,-209.1717
612.0829,-213.2065
616.8322,-222.1438
620.6344,-229.8946
623.0252,-236.1528
625.2708,-243.7392
626.4816,-250.4315
626.8785,-259.4291
626.6790,-264.4003
624.6304,-274.7002
620.6636,-285.3703
618.7206,-288.8654
612.3564,-298.0076
609.5089,-301.0432
601.1689,-308.1802
597.4115,-310.6474
587.9718,-315.2989
583.3524,-316.9537
573.4062,-318.9740
568.0679,-319.5754
558.0442,-319.1199
550.2566,-317.9448
543.0939,-315.6195
535.6925,-312.4125
531.2934,-310.1107
522.2496,-305.0166
512.8541,-299.4293
509.4932,-297.3749
500.2076,-291.6204
490.8909,-285.7441
487.3954,-283.5095
479.4590,-278.4267
473.7761,-274.7779
467.0081,-270.4337
460.6105,-266.3354
453.7779,-261.9675
448.8054,-258.7949
440.7418,-253.7017
432.4154,-248.4999
428.4548,-246.0505
419.6804,-240.6838
410.8771,-235.3956
406.6192,-232.8858
398.4914,-228.4131
391.3125,-224.8086
384.5398,-222.3361
376.7953,-220.2649
370.5840,-219.2703
361.3399,-219.1593
350.8844,-220.5572
346.5533,-221.8252
336.9801,-225.7690
333.1003,-227.9857
324.6900,-234.3085
321.5878,-237.1558
314.7655,-245.6662
310.0131,-253.9370
307.8222,-259.4409
305.6140,-267.3893
304.3201,-274.5585
303.6666,-282.3254
303.1825,-291.6129
303.0756,-296.2201
302.9883,-306.6060
303.0611,-317.4133
303.1161,-321.0592
303.3582,-331.6564
303.7167,-342.3105
